146001, CENTRAL AND EARLLY MAXELL, MEMPHIS, TN, 
146002, CENTRAL AND EARLY MAXWELL(TIGER LN PARKING LOT), MEMPHIS, TN, 
146003, CENTRAL AND EAST PARKWAY, MEMPHIS, TN, 
146004, CENTRAL AND EAST PKWY N, MEMPHIS, TN, 
146005, CENTRAL AND EAST PKWY SOUTH, MEMPHIS, TN, 
146006, CENTRAL AND EDWIN CIR, MEMPHIS, TN, 
146007, CENTRAL AND FENWICK, MEMPHIS, TN, 
146008, CENTRAL AND GREER, MEMPHIS, TN, 
146009, CENTRAL AND HAYNES, MEMPHIS, TN, 
146010, CENTRAL AND HOLMES RD, MEMPHIS, TN, 
146011, CENTRAL AND HOLMES, MEMPHIS, TN, 
146012, CENTRAL AND INNOVATION, MEMPHIS, TN, 
146013, CENTRAL AND LAFEYETTE, MEMPHIS, TN, 
146014, CENTRAL AND LOMBARDI, MEMPHIS, TN, 
146015, CENTRAL AND LOMBARDY PL, MEMPHIS, TN, 
146016, CENTRAL AND NEW YORK, MEMPHIS, TN, 
146017, CENTRAL AND OAKLEY, MEMPHIS, TN, 
146018, CENTRAL AND PEABODY AVE, MEMPHIS, TN, 
146019, CENTRAL AND PEABODY, MEMPHIS, TN, 
146020, CENTRAL AND PHILADELPHIA, MEMPHIS, TN, 
146021, CENTRAL AND PHILIDELPHIA, MEMPHIS, TN, 
146022, CENTRAL AND PHILLADELPHIA, MEMPHIS, TN, 
146023, CENTRAL AND PRESCOTT, MEMPHIS, TN, 
146024, CENTRAL AND REESE, MEMPHIS, TN, 
146025, CENTRAL AND ROLAND, MEMPHIS, TN, 
146026, CENTRAL AND ROSEMARY, MEMPHIS, TN, 
146027, CENTRAL AND ROZELLE, MEMPHIS, TN, 
146028, CENTRAL AND S GREER ST, MEMPHIS, TN, 
146029, CENTRAL AND S HOLLYWOOD, MEMPHIS, TN, 
146030, CENTRAL AND S PKWY, MEMPHIS, TN, 
146031, CENTRAL AND S SOMERVILLE, MEMPHIS, TN, 
146032, CENTRAL AND S WILLET, MEMPHIS, TN, 
146033, CENTRAL AND SLEDGE, MEMPHIS, TN, 
146034, CENTRAL AND SOMERVILLE, MEMPHIS, TN, 
146035, CENTRAL AND SUMMER, MEMPHIS, TN, 
146036, CENTRAL AND TANGLEWOOD, MEMPHIS, TN, 
146037, CENTRAL AND TILTON, MEMPHIS, TN, 
146038, CENTRAL AND WEST EDWIN CIRCLE, MEMPHIS, TN, 
146039, CENTRAL AND WEST EDWIN, MEMPHIS, TN, 
146040, CENTRAL AND WILLIAMSBURG, MEMPHIS, TN, 
146041, CENTRAL AND WINDOVER, MEMPHIS, TN, 
146042, CENTRAL AVE AND BELLEVUE BLVD, MEMPHIS, TN, 
146043, CENTRAL AVE AND EARLY MAXWELL BLVD, MEMPHIS, TN, 
146044, CENTRAL AVE AND FENWICK RD, MEMPHIS, TN, 
146045, CENTRAL AVE AND FENWICK ST, MEMPHIS, TN, 
146046, CENTRAL AVE AND GOODLETT, MEMPHIS, TN, 
146047, CENTRAL AVE AND HOLLYWOOD, MEMPHIS, TN, 
146048, CENTRAL AVE AND HOLLYWWOD, MEMPHIS, TN, 
146049, CENTRAL AVE AND HOLMES ST, MEMPHIS, TN, 
146050, CENTRAL AVE AND LUNDEE ST, MEMPHIS, TN, 
146051, CENTRAL AVE AND S BELVEDERE, MEMPHIS, TN, 
146052, CENTRAL AVE AND S COX, MEMPHIS, TN, 
146053, CENTRAL AVE AND ZACH CURLIN ST, MEMPHIS, TN, 
146054, CENTRAL AVE WEST OF COOPER, MEMPHIS, TN, 
146055, CENTRAL COOPER, MEMPHIS, TN, 
146056, CENTRAL EARLY AND MAXWELL, MEMPHIS, TN, 
146057, CENTRAL RD AND PRESCOTT, MEMPHIS, TN, 
