147001, COMMANCHE AND KENOSHA, MEMPHIS, TN, 
147002, COMMANCHE AND WATSON, MEMPHIS, TN, 
147003, COMMANCHE GETWELL, MEMPHIS, TN, 
147004, COMMERCE AND MAIN ST, MEMPHIS, TN, 
147005, COMMERCE AND NOVEMBER 6TH, MEMPHIS, TN, 
147006, COMMERCE AND WINCHESTER, MEMPHIS, TN, 
147007, COMMERCE AVE AND N NOVEMBER 6TH ST, MEMPHIS, TN, 
147008, COMMERCE ST AND MAIN ST, MEMPHIS, TN, 
147009, COMMERCIAL AND ELVIS PRESLEY, MEMPHIS, TN, 
147010, COMMERCIAL PKWY, MEMPHIS, TN, 
147011, COMMON WEALTH AND CLAYMORE, MEMPHIS, TN, 
147012, COMMON WEALTH AND LONG BOW DR, MEMPHIS, TN, 
147013, COMMON WEALTH AND LONG BOW, MEMPHIS, TN, 
147014, COMMON WEALTH AND MILL BRANCH, MEMPHIS, TN, 
147015, COMMON WEALTH AND MILLBRANCH, MEMPHIS, TN, 
147016, COMMONWEALTH AND LONGBOW DR, MEMPHIS, TN, 
147017, COMMONWEALTH AND MILL BRANCH, MEMPHIS, TN, 
147018, COMMONWEALTH DR AND CLAYMORE DR, MEMPHIS, TN, 
147019, COMMONWEALTH DR AND MILLBRANCH, MEMPHIS, TN, 
147020, COMMONWEALTH DR, MEMPHIS, TN, 
147021, COMMONWEALTH RD AND KINGS GATE DR, MEMPHIS, TN, 
147022, COMO AND GEORGIA, MEMPHIS, TN, 
147023, COMO AND ORLEANS, MEMPHIS, TN, 
147024, COMO AND S ORLEANS, MEMPHIS, TN, 
147025, COMO WILKERSON, MEMPHIS, TN, 
147026, COMPRESS AND MALLORY, MEMPHIS, TN, 
147027, COMPRESS DR AND S LAUDERDALE ST, MEMPHIS, TN, 
147028, COMWELL AND OUTLAND, MEMPHIS, TN, 
147029, CONCORD, MEMPHIS, TN, 
147030, CONCORDE/PIDGEON ROOST, MEMPHIS, TN, 
147031, CONCOURSE WAY AND AUTUNM AVE, MEMPHIS, TN, 
147032, CONFEDERATE PARK, MEMPHIS, TN, 
147033, CONJIERS,GA, MEMPHIS, TN, 
147034, CONNECTOR AND HICKORY HILL, MEMPHIS, TN, 
147035, CONNEMARA AND RAINES, MEMPHIS, TN, 
147036, CONVIGTON PIKE AND STAGE RD, MEMPHIS, TN, 
147037, CONVINGTON PIKE AND HWY 14, MEMPHIS, TN, 
147038, CONVINGTON PIKE AND I240, MEMPHIS, TN, 
147039, CONVINGTON PIKE AND LONGACRE, MEMPHIS, TN, 
147040, CONVINGTON PIKE AND MCCRORY, MEMPHIS, TN, 
147041, CONVINGTON PIKE AND STAGE, MEMPHIS, TN, 
147042, CONVINGTON PIKE AND YALE, MEMPHIS, TN, 
147043, CONWAY AND DUPONT, MEMPHIS, TN, 
147044, CONWAY AND SIPES, MEMPHIS, TN, 
147045, COOK AND FIELDS, MEMPHIS, TN, 
147046, COOPER & COURT, MEMPHIS, TN, 
147047, COOPER AND BENNET, MEMPHIS, TN, 
147048, COOPER AND CARR, MEMPHIS, TN, 
147049, COOPER AND CHADWICK CR, MEMPHIS, TN, 
147050, COOPER AND CLAREMONT, MEMPHIS, TN, 
147051, COOPER AND CT ST, MEMPHIS, TN, 
147052, COOPER AND DUBLIN, MEMPHIS, TN, 
147053, COOPER AND ETHLYN, MEMPHIS, TN, 
147054, COOPER AND EVELYN, MEMPHIS, TN, 
147055, COOPER AND HARBERT, MEMPHIS, TN, 
147056, COOPER AND LAMAR AVE, MEMPHIS, TN, 
147057, COOPER AND LASALLE PLACE, MEMPHIS, TN, 
147058, COOPER AND LEE, MEMPHIS, TN, 
147059, COOPER AND S PARKWAY E, MEMPHIS, TN, 
147060, COOPER AND TRIMBLE PL, MEMPHIS, TN, 
147061, COOPER AND TURNER AVE, MEMPHIS, TN, 
147062, COOPER AND TURNER, MEMPHIS, TN, 
147063, COOPER AND WORTHINGTON CIR, MEMPHIS, TN, 
147064, COOPER AND WORTHINGTON, MEMPHIS, TN, 
147065, COOPER AND YORK, MEMPHIS, TN, 
147066, COOPER APARTMENT, MEMPHIS, TN, 
147067, COOPER AVE AND MADISON AVE, MEMPHIS, TN, 
147068, COOPER AVE AND TRIMBLE ST, MEMPHIS, TN, 
147069, COOPER CHADWYCK CIR, MEMPHIS, TN, 
147070, COOPER CT, MEMPHIS, TN, 
147071, COOPER ST AND CARR AVE, MEMPHIS, TN, 
147072, COOPER ST AND CHADWICK CIR, MEMPHIS, TN, 
147073, COOPER ST AND COWDEN AVE, MEMPHIS, TN, 
147074, COOPER ST AND E PERSON AVE, MEMPHIS, TN, 
147075, COOPER ST AND HIGBEE AVE, MEMPHIS, TN, 
147076, COOPER ST AND LOWELL AVE, MEMPHIS, TN, 
147077, COOPER ST AND OLIVER, MEMPHIS, TN, 
147078, COOPER ST AND WORTHINGTON CIR, MEMPHIS, TN, 
147079, COOPER ST AND YOUNG ST, MEMPHIS, TN, 
147080, COOPER ST, MEMPHIS, TN, 
147081, COOPER YOUNG AREA, MEMPHIS, TN, 
147082, COOTONWOOD AND ESTES, MEMPHIS, TN, 
147083, COPCOCK AND CHELSEA, MEMPHIS, TN, 
147084, COPPER AND COURT, MEMPHIS, TN, 
147085, COPPER AND YOUNG, MEMPHIS, TN, 
147086, COPPER VALLEY AND COPPER VALLEY CV, MEMPHIS, TN, 
147087, COPPER VALLEY AND COPPER VALLEY W, MEMPHIS, TN, 
147088, COPPER VALLEY CV, MEMPHIS, TN, 
147089, COPPER VALLEY DR EAND COPPER VALLEY DR S RD, MEMPHIS, TN, 
147090, COPPER VALLEY DR S AND COPPER VALLEY DR E, MEMPHIS, TN, 
147091, COPPER VALLEY E AND COPPER VALLEY S, MEMPHIS, TN, 
147092, COPPOCK AND BREEDLOVE, MEMPHIS, TN, 
147093, CORAL AND LAKE PARK, MEMPHIS, TN, 
147094, CORAL AND ST ELMO, MEMPHIS, TN, 
147095, CORAL DR AND LAKE PARK RD, MEMPHIS, TN, 
147096, CORAL DR AND NORTHMEADE AVE, MEMPHIS, TN, 
147097, CORAL LEAF LN, MEMPHIS, TN, 
147098, CORALLEAAF AND FULTON, MEMPHIS, TN, 
147099, CORDELL AND COLEWOOD, MEMPHIS, TN, 
147100, CORDELL AND COTTONWOOD, MEMPHIS, TN, 
147101, CORDOVA AND BRADY HOLLOW, MEMPHIS, TN, 
147102, CORDOVA AND GERMANTOWN PKWY N, MEMPHIS, TN, 
147103, CORDOVA AND GERMANTOWN RD, MEMPHIS, TN, 
147104, CORDOVA AND N GERMANTOWN, MEMPHIS, TN, 
147105, CORDOVA CLUB AND CORDOVA RD, MEMPHIS, TN, 
147106, CORDOVA RD AND AUTUMN CREEK DR, MEMPHIS, TN, 
147107, CORDOVA RD AND EAST FAIRWAY FOREST DR, MEMPHIS, TN, 
147108, CORDOVA RD AND GERMANTOWN RD, MEMPHIS, TN, 
147109, CORDOVA RD W AND O GERMANTOWN, MEMPHIS, TN, 
147110, CORDOVA, MEMPHIS, TN, 
147111, COREY AND NORRIS, MEMPHIS, TN, 
147112, CORINE AND THOMAS, MEMPHIS, TN, 
147113, CORNEIL AND FELTSTATION, MEMPHIS, TN, 
147114, CORNEL AND THOMAS, MEMPHIS, TN, 
147115, CORNELL AND FELTS STATION, MEMPHIS, TN, 
147116, CORNER OF AYERS AND VOLLINTINE, MEMPHIS, TN, 
147117, CORNER OF BRISTER AND MYNDERS, MEMPHIS, TN, 
147118, CORNER OF DAVIS AND NEDRA, MEMPHIS, TN, 
147119, CORNER OF GOODLOE AND PENNSYLVANIA, MEMPHIS, TN, 
147120, CORNER OF SECOND AND CHELSEA, MEMPHIS, TN, 
147121, CORNING AND ARDMORE, MEMPHIS, TN, 
147122, CORNING AND BROOKEMEADE, MEMPHIS, TN, 
147123, CORNING AND DONNA, MEMPHIS, TN, 
147124, CORNING AND FRAYSER, MEMPHIS, TN, 
147125, CORNING AND JULIA, MEMPHIS, TN, 
147126, CORNING AND MCGOWAN, MEMPHIS, TN, 
147127, CORNING AND MOUNT TERRACE, MEMPHIS, TN, 
147128, CORNING AND N TREZVANT, MEMPHIS, TN, 
147129, CORNING AND NORTH TREZEVANT, MEMPHIS, TN, 
147130, CORNING AND PERSHING PARK, MEMPHIS, TN, 
147131, CORNING AND TRICA, MEMPHIS, TN, 
147132, CORNING AND W SUTTON, MEMPHIS, TN, 
147133, CORNING AND WATKINS AREA, MEMPHIS, TN, 
147134, CORNING AND WATKINS ST, MEMPHIS, TN, 
147135, CORNING AVE AND DEBBY DR, MEMPHIS, TN, 
147136, CORNING AVE AND GILIE ST, MEMPHIS, TN, 
147137, CORNING AVE AND GOWAN DR, MEMPHIS, TN, 
147138, CORNING AVE AND PAMELA DR, MEMPHIS, TN, 
147139, CORNING AVE AND RANGE LINE RD, MEMPHIS, TN, 
147140, CORNING AVE AND RANGELINE, MEMPHIS, TN, 
147141, CORNING AVE AND SUTTON DR, MEMPHIS, TN, 
147142, CORNING AVE AND TREZEVANT ST, MEMPHIS, TN, 
147143, CORNING AVE AND WATKINS ST, MEMPHIS, TN, 
147144, CORNING AVENUE AND PAMALA DRIVE, MEMPHIS, TN, 
147145, CORNING ST AND HAWKINS MILL, MEMPHIS, TN, 
147146, CORNING ST. /STEEL ST, MEMPHIS, TN, 
147147, CORNING VILLAGE APARTMENTS, MEMPHIS, TN, 
147148, CORNING, MEMPHIS, TN, 
147149, CORO AND SHELBY DR, MEMPHIS, TN, 
147150, CORO RD, MEMPHIS, TN, 
147151, CORPORATE AND DIVIDEND, MEMPHIS, TN, 
147152, CORPORATE AND NONCONNAH, MEMPHIS, TN, 
147153, CORPORATE AVE AND MILLBRANCH, MEMPHIS, TN, 
147154, CORPORATE AVE AND NONCONNAH BLVD, MEMPHIS, TN, 
147155, CORPORATE AVE, MEMPHIS, TN, 
147156, CORPORATE DR AND DIVIDEND, MEMPHIS, TN, 
147157, CORPORATE, MEMPHIS, TN, 
147158, CORRINE AND D THOMAS, MEMPHIS, TN, 
147159, CORRINE AND MOOREHEAD, MEMPHIS, TN, 
147160, CORRINE AND ORENDA, MEMPHIS, TN, 
147161, CORRINE AVE AND DANNY THOMAS, MEMPHIS, TN, 
147162, CORRINE AVE E AND B OF THOMAS ST, MEMPHIS, TN, 
147163, CORRY AND DEMPSTER, MEMPHIS, TN, 
147164, CORRY AND DUNN, MEMPHIS, TN, 
147165, CORRY AND NORRIS, MEMPHIS, TN, 
147166, CORRY AND STARR, MEMPHIS, TN, 
147167, CORRY RD AND ALCY RD, MEMPHIS, TN, 
147168, CORRY RD AND E MALLORY, MEMPHIS, TN, 
147169, CORRY RD AND ELLISTON RD, MEMPHIS, TN, 
147170, CORRY RD AND ELOISE RD, MEMPHIS, TN, 
147171, CORRY RD AND MALLORY, MEMPHIS, TN, 
147172, CORTEZ CV AND CLARKE, MEMPHIS, TN, 
147173, CORTINA COURT AND INNSBRUCK, MEMPHIS, TN, 
147174, CORTINA CT AND INSBRUCK, MEMPHIS, TN, 
