14001, 2100 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
14002, 2100 JACKSON, MEMPHIS, TN, 
14003, 2100 KILARNEY, MEMPHIS, TN, 
14004, 2100 KINGS CROSS LN, MEMPHIS, TN, 
14005, 2100 NEDRA AVE, MEMPHIS, TN, 
14006, 2100 S LAUDERDALE, MEMPHIS, TN, 
14007, 2200 CASTEX, MEMPHIS, TN, 
14008, 2200 DEER CREST LN, MEMPHIS, TN, 
14009, 2200 LABELLE, MEMPHIS, TN, 
14010, 2200 PEABODY AVE, MEMPHIS, TN, 
14011, 2200 PENNSYLVANIA, MEMPHIS, TN, 
14012, 2200 PERSON, MEMPHIS, TN, 
14013, 2200 SOUTH THIRD, MEMPHIS, TN, 
14014, 2200 VILLAGE WOOD CT, MEMPHIS, TN, 
14015, 2200 WELLONS AVE, MEMPHIS, TN, 
14016, 2200 WHITNEY AVE, MEMPHIS, TN, 
14017, 2300 ARLINGTON, MEMPHIS, TN, 
14018, 2300 BROMLEY, MEMPHIS, TN, 
14019, 2300 CASSIE AVE, MEMPHIS, TN, 
14020, 2300 E BROOKS RD, MEMPHIS, TN, 
14021, 2300 GRIGGS AVE, MEMPHIS, TN, 
14022, 2300 KETCHUM RD, MEMPHIS, TN, 
14023, 2300 LAUDERDALE, MEMPHIS, TN, 
14024, 2300 OLDFIELD, MEMPHIS, TN, 
14025, 2300 PARKHURST CT, MEMPHIS, TN, 
14026, 2300 SHARON, MEMPHIS, TN, 
14027, 2400 DEVOY AVE, MEMPHIS, TN, 
14028, 2400 DOUGLAS, MEMPHIS, TN, 
14029, 2400 MAPLEHURST, MEMPHIS, TN, 
14030, 2400 SPARKS, MEMPHIS, TN, 
14031, 2500 AIRWAYS BLVD, MEMPHIS, TN, 
14032, 2500 CLEARPARK, MEMPHIS, TN, 
14033, 2500 CRESCENT GLEN CIR, MEMPHIS, TN, 
14034, 2500 DOUGLASS AVE, MEMPHIS, TN, 
14035, 2500 DURHAM DR, MEMPHIS, TN, 
14036, 2500 JENWOOD, MEMPHIS, TN, 
14037, 2500 MONETTE, MEMPHIS, TN, 
14038, 2500 SHERRIE CV, MEMPHIS, TN, 
14039, 2500 YALE AVE, MEMPHIS, TN, 
14040, 2600 BETHLEHEM AVE, MEMPHIS, TN, 
14041, 2600 BRIAN CV, MEMPHIS, TN, 
14042, 2600 COURTNEY DR, MEMPHIS, TN, 
14043, 2600 HOUCK, MEMPHIS, TN, 
14044, 2600 JEFFRIES CV, MEMPHIS, TN, 
14045, 2600 KATE BOND, MEMPHIS, TN, 
14046, 2600 NORTH WATKINS, MEMPHIS, TN, 
14047, 2600 REESE GROVE CT, MEMPHIS, TN, 
