149001, E MCLEMORE AVE AND JAMES ST, MEMPHIS, TN, 
149002, E MCLEMORE AVE AND ORLEANS ST, MEMPHIS, TN, 
149003, E MCLEMORE AVE AND POND ST, MEMPHIS, TN, 
149004, E MCLEMORE AVE AND RAYNER, MEMPHIS, TN, 
149005, E MCLEMORE AVE AND S 4 ST, MEMPHIS, TN, 
149006, E MCLEMORE AVE AND S ORLEANS ST, MEMPHIS, TN, 
149007, E MCLEMORE AVE AND THIRD ST, MEMPHIS, TN, 
149008, E MCLEMORE AVE AND WILSON ST, MEMPHIS, TN, 
149009, E MITCHELL AND GILL, MEMPHIS, TN, 
149010, E MITCHELL AND NEELY RD, MEMPHIS, TN, 
149011, E MITCHELL AND NEELY, MEMPHIS, TN, 
149012, E MITCHELLE CIRCLE AND N MITCHELLE CIRCLE, MEMPHIS, TN, 
149013, E MORELAND AND CLAYBROOK, MEMPHIS, TN, 
149014, E NORMANDY AND RICH, MEMPHIS, TN, 
149015, E NORWOOD AVE AND PHILSAR ST, MEMPHIS, TN, 
149016, E OAKSHADE AND OAKSHADE CV, MEMPHIS, TN, 
149017, E OAKSIDE DR AND OAK SHADE CV, MEMPHIS, TN, 
149018, E OAKSIDE DR AND OAKSIDE CV, MEMPHIS, TN, 
149019, E OLIVE AND FLORIDA, MEMPHIS, TN, 
149020, E OLIVE AND KANSAS, MEMPHIS, TN, 
149021, E OLIVE AND LATHAM, MEMPHIS, TN, 
149022, E OLIVE AND N MAIN, MEMPHIS, TN, 
149023, E OLIVE AND S MAIN ST, MEMPHIS, TN, 
149024, E OLIVE AND SARDIS, MEMPHIS, TN, 
149025, E OLIVE AND SO LAUDERDALE, MEMPHIS, TN, 
149026, E PARK LOOP AND BUFORD ELLINGTON DR, MEMPHIS, TN, 
149027, E PARKWAY AND BELLEVUE, MEMPHIS, TN, 
149028, E PARKWAY AND LAMAR, MEMPHIS, TN, 
149029, E PARKWAY AND OLIVER, MEMPHIS, TN, 
149030, E PARKWAY AND PARKWAY PL, MEMPHIS, TN, 
149031, E PARKWAY AND POPLAR AVE, MEMPHIS, TN, 
149032, E PARKWAY AND SAM COOPER, MEMPHIS, TN, 
149033, E PARKWAY AND SOUTHERN, MEMPHIS, TN, 
149034, E PARKWAY AND YOUNG, MEMPHIS, TN, 
149035, E PARKWAY N & SUMMER, MEMPHIS, TN, 
