150001, ELVIS PRESLEY BOULEVARD AND TIMOTHY DR, MEMPHIS, TN, 
150002, ELVIS PRESLEY BOULEVARD AND WHITEHAVEN LAN, MEMPHIS, TN, 
150003, ELVIS PRESLEY N AND O SHELBY DR, MEMPHIS, TN, 
150004, ELVIS PRESLEY SOUTH OF WINDFIELD, MEMPHIS, TN, 
150005, ELVIS PRESLEY WHITEHAVEN LN, MEMPHIS, TN, 
150006, ELVIS PRESLEY-CRAFT, MEMPHIS, TN, 
150007, ELVIS PRESLEY/ALCY, MEMPHIS, TN, 
150008, ELVIS PRESLEY/CRAFT, MEMPHIS, TN, 
150009, ELVIS PRESLEY/DUNN, MEMPHIS, TN, 
150010, ELVIS PRESLEY/KERR, MEMPHIS, TN, 
150011, ELVIS PRESLEY/SHELBY DRIVE, MEMPHIS, TN, 
150012, ELVIS PRESLY AND BROOKS RD, MEMPHIS, TN, 
150013, ELVIS PRESLY AND HOLMES, MEMPHIS, TN, 
150014, ELVIS PRESLY AND LEDGER, MEMPHIS, TN, 
150015, ELVIS PRESLY AND MONTGOMERY, MEMPHIS, TN, 
150016, ELVIS PRESLY BLVD AND ELLISTON, MEMPHIS, TN, 
150017, ELVIS PRESSLEY AND FERGUSON, MEMPHIS, TN, 
150018, ELVIS PRESSLEY AND HOLMES, MEMPHIS, TN, 
150019, ELVIS PRESSLEY AND RAINES, MEMPHIS, TN, 
150020, ELVISPRESLEY AND NORRIS, MEMPHIS, TN, 
150021, ELVISPRESLEY AND PERSON, MEMPHIS, TN, 
150022, ELVISPRESLEY AND WINCHESTER, MEMPHIS, TN, 
150023, ELVISPRESLY AND CLEMENTINE, MEMPHIS, TN, 
150024, ELVISV PRESLEY AND KERR, MEMPHIS, TN, 
150025, ELY AND E PERSON, MEMPHIS, TN, 
150026, ELY AND E WALDORF, MEMPHIS, TN, 
150027, ELY AND SOUTH PKWY, MEMPHIS, TN, 
150028, ELY AND WALDROF, MEMPHIS, TN, 
150029, ELY ST AND S PKWY, MEMPHIS, TN, 
150030, ELZEY AND COPPER, MEMPHIS, TN, 
150031, ELZEY AND TANGLE WOOD ST, MEMPHIS, TN, 
150032, ELZEY AVE AND MEDA ST, MEMPHIS, TN, 
150033, EMCLEMORE AND MISSISSIPPI, MEMPHIS, TN, 
150034, EMCLEMORE AVE AND WILLIE MITCHELL ST, MEMPHIS, TN, 
150035, EMERALD AND CLARKE RD, MEMPHIS, TN, 
150036, EMERALD AND CODY, MEMPHIS, TN, 
150037, EMERALD AND DERRON, MEMPHIS, TN, 
150038, EMERALD AND EDGEWATER, MEMPHIS, TN, 
150039, EMERALD AND FORSYTH, MEMPHIS, TN, 
150040, EMERALD AND FORSYTHE, MEMPHIS, TN, 
150041, EMERALD AND MEADOW LAKE EAST, MEMPHIS, TN, 
150042, EMERALD AND NEWBERRY DR, MEMPHIS, TN, 
150043, EMERALD AND SHIRLINGTON, MEMPHIS, TN, 
150044, EMERALD AND WINCHESTER RD, MEMPHIS, TN, 
150045, EMERALD AVE AND MT MORIAH RD, MEMPHIS, TN, 
150046, EMERALD CREEK LN AND DEXTER CREEK, MEMPHIS, TN, 
150047, EMERALD GREEN AND CORDOVA, MEMPHIS, TN, 
150048, EMERALD GREEN AND FOREST WAY DR, MEMPHIS, TN, 
150049, EMERALD PARK AND HICKORY HILL, MEMPHIS, TN, 
150050, EMERALD PLEASURE DR, MEMPHIS, TN, 
150051, EMERALD POINT APARTMENTS, MEMPHIS, TN, 
150052, EMERALD RD, MEMPHIS, TN, 
150053, EMERALD SQUARE, MEMPHIS, TN, 
150054, EMERALD ST AND FORSYTH, MEMPHIS, TN, 
150055, EMERALD ST AND MEADOWLAKE DR E, MEMPHIS, TN, 
150056, EMERALD ST AND NEWBERRY AVE, MEMPHIS, TN, 
150057, EMERALD ST AND SCOTTSDALE AVE, MEMPHIS, TN, 
150058, EMERALD ST AND WINCHESTER, MEMPHIS, TN, 
150059, EMERSON AND EMERSON CV, MEMPHIS, TN, 
150060, EMERSON AND ESCROW ST, MEMPHIS, TN, 
150061, EMERSON AND ESCSOW, MEMPHIS, TN, 
150062, EMERSON AND KERWIN, MEMPHIS, TN, 
150063, EMERSON ST AND KERWIN, MEMPHIS, TN, 
150064, EMILY AND WARING, MEMPHIS, TN, 
150065, EMILY ELIZABETH AND FRANKIE CAROLYN, MEMPHIS, TN, 
150066, EMILY ELIZABETH RD, MEMPHIS, TN, 
150067, EMMA JEAN AND DUNN, MEMPHIS, TN, 
150068, EMMASON AND KERR AVE, MEMPHIS, TN, 
150069, EMMERSON AND EMMERSON CV, MEMPHIS, TN, 
150070, EMMERSON ST AND EMMERSON CV, MEMPHIS, TN, 
150071, EMMIE AND VESSEY, MEMPHIS, TN, 
150072, EMORY AND BEREA, MEMPHIS, TN, 
150073, EMORY ST, MEMPHIS, TN, 
150074, EMPIRE AND COLBY, MEMPHIS, TN, 
150075, EMPIRE ST, MEMPHIS, TN, 
150076, ENCHANTED OAK AND QUAIL HOLLOW, MEMPHIS, TN, 
150077, ENFIELD, MEMPHIS, TN, 
150078, ENGLAND AND DAUPHIN, MEMPHIS, TN, 
150079, ENGLEWOOD AND ETRIGG, MEMPHIS, TN, 
150080, ENGLEWOOD AND RIDGEWAY BLVD, MEMPHIS, TN, 
150081, ENGLEWOOD AND S PARKWAY E, MEMPHIS, TN, 
150082, ENGLEWOOD AND S PARKWAY, MEMPHIS, TN, 
150083, ENGLEWOOD AND SOUTH PARKWAY, MEMPHIS, TN, 
150084, ENGLISH TOWN AND COVINGTON PIKE, MEMPHIS, TN, 
150085, ENGLISH TOWN, MEMPHIS, TN, 
150086, ENGLISH VILLAGE APARTMENTS, MEMPHIS, TN, 
150087, ENGLISHTOWN AND COVINGTON PIKE, MEMPHIS, TN, 
150088, ENLAND AND DAUPHIN, MEMPHIS, TN, 
150089, ENSLEY AND HENNINGTON, MEMPHIS, TN, 
150090, ENT RAMP TO GO N AND B I-240 FROM E AND B POPLAR AVE, MEMPHIS, TN, 
150091, ENTER # 2260 HUNTER AVE, MEMPHIS, TN, 
150092, ENTER # 3242 JACKSON AVE, MEMPHIS, TN, 
150093, ENTER # ALTA VISTA AVE, MEMPHIS, TN, 
150094, ENTER # AMERICAN WAY, MEMPHIS, TN, 
150095, ENTER # ASHLEE FARM RD, MEMPHIS, TN, 
150096, ENTER # AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
150097, ENTER # AUTUMN AVENUE AND N MONTGOMERY ST, MEMPHIS, TN, 
150098, ENTER # AVRON B FOGELMAN EXPRESSWAY, MEMPHIS, TN, 
150099, ENTER # BARRON CT, MEMPHIS, TN, 
150100, ENTER # BEALE ST AND S DANNY THOMAS BLVD, MEMPHIS, TN, 
150101, ENTER # BENFORD ST, MEMPHIS, TN, 
150102, ENTER # BILL MORRIS PKWY, MEMPHIS, TN, 
150103, ENTER # BOXDALE ST, MEMPHIS, TN, 
150104, ENTER # BOYD ST, MEMPHIS, TN, 
150105, ENTER # BROMPTON RD, MEMPHIS, TN, 
150106, ENTER # BROOKVIEW CV, MEMPHIS, TN, 
150107, ENTER # BRUCE ST, MEMPHIS, TN, 
150108, ENTER # BURNHAM AVE AND N WATKINS ST, MEMPHIS, TN, 
150109, ENTER # CARPENTER ST AND YALE AVE, MEMPHIS, TN, 
150110, ENTER # CASTALIA ST AND DUNN AVE, MEMPHIS, TN, 
150111, ENTER # CEDAR PARK DR, MEMPHIS, TN, 
150112, ENTER # CENTERVIEW PKWY AND S GERMANTOWN PKWY, MEMPHIS, TN, 
150113, ENTER # CHERRY RD, MEMPHIS, TN, 
150114, ENTER # CINCINNATI RD, MEMPHIS, TN, 
150115, ENTER # CLARENDON RD AND BISHOPS BRIDGE RD, MEMPHIS, TN, 
150116, ENTER # CORNELIA LN, MEMPHIS, TN, 
150117, ENTER # CORNING AVE AND WINSTON DR, MEMPHIS, TN, 
150118, ENTER # COTTON LN AND COTTON WAY, MEMPHIS, TN, 
150119, ENTER # COVINGTON PIKE, MEMPHIS, TN, 
150120, ENTER # DAYTONA RD, MEMPHIS, TN, 
150121, ENTER # DECATUR ST AND JACKSON AVE, MEMPHIS, TN, 
150122, ENTER # DELLWOOD AVE AND N WATKINS ST, MEMPHIS, TN, 
150123, ENTER # DRURY WAY LN, MEMPHIS, TN, 
150124, ENTER # DUNN AVE AND AIRWAYS BLVD, MEMPHIS, TN, 
150125, ENTER # DWIGHT RD AND IMOGENE ST, MEMPHIS, TN, 
150126, ENTER # E MCLEMORE AVE AND S LAUDERDALE ST, MEMPHIS, TN, 
150127, ENTER # E RAINES RD AND TCHULAHOMA RD, MEMPHIS, TN, 
