155001, I1745 CORNING, MEMPHIS, TN, 
155002, I2 E PAXTON LN, MEMPHIS, TN, 
155003, I20 AND AIRWAYS, MEMPHIS, TN, 
155004, I20 AND S PARKWAY, MEMPHIS, TN, 
155005, I204 RD AND NORRIS RD, MEMPHIS, TN, 
155006, I24 AND PERKINS, MEMPHIS, TN, 
155007, I240 & WATKINS, MEMPHIS, TN, 
155008, I240 385, MEMPHIS, TN, 
155009, I240 AND 385 EXPRESSWAY, MEMPHIS, TN, 
155010, I240 AND 385 NONCONAH, MEMPHIS, TN, 
155011, I240 AND 55, MEMPHIS, TN, 
155012, I240 AND AGNES, MEMPHIS, TN, 
155013, I240 AND AIRWAYS BLVD, MEMPHIS, TN, 
155014, I240 AND AIRWAYS BOULEVARD, MEMPHIS, TN, 
155015, I240 AND AIRWAYS EAST OF, MEMPHIS, TN, 
155016, I240 AND ALCY RD, MEMPHIS, TN, 
155017, I240 AND ALCY, MEMPHIS, TN, 
155018, I240 AND AUSTIN PEA, MEMPHIS, TN, 
155019, I240 AND BILL MORRIS PKWY, MEMPHIS, TN, 
155020, I240 AND CRUMP AND LAMAR EXIT, MEMPHIS, TN, 
155021, I240 AND CRUMP AVE, MEMPHIS, TN, 
155022, I240 AND CRUMP, MEMPHIS, TN, 
155023, I240 AND DEMOCRAT, MEMPHIS, TN, 
155024, I240 AND E MILLBRANCH, MEMPHIS, TN, 
155025, I240 AND E TRIGG AVE, MEMPHIS, TN, 
155026, I240 AND EASTMORELAND, MEMPHIS, TN, 
155027, I240 AND FAXON, MEMPHIS, TN, 
155028, I240 AND GALLOWAY, MEMPHIS, TN, 
155029, I240 AND GERMANTOWN PKWY, MEMPHIS, TN, 
155030, I240 AND GET WELL, MEMPHIS, TN, 
155031, I240 AND HOLLYWOOD BLVD, MEMPHIS, TN, 
155032, I240 AND I240, MEMPHIS, TN, 
155033, I240 AND ISLAND, MEMPHIS, TN, 
155034, I240 AND JACKSON AND DOWNTOWN, MEMPHIS, TN, 
155035, I240 AND LAMAR EXIT, MEMPHIS, TN, 
155036, I240 AND LAMAR SB, MEMPHIS, TN, 
155037, I240 AND LAMAR-CRUMP, MEMPHIS, TN, 
155038, I240 AND MADISON AVE, MEMPHIS, TN, 
155039, I240 AND MCLEAN, MEMPHIS, TN, 
155040, I240 AND MCLEMORE OVERPASS, MEMPHIS, TN, 
155041, I240 AND MIIBRANCH, MEMPHIS, TN, 
155042, I240 AND MILLBRANCH EXIT SOUTH OF, MEMPHIS, TN, 
155043, I240 AND MILLBRANCH RD, MEMPHIS, TN, 
155044, I240 AND MILLBRANCH ST, MEMPHIS, TN, 
155045, I240 AND MILLBRANCH W AND B, MEMPHIS, TN, 
155046, I240 AND MOUNT MORIAH, MEMPHIS, TN, 
155047, I240 AND MT MORIAH RD, MEMPHIS, TN, 
155048, I240 AND MT. MORIAH, MEMPHIS, TN, 
155049, I240 AND MTMORIAH, MEMPHIS, TN, 
155050, I240 AND N WATKINS, MEMPHIS, TN, 
155051, I240 AND NONCONNAH BLVD, MEMPHIS, TN, 
155052, I240 AND NORRIS N AND B, MEMPHIS, TN, 
155053, I240 AND PARK, MEMPHIS, TN, 
155054, I240 AND PARKWAY AVE, MEMPHIS, TN, 
155055, I240 AND PERKIN, MEMPHIS, TN, 
155056, I240 AND PERKINS W AND B, MEMPHIS, TN, 
155057, I240 AND S PKWY E, MEMPHIS, TN, 
155058, I240 AND SAM COOPER BLVD, MEMPHIS, TN, 
155059, I240 AND SHELBY DR, MEMPHIS, TN, 
155060, I240 AND SMITH-CHELSEA EXIT RAMP, MEMPHIS, TN, 
155061, I240 AND SMITH, MEMPHIS, TN, 
155062, I240 AND SOUTH OF I40 INTERCHANGE, MEMPHIS, TN, 
155063, I240 AND SOUTH PARKWAY BLVD, MEMPHIS, TN, 
155064, I240 AND SOUTH PARKWAY E, MEMPHIS, TN, 
155065, I240 AND SOUTH PARKWAY EAST ST, MEMPHIS, TN, 
155066, I240 AND SOUTH PKWY N AND B, MEMPHIS, TN, 
155067, I240 AND SPARKWAY EXIT, MEMPHIS, TN, 
155068, I240 AND SPERKINS, MEMPHIS, TN, 
155069, I240 AND SYCAMORE VIEW RD, MEMPHIS, TN, 
155070, I240 AND SYCAMORE VIEW, MEMPHIS, TN, 
155071, I240 AND THIRD, MEMPHIS, TN, 
155072, I240 AND UNION AVE, MEMPHIS, TN, 
155073, I240 AND UNION OVERPASS, MEMPHIS, TN, 
155074, I240 AND WARFORD AVE, MEMPHIS, TN, 
155075, I240 AND WATKINS ST, MEMPHIS, TN, 
155076, I240 AND WEST OF POPLAR, MEMPHIS, TN, 
155077, I240 AND WHITTEN, MEMPHIS, TN, 
155078, I240 E AND 385 E RAMP, MEMPHIS, TN, 
155079, I240 E AND B AIRWAYS BLVD, MEMPHIS, TN, 
155080, I240 E AND B AIRWAYS, MEMPHIS, TN, 
155081, I240 E AND B AND I40, MEMPHIS, TN, 
155082, I240 E AND B AND POPLAR, MEMPHIS, TN, 
155083, I240 E AND B GETWELL, MEMPHIS, TN, 
155084, I240 E AND B WALNUT GROVE RD, MEMPHIS, TN, 
155085, I240 E I40, MEMPHIS, TN, 
155086, I240 E/B 385, MEMPHIS, TN, 
155087, I240 E/B AND LAMAR, MEMPHIS, TN, 
155088, I240 E/B AND POPLAR, MEMPHIS, TN, 
