157001, KNIGHT ARNOLD RD AND EMERALD RD, MEMPHIS, TN, 
157002, KNIGHT ARNOLD RD AND FOX CHASE, MEMPHIS, TN, 
157003, KNIGHT ARNOLD RD AND HICKORY HILL, MEMPHIS, TN, 
157004, KNIGHT ARNOLD RD AND KIRBY PKWY, MEMPHIS, TN, 
157005, KNIGHT ARNOLD RD AND KIRBY RD, MEMPHIS, TN, 
157006, KNIGHT ARNOLD RD AND KNIGHT RD, MEMPHIS, TN, 
157007, KNIGHT ARNOLD RD AND KNIGHT, MEMPHIS, TN, 
157008, KNIGHT ARNOLD RD AND KNIGHTWAY, MEMPHIS, TN, 
157009, KNIGHT ARNOLD RD AND LAKEVIEW TRAIL, MEMPHIS, TN, 
157010, KNIGHT ARNOLD RD AND LAMAR AVE, MEMPHIS, TN, 
157011, KNIGHT ARNOLD RD AND LAMAR RD, MEMPHIS, TN, 
157012, KNIGHT ARNOLD RD AND LAMAR, MEMPHIS, TN, 
157013, KNIGHT ARNOLD RD AND LINDA RD, MEMPHIS, TN, 
157014, KNIGHT ARNOLD RD AND OLD GETWELL RD, MEMPHIS, TN, 
157015, KNIGHT ARNOLD RD AND S MENDENHALL, MEMPHIS, TN, 
157016, KNIGHT ARNOLD RD AND S PERKINS RD, MEMPHIS, TN, 
157017, KNIGHT ARNOLD RD AND S PERKINS, MEMPHIS, TN, 
157018, KNIGHT ARNOLD RD AND SGOODLETT, MEMPHIS, TN, 
157019, KNIGHT ARNOLD RD AND SHEFFIELD AVE, MEMPHIS, TN, 
157020, KNIGHT ARNOLD RD E AND B OF GETWELL RD, MEMPHIS, TN, 
157021, KNIGHT ARNOLD RD EXTENDED AND HICKORY HILL RD, MEMPHIS, TN, 
157022, KNIGHT ARNOLD RD N PERKINS RD, MEMPHIS, TN, 
157023, KNIGHT ARNOLD RD RD AND KNIGHTWAY ST, MEMPHIS, TN, 
157024, KNIGHT ARNOLD RD/DOTHAN, MEMPHIS, TN, 
