158001, LISA, MEMPHIS, TN, 
158002, LITHERMAN AND HICKORY HILL, MEMPHIS, TN, 
158003, LITTLE WEAVER CV AND WEAVER RD, MEMPHIS, TN, 
158004, LITTLEFIELD CV, MEMPHIS, TN, 
158005, LITTLEMORE AND BUCKHURST, MEMPHIS, TN, 
158006, LITTLEMORE DR AND CHIMNEYROCK BLVD, MEMPHIS, TN, 
158007, LITTLEMORE DRIVE KETTERING LN, MEMPHIS, TN, 
158008, LIVEWELL AND CASTALIA, MEMPHIS, TN, 
158009, LIVEWELL AND S COOPER, MEMPHIS, TN, 
158010, LLANO AVE AND HOOKER ST, MEMPHIS, TN, 
158011, LLILLIAN AND DEARBORN, MEMPHIS, TN, 
158012, LLOYD AND NATIONAL, MEMPHIS, TN, 
158013, LLOYD CIR AND NATIONAL, MEMPHIS, TN, 
158014, LLOYD CIRCLE AND NATIONAL, MEMPHIS, TN, 
158015, LLOYD CIRCLE NORTH, MEMPHIS, TN, 
158016, LMONROE AND RIVERSIDE, MEMPHIS, TN, 
158017, LOCATION ON OAKEN BUCKET, MEMPHIS, TN, 
158018, LOCATION UNKNOWN, MEMPHIS, TN, 
158019, LOCH LAMOND AND WINFIELD, MEMPHIS, TN, 
158020, LOCH LOMOND AND E HOLMES, MEMPHIS, TN, 
158021, LOCH LOMOND AND HOLMES RD, MEMPHIS, TN, 
158022, LOCH LOMOND AND HUTSON, MEMPHIS, TN, 
158023, LOCH LOMOND AND WINFIELD, MEMPHIS, TN, 
158024, LOCHEARRN AND MILLBRANCH, MEMPHIS, TN, 
158025, LOCHINVAR AND BUXTON, MEMPHIS, TN, 
158026, LOCHINVAR AND CRIMSON, MEMPHIS, TN, 
158027, LOCHINVAR AND WINFIELD, MEMPHIS, TN, 
158028, LOCHINVARRD/ WILSON, MEMPHIS, TN, 
158029, LOCHLAMOND AND HUTSON, MEMPHIS, TN, 
158030, LOCHNIVAR AND HESTER, MEMPHIS, TN, 
158031, LOCKHART AND ABERNATHY, MEMPHIS, TN, 
158032, LOCKWOOD AND MARTINDALE, MEMPHIS, TN, 
158033, LOCUST AND MT. OLIVE, MEMPHIS, TN, 
158034, LOCUST ST AND MOUNT OLIVE ST, MEMPHIS, TN, 
158035, LOCUST ST AND MT OLIVE RD, MEMPHIS, TN, 
158036, LOCUST, MEMPHIS, TN, 
158037, LODESTONE AND HOLMES, MEMPHIS, TN, 
158038, LODESTONE WAY AND LODESTONE LOOP, MEMPHIS, TN, 
158039, LOEB AND DOUGLASS, MEMPHIS, TN, 
158040, LOEB AND SPOTTSWOOD, MEMPHIS, TN, 
158041, LOFT AND CHEVRON, MEMPHIS, TN, 
158042, LOGISTICS DR AND DAVIDSON RD, MEMPHIS, TN, 
158043, LOLA AND DURBY, MEMPHIS, TN, 
158044, LOLA AND SCAPER, MEMPHIS, TN, 
158045, LOMBARDY AVE AND CENTRAL AVE, MEMPHIS, TN, 
158046, LOMBARDY RD AND LOMBARDY AVE, MEMPHIS, TN, 
158047, LONDON CV AND STARKENBURG, MEMPHIS, TN, 
158048, LONDSTREET AND MEDA, MEMPHIS, TN, 
158049, LONE ROCK AND SPRING VALLEY, MEMPHIS, TN, 
158050, LONG AND KETCHUM, MEMPHIS, TN, 
158051, LONG LIMB DR AND HILLSHIRE DR, MEMPHIS, TN, 
158052, LONG LN AND DANEMAN, MEMPHIS, TN, 
158053, LONG MEADOW AND GAILWOOD, MEMPHIS, TN, 
158054, LONG ST AND KETCHUM RD, MEMPHIS, TN, 
158055, LONG ST AND MEDA ST, MEMPHIS, TN, 
158056, LONG VIEW AND LAUDERDALE, MEMPHIS, TN, 
158057, LONG VIEW APTS, MEMPHIS, TN, 
158058, LONGACRE AND LYNCHBURG, MEMPHIS, TN, 
158059, LONGBOW AND COMMON WEALTH, MEMPHIS, TN, 
158060, LONGBOW AND SINGING TREE, MEMPHIS, TN, 
158061, LONGBOW AND SINGINGTREES, MEMPHIS, TN, 
158062, LONGBRANCH AND APPLEVILLE, MEMPHIS, TN, 
158063, LONGBRANCH AND PICKETT, MEMPHIS, TN, 
158064, LONGCREAT AND CLEMENT, MEMPHIS, TN, 
158065, LONGFELLOW AND CHELSEA AVE, MEMPHIS, TN, 
158066, LONGFELLOW AND ELLISTON, MEMPHIS, TN, 
158067, LONGFELLOW AND GREY RD, MEMPHIS, TN, 
158068, LONGFELLOW AND TENNYSON, MEMPHIS, TN, 
158069, LONGHOLLOW AND LONGHOLLOW CV, MEMPHIS, TN, 
158070, LONGHOLLOW CV AND LONGHOLLOW DR, MEMPHIS, TN, 
158071, LONGLAND AND HILLSHIRE, MEMPHIS, TN, 
158072, LONGMONT AND KALAMATH CV, MEMPHIS, TN, 
158073, LONGMONT AND KALAMATH, MEMPHIS, TN, 
158074, LONGMONT AND LONGMONT CV, MEMPHIS, TN, 
158075, LONGMONT AND WINDAMERE, MEMPHIS, TN, 
158076, LONGMONT AND WINDERMERE, MEMPHIS, TN, 
158077, LONGNECK AND TWINMONT, MEMPHIS, TN, 
158078, LONGSNECK CV, MEMPHIS, TN, 
158079, LONGSTREET AND MEDA, MEMPHIS, TN, 
158080, LONGSTREET AND MEDIA ST, MEMPHIS, TN, 
158081, LONGSTREET AND PHILADELPHIA ST, MEMPHIS, TN, 
158082, LONGSTREET AND PHILADELPHIA, MEMPHIS, TN, 
158083, LONGSTREET AND PHILEDELPHIA, MEMPHIS, TN, 
158084, LONGVIEW AND LAUDERDALE, MEMPHIS, TN, 
158085, LONGVIEW AND S LAUDERDALE, MEMPHIS, TN, 
158086, LONGVIEW MIDDLE SCHOOL, MEMPHIS, TN, 
158087, LOOKOUT AND ALTA VISTA, MEMPHIS, TN, 
158088, LOOKOUT AND SIGNAL, MEMPHIS, TN, 
158089, LOONEY & AYERS, MEMPHIS, TN, 
158090, LOONEY & MANASSAS, MEMPHIS, TN, 
158091, LOONEY AND BARRETT, MEMPHIS, TN, 
158092, LOONEY AND CHEALSEA, MEMPHIS, TN, 
158093, LOONEY AND DANNYTHOMAS, MEMPHIS, TN, 
158094, LOONEY AND FIFTH, MEMPHIS, TN, 
158095, LOONEY AND FIFTY, MEMPHIS, TN, 
158096, LOONEY AND MAIN, MEMPHIS, TN, 
158097, LOONEY AND MANNASSAS, MEMPHIS, TN, 
158098, LOONEY AND NORTH MAIN STEET, MEMPHIS, TN, 
158099, LOONEY AND SAFFARANS, MEMPHIS, TN, 
158100, LOONEY AND SECOND, MEMPHIS, TN, 
