15001, 4900 RICKARD RD, MEMPHIS, TN, 
15002, 4900 S WINCHESTER SQ, MEMPHIS, TN, 
15003, 4900 SAGEWOOD, MEMPHIS, TN, 
15004, 4900 VIOLET, MEMPHIS, TN, 
15005, 4900 WOODDALE AVE, MEMPHIS, TN, 
15006, 500 FOOTE PARK CIR, MEMPHIS, TN, 
15007, 500 ISLAND DR, MEMPHIS, TN, 
15008, 500 JENSON RD, MEMPHIS, TN, 
15009, 500 LUCY AVE, MEMPHIS, TN, 
15010, 500 LUNDEE, MEMPHIS, TN, 
15011, 500 TONTO, MEMPHIS, TN, 
15012, 500 ZACH CURLIN, MEMPHIS, TN, 
15013, 5000 BLUE WING, MEMPHIS, TN, 
15014, 5000 BOEINGSHIRE DR, MEMPHIS, TN, 
15015, 5000 FOXHALL, MEMPHIS, TN, 
15016, 5000 KIMBALL, MEMPHIS, TN, 
15017, 5000 TRADEWIND TERRACE, MEMPHIS, TN, 
15018, 5000 WELCHSHIRE, MEMPHIS, TN, 
15019, 5000 WINTER CV, MEMPHIS, TN, 
15020, 5100 DEE, MEMPHIS, TN, 
15021, 5100 EDENSHIRE, MEMPHIS, TN, 
15022, 5100 HAMPSHIRE, MEMPHIS, TN, 
15023, 5100 HILL, MEMPHIS, TN, 
15024, 5100 HORN LAKE, MEMPHIS, TN, 
15025, 5100 MACON RD, MEMPHIS, TN, 
15026, 5200 COLEWOOD, MEMPHIS, TN, 
15027, 5200 DEPANNE, MEMPHIS, TN, 
15028, 5200 E HOLMES, MEMPHIS, TN, 
15029, 5200 FAIRBROOK, MEMPHIS, TN, 
15030, 5200 NEELY, MEMPHIS, TN, 
15031, 5200 ROLLING FIELDS, MEMPHIS, TN, 
15032, 5200 TUGGLE RD, MEMPHIS, TN, 
15033, 5200 TWIN WOODS AVE, MEMPHIS, TN, 
15034, 5200 VILLAGE PINES, MEMPHIS, TN, 
15035, 5300 ALGIERS, MEMPHIS, TN, 
15036, 5300 EVERETT, MEMPHIS, TN, 
15037, 5300 MARYNELLE, MEMPHIS, TN, 
15038, 5300 MELTECH DR, MEMPHIS, TN, 
15039, 5300 NEELY, MEMPHIS, TN, 
15040, 5300 OGUNQUIT LN, MEMPHIS, TN, 
15041, 5400 MEADOWLAKE N, MEMPHIS, TN, 
15042, 5400 MENDENHALL SQUARE MALL, MEMPHIS, TN, 
15043, 5400 MESQUITE, MEMPHIS, TN, 
15044, 5400 SHADY GROVE, MEMPHIS, TN, 
15045, 5500 FONTANA, MEMPHIS, TN, 
15046, 5600 HUDGINS, MEMPHIS, TN, 
15047, 5700 DISTRIBUTION, MEMPHIS, TN, 
15048, 5700 FENWAY DR, MEMPHIS, TN, 
15049, 5700 HINTON PLACE, MEMPHIS, TN, 
15050, 5700 SHELBY OAKS, MEMPHIS, TN, 
15051, 5700 UNIVERSAL DR, MEMPHIS, TN, 
15052, 5800 LOS GATOS DR, MEMPHIS, TN, 
15053, 5800 MOUNT MORIAH RD, MEMPHIS, TN, 
15054, 5800 RALIEGH LAGRANGE, MEMPHIS, TN, 
15055, 600 BLACKHAWK, MEMPHIS, TN, 
15056, 600 COLONIAL, MEMPHIS, TN, 
15057, 600 E RAINES, MEMPHIS, TN, 
15058, 600 EAST DAVANT, MEMPHIS, TN, 
15059, 600 EAST GAGE, MEMPHIS, TN, 
15060, 600 EAST, MEMPHIS, TN, 
15061, 600 EVA, MEMPHIS, TN, 
15062, 600 HARRELL, MEMPHIS, TN, 
15063, 600 HEMSLEY AVE, MEMPHIS, TN, 
15064, 600 LIFE, MEMPHIS, TN, 
15065, 600 LODESTONE WAY, MEMPHIS, TN, 
15066, 600 LUNDEE ST, MEMPHIS, TN, 
15067, 600 N SIXTH ST, MEMPHIS, TN, 
15068, 600 OLIVE, MEMPHIS, TN, 
15069, 600 S HOLMES ST, MEMPHIS, TN, 
15070, 600 SANFORD, MEMPHIS, TN, 
15071, 600 SOUTH COOPER, MEMPHIS, TN, 
15072, 600 STEPHENS PLACE, MEMPHIS, TN, 
15073, 600 WEAKLEY, MEMPHIS, TN, 
15074, 600 WEST LEVI, MEMPHIS, TN, 
15075, 6000 MACLEOD DR, MEMPHIS, TN, 
15076, 6000 MINGLE DR, MEMPHIS, TN, 
