160001, MITCHELL AND GILL, MEMPHIS, TN, 
160002, MITCHELL AND HOLMES, MEMPHIS, TN, 
160003, MITCHELL AND HORN LAKE RD, MEMPHIS, TN, 
160004, MITCHELL AND MEADOWBROOK, MEMPHIS, TN, 
160005, MITCHELL AND NONCONNAH, MEMPHIS, TN, 
160006, MITCHELL AND OLD HORNLAKE, MEMPHIS, TN, 
160007, MITCHELL AND OULET, MEMPHIS, TN, 
160008, MITCHELL AND OUTLET, MEMPHIS, TN, 
160009, MITCHELL AND S 3RD, MEMPHIS, TN, 
160010, MITCHELL AND S THIRD ST, MEMPHIS, TN, 
160011, MITCHELL AND SAX RD, MEMPHIS, TN, 
160012, MITCHELL AND THIRD ST, MEMPHIS, TN, 
160013, MITCHELL AND W HORNLAKE, MEMPHIS, TN, 
160014, MITCHELL AND WEST HORN LAKE, MEMPHIS, TN, 
160015, MITCHELL AND WEST OF SAX, MEMPHIS, TN, 
160016, MITCHELL AVE AND HORN LAKE RD, MEMPHIS, TN, 
160017, MITCHELL HIGH SCHOOL, MEMPHIS, TN, 
160018, MITCHELL LN AND HORN LAKE, MEMPHIS, TN, 
160019, MITCHELL PARK AND WEAVER RD, MEMPHIS, TN, 
160020, MITCHELL RD AND ALTA RD, MEMPHIS, TN, 
160021, MITCHELL RD AND DAGGETT RD, MEMPHIS, TN, 
160022, MITCHELL RD AND FORD RD, MEMPHIS, TN, 
160023, MITCHELL RD AND RODCHESTER RD, MEMPHIS, TN, 
160024, MITCHELL RD AND SAX RD, MEMPHIS, TN, 
160025, MITCHELL RD. AND S. THIRD ST., MEMPHIS, TN, 
160026, MITCHELL/ALTA, MEMPHIS, TN, 
160027, MLG AND W PARKING GARAGE, MEMPHIS, TN, 
160028, MLGW, MEMPHIS, TN, 
160029, MLK \\ MULBERRY, MEMPHIS, TN, 
160030, MLK AND 2ND, MEMPHIS, TN, 
160031, MLK AND B B KING, MEMPHIS, TN, 
160032, MLK AND BB KING AVE, MEMPHIS, TN, 
160033, MLK AND BB KING, MEMPHIS, TN, 
160034, MLK AND CAMILLA, MEMPHIS, TN, 
160035, MLK AND DOUGLASS, MEMPHIS, TN, 
160036, MLK AND DRIVER ST, MEMPHIS, TN, 
160037, MLK AND FORTH, MEMPHIS, TN, 
