163001, PERKINS AND SUMMERLANE, MEMPHIS, TN, 
163002, PERKINS AND TEAL, MEMPHIS, TN, 
163003, PERKINS AND VERNE, MEMPHIS, TN, 
163004, PERKINS COTTONWOOD, MEMPHIS, TN, 
163005, PERKINS CUT OFF AND BURBANK, MEMPHIS, TN, 
163006, PERKINS EXT AND SPOTTSWOOD, MEMPHIS, TN, 
163007, PERKINS EXT S AND OF SOUTHERN, MEMPHIS, TN, 
163008, PERKINS EXT. AND SOUTHERN, MEMPHIS, TN, 
163009, PERKINS EXTD AND ALDERS GATE, MEMPHIS, TN, 
163010, PERKINS EXTD AND LAURELWOOD DR, MEMPHIS, TN, 
163011, PERKINS EXTD AND SAM COOPER, MEMPHIS, TN, 
163012, PERKINS EXTD AND WALNUT GROVE RD, MEMPHIS, TN, 
163013, PERKINS EXTD AND WALNUT GROVE, MEMPHIS, TN, 
163014, PERKINS EXTEND AND SOUTHERN AVE, MEMPHIS, TN, 
163015, PERKINS EXTENDED NORTH OF POPLAR, MEMPHIS, TN, 
163016, PERKINS N AND O CROMWELL, MEMPHIS, TN, 
163017, PERKINS NORTH OF COTTONWOOD, MEMPHIS, TN, 
163018, PERKINS RD AND ALOHA, MEMPHIS, TN, 
163019, PERKINS RD AND CHUCK AVE, MEMPHIS, TN, 
163020, PERKINS RD AND CHUCK, MEMPHIS, TN, 
163021, PERKINS RD AND COTTONWOOD RD, MEMPHIS, TN, 
163022, PERKINS RD AND CROMWELL AVE, MEMPHIS, TN, 
163023, PERKINS RD AND CROMWELL, MEMPHIS, TN, 
163024, PERKINS RD AND DEE RD, MEMPHIS, TN, 
163025, PERKINS RD AND E MALLORY, MEMPHIS, TN, 
163026, PERKINS RD AND I 240, MEMPHIS, TN, 
163027, PERKINS RD AND MALLORY, MEMPHIS, TN, 
163028, PERKINS RD AND POPLAR AVE, MEMPHIS, TN, 
163029, PERKINS RD AND SAM COOPER, MEMPHIS, TN, 
163030, PERKINS RD AND SCOTTSDALE AVE, MEMPHIS, TN, 
163031, PERKINS RD AND SCOTTSDALE, MEMPHIS, TN, 
163032, PERKINS RD AND SEA ISLE, MEMPHIS, TN, 
163033, PERKINS RD AND WALNUT GROVE RD, MEMPHIS, TN, 
163034, PERKINS RD AND WILLOW ST, MEMPHIS, TN, 
163035, PERKINS RD N AND O COTTONWOOD, MEMPHIS, TN, 
163036, PERKINS RD N AND O KNIGHT ARNOLD, MEMPHIS, TN, 
163037, PERKINS RED AND SHOWCASE, MEMPHIS, TN, 
163038, PERKINS S AND B AND I-240, MEMPHIS, TN, 
163039, PERKINS SOUTH OF WALNUT GROVE, MEMPHIS, TN, 
163040, PERKINS ST AND COTTONWOOD AVE, MEMPHIS, TN, 
163041, PERKINS ST AND SUMMER AVE, MEMPHIS, TN, 
163042, PERKINS-KNIGHT ARNOLD, MEMPHIS, TN, 
163043, PERKINS/ AMERICAN WAY, MEMPHIS, TN, 
163044, PERKINS/CHUCK, MEMPHIS, TN, 
163045, PERKINS/I-240, MEMPHIS, TN, 
163046, PERKINS/I240, MEMPHIS, TN, 
163047, PERON/PENNSYLVANIA, MEMPHIS, TN, 
163048, PERRY AND ANTONA PLACE, MEMPHIS, TN, 
163049, PERRY AND CANE, MEMPHIS, TN, 
163050, PERRY AND ELLISTON, MEMPHIS, TN, 
163051, PERRY AND WHITMORE, MEMPHIS, TN, 
163052, PERRY RD AND ALCY RD, MEMPHIS, TN, 
163053, PERRY RD AND ANTONIA PLACE, MEMPHIS, TN, 
163054, PERRY RD AND DOTTIE AVE, MEMPHIS, TN, 
163055, PERRY RD AND DUNN AVE, MEMPHIS, TN, 
163056, PERRY RD AND WHITMORE AVE, MEMPHIS, TN, 
163057, PERRY RD, MEMPHIS, TN, 
163058, PERRY S OF DUNN, MEMPHIS, TN, 
163059, PERRY ST AND ELLISTON AVE, MEMPHIS, TN, 
163060, PERSHING AND AIRWAYS, MEMPHIS, TN, 
163061, PERSHING AND COLUMBIA, MEMPHIS, TN, 
163062, PERSHING AND HOLLYWOOD, MEMPHIS, TN, 
163063, PERSHING AND KIPPLING, MEMPHIS, TN, 
163064, PERSHING AND LIPFORD, MEMPHIS, TN, 
163065, PERSHING AND MCCONNEL, MEMPHIS, TN, 
163066, PERSHING AND POWELL, MEMPHIS, TN, 
163067, PERSHING AVE AND COLUMBIA ST, MEMPHIS, TN, 
163068, PERSHING AVE AND POPE ST, MEMPHIS, TN, 
163069, PERSHING AVE AND TILLMAN ST, MEMPHIS, TN, 
163070, PERSHING PARK APARTMENTS, MEMPHIS, TN, 
163071, PERSHING PARK EAST OF CHELSEA, MEMPHIS, TN, 
163072, PERSON , ORLEANS, MEMPHIS, TN, 
163073, PERSON ABD MCLEAN, MEMPHIS, TN, 
163074, PERSON AND ARKANSAS, MEMPHIS, TN, 
163075, PERSON AND ARKKANSAS, MEMPHIS, TN, 
163076, PERSON AND BELLVUE, MEMPHIS, TN, 
163077, PERSON AND CASTAILA, MEMPHIS, TN, 
163078, PERSON AND CASTALIA ST, MEMPHIS, TN, 
163079, PERSON AND CASTALLIA, MEMPHIS, TN, 
163080, PERSON AND CASTELA, MEMPHIS, TN, 
163081, PERSON AND CINNCINATI, MEMPHIS, TN, 
163082, PERSON AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
163083, PERSON AND I-240, MEMPHIS, TN, 
163084, PERSON AND KYLE, MEMPHIS, TN, 
163085, PERSON AND LADERDALE, MEMPHIS, TN, 
163086, PERSON AND MARGIE, MEMPHIS, TN, 
163087, PERSON AND ORLEANS, MEMPHIS, TN, 
163088, PERSON AND PENNSYVANLIA, MEMPHIS, TN, 
163089, PERSON AND PENSYLVANIA, MEMPHIS, TN, 
163090, PERSON AND RAGEN, MEMPHIS, TN, 
163091, PERSON AND RAINER, MEMPHIS, TN, 
163092, PERSON AND RAVEN, MEMPHIS, TN, 
163093, PERSON AND RAYBURN, MEMPHIS, TN, 
163094, PERSON AND RIVERSIDE, MEMPHIS, TN, 
163095, PERSON AND ROSELLE, MEMPHIS, TN, 
163096, PERSON AND S COOPER, MEMPHIS, TN, 
163097, PERSON AND S ORLEANS, MEMPHIS, TN, 
163098, PERSON AND S THIRD ST, MEMPHIS, TN, 
163099, PERSON AND THIRD, MEMPHIS, TN, 
163100, PERSON AND WELLINGTON, MEMPHIS, TN, 
163101, PERSON AT CASTALIA, MEMPHIS, TN, 
163102, PERSON AVE AND AIRWAYS BLVD, MEMPHIS, TN, 
163103, PERSON AVE AND AND CASTALIA ST, MEMPHIS, TN, 
163104, PERSON AVE AND CASTALIA ST, MEMPHIS, TN, 
163105, PERSON AVE AND HANAUER ST, MEMPHIS, TN, 
163106, PERSON AVE AND HERNANDO RD, MEMPHIS, TN, 
163107, PERSON AVE AND MCLEAN ST, MEMPHIS, TN, 
163108, PERSON AVE AND PILLOW ST, MEMPHIS, TN, 
163109, PERSON AVE AND PRESTON ST, MEMPHIS, TN, 
163110, PERSON AVE AND RAGAN ST, MEMPHIS, TN, 
163111, PERSON AVE AND RAYNER ST, MEMPHIS, TN, 
163112, PERSON AVE AND SILVER ST, MEMPHIS, TN, 
163113, PERSON AVE AND VICTOR ST, MEMPHIS, TN, 
163114, PERSON AVE CLANCY ST, MEMPHIS, TN, 
163115, PERSON AVE, MEMPHIS, TN, 
163116, PERSON AVENUE AND CASTALIA STREET, MEMPHIS, TN, 
163117, PERSON AVENUE AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
163118, PERSON AVENUE AND MISSISSIPPI BLVD, MEMPHIS, TN, 
163119, PERSON RD AND LAMAR AVE, MEMPHIS, TN, 
163120, PERSON ST AND MILLER AVE, MEMPHIS, TN, 
163121, PERSON, MEMPHIS, TN, 
163122, PERSON/CASTALIA, MEMPHIS, TN, 
163123, PERSONS AND ARKANSAS, MEMPHIS, TN, 
163124, PETORIA AND CASTEX, MEMPHIS, TN, 
163125, PHEASANRT ACRE AND WOODCHASE, MEMPHIS, TN, 
163126, PHELAN AND E H CRUMP, MEMPHIS, TN, 
163127, PHELAN AVE AND MISSISSIPPI BLVD, MEMPHIS, TN, 
163128, PHELAN-MISSISSIPPI, MEMPHIS, TN, 
163129, PHELP STATION AND 1ST NORTHSIDE, MEMPHIS, TN, 
163130, PHILADELPHIA & CARNES, MEMPHIS, TN, 
163131, PHILADELPHIA AND CARNES RECOVERY OF TN AA44072, MEMPHIS, TN, 
163132, PHILADELPHIA AND WALKER, MEMPHIS, TN, 
163133, PHILADELPHIA AND YOUNG, MEMPHIS, TN, 
163134, PHILADELPHIA AND ZANONE, MEMPHIS, TN, 
163135, PHILDEPHIA AND LONG ST, MEMPHIS, TN, 
163136, PHILLIPS AND KRAYER, MEMPHIS, TN, 
163137, PHILLIPS AND WHITFORD PLACE, MEMPHIS, TN, 
163138, PHILLIPS PL AND WHITFORD PL, MEMPHIS, TN, 
163139, PHILSAR AND FRENWOOD, MEMPHIS, TN, 
163140, PHILSAR AND JACKYLN, MEMPHIS, TN, 
163141, PHILSDALE AND BARRON, MEMPHIS, TN, 
163142, PHILSDALE AND ECHOLS, MEMPHIS, TN, 
163143, PHILSDALE AND GETWELL, MEMPHIS, TN, 
163144, PHILSDALE AND ROBIN HOOD, MEMPHIS, TN, 
163145, PHILSDALE AND ROBINHOOD, MEMPHIS, TN, 
163146, PHILWOOD AND GRAHAM, MEMPHIS, TN, 
163147, PHILWOOD AND HIGHLAND, MEMPHIS, TN, 
163148, PHILWOOD AND SWAN RIDGE, MEMPHIS, TN, 
163149, PHILWOOD, MEMPHIS, TN, 
163150, PHYLLIS AND ALMO, MEMPHIS, TN, 
163151, PHYLLIS LN AND ELMO, MEMPHIS, TN, 
163152, PICKERING AND DUTTON, MEMPHIS, TN, 
163153, PICKERING AND JULANN, MEMPHIS, TN, 
163154, PICKERING AND JULIANNE, MEMPHIS, TN, 
163155, PICKET AND NEELY, MEMPHIS, TN, 
163156, PICKET RD AND BONNELL RD, MEMPHIS, TN, 
163157, PICKETT AND ALFORD, MEMPHIS, TN, 
163158, PICKETT AND BONNELL, MEMPHIS, TN, 
163159, PICKETT AND LEONARD, MEMPHIS, TN, 
163160, PICKETT AND NEELEY, MEMPHIS, TN, 
163161, PICKETT RD AND BERTA, MEMPHIS, TN, 
163162, PICKETT RD AND GILL RD, MEMPHIS, TN, 
163163, PIDGEON ROOST AND BF GOODRICH, MEMPHIS, TN, 
163164, PIEDMONT AND SPRINGDALE, MEMPHIS, TN, 
163165, PIER AND CHANNEL, MEMPHIS, TN, 
163166, PIERCE AND GRIFFIN, MEMPHIS, TN, 
163167, PIERCE AND LOONEY, MEMPHIS, TN, 
163168, PIERCE ST AND JACKSON AVE, MEMPHIS, TN, 
163169, PIGEON PIRCH AND DOVE CREEK CIRCLE, MEMPHIS, TN, 
163170, PIGEON ROOST RD AND OLD HWY 78, MEMPHIS, TN, 
163171, PIILOT AND RAINES, MEMPHIS, TN, 
163172, PIKES PEAK AND HOOD, MEMPHIS, TN, 
163173, PIKES PEAK AND N GRAHAM RD, MEMPHIS, TN, 
163174, PIKES PEAK AND OZARK, MEMPHIS, TN, 
163175, PIKES PEAK AND PARNASSUS, MEMPHIS, TN, 
163176, PIKES PEAK AND SUGARLOAF, MEMPHIS, TN, 
163177, PIKES PEAK AND TANT, MEMPHIS, TN, 
163178, PIKES PEAK AVE AND N GRAHAM ST, MEMPHIS, TN, 
163179, PIKES PEAK AVE AND SIERRA ST, MEMPHIS, TN, 
163180, PIKES PEAKS AND SIERRA, MEMPHIS, TN, 
163181, PILLAR AND GOLD, MEMPHIS, TN, 
163182, PILLLOW AND DORRIS, MEMPHIS, TN, 
163183, PILLOW AND E PERSON, MEMPHIS, TN, 
163184, PILLOW AND GOLD ST, MEMPHIS, TN, 
163185, PILLOW AND KERR AVE, MEMPHIS, TN, 
163186, PILLOW AND SOUTH PKWY EAST, MEMPHIS, TN, 
163187, PILLOW AND SOUTH PKWY, MEMPHIS, TN, 
