166001, S PKWY AND HANAUER, MEMPHIS, TN, 
166002, S PKWY AND HERNANDO, MEMPHIS, TN, 
166003, S PKWY AND HWY 240, MEMPHIS, TN, 
166004, S PKWY AND I-240S, MEMPHIS, TN, 
166005, S PKWY AND I-40, MEMPHIS, TN, 
166006, S PKWY AND JAMES ST, MEMPHIS, TN, 
166007, S PKWY AND KANSAS AREA, MEMPHIS, TN, 
166008, S PKWY AND KERR ST, MEMPHIS, TN, 
166009, S PKWY AND LAPALOMA, MEMPHIS, TN, 
166010, S PKWY AND LAUERDALE, MEMPHIS, TN, 
166011, S PKWY AND LEFLEUR, MEMPHIS, TN, 
166012, S PKWY AND LEFLORE, MEMPHIS, TN, 
166013, S PKWY AND LELAND, MEMPHIS, TN, 
166014, S PKWY AND LUCY, MEMPHIS, TN, 
166015, S PKWY AND MACMILLAN, MEMPHIS, TN, 
166016, S PKWY AND MARJORIE, MEMPHIS, TN, 
166017, S PKWY AND MCMILLIAN, MEMPHIS, TN, 
166018, S PKWY AND MELROSE CV, MEMPHIS, TN, 
166019, S PKWY AND MELROSE, MEMPHIS, TN, 
166020, S PKWY AND MISSISIPPI, MEMPHIS, TN, 
166021, S PKWY AND NEISE, MEMPHIS, TN, 
166022, S PKWY AND ROZELLE, MEMPHIS, TN, 
166023, S PKWY AND S MAIN, MEMPHIS, TN, 
166024, S PKWY AND S THIRD ST, MEMPHIS, TN, 
166025, S PKWY AND S WELLINGTON, MEMPHIS, TN, 
166026, S PKWY AND S WILLETT ST, MEMPHIS, TN, 
166027, S PKWY AND SILVER ST, MEMPHIS, TN, 
166028, S PKWY AND TUMBERLAND, MEMPHIS, TN, 
166029, S PKWY AND WILLIE B MITCHELL, MEMPHIS, TN, 
166030, S PKWY AVE AND CAMERON, MEMPHIS, TN, 
166031, S PKWY AVE AND FLORIDA ST, MEMPHIS, TN, 
166032, S PKWY AVE AND KANSAS ST, MEMPHIS, TN, 
166033, S PKWY AVE AND MICHIGAN ST, MEMPHIS, TN, 
166034, S PKWY E AND AIRWAYS BLVD, MEMPHIS, TN, 
166035, S PKWY E AND AIRWAYS, MEMPHIS, TN, 
166036, S PKWY E AND BARKSDALE, MEMPHIS, TN, 
166037, S PKWY E AND BELLVUE, MEMPHIS, TN, 
166038, S PKWY E AND CAMERON ST, MEMPHIS, TN, 
166039, S PKWY E AND CHADWICK, MEMPHIS, TN, 
166040, S PKWY E AND COLLEGE, MEMPHIS, TN, 
166041, S PKWY E AND COOPER ST, MEMPHIS, TN, 
166042, S PKWY E AND CUMMING, MEMPHIS, TN, 
166043, S PKWY E AND DUNNAVANT, MEMPHIS, TN, 
166044, S PKWY E AND FLORIDA, MEMPHIS, TN, 
166045, S PKWY E AND GABAY, MEMPHIS, TN, 
166046, S PKWY E AND GREENWOOD, MEMPHIS, TN, 
166047, S PKWY E AND GRIMES, MEMPHIS, TN, 
166048, S PKWY E AND HUMBER ST, MEMPHIS, TN, 
166049, S PKWY E AND I 240, MEMPHIS, TN, 
