167001, SHELBY AND AMANDA OAKS, MEMPHIS, TN, 
167002, SHELBY AND APPLESTONE, MEMPHIS, TN, 
167003, SHELBY AND BOENGSHIRE, MEMPHIS, TN, 
167004, SHELBY AND CHEVRON, MEMPHIS, TN, 
167005, SHELBY AND DAVANT, MEMPHIS, TN, 
167006, SHELBY AND DISTRIPLEX, MEMPHIS, TN, 
167007, SHELBY AND E DEMPSTER, MEMPHIS, TN, 
167008, SHELBY AND E GAGE, MEMPHIS, TN, 
167009, SHELBY AND ELVIS PRESLY, MEMPHIS, TN, 
167010, SHELBY AND ELVISPRESLEY, MEMPHIS, TN, 
167011, SHELBY AND FARIONA, MEMPHIS, TN, 
167012, SHELBY AND FAROINA, MEMPHIS, TN, 
167013, SHELBY AND FORD, MEMPHIS, TN, 
167014, SHELBY AND FORONIA, MEMPHIS, TN, 
167015, SHELBY AND GAGE ST, MEMPHIS, TN, 
167016, SHELBY AND GEMSTONE, MEMPHIS, TN, 
167017, SHELBY AND GERMANTOWN, MEMPHIS, TN, 
167018, SHELBY AND HALE, MEMPHIS, TN, 
167019, SHELBY AND HILLBROOK, MEMPHIS, TN, 
167020, SHELBY AND HODGES, MEMPHIS, TN, 
167021, SHELBY AND HOLMES, MEMPHIS, TN, 
167022, SHELBY AND HONEYSUCKLE, MEMPHIS, TN, 
167023, SHELBY AND HORNLAKE, MEMPHIS, TN, 
167024, SHELBY AND HWY 78, MEMPHIS, TN, 
167025, SHELBY AND I 55 HWY, MEMPHIS, TN, 
167026, SHELBY AND I55, MEMPHIS, TN, 
167027, SHELBY AND JONETTA, MEMPHIS, TN, 
167028, SHELBY AND JONNETTA, MEMPHIS, TN, 
167029, SHELBY AND KASSEL, MEMPHIS, TN, 
167030, SHELBY AND LINWOOD, MEMPHIS, TN, 
167031, SHELBY AND LOUIS CARRUTHERS, MEMPHIS, TN, 
167032, SHELBY AND LOUIS CURRUTHERS, MEMPHIS, TN, 
167033, SHELBY AND MARTHA COLE, MEMPHIS, TN, 
167034, SHELBY AND MILLBRANCH RD, MEMPHIS, TN, 
167035, SHELBY AND MILLVIEW, MEMPHIS, TN, 
167036, SHELBY AND NORWOOD, MEMPHIS, TN, 
167037, SHELBY AND PERCY, MEMPHIS, TN, 
167038, SHELBY AND RAINES, MEMPHIS, TN, 
167039, SHELBY AND SOUTHAVEN, MEMPHIS, TN, 
167040, SHELBY AND TCHLAHOMA, MEMPHIS, TN, 
167041, SHELBY AND TUCHLAHOMA, MEMPHIS, TN, 
167042, SHELBY AND TULAN, MEMPHIS, TN, 
167043, SHELBY AND WESTVIEW, MEMPHIS, TN, 
167044, SHELBY AND WINCHESTER, MEMPHIS, TN, 
167045, SHELBY AND WINTER PARK, MEMPHIS, TN, 
167046, SHELBY COUNTY GARAGE AND WASHINGTON ST, MEMPHIS, TN, 
167047, SHELBY DR & MCCORKLE, MEMPHIS, TN, 
167048, SHELBY DR & PLEASANT HILL, MEMPHIS, TN, 
167049, SHELBY DR & ROSS RD, MEMPHIS, TN, 
167050, SHELBY DR & WEAVER, MEMPHIS, TN, 
167051, SHELBY DR AND AIRWAYS BOULEVARD, MEMPHIS, TN, 
167052, SHELBY DR AND ALDRIDGE RD, MEMPHIS, TN, 
167053, SHELBY DR AND ALRIDGE, MEMPHIS, TN, 
167054, SHELBY DR AND AMANDA OAKS CIRCLE WEST, MEMPHIS, TN, 
167055, SHELBY DR AND AMANDA OAKS, MEMPHIS, TN, 
167056, SHELBY DR AND AND ELVIS PRESLEY, MEMPHIS, TN, 
167057, SHELBY DR AND AND SHELBY COMMONS, MEMPHIS, TN, 
167058, SHELBY DR AND APPLE CV, MEMPHIS, TN, 
167059, SHELBY DR AND APPLE ST, MEMPHIS, TN, 
167060, SHELBY DR AND APPLESTONE ST, MEMPHIS, TN, 
167061, SHELBY DR AND BENDER, MEMPHIS, TN, 
167062, SHELBY DR AND BOEINGSHIRE ST, MEMPHIS, TN, 
167063, SHELBY DR AND BOINGSHIRE RD, MEMPHIS, TN, 
167064, SHELBY DR AND BRANDY ST, MEMPHIS, TN, 
167065, SHELBY DR AND CHERVON, MEMPHIS, TN, 
167066, SHELBY DR AND CIMMARON, MEMPHIS, TN, 
167067, SHELBY DR AND CLARKE RD, MEMPHIS, TN, 
167068, SHELBY DR AND CLARKE, MEMPHIS, TN, 
167069, SHELBY DR AND COLUMBINE CT, MEMPHIS, TN, 
167070, SHELBY DR AND CRUMP BLVD, MEMPHIS, TN, 
167071, SHELBY DR AND DAMASCUS, MEMPHIS, TN, 
167072, SHELBY DR AND DELP RD, MEMPHIS, TN, 
167073, SHELBY DR AND DELP ST, MEMPHIS, TN, 
167074, SHELBY DR AND DELTA, MEMPHIS, TN, 
167075, SHELBY DR AND DEMASCUS, MEMPHIS, TN, 
167076, SHELBY DR AND DISTRIPLEX, MEMPHIS, TN, 
167077, SHELBY DR AND ELVISPRESLEY, MEMPHIS, TN, 
167078, SHELBY DR AND FARMWOOD, MEMPHIS, TN, 
167079, SHELBY DR AND FARNIOA, MEMPHIS, TN, 
167080, SHELBY DR AND FAROINIA, MEMPHIS, TN, 
167081, SHELBY DR AND FERONIA, MEMPHIS, TN, 
167082, SHELBY DR AND FINLEY, MEMPHIS, TN, 
167083, SHELBY DR AND FORD ST, MEMPHIS, TN, 
167084, SHELBY DR AND GARDEN OAKS DR, MEMPHIS, TN, 
167085, SHELBY DR AND GARDEN OAKS, MEMPHIS, TN, 
167086, SHELBY DR AND GETTWELL, MEMPHIS, TN, 
167087, SHELBY DR AND GLORIA, MEMPHIS, TN, 
167088, SHELBY DR AND GOODWILL, MEMPHIS, TN, 
167089, SHELBY DR AND GOODWIN, MEMPHIS, TN, 
167090, SHELBY DR AND GRANDA, MEMPHIS, TN, 
167091, SHELBY DR AND HACKS CROSS, MEMPHIS, TN, 
167092, SHELBY DR AND HESTER, MEMPHIS, TN, 
167093, SHELBY DR AND HODGE DR, MEMPHIS, TN, 
167094, SHELBY DR AND HODGES, MEMPHIS, TN, 
167095, SHELBY DR AND HONEYSUCKLE, MEMPHIS, TN, 
167096, SHELBY DR AND HORN LAKE DR, MEMPHIS, TN, 
167097, SHELBY DR AND I 55, MEMPHIS, TN, 
167098, SHELBY DR AND I-55 S, MEMPHIS, TN, 
167099, SHELBY DR AND I-55 SOUTHBOUND, MEMPHIS, TN, 
167100, SHELBY DR AND I55 HWY, MEMPHIS, TN, 
167101, SHELBY DR AND INTERSTATE, MEMPHIS, TN, 
167102, SHELBY DR AND JONETTA, MEMPHIS, TN, 
167103, SHELBY DR AND KASSEL, MEMPHIS, TN, 
167104, SHELBY DR AND KASSELL, MEMPHIS, TN, 
167105, SHELBY DR AND KATHERINE LN, MEMPHIS, TN, 
167106, SHELBY DR AND KIRBY PARK WAY, MEMPHIS, TN, 
