168001, SPOTTSWOOD ST AND JOSEPHINE, MEMPHIS, TN, 
168002, SPOTTSWOOD ST AND PATTERSON AVE, MEMPHIS, TN, 
168003, SPOTTSWOOD ST AND PENDLETON, MEMPHIS, TN, 
168004, SPOTTSWOOD/JOSEPHINE, MEMPHIS, TN, 
168005, SPOTTSWOOD/PRESCOTT, MEMPHIS, TN, 
168006, SPOTTSWOODS AND COLONIAL, MEMPHIS, TN, 
168007, SPOTTSWOODS AND PRESCOTT, MEMPHIS, TN, 
168008, SPOTTWOODS AND SEMMES, MEMPHIS, TN, 
168009, SPOTWOODS AND SAFARI, MEMPHIS, TN, 
168010, SPRANKEL AND DEMOCRAT, MEMPHIS, TN, 
168011, SPRIGDALE AND JACKSON AVE, MEMPHIS, TN, 
168012, SPRIINGDALE AND HUBERT CIR, MEMPHIS, TN, 
168013, SPRINDALE AND HOWELL, MEMPHIS, TN, 
168014, SPRING AND FAXON, MEMPHIS, TN, 
168015, SPRING AND PERSHING, MEMPHIS, TN, 
168016, SPRING AND SAXON, MEMPHIS, TN, 
168017, SPRING GATE REHABILITATION CENTER, MEMPHIS, TN, 
168018, SPRING GLEN AND ELK POINT, MEMPHIS, TN, 
168019, SPRING GLEN AND REDCLIFF, MEMPHIS, TN, 
168020, SPRING GLEN DR AND EGYPT CENTRAL RD, MEMPHIS, TN, 
168021, SPRING GLEN DR AND ELK POINT DR, MEMPHIS, TN, 
168022, SPRING HILL AND SPRING RIDGE, MEMPHIS, TN, 
168023, SPRING HILL AND SPRING VIEW, MEMPHIS, TN, 
168024, SPRING HILL, MEMPHIS, TN, 
168025, SPRING HOLLOW AND CAPAHA, MEMPHIS, TN, 
168026, SPRING HOLLOW DR AND EAST RAINES RD, MEMPHIS, TN, 
168027, SPRING HOLLOW DR AND OAKBEND DR, MEMPHIS, TN, 
168028, SPRING HOLLOW DR AND RAINES RD, MEMPHIS, TN, 
168029, SPRING SHADOW AND MELODYWOOD, MEMPHIS, TN, 
168030, SPRING SHADOW DR AND MELODYWOOD DR, MEMPHIS, TN, 
168031, SPRING VALLEY AND ABBOTSFORD, MEMPHIS, TN, 
168032, SPRING VALLEY AND CEDAR SPRINGS, MEMPHIS, TN, 
168033, SPRING VALLEY AND EGYPT CENTRAL RD, MEMPHIS, TN, 
168034, SPRING VALLEY AND LONE ROCK, MEMPHIS, TN, 
168035, SPRING VALLEY AND NEW ALLEN, MEMPHIS, TN, 
168036, SPRING VALLEY AND RALIEGH EGYPT, MEMPHIS, TN, 
168037, SPRING VALLEY AND SANDY SPRINGS, MEMPHIS, TN, 
168038, SPRING VALLEY AND SWEET SPRINGS, MEMPHIS, TN, 
168039, SPRING VALLEY AND VINEYARD HAVEN PL, MEMPHIS, TN, 
