16001, JEFFERSON AND BELLEVUE, MEMPHIS, TN, 
16002, KANSAS AND FRANK, MEMPHIS, TN, 
16003, KIMBALL AND PENDLETON, MEMPHIS, TN, 
16004, KNIGHT ARNOLD AND TCHULAHOMA, MEMPHIS, TN, 
16005, LAMAR AND KYLE, MEMPHIS, TN, 
16006, LATHAM AND S PKWY, MEMPHIS, TN, 
16007, LATHAM AND SOUTH PKWY, MEMPHIS, TN, 
16008, MENDENHALL AND RAINES, MEMPHIS, TN, 
16009, MIDLAND AND BUNTYN, MEMPHIS, TN, 
16010, MOSBY AND MANASSAS, MEMPHIS, TN, 
16011, MULBERRY AND PONTOTOC, MEMPHIS, TN, 
16012, OVERTON CROSSING AND ST ELMO, MEMPHIS, TN, 
16013, PEABODY AND DUDLEY, MEMPHIS, TN, 
16014, PENDLETON AND BYRD, MEMPHIS, TN, 
16015, POPLAR AND THIRD, MEMPHIS, TN, 
16016, POWERS AND JONES, MEMPHIS, TN, 
16017, RAINES AND THIRD, MEMPHIS, TN, 
16018, RALEIGH LAGRANGE AND COLEMAN, MEMPHIS, TN, 
16019, RALEIGH LAGRANGE AND ELMORE, MEMPHIS, TN, 
16020, RALEIGH LAGRANGE AND PARKVIEW, MEMPHIS, TN, 
16021, RIDGEWAY RD AND RIDGEWAY BLVD, MEMPHIS, TN, 
16022, S PKWY AND LAUDERDALE, MEMPHIS, TN, 
16023, SEMMES AND LAMAR, MEMPHIS, TN, 
16024, SHELBY DR AND ROSS RD, MEMPHIS, TN, 
16025, SHELBY DR AND SWINNEA, MEMPHIS, TN, 
16026, SOUTHERN AND GOODLETT, MEMPHIS, TN, 
16027, STANDRIDGE AND PERES, MEMPHIS, TN, 
16028, STEELE AND HAYWOOD, MEMPHIS, TN, 
16029, SUMMER AND AVON, MEMPHIS, TN, 
16030, SUMMER AND EVA, MEMPHIS, TN, 
16031, THIRD AND WESTERN PARK, MEMPHIS, TN, 
16032, UNION AND CAMILLA, MEMPHIS, TN, 
16033, UNION AND LAUDERDALE, MEMPHIS, TN, 
16034, UNIVERSITY AND FRAYSER, MEMPHIS, TN, 
16035, VANCE AND WALNUT, MEMPHIS, TN, 
16036, VOLLINTINE AND LEWIS, MEMPHIS, TN, 
16037, WALKER AND ORLEANS, MEMPHIS, TN, 
16038, WALNUT GROVE AND FARM RD, MEMPHIS, TN, 
16039, WALNUT GROVE RD AND FARM RD, MEMPHIS, TN, 
16040, WATKINS AND BURNHAM, MEMPHIS, TN, 
16041, WOODDALE AND CASTLEMAN, MEMPHIS, TN, 
16042, 100 CRESCENT BLUFF, MEMPHIS, TN, 
16043, 100 E PEEBLES, MEMPHIS, TN, 
16044, 100 E ROLLINS RD, MEMPHIS, TN, 
16045, 100 E SHELBY DR, MEMPHIS, TN, 
16046, 100 EAST BISCAYNE, MEMPHIS, TN, 
16047, 100 EAST MCKELLAR, MEMPHIS, TN, 
16048, 100 HAAS AVE, MEMPHIS, TN, 
16049, 100 N HUMPHREYS BLVD, MEMPHIS, TN, 
16050, 100 N MERTON, MEMPHIS, TN, 
16051, 100 NORTH COOPER, MEMPHIS, TN, 
16052, 100 NORTH MCLEAN, MEMPHIS, TN, 
16053, 100 NORTH THIRD, MEMPHIS, TN, 
16054, 100 S BARKSDALE, MEMPHIS, TN, 
16055, 100 S BINGHAM, MEMPHIS, TN, 
16056, 100 S HIGHLAND ST, MEMPHIS, TN, 
16057, 100 S MERTON ST, MEMPHIS, TN, 
16058, 100 STONEWALL ST, MEMPHIS, TN, 
16059, 100 W TRIGG, MEMPHIS, TN, 
16060, 1000 AYERS, MEMPHIS, TN, 
16061, 1000 BRUCE ST, MEMPHIS, TN, 
16062, 1000 COLLINS CHAPEL CIRCLE, MEMPHIS, TN, 
16063, 1000 EAST PKWY SOUTH, MEMPHIS, TN, 
16064, 1000 GORDON, MEMPHIS, TN, 
16065, 1000 HARBOR VIEW DR, MEMPHIS, TN, 
16066, 1000 HOLLIS PRICE, MEMPHIS, TN, 
16067, 1000 HOMER, MEMPHIS, TN, 
16068, 1000 ISABELLE ST, MEMPHIS, TN, 
16069, 1000 LEATH ST, MEMPHIS, TN, 
16070, 1000 N GERMANTOWN RD, MEMPHIS, TN, 
16071, 1000 N HOLLYWOOD ST, MEMPHIS, TN, 
