17001, 1100 TUNSTALL, MEMPHIS, TN, 
17002, 1100 WELLSVILLE RD, MEMPHIS, TN, 
17003, 1100 WESTERN PARK DR, MEMPHIS, TN, 
17004, 11100 HWY 64, MEMPHIS, TN, 
17005, 1200 BROWER ST, MEMPHIS, TN, 
17006, 1200 BROWN, MEMPHIS, TN, 
17007, 1200 BROWNLEE RD, MEMPHIS, TN, 
17008, 1200 CHICAGO AVE, MEMPHIS, TN, 
17009, 1200 ESHELBY DR, MEMPHIS, TN, 
17010, 1200 GERMANTOWN, MEMPHIS, TN, 
17011, 1200 GETWELL RD, MEMPHIS, TN, 
17012, 1200 GOODMAN ST, MEMPHIS, TN, 
17013, 1200 LEAWOOD ST, MEMPHIS, TN, 
17014, 1200 MADEWELL, MEMPHIS, TN, 
17015, 1200 MARGARET RD, MEMPHIS, TN, 
17016, 1200 MINOR CV, MEMPHIS, TN, 
17017, 1200 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
17018, 1200 PERKINS TERRACE, MEMPHIS, TN, 
17019, 1200 RAND, MEMPHIS, TN, 
17020, 1200 RUSSWOOD RD, MEMPHIS, TN, 
17021, 1200 SAUNDERS AVE, MEMPHIS, TN, 
17022, 1200 STAGE, MEMPHIS, TN, 
17023, 1200 WALKER AVE, MEMPHIS, TN, 
17024, 1200 WELLINGTON, MEMPHIS, TN, 
17025, 1300 BROADMOOR ST, MEMPHIS, TN, 
17026, 1300 FERGUSON, MEMPHIS, TN, 
17027, 1300 FIBER RD, MEMPHIS, TN, 
17028, 1300 FLORIDA ST, MEMPHIS, TN, 
17029, 1300 FRAYSER BLVD, MEMPHIS, TN, 
17030, 1300 GAITHER ST, MEMPHIS, TN, 
17031, 1300 GREENBROOK, MEMPHIS, TN, 
17032, 1300 KEEL AVE, MEMPHIS, TN, 
17033, 1300 NORA, MEMPHIS, TN, 
17034, 1300 ROYAL OAKS DR, MEMPHIS, TN, 
17035, 1300 WILLOW RUN, MEMPHIS, TN, 
17036, 1400 CONCOURSE, MEMPHIS, TN, 
17037, 1400 DOLAN, MEMPHIS, TN, 
17038, 1400 EASON AVE, MEMPHIS, TN, 
17039, 1400 EAST TRIGG, MEMPHIS, TN, 
17040, 1400 ESSEX, MEMPHIS, TN, 
17041, 1400 ESTATE DR, MEMPHIS, TN, 
17042, 1400 FAIRFAX ST, MEMPHIS, TN, 
17043, 1400 KNEY ST, MEMPHIS, TN, 
17044, 1400 LATHAM ST, MEMPHIS, TN, 
17045, 1400 LYNNFIELD RD, MEMPHIS, TN, 
17046, 1400 MCMILLIAN, MEMPHIS, TN, 
17047, 1400 MERIMAC CV, MEMPHIS, TN, 
17048, 1400 N MCNEIL ST, MEMPHIS, TN, 
17049, 1400 PARKLAND, MEMPHIS, TN, 
17050, 1400 QUAIL RIDGE, MEMPHIS, TN, 
17051, 1400 RICHMOND AVE, MEMPHIS, TN, 
17052, 1400 S WHITE STATION, MEMPHIS, TN, 
17053, 1400 SMYTHE, MEMPHIS, TN, 
17054, 1400 SOUTH AVE, MEMPHIS, TN, 
17055, 1400 THOMAS ST, MEMPHIS, TN, 
17056, 1400 WALTON RD, MEMPHIS, TN, 
17057, 1500 DELLWOOD AVE, MEMPHIS, TN, 
17058, 1500 DEWEES DR, MEMPHIS, TN, 
17059, 1500 E MALLORY AVE, MEMPHIS, TN, 
17060, 1500 E RAINES RD, MEMPHIS, TN, 
17061, 1500 ENGLEWOOD, MEMPHIS, TN, 
17062, 1500 ETHLYN AVE, MEMPHIS, TN, 
17063, 1500 FAVELL, MEMPHIS, TN, 
17064, 1500 GAUSCO, MEMPHIS, TN, 
17065, 1500 GLEASON, MEMPHIS, TN, 
17066, 1500 HAMILTON ST, MEMPHIS, TN, 
17067, 1500 HEATHCLIFF, MEMPHIS, TN, 
17068, 1500 HINDMAN, MEMPHIS, TN, 
17069, 1500 HOPE ST, MEMPHIS, TN, 
17070, 1500 JEANNINE ST, MEMPHIS, TN, 
17071, 1500 KYLE ST, MEMPHIS, TN, 
17072, 1500 LINDEN, MEMPHIS, TN, 
17073, 1500 MAY ST, MEMPHIS, TN, 
17074, 1500 NETHERWOOD, MEMPHIS, TN, 
17075, 1500 PINECREST DR, MEMPHIS, TN, 
17076, 1500 RALSTON, MEMPHIS, TN, 
17077, 1500 ROBINHOOD, MEMPHIS, TN, 
17078, 1500 S HIGHLAND, MEMPHIS, TN, 
17079, 1500 STANDRIDGE ST, MEMPHIS, TN, 
17080, 1500 TEEKWOOD CV, MEMPHIS, TN, 
17081, 1500 TUMBERLAND DR, MEMPHIS, TN, 
17082, 1500 WINFIELD RD, MEMPHIS, TN, 
17083, 1500, MEMPHIS, TN, 
17084, 1600 AMARILLO, MEMPHIS, TN, 
17085, 1600 BUTTERWORTH, MEMPHIS, TN, 
17086, 1600 CAROL, MEMPHIS, TN, 
17087, 1600 CENTURY CENTER PKWY, MEMPHIS, TN, 
17088, 1600 CHICKERING LN, MEMPHIS, TN, 
17089, 1600 CLEMENTINE, MEMPHIS, TN, 
17090, 1600 COOPER, MEMPHIS, TN, 
17091, 1600 EASTLAWN, MEMPHIS, TN, 
17092, 1600 ELKWOOD, MEMPHIS, TN, 
17093, 1600 FOSTER AVE, MEMPHIS, TN, 
17094, 1600 IVY RD, MEMPHIS, TN, 
17095, 1600 KENDALE, MEMPHIS, TN, 
17096, 1600 MICHIGAN, MEMPHIS, TN, 
17097, 1600 OAKLAWN, MEMPHIS, TN, 
17098, 1600 REGAN, MEMPHIS, TN, 
17099, 1600 RIVERSIDE, MEMPHIS, TN, 
17100, 1600 THOMAS, MEMPHIS, TN, 
17101, 1700 BARBIE, MEMPHIS, TN, 
17102, 1700 CAMILLE WAY, MEMPHIS, TN, 
17103, 1700 DENA DR, MEMPHIS, TN, 
17104, 1700 HUNTERS BLUFF DR, MEMPHIS, TN, 
17105, 1700 MICHIGAN ST, MEMPHIS, TN, 
17106, 1700 RONDA ST, MEMPHIS, TN, 
17107, 1700 S COOPER, MEMPHIS, TN, 
17108, 1700 S TREZEVANT, MEMPHIS, TN, 
17109, 1700 STRIBLING ST, MEMPHIS, TN, 
17110, 1700 VERA CRUZ, MEMPHIS, TN, 
17111, 1700 VOLLINTINE AVE, MEMPHIS, TN, 
17112, 1800 BENDER, MEMPHIS, TN, 
17113, 1800 BRENTWOOD PL, MEMPHIS, TN, 
17114, 1800 CENTRAL, MEMPHIS, TN, 
17115, 1800 EAST BROOKS RD, MEMPHIS, TN, 
17116, 1800 FORREST AVE, MEMPHIS, TN, 
17117, 1800 LAWRENCE AVE, MEMPHIS, TN, 
17118, 1800 MACAULAY, MEMPHIS, TN, 
17119, 1800 MCADAMS, MEMPHIS, TN, 
17120, 1800 MCMILLIAN, MEMPHIS, TN, 
17121, 1800 MEADOW HILL, MEMPHIS, TN, 
17122, 1800 N HOLLYWOOD, MEMPHIS, TN, 
17123, 1800 NETHERWOOD AVE, MEMPHIS, TN, 
17124, 1800 NEW GATE DR, MEMPHIS, TN, 
17125, 1800 PEABODY AVE, MEMPHIS, TN, 
17126, 1800 ST JOHNS, MEMPHIS, TN, 
17127, 1800 TREZEVANT, MEMPHIS, TN, 
17128, 1800 W HOLMES, MEMPHIS, TN, 
17129, 1800 WHITNEY AVE, MEMPHIS, TN, 
17130, 1900 AIRWAYS, MEMPHIS, TN, 
17131, 1900 BALL, MEMPHIS, TN, 
17132, 1900 BRENTWOOD PL, MEMPHIS, TN, 
17133, 1900 CLOVERDALE, MEMPHIS, TN, 
17134, 1900 DANVILLE RD, MEMPHIS, TN, 
17135, 1900 DEARING RD, MEMPHIS, TN, 
17136, 1900 DEXTER OAKS LN, MEMPHIS, TN, 
17137, 1900 E MCLEMORE, MEMPHIS, TN, 
17138, 1900 E WOLFCHASE CIR, MEMPHIS, TN, 
17139, 1900 EVELYN AVE, MEMPHIS, TN, 
17140, 1900 FORREST, MEMPHIS, TN, 
17141, 1900 GLENVIEW AVE, MEMPHIS, TN, 
17142, 1900 GOODLETT, MEMPHIS, TN, 
17143, 1900 HIDDEN WATER, MEMPHIS, TN, 
17144, 1900 HOBBITS ROOST, MEMPHIS, TN, 
17145, 1900 NELSON AVE, MEMPHIS, TN, 
17146, 1900 RUGBY PL, MEMPHIS, TN, 
17147, 1900 S PKWY, MEMPHIS, TN, 
17148, 1900 SEPTEMBER, MEMPHIS, TN, 
17149, 1900 SIERRA ST, MEMPHIS, TN, 
17150, 200 BELLEVUE, MEMPHIS, TN, 
17151, 200 CLAYBROOK, MEMPHIS, TN, 
17152, 200 E OLIVE, MEMPHIS, TN, 
17153, 200 EAST DEMPSTER, MEMPHIS, TN, 
17154, 200 KEEL AVE, MEMPHIS, TN, 
17155, 200 MARKET ST, MEMPHIS, TN, 
17156, 200 N GREER, MEMPHIS, TN, 
17157, 200 N HOLLYWOOD ST, MEMPHIS, TN, 
17158, 200 OAKDALE, MEMPHIS, TN, 
17159, 200 SIMPSON AVE, MEMPHIS, TN, 
17160, 200 WESLEY FORREST, MEMPHIS, TN, 
17161, 200 WESLEY OAKS, MEMPHIS, TN, 
17162, 200 WEST DISON, MEMPHIS, TN, 
17163, 2000 E ALCY, MEMPHIS, TN, 
17164, 2000 LYDGATE CV, MEMPHIS, TN, 
17165, 2000 NONCONNAH BLVD, MEMPHIS, TN, 
17166, 2000 NORTHPORT RD, MEMPHIS, TN, 
17167, 2000 S 3RD ST, MEMPHIS, TN, 
17168, 2000 S GOODLETT ST, MEMPHIS, TN, 
17169, 2000 SNOWDEN AVE, MEMPHIS, TN, 
17170, 2000 VINTON AVE, MEMPHIS, TN, 
17171, 2000 WILSON, MEMPHIS, TN, 
17172, 2100 AIRWAYS BLVD, MEMPHIS, TN, 
17173, 2100 BELMAR, MEMPHIS, TN, 
17174, 2100 CABANA CIR, MEMPHIS, TN, 
17175, 2100 CLAREMONT, MEMPHIS, TN, 
17176, 2100 EVELYN AVE, MEMPHIS, TN, 
17177, 2100 FINLEY RD, MEMPHIS, TN, 
17178, 2100 KELTNER, MEMPHIS, TN, 
17179, 2100 LENNOX CT, MEMPHIS, TN, 
17180, 2100 LIVEWELL CIRCLE, MEMPHIS, TN, 
17181, 2100 OAKVALLEY, MEMPHIS, TN, 
17182, 2100 RAINES, MEMPHIS, TN, 
17183, 2100 SWIFT ST, MEMPHIS, TN, 
17184, 2100 WABASH, MEMPHIS, TN, 
17185, 2200 ALBANY, MEMPHIS, TN, 
17186, 2200 BURNHAM CV, MEMPHIS, TN, 
17187, 2200 COVINGTON PIKE RD, MEMPHIS, TN, 
17188, 2200 DEMOCRAT, MEMPHIS, TN, 
17189, 2200 EAST PERSON, MEMPHIS, TN, 
17190, 2200 EAST RIVER TRACE DR, MEMPHIS, TN, 
17191, 2200 FORTUNE AVE, MEMPHIS, TN, 
17192, 2200 FREEMONT, MEMPHIS, TN, 
17193, 2200 HALLWOOD, MEMPHIS, TN, 
17194, 2200 HUBERT AVE, MEMPHIS, TN, 
17195, 2200 NELLIE, MEMPHIS, TN, 
17196, 2200 NELSON, MEMPHIS, TN, 
17197, 2200 RILE ST, MEMPHIS, TN, 
17198, 2200 STEPHANIE AVE, MEMPHIS, TN, 
17199, 2200 WOODFIELD PARK, MEMPHIS, TN, 
17200, 2300 CLIFTON AVE, MEMPHIS, TN, 
17201, 2300 ELVIS PRESLEY BL, MEMPHIS, TN, 
17202, 2300 REDWOOD, MEMPHIS, TN, 
17203, 2300 SOUTH PKWY EAST, MEMPHIS, TN, 
17204, 2400 CARNES AVE, MEMPHIS, TN, 
17205, 2400 DEMOCRAT RD, MEMPHIS, TN, 
17206, 2400 DOUGLAS AVE, MEMPHIS, TN, 
17207, 2400 DRAKE ST, MEMPHIS, TN, 
17208, 2400 GERMANTOWN PKY, MEMPHIS, TN, 
17209, 2400 HERNANDO, MEMPHIS, TN, 
17210, 2400 MONROE, MEMPHIS, TN, 
17211, 2400 N ORCHID DR, MEMPHIS, TN, 
17212, 2400 PENDLETON AVE, MEMPHIS, TN, 
17213, 2400 PERRY RD, MEMPHIS, TN, 
17214, 2500 DEXTER AVE, MEMPHIS, TN, 
17215, 2500 EAST END ROW, MEMPHIS, TN, 
17216, 2500 FRISCO AVE, MEMPHIS, TN, 
17217, 2500 MILLBROOK, MEMPHIS, TN, 
17218, 2500 MTMORIAH, MEMPHIS, TN, 
17219, 2500 SOUTHERN AVE, MEMPHIS, TN, 
17220, 2500 WOODVALE DR, MEMPHIS, TN, 
17221, 2600 ARBORGREEN CV, MEMPHIS, TN, 
17222, 2600 COLONIAL TOWERS, MEMPHIS, TN, 
17223, 2600 DEVEREAUX, MEMPHIS, TN, 
17224, 2600 E WELLONS, MEMPHIS, TN, 
17225, 2600 EVERETT AVE, MEMPHIS, TN, 
17226, 2600 KEEN RD, MEMPHIS, TN, 
17227, 2600 KILGORE CV, MEMPHIS, TN, 
17228, 2600 LAURELCREST, MEMPHIS, TN, 
17229, 2600 PERSHING AVE, MEMPHIS, TN, 
17230, 2600 PRINCETON, MEMPHIS, TN, 
17231, 2600 SCHOOL AVE, MEMPHIS, TN, 
17232, 2600 WEST REESE GROVE CT, MEMPHIS, TN, 
17233, 2700 COUNTRY GREEN, MEMPHIS, TN, 
17234, 2700 DURHAM, MEMPHIS, TN, 
17235, 2700 HERNANDO, MEMPHIS, TN, 
17236, 2700 KATE BOND RD, MEMPHIS, TN, 
17237, 2700 MILTON, MEMPHIS, TN, 
17238, 2700 MORNING MIST, MEMPHIS, TN, 
17239, 2700 MOSS VALLEY, MEMPHIS, TN, 
17240, 2700 RIDGEWAY, MEMPHIS, TN, 
17241, 2700 UNION EXTD, MEMPHIS, TN, 
17242, 2700 WEST BARBARA CIR, MEMPHIS, TN, 
17243, 2700 WHITMAN AVE, MEMPHIS, TN, 
17244, 2800 BROAD AVE, MEMPHIS, TN, 
17245, 2800 CAROL TRACE WALK, MEMPHIS, TN, 
17246, 2800 CURTIS, MEMPHIS, TN, 
17247, 2800 EMERALD ST, MEMPHIS, TN, 
17248, 2800 FALLING STREAM DR, MEMPHIS, TN, 
17249, 2800 FRAYSER BOULEVARD, MEMPHIS, TN, 
17250, 2800 HARMONWOOD, MEMPHIS, TN, 
17251, 2800 JAVA DR, MEMPHIS, TN, 
17252, 2800 JAVA, MEMPHIS, TN, 
17253, 2800 KETCHUM AVE, MEMPHIS, TN, 
17254, 2800 MCMURRAY ST, MEMPHIS, TN, 
17255, 2800 MEADOWLAKE EAST, MEMPHIS, TN, 
17256, 2800 MERLE, MEMPHIS, TN, 
17257, 2800 MOSS VALLEY, MEMPHIS, TN, 
17258, 2800 NORTHMEADE AVE, MEMPHIS, TN, 
17259, 2800 RANGELINE RD, MEMPHIS, TN, 
17260, 2800 SKYLAKE, MEMPHIS, TN, 
17261, 2800 SPRINGS CT, MEMPHIS, TN, 
17262, 2800 STEELE ST, MEMPHIS, TN, 
17263, 2800 VAN DER VEER, MEMPHIS, TN, 
17264, 2900 BAYWOOD DR, MEMPHIS, TN, 
17265, 2900 CARNES AVE, MEMPHIS, TN, 
17266, 2900 CHURCHILL ST, MEMPHIS, TN, 
17267, 2900 FILMORE ST, MEMPHIS, TN, 
17268, 2900 HIBISCUS, MEMPHIS, TN, 
17269, 2900 HICKORY POINT LN, MEMPHIS, TN, 
17270, 2900 HIDDEN CREEK CV, MEMPHIS, TN, 
17271, 2900 KENNETH, MEMPHIS, TN, 
17272, 2900 LANDVIEW, MEMPHIS, TN, 
17273, 2900 STAGE COACH, MEMPHIS, TN, 
17274, 2900 SUMMER AVE, MEMPHIS, TN, 
17275, 2900 SUMMER, MEMPHIS, TN, 
17276, 2900 TREASURE ISLAND E, MEMPHIS, TN, 
17277, 2900 WATSON ST, MEMPHIS, TN, 
17278, 300 CAMBRIDGE, MEMPHIS, TN, 
17279, 300 E ESSEX, MEMPHIS, TN, 
17280, 300 EAST MCLEMORE, MEMPHIS, TN, 
17281, 300 GAYOSO AVE, MEMPHIS, TN, 
17282, 300 HAWTHORNE ST, MEMPHIS, TN, 
17283, 300 LEATH AVE, MEMPHIS, TN, 
17284, 300 MARYLAND AVE, MEMPHIS, TN, 
17285, 300 N HOLLYWOOD ST, MEMPHIS, TN, 
17286, 300 N MCNEIL ST, MEMPHIS, TN, 
17287, 300 NORTH DUNLAP, MEMPHIS, TN, 
17288, 300 PARKDALE, MEMPHIS, TN, 
17289, 300 PATTERSON, MEMPHIS, TN, 
