18001, 1300 MARLIN RD, MEMPHIS, TN, 
18002, 1300 PHILLIPS, MEMPHIS, TN, 
18003, 1300 RACE ST, MEMPHIS, TN, 
18004, 1300 RUSSWOOD RD, MEMPHIS, TN, 
18005, 1300 STONEWALL, MEMPHIS, TN, 
18006, 1300 SYCAMORE VIEW, MEMPHIS, TN, 
18007, 1300 TYNE ST, MEMPHIS, TN, 
18008, 1300 WILLOW RUN LN, MEMPHIS, TN, 
18009, 1300 WRENWOOD ST, MEMPHIS, TN, 
18010, 1400 CAROLYN, MEMPHIS, TN, 
18011, 1400 DECATUR ST, MEMPHIS, TN, 
18012, 1400 EFFIE, MEMPHIS, TN, 
18013, 1400 ETHLYN AVE, MEMPHIS, TN, 
18014, 1400 HAYWOOD AVE, MEMPHIS, TN, 
18015, 1400 JAMES ST, MEMPHIS, TN, 
18016, 1400 LEVEE RD, MEMPHIS, TN, 
18017, 1400 MCMILLAN ST, MEMPHIS, TN, 
18018, 1400 NORTH HOLLYWOOD, MEMPHIS, TN, 
18019, 1400 QUINBY, MEMPHIS, TN, 
18020, 1400 RANDALL, MEMPHIS, TN, 
18021, 1400 S FARONIA SQ, MEMPHIS, TN, 
18022, 1400 S WELLINGTON ST, MEMPHIS, TN, 
18023, 1400 SOUTH FARONIA, MEMPHIS, TN, 
18024, 1400 SOUTH LAUDERDALE, MEMPHIS, TN, 
18025, 1400 SOUTH ORLEANS, MEMPHIS, TN, 
18026, 1400 WALNUT HALL, MEMPHIS, TN, 
18027, 1500 BRIARWOOD DR, MEMPHIS, TN, 
18028, 1500 CLANCY, MEMPHIS, TN, 
18029, 1500 CRIDER ST, MEMPHIS, TN, 
18030, 1500 DUNN AVE, MEMPHIS, TN, 
18031, 1500 E ALCY, MEMPHIS, TN, 
18032, 1500 EASON AVE, MEMPHIS, TN, 
18033, 1500 GOODBAR AVE, MEMPHIS, TN, 
18034, 1500 GREENDALE AVE, MEMPHIS, TN, 
18035, 1500 LAKE GROVE, MEMPHIS, TN, 
