1001, 1100 MISSISSIPPI, MEMPHIS, TN, 
1002, 1400 JACKSON AVE, MEMPHIS, TN, 
1003, 1700 WINCHESTER RD, MEMPHIS, TN, 
1004, 2700 LAMAR, MEMPHIS, TN, 
1005, 2900 BREWER, MEMPHIS, TN, 
1006, 300 LEATH, MEMPHIS, TN, 
1007, 3400 FAIRBANKS, MEMPHIS, TN, 
1008, 3400 POWELL, MEMPHIS, TN, 
1009, 3500 SOUTHERN AVE, MEMPHIS, TN, 
1010, 3500 VERNON, MEMPHIS, TN, 
1011, 3900 GIVEN, MEMPHIS, TN, 
1012, 4000 MACON RD, MEMPHIS, TN, 
1013, 4700 MILLSTREAM, MEMPHIS, TN, 
1014, 600 S LAUDERDALE, MEMPHIS, TN, 
1015, 600 ST PAUL, MEMPHIS, TN, 
1016, 6100 BRAXTON LN, MEMPHIS, TN, 
1017, 6900 BIRCH LAKE DR, MEMPHIS, TN, 
1018, RAINES AND MILLBRANCH, MEMPHIS, TN, 
1019, WINCHESTER AND GOODLETT, MEMPHIS, TN, 
1020, 1000 RIDGE LAKE BLVD, MEMPHIS, TN, 
1021, 2800 CHERRY RD, MEMPHIS, TN, 
1022, 3100 PARK, MEMPHIS, TN, 
1023, 600 OAK CT, MEMPHIS, TN, 
1024, 7100 WINCHESTER RD, MEMPHIS, TN, 
1025, 100 S MAIN, MEMPHIS, TN, 
1026, 1100 COLLEGE, MEMPHIS, TN, 
1027, 1500 GETWELL RD, MEMPHIS, TN, 
1028, 2500 CENTRAL AVE, MEMPHIS, TN, 
1029, 3500 CARNES, MEMPHIS, TN, 
1030, 4600 WATERMILL, MEMPHIS, TN, 
1031, 4800 SUMMER, MEMPHIS, TN, 
1032, 5200 PARK AVE, MEMPHIS, TN, 
1033, 5500 APPLE BLOSSOM, MEMPHIS, TN, 
1034, 600 SOUTH HIGHLAND, MEMPHIS, TN, 
1035, 1700 E SHELBY DR, MEMPHIS, TN, 
1036, 1800 COMMONWEALTH DR, MEMPHIS, TN, 
1037, 1800 ELDRIDGE, MEMPHIS, TN, 
1038, 300 JONES, MEMPHIS, TN, 
1039, 3000 WALNUT GROVE, MEMPHIS, TN, 
1040, 3100 BARRON, MEMPHIS, TN, 
1041, 3600 GERONIMO CT, MEMPHIS, TN, 
1042, 3600 HICKORY HILL RD, MEMPHIS, TN, 
1043, 3700 TOWNES, MEMPHIS, TN, 
1044, 4300 EAST WIND DR, MEMPHIS, TN, 
1045, 4800 SHOWCASE, MEMPHIS, TN, 
1046, 5200 MILLBRANCH, MEMPHIS, TN, 
1047, 1000 KERR, MEMPHIS, TN, 
1048, 1500 HESTER, MEMPHIS, TN, 
1049, 1800 MADISON AVE, MEMPHIS, TN, 
1050, 1900 WESSEX, MEMPHIS, TN, 
1051, 2600 ELVIS PRESLEY, MEMPHIS, TN, 
1052, 3400 WATKINS, MEMPHIS, TN, 
1053, 3500 EASTPORT CV, MEMPHIS, TN, 
1054, 3700 BARRON, MEMPHIS, TN, 
1055, 4100 KNOB, MEMPHIS, TN, 
1056, 4500 WINCHESTER, MEMPHIS, TN, 
1057, 5800 TANGLE OAKS DR, MEMPHIS, TN, 
1058, 8000 HIGHWAY 64, MEMPHIS, TN, 
1059, 1500 HEMLOCK, MEMPHIS, TN, 
1060, 2000 KANSAS, MEMPHIS, TN, 
1061, 2700 N HOLLYWOOD, MEMPHIS, TN, 
1062, 300 TILLMAN, MEMPHIS, TN, 
1063, 3100 SHARPE, MEMPHIS, TN, 
1064, 3700 SPOTTSWOOD, MEMPHIS, TN, 
1065, 4000 BARBOURVILLE, MEMPHIS, TN, 
1066, 4100 STEPHANIE LN, MEMPHIS, TN, 
1067, 4800 MILLBRANCH, MEMPHIS, TN, 
1068, 5300 POPLAR AVE, MEMPHIS, TN, 
1069, 6300 MACON RD, MEMPHIS, TN, 
1070, 6300 POPLAR AVE, MEMPHIS, TN, 
1071, 7900 CLUB DR, MEMPHIS, TN, 
1072, 900 CROCKETT, MEMPHIS, TN, 
1073, 1400 S BELLEVUE, MEMPHIS, TN, 
1074, 1900 N GERMANTOWN PKWY, MEMPHIS, TN, 
1075, 2400 WARREN, MEMPHIS, TN, 
1076, 2500 CHELSEA AVE, MEMPHIS, TN, 
1077, 3200 BARRON, MEMPHIS, TN, 
1078, 400 SILVERAGE, MEMPHIS, TN, 
1079, 4600 PAUL CROSSING, MEMPHIS, TN, 
1080, 4600 QUINCE RD, MEMPHIS, TN, 
1081, 4800 S THIRD, MEMPHIS, TN, 
1082, 5300 POPLAR, MEMPHIS, TN, 
1083, 900 WASHINGTON, MEMPHIS, TN, 
1084, 1100 UNION AVE, MEMPHIS, TN, 
1085, 1500 JACKSON AVE, MEMPHIS, TN, 
1086, 1800 ONTARIO, MEMPHIS, TN, 
1087, 2500 MT MORIAH RD, MEMPHIS, TN, 
1088, 300 DECATUR, MEMPHIS, TN, 
1089, 3500 FESCUE LN, MEMPHIS, TN, 
1090, 3500 RIVERDALE, MEMPHIS, TN, 
1091, 3600 WINBRANCH, MEMPHIS, TN, 
1092, 400 S HIGHLAND ST, MEMPHIS, TN, 
1093, 500 E SHELBY DR, MEMPHIS, TN, 
1094, 500 KLINKE, MEMPHIS, TN, 
1095, 6000 HICKORY HILL SQ, MEMPHIS, TN, 
1096, 6000 HICKORY HILL SQUARE, MEMPHIS, TN, 
1097, 8300 STURBRIDGE WAY, MEMPHIS, TN, 
1098, 1100 S SHADY GROVE, MEMPHIS, TN, 
1099, 1200 BELLEVUE, MEMPHIS, TN, 
1100, 2400 DEXTER, MEMPHIS, TN, 
1101, 3000 HICKORY HILL, MEMPHIS, TN, 
1102, 3500 RAMILL RD, MEMPHIS, TN, 
1103, 3600 JAMES RD, MEMPHIS, TN, 
1104, 3700 SUMMER, MEMPHIS, TN, 
1105, 4900 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
1106, 5500 JASMINE CV, MEMPHIS, TN, 
1107, 600 POPLAR, MEMPHIS, TN, 
1108, POPLAR AND MANASSAS, MEMPHIS, TN, 
1109, 1900 WINCHESTER RD, MEMPHIS, TN, 
1110, 3600 RAMILL, MEMPHIS, TN, 
1111, 5300 SHELBOURNE CIR, MEMPHIS, TN, 
1112, 5900 WINCHESTER RD, MEMPHIS, TN, 
1113, 700 MARSHALL, MEMPHIS, TN, 
1114, 7000 STONE RIDGE DR, MEMPHIS, TN, 
1115, 1100 FAXON, MEMPHIS, TN, 
1116, 1500 MAPLEWOOD, MEMPHIS, TN, 
1117, 1600 VICTOR, MEMPHIS, TN, 
1118, 2000 N PKWY, MEMPHIS, TN, 
1119, 2100 HUBERT, MEMPHIS, TN, 
1120, 2300 UNION AVE, MEMPHIS, TN, 
1121, 2400 DOUGLASS, MEMPHIS, TN, 
1122, 3400 SPOTTSWOOD, MEMPHIS, TN, 
1123, 3500 MILLBRANCH RD, MEMPHIS, TN, 
