19001, THIRD AND PEEBLES, MEMPHIS, TN, 
19002, THIRD AND PERSON, MEMPHIS, TN, 
19003, THOMAS AND WELLS, MEMPHIS, TN, 
19004, TILLMAN AND PRINCETON, MEMPHIS, TN, 
19005, TREZEVANT AND FRAYSER, MEMPHIS, TN, 
19006, TRIGG AND LAUDERDALE, MEMPHIS, TN, 
19007, TRIGG AND MISSISSIPPI, MEMPHIS, TN, 
19008, VOLLINTINE AND MONTGOMERY, MEMPHIS, TN, 
19009, VOLLINTINE AND UNIVERSITY, MEMPHIS, TN, 
19010, WALKER AND PATTERSON, MEMPHIS, TN, 
19011, WARFORD AND CHELSEA, MEMPHIS, TN, 
19012, WARFORD AND I-40, MEMPHIS, TN, 
19013, WASHINGTON AND DUNLAP, MEMPHIS, TN, 
19014, WATKINS AND FRAYSER BLVD, MEMPHIS, TN, 
19015, WHITNEY AND BASKIN, MEMPHIS, TN, 
19016, WINCHESTER AND MILL BRANCH, MEMPHIS, TN, 
19017, 100 E BELLE HAVEN, MEMPHIS, TN, 
19018, 100 E DESOTO, MEMPHIS, TN, 
19019, 100 E MALLORY AVE, MEMPHIS, TN, 
19020, 100 EAST ROLLINS, MEMPHIS, TN, 
19021, 100 EASTVIEW CV, MEMPHIS, TN, 
19022, 100 FOURTH ST, MEMPHIS, TN, 
19023, 100 HARBOR TOWN SQ, MEMPHIS, TN, 
19024, 100 KIRK, MEMPHIS, TN, 
19025, 100 N MCLEAN BLVD, MEMPHIS, TN, 
19026, 100 N WHITE STATION, MEMPHIS, TN, 
19027, 100 NORTH CENTURY, MEMPHIS, TN, 
19028, 100 SILVERAGE AVE, MEMPHIS, TN, 
19029, 100 W MITCHELL, MEMPHIS, TN, 
19030, 100 W ROLLINS RD, MEMPHIS, TN, 
19031, 100 W TRIGG AVE, MEMPHIS, TN, 
19032, 100 WEST BROOKS RD, MEMPHIS, TN, 
19033, 100 WEST COLORADO, MEMPHIS, TN, 
19034, 100 WEST FRANK, MEMPHIS, TN, 
19035, 100 WEST MCKELLAR, MEMPHIS, TN, 
19036, 1000 BLUEBELL CV, MEMPHIS, TN, 
19037, 1000 COURT AVE, MEMPHIS, TN, 
19038, 1000 DRR, MEMPHIS, TN, 
19039, 1000 E CRUMP, MEMPHIS, TN, 
19040, 1000 E PERSON, MEMPHIS, TN, 
19041, 1000 EAST DR, MEMPHIS, TN, 
19042, 1000 ETHEL, MEMPHIS, TN, 
19043, 1000 HESTER RD, MEMPHIS, TN, 
19044, 1000 MCLEAN, MEMPHIS, TN, 
19045, 1000 MILLERS BEND DR, MEMPHIS, TN, 
19046, 1000 N MANSFIELD, MEMPHIS, TN, 
19047, 1000 S WILLETT ST, MEMPHIS, TN, 
19048, 1000 S YATES RD, MEMPHIS, TN, 
19049, 1000 TENNESSEE, MEMPHIS, TN, 
19050, 1000 WHITNEY, MEMPHIS, TN, 
