20001, 700 WRIGHT, MEMPHIS, TN, 
20002, 7000 COBBLESTONE, MEMPHIS, TN, 
20003, 7100 APPLE CREEK, MEMPHIS, TN, 
20004, 7100 CRESTRIDGE, MEMPHIS, TN, 
20005, 7100 STAGE RD, MEMPHIS, TN, 
20006, 7200 CRESTRIDGE, MEMPHIS, TN, 
20007, 7200 HILLSHIRE, MEMPHIS, TN, 
20008, 7200 ROSE TRAIL DR, MEMPHIS, TN, 
20009, 7300 BUTTERFLY DR, MEMPHIS, TN, 
20010, 7300 BUTTERFLY, MEMPHIS, TN, 
20011, 7300 GERMANSHIRE LN, MEMPHIS, TN, 
20012, 7300 HOLLORN LN, MEMPHIS, TN, 
20013, 7300 KINGSLAND DR, MEMPHIS, TN, 
20014, 7400 DONCASTER, MEMPHIS, TN, 
20015, 7400 HILLSHIRE DR, MEMPHIS, TN, 
20016, 7400 HWY 64, MEMPHIS, TN, 
20017, 7525WINCHESTER RD, MEMPHIS, TN, 
20018, 7525WINCHESTER, MEMPHIS, TN, 
20019, 7600 PORT ALBERT LN, MEMPHIS, TN, 
20020, 7600 PORT ALBERT, MEMPHIS, TN, 
20021, 7800 SHELBY GROVE CT, MEMPHIS, TN, 
20022, 7900 WOLF HOLLOW DR, MEMPHIS, TN, 
20023, 800 ADAMS ST, MEMPHIS, TN, 
20024, 800 BALTIMORE ST, MEMPHIS, TN, 
20025, 800 BELVEDERE, MEMPHIS, TN, 
20026, 800 CANDACE, MEMPHIS, TN, 
20027, 800 CHATWOOD CV, MEMPHIS, TN, 
20028, 800 COMO, MEMPHIS, TN, 
20029, 800 CT, MEMPHIS, TN, 
20030, 800 CYPRESS DR, MEMPHIS, TN, 
20031, 800 EAST BODLEY, MEMPHIS, TN, 
20032, 800 EAST DAVANT, MEMPHIS, TN, 
20033, 800 EAST MALLORY, MEMPHIS, TN, 
20034, 800 GLANKLER ST, MEMPHIS, TN, 
20035, 800 HERNANDO, MEMPHIS, TN, 
20036, 800 MARSH AVE, MEMPHIS, TN, 
20037, 800 MAURY ST, MEMPHIS, TN, 
20038, 800 MOHAWK AVE, MEMPHIS, TN, 
20039, 800 N BINGHAM ST, MEMPHIS, TN, 
20040, 800 N HIGHLAND ST, MEMPHIS, TN, 
20041, 800 NORTH WATKINS, MEMPHIS, TN, 
20042, 800 PARKDALE DR, MEMPHIS, TN, 
20043, 800 PAWNEE AVE, MEMPHIS, TN, 
20044, 800 RANDLE ST, MEMPHIS, TN, 
20045, 800 ROCK RD, MEMPHIS, TN, 
20046, 800 S BUNTYN, MEMPHIS, TN, 
20047, 800 S MENDENHALL RD, MEMPHIS, TN, 
20048, 800 SOUTH GREER, MEMPHIS, TN, 
20049, 800 SOUTH LAUDERDALE, MEMPHIS, TN, 
20050, 800 SOUTH PKWY EAST, MEMPHIS, TN, 
20051, 800 WALNUT, MEMPHIS, TN, 
20052, 8000 CENTERVIEW PKWY, MEMPHIS, TN, 
20053, 8000 CLUB CENTER PKWY, MEMPHIS, TN, 
20054, 8000 HEMMINGWOOD RD, MEMPHIS, TN, 
20055, 8000 HEMMINGWOOD, MEMPHIS, TN, 
20056, 8000 HUNTERS CROSSING, MEMPHIS, TN, 
20057, 8000 MACON, MEMPHIS, TN, 
20058, 8200 DEXTER CREEK, MEMPHIS, TN, 
20059, 8200 MACON STATION, MEMPHIS, TN, 
20060, 8200 MANCHESTER CIR, MEMPHIS, TN, 
20061, 8300 HAYLOFT, MEMPHIS, TN, 
20062, 8900 CAMPALDINO, MEMPHIS, TN, 
20063, 8900 DEXTER RD, MEMPHIS, TN, 
20064, 8900 WALNUT RIDGE LOOP, MEMPHIS, TN, 
20065, 900 BLANCHARD, MEMPHIS, TN, 
20066, 900 BLUE DIAMOND CV, MEMPHIS, TN, 
20067, 900 CREEKSIDE, MEMPHIS, TN, 
20068, 900 CROCKET PLACE, MEMPHIS, TN, 
20069, 900 CRUMP, MEMPHIS, TN, 
20070, 900 CYPRESS DR, MEMPHIS, TN, 
20071, 900 DOLAN, MEMPHIS, TN, 
20072, 900 E HOLMES RD, MEMPHIS, TN, 
20073, 900 ESTIVAL PLACE, MEMPHIS, TN, 
20074, 900 HARAHAN, MEMPHIS, TN, 
20075, 900 IOKA ST, MEMPHIS, TN, 
20076, 900 KEEL AVE, MEMPHIS, TN, 
20077, 900 LENOW, MEMPHIS, TN, 
20078, 900 MCLEMORE, MEMPHIS, TN, 
20079, 900 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
20080, 900 NORTH HOLMES, MEMPHIS, TN, 
20081, 900 RICHLAND, MEMPHIS, TN, 
20082, 900 WHITNEY AVE, MEMPHIS, TN, 
20083, 9000 GATESHEAD LN, MEMPHIS, TN, 
20084, 9000 WALNUT GROVE, MEMPHIS, TN, 
20085, 9200 SHADY MORNING LN, MEMPHIS, TN, 
20086, ADAMS AND MANASSAS, MEMPHIS, TN, 
20087, AIRWAYS AND PERSON, MEMPHIS, TN, 
20088, ALCY AND PERRY, MEMPHIS, TN, 
20089, AUBURN AND RAINES, MEMPHIS, TN, 
20090, AUSTIN PEAY HWY AND YALE RD, MEMPHIS, TN, 
20091, BALTIC AND SUMMER, MEMPHIS, TN, 
20092, BAYLISS AND NATIONAL, MEMPHIS, TN, 
20093, BEALE AND THOMAS, MEMPHIS, TN, 
20094, BELLEVUE AND SMITH, MEMPHIS, TN, 
20095, BROOKS AND SPRINGBROOK, MEMPHIS, TN, 
20096, CARNES AND PENDLETON, MEMPHIS, TN, 
20097, CARVER AND CASTALIA, MEMPHIS, TN, 
20098, CARVER AND KELTNER CIR, MEMPHIS, TN, 
20099, CARVER AND KELTNER, MEMPHIS, TN, 
20100, CHELSEA AND DAVIS, MEMPHIS, TN, 
20101, CHELSEA AND KNEY, MEMPHIS, TN, 
20102, CHERRY AND WILLOW, MEMPHIS, TN, 
20103, CHUCK AND BARBWOOD, MEMPHIS, TN, 
20104, CHUCK AND WOODHOLLOW, MEMPHIS, TN, 
20105, CLEARBROOK AND KNIGHT ARNOLD, MEMPHIS, TN, 
20106, CLEVELAND AND MONROE, MEMPHIS, TN, 
20107, COCHESE AND GETWELL, MEMPHIS, TN, 
20108, COLEMAN AND AUSTIN PEAY, MEMPHIS, TN, 
20109, COURT AND FOURTH, MEMPHIS, TN, 
20110, COURT AND PAULINE, MEMPHIS, TN, 
20111, COURT AND THIRD, MEMPHIS, TN, 
20112, CROCKETT AND KEEL, MEMPHIS, TN, 
20113, CRUMP AND DUDLEY, MEMPHIS, TN, 
20114, DANNY THOMAS AND JEFFERSON, MEMPHIS, TN, 
20115, DANNY THOMAS AND UNION, MEMPHIS, TN, 
20116, DEADRICK AND LAMAR, MEMPHIS, TN, 
20117, DECATUR AND CHELSEA, MEMPHIS, TN, 
20118, DECATUR AND LOONEY, MEMPHIS, TN, 
20119, EGYPT CENTRAL AND RALEIGH MILLINGTON, MEMPHIS, TN, 
20120, ELLISTON AND ECHLES, MEMPHIS, TN, 
20121, ELLISTON AND GREEN DOLPHIN, MEMPHIS, TN, 
20122, ELVIS PRESLEY AND LAUDEEN, MEMPHIS, TN, 
20123, ELVIS PRESLEY AND RAINES RD, MEMPHIS, TN, 
20124, EMERALD AND NEWBERRY, MEMPHIS, TN, 
20125, ETHEL AND SELECT, MEMPHIS, TN, 
20126, FARONIA AND FINLEY, MEMPHIS, TN, 
20127, FARONIA AND RAINES, MEMPHIS, TN, 
20128, FOURTH AND POPLAR, MEMPHIS, TN, 
20129, FRAYSER AND DENVER, MEMPHIS, TN, 
20130, FRONT AND PONTOTOC, MEMPHIS, TN, 
20131, GETWELL AND COMANCHE, MEMPHIS, TN, 
20132, GETWELL AND FIZER, MEMPHIS, TN, 
20133, GREENBROOK AND MACON, MEMPHIS, TN, 
20134, GUERNSEY AND NATIONAL, MEMPHIS, TN, 
20135, HICKORY HILL AND PEBBLE BEACH, MEMPHIS, TN, 
20136, HICKORY HILL AND RAINES RD, MEMPHIS, TN, 
20137, HOLMES AND GETWELL, MEMPHIS, TN, 
20138, HOLMES AND GIVEN, MEMPHIS, TN, 
20139, HOLMES AND GUERNSEY, MEMPHIS, TN, 
20140, HOLMES AND SANTA MONICA, MEMPHIS, TN, 
20141, HORN LAKE AND SHELBY DR, MEMPHIS, TN, 
20142, I 240 AND PERKINS, MEMPHIS, TN, 
20143, I-240 AND GETWELL RD, MEMPHIS, TN, 
20144, I-240 AND MADISON, MEMPHIS, TN, 
