21001, 4200, MEMPHIS, TN, 
21002, 4300 AMBER LN, MEMPHIS, TN, 
21003, 4300 BRIARBERRY, MEMPHIS, TN, 
21004, 4300 CHESAPEAKE WAY, MEMPHIS, TN, 
21005, 4300 CLARKE, MEMPHIS, TN, 
21006, 4300 CRAFTON AVE, MEMPHIS, TN, 
21007, 4300 ESCROW, MEMPHIS, TN, 
21008, 4300 FOREST VIEW, MEMPHIS, TN, 
21009, 4300 FORTNER, MEMPHIS, TN, 
21010, 4300 FREDRICKS, MEMPHIS, TN, 
21011, 4300 GAILWOOD, MEMPHIS, TN, 
21012, 4300 GLENBROOK ST, MEMPHIS, TN, 
21013, 4300 KOSTKA, MEMPHIS, TN, 
21014, 4300 OLATHE DR, MEMPHIS, TN, 
21015, 4300 PAULA, MEMPHIS, TN, 
21016, 4300 PEACH VALLEY DR, MEMPHIS, TN, 
21017, 4300 POWELL AVE, MEMPHIS, TN, 
21018, 4300 PRESCOTT RD, MEMPHIS, TN, 
21019, 4300 WINCHESTER AVE, MEMPHIS, TN, 
21020, 4300 ZELDA, MEMPHIS, TN, 
21021, 4400 CALYPSO, MEMPHIS, TN, 
21022, 4400 CASTLE AVE, MEMPHIS, TN, 
21023, 4400 CREEK WOOD, MEMPHIS, TN, 
21024, 4400 DURANGO, MEMPHIS, TN, 
21025, 4400 ELLISTON RD, MEMPHIS, TN, 
21026, 4400 ELLISTON, MEMPHIS, TN, 
21027, 4400 ELMRIDGE ST, MEMPHIS, TN, 
21028, 4400 FREDERICKS AVE, MEMPHIS, TN, 
21029, 4400 NEWTON, MEMPHIS, TN, 
21030, 4400 PRESCOTT, MEMPHIS, TN, 
21031, 4400 ROSS, MEMPHIS, TN, 
21032, 4400 TIMBER RISE RD, MEMPHIS, TN, 
21033, 4400 TRUMAN AVE, MEMPHIS, TN, 
21034, 4400 W FARONIA SQUARE, MEMPHIS, TN, 
21035, 4400 WENDY LOU, MEMPHIS, TN, 
21036, 4500 HOGAN CV, MEMPHIS, TN, 
21037, 4500 MILLSTREAM DR, MEMPHIS, TN, 
21038, 4500 MISTY MORNING DR, MEMPHIS, TN, 
21039, 4500 PARKWOOD, MEMPHIS, TN, 
21040, 4500 PLEASANT HILL, MEMPHIS, TN, 
21041, 4500 QUALITY, MEMPHIS, TN, 
21042, 4500 RACHAEL, MEMPHIS, TN, 
21043, 4500 RODNEY, MEMPHIS, TN, 
21044, 4500 STONEY CREEK CV, MEMPHIS, TN, 
21045, 4500 SUNNY SLOPE, MEMPHIS, TN, 
21046, 4500 TIMBER JUMP, MEMPHIS, TN, 
21047, 4500 WATER MILL DR, MEMPHIS, TN, 
21048, 4600 AMERICAN WAY, MEMPHIS, TN, 
21049, 4600 AROSE LN, MEMPHIS, TN, 
21050, 4600 BLANDFORD, MEMPHIS, TN, 
21051, 4600 BUFFER, MEMPHIS, TN, 
21052, 4600 FAWN HOLLOW CV, MEMPHIS, TN, 
21053, 4600 FLAMINGO RD, MEMPHIS, TN, 
21054, 4600 HORN LAKE RD, MEMPHIS, TN, 
21055, 4600 MARY ANGELA, MEMPHIS, TN, 
21056, 4600 PARK, MEMPHIS, TN, 
21057, 4600 WATERTREE DR, MEMPHIS, TN, 
21058, 4600 WESTMONT RD, MEMPHIS, TN, 
21059, 4600 WHITE PINE, MEMPHIS, TN, 
21060, 4600 WILDFLOWER CV, MEMPHIS, TN, 
21061, 4700 BEAGLE CV, MEMPHIS, TN, 
21062, 4700 CHELWOOD DR, MEMPHIS, TN, 
21063, 4700 CLARKE RD, MEMPHIS, TN, 
21064, 4700 DEEP BROOK, MEMPHIS, TN, 
21065, 4700 FLAMINGO RD, MEMPHIS, TN, 
21066, 4700 FORREST OAKWAY, MEMPHIS, TN, 
21067, 4700 GARDEN WALK, MEMPHIS, TN, 
21068, 4700 GETWELL, MEMPHIS, TN, 
21069, 4700 HELENE, MEMPHIS, TN, 
21070, 4700 NEELY RD, MEMPHIS, TN, 
21071, 4700 NEELY, MEMPHIS, TN, 
21072, 4700 PAUL CROSSING, MEMPHIS, TN, 
21073, 4700 ROSS, MEMPHIS, TN, 
21074, 4700 S HIGHWAY 61, MEMPHIS, TN, 
21075, 4700 SOUTH THIRD ST, MEMPHIS, TN, 
21076, 4700 ST ELMO, MEMPHIS, TN, 
21077, 4700 SUNNYBROOK, MEMPHIS, TN, 
21078, 4700 TULANE, MEMPHIS, TN, 
21079, 4700 VIOLET AVE, MEMPHIS, TN, 
21080, 4700 W DISTRIPLEX DR, MEMPHIS, TN, 
21081, 4700 WALNUT GROVE RD, MEMPHIS, TN, 
21082, 4800 ALOHA AVE, MEMPHIS, TN, 
21083, 4800 BOWEN AVE, MEMPHIS, TN, 
21084, 4800 CRAIGMONT DR, MEMPHIS, TN, 
21085, 4800 FORD RD, MEMPHIS, TN, 
21086, 4800 KASSEL CV, MEMPHIS, TN, 
21087, 4800 KAYE, MEMPHIS, TN, 
21088, 4800 LAKERIDGE, MEMPHIS, TN, 
21089, 4800 MCCRORY AVE, MEMPHIS, TN, 
21090, 4800 NORMANDY, MEMPHIS, TN, 
21091, 4800 NORTHFIELD CIRCLE, MEMPHIS, TN, 
21092, 4800 ROSS RD, MEMPHIS, TN, 
21093, 4800 STAGE, MEMPHIS, TN, 
21094, 4900 CARNES, MEMPHIS, TN, 
21095, 4900 CHEVRON RD, MEMPHIS, TN, 
21096, 4900 CLOISTER AVE, MEMPHIS, TN, 
21097, 4900 GADWALL DR W, MEMPHIS, TN, 
21098, 4900 HICKORY HILL RD, MEMPHIS, TN, 
21099, 4900 N WINCHESTER SQUARE, MEMPHIS, TN, 
21100, 4900 S MENDENHALL, MEMPHIS, TN, 
21101, 4900 TCHULAHOMA, MEMPHIS, TN, 
21102, 4900 THREAD NEEDLE, MEMPHIS, TN, 
21103, 4900 VERNE RD, MEMPHIS, TN, 
21104, 4900 WARRINGTON, MEMPHIS, TN, 
21105, 500 BRAYCLIFF AVE, MEMPHIS, TN, 
21106, 500 BUTLERWOODS CV, MEMPHIS, TN, 
21107, 500 E GAGE, MEMPHIS, TN, 
21108, 500 FLYNN RD, MEMPHIS, TN, 
21109, 500 GARLAND ST, MEMPHIS, TN, 
21110, 500 GASTON, MEMPHIS, TN, 
21111, 500 GLEN ARBOR, MEMPHIS, TN, 
21112, 500 GRIFFON, MEMPHIS, TN, 
21113, 500 HEWLETT RD, MEMPHIS, TN, 
21114, 500 IVAN, MEMPHIS, TN, 
21115, 500 KLINKE RD, MEMPHIS, TN, 
21116, 500 MONTEIGNE, MEMPHIS, TN, 
21117, 500 N ERICSON, MEMPHIS, TN, 
21118, 500 N FERNWAY, MEMPHIS, TN, 
21119, 500 N FRONT ST, MEMPHIS, TN, 
21120, 500 NORTH DUNLAP, MEMPHIS, TN, 
21121, 500 NORTH MANASSAS, MEMPHIS, TN, 
21122, 500 PLEASANT GROVE FAIRWAY, MEMPHIS, TN, 
21123, 500 SOUTH PKWY, MEMPHIS, TN, 
21124, 500 W BROOKS RD, MEMPHIS, TN, 
21125, 500 W LEVI RD, MEMPHIS, TN, 
21126, 5000 ACORN, MEMPHIS, TN, 
21127, 5000 BATTLE FOREST CV, MEMPHIS, TN, 
21128, 5000 BLACK RD, MEMPHIS, TN, 
21129, 5000 CLINCHSTONE CIRCLE, MEMPHIS, TN, 
21130, 5000 CLOISTER AVE, MEMPHIS, TN, 
21131, 5000 COVINGTON PIKE, MEMPHIS, TN, 
21132, 5000 DOWLING CV, MEMPHIS, TN, 
21133, 5000 E SHELBY DRIVE, MEMPHIS, TN, 
21134, 5000 GILL DR, MEMPHIS, TN, 
21135, 5000 HODGE RD, MEMPHIS, TN, 
21136, 5000 HOLLY RIDGE, MEMPHIS, TN, 
21137, 5000 LAZYBROOK CV, MEMPHIS, TN, 
21138, 5000 SHAYNE, MEMPHIS, TN, 
21139, 5000 SIMSBURY DR, MEMPHIS, TN, 
21140, 5000 WALNUT GROVE, MEMPHIS, TN, 
21141, 5000 WARWICK, MEMPHIS, TN, 
21142, 5000 WILLIAM ARNOLD RD, MEMPHIS, TN, 
21143, 5100 BISCOE, MEMPHIS, TN, 
21144, 5100 BOWER, MEMPHIS, TN, 
21145, 5100 BOWERS RD, MEMPHIS, TN, 
21146, 5100 BOWIE, MEMPHIS, TN, 
21147, 5100 BRUSHWOOD, MEMPHIS, TN, 
21148, 5100 DENEEN DR, MEMPHIS, TN, 
21149, 5100 HARRINGTON AVE, MEMPHIS, TN, 
