22001, 2600 REESE POINT DR, MEMPHIS, TN, 
22002, 2600 SOUTHERN AVE, MEMPHIS, TN, 
22003, 2600 SYON, MEMPHIS, TN, 
22004, 2600 TURNAGE VALLEY DR, MEMPHIS, TN, 
22005, 2600 WHITNEY AVE, MEMPHIS, TN, 
22006, 2700 BARBARA CIRCLE, MEMPHIS, TN, 
22007, 2700 FELIX AVE, MEMPHIS, TN, 
22008, 2700 GET WELL RD, MEMPHIS, TN, 
22009, 2700 MARGOT ST, MEMPHIS, TN, 
22010, 2700 MENDENHALL RD, MEMPHIS, TN, 
22011, 2700 SCOTTSWAY, MEMPHIS, TN, 
22012, 2700 SHOWCASE, MEMPHIS, TN, 
22013, 2700 TANGBOURNE, MEMPHIS, TN, 
22014, 2700 WHITTEN RD, MEMPHIS, TN, 
22015, 2700 WOODLAWN TERRACE, MEMPHIS, TN, 
22016, 2800 BATTLE CREEK DR, MEMPHIS, TN, 
22017, 2800 BREWER AVE, MEMPHIS, TN, 
22018, 2800 COLEMAN RD, MEMPHIS, TN, 
22019, 2800 DEMOCRAT RD, MEMPHIS, TN, 
22020, 2800 DRURY WAY, MEMPHIS, TN, 
22021, 2800 FAXON, MEMPHIS, TN, 
22022, 2800 FIZER RD, MEMPHIS, TN, 
22023, 2800 FLETCHER VIEW, MEMPHIS, TN, 
22024, 2800 GET WELL RD, MEMPHIS, TN, 
22025, 2800 SKY LAKE CV, MEMPHIS, TN, 
22026, 2800 THE SPRINGS, MEMPHIS, TN, 
22027, 2800, MEMPHIS, TN, 
22028, 2900 BARRON AVE, MEMPHIS, TN, 
22029, 2900 CAVERN, MEMPHIS, TN, 
22030, 2900 CENTRAL AVE, MEMPHIS, TN, 
22031, 2900 COTTONWOOD, MEMPHIS, TN, 
22032, 2900 E HICKORY BLUFF, MEMPHIS, TN, 
22033, 2900 FAXON AVE, MEMPHIS, TN, 
22034, 2900 FLETCHER VIEW DR, MEMPHIS, TN, 
22035, 2900 FLETCHER VIEW, MEMPHIS, TN, 
22036, 2900 FRAYSER BLVD, MEMPHIS, TN, 
22037, 2900 GREEN TERRANCE, MEMPHIS, TN, 
22038, 2900 HICKORY HILL EXT, MEMPHIS, TN, 
22039, 2900 HIDDEN ARBOR CT, MEMPHIS, TN, 
22040, 2900 JOHN SIKES DR, MEMPHIS, TN, 
22041, 2900 LAMBS PLACE, MEMPHIS, TN, 
22042, 2900 LECTREC CV, MEMPHIS, TN, 
22043, 2900 MERCER, MEMPHIS, TN, 
22044, 2900 OVERTON CROSSING ST, MEMPHIS, TN, 
22045, 2900 REDBUD CIRCLE, MEMPHIS, TN, 
22046, 2900 SAINT ELMO, MEMPHIS, TN, 
22047, 2900 SCOTLAND, MEMPHIS, TN, 
22048, 2900 SOUTH MENDENHALL RD, MEMPHIS, TN, 
22049, 2900 ST ELMO AVE, MEMPHIS, TN, 
22050, 2900 STAGE PARK, MEMPHIS, TN, 
22051, 2900 TARBORA AVE, MEMPHIS, TN, 
22052, 2900 TREASURE ISLE E, MEMPHIS, TN, 
22053, 2900 TRUFFLE CV, MEMPHIS, TN, 
22054, 2900 W LAKELAND DR, MEMPHIS, TN, 
22055, 2900 WATER, MEMPHIS, TN, 
22056, 2900 WOLF CREEK, MEMPHIS, TN, 
22057, 300 BICKFORD ST, MEMPHIS, TN, 
22058, 300 CARBON RD, MEMPHIS, TN, 
22059, 300 CECILIA, MEMPHIS, TN, 
22060, 300 COCHRAN PL, MEMPHIS, TN, 
22061, 300 COCHRAN PLACE, MEMPHIS, TN, 
22062, 300 COLEGROVE, MEMPHIS, TN, 
22063, 300 DUDLEY, MEMPHIS, TN, 
22064, 300 E H CRUMP, MEMPHIS, TN, 
22065, 300 E HOLMES, MEMPHIS, TN, 
22066, 300 E RAINES RD, MEMPHIS, TN, 
22067, 300 EASTLAND, MEMPHIS, TN, 
22068, 300 HIGHLAND, MEMPHIS, TN, 
22069, 300 LEMASTER, MEMPHIS, TN, 
22070, 300 LEONORA DR, MEMPHIS, TN, 
22071, 300 MARKET, MEMPHIS, TN, 
22072, 300 MELITA RD, MEMPHIS, TN, 
22073, 300 MONTGOMERY, MEMPHIS, TN, 
22074, 300 NORTH WATKINS, MEMPHIS, TN, 
22075, 300 PALISADE, MEMPHIS, TN, 
22076, 300 PANDORA, MEMPHIS, TN, 
22077, 300 PASADENA, MEMPHIS, TN, 
22078, 300 SECOND ST, MEMPHIS, TN, 
22079, 300 SOUTH PAULINE ST, MEMPHIS, TN, 
22080, 300 W EDWIN CIRCLE, MEMPHIS, TN, 
22081, 300 W MCKELLAR, MEMPHIS, TN, 
22082, 300 W RED OAKS DR, MEMPHIS, TN, 
22083, 300 WEST ESSEX, MEMPHIS, TN, 
22084, 300 WEST WALDORF, MEMPHIS, TN, 
22085, 3000 BROOKTREE CIRCLE, MEMPHIS, TN, 
22086, 3000 CONVAIR, MEMPHIS, TN, 
22087, 3000 COVINGTON PIKE RD, MEMPHIS, TN, 
22088, 3000 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
22089, 3000 FELIX, MEMPHIS, TN, 
22090, 3000 GET WELL RD, MEMPHIS, TN, 
22091, 3000 LAKE RUN, MEMPHIS, TN, 
22092, 3000 LAREDO, MEMPHIS, TN, 
22093, 3000 LOUNETTE ST, MEMPHIS, TN, 
22094, 3000 MCVAY TRAIL, MEMPHIS, TN, 
22095, 3000 MILL BRANCH, MEMPHIS, TN, 
22096, 3000 PALM, MEMPHIS, TN, 
22097, 3000 SOUTHWALL CV, MEMPHIS, TN, 
22098, 3100 ALTA, MEMPHIS, TN, 
22099, 3100 ANDY RD, MEMPHIS, TN, 
22100, 3100 AUTUMNWOOD AVE, MEMPHIS, TN, 
22101, 3100 BEARFIELD, MEMPHIS, TN, 
22102, 3100 CHARWELL, MEMPHIS, TN, 
22103, 3100 COLEMAN RD, MEMPHIS, TN, 
22104, 3100 DEMOCRAT, MEMPHIS, TN, 
22105, 3100 DOMAR ST, MEMPHIS, TN, 
22106, 3100 DOUGLAS, MEMPHIS, TN, 
22107, 3100 EDGEWORTH, MEMPHIS, TN, 
22108, 3100 FAXON AVE, MEMPHIS, TN, 
22109, 3100 FLINT, MEMPHIS, TN, 
22110, 3100 FONTAINE, MEMPHIS, TN, 
22111, 3100 HENRY AVE, MEMPHIS, TN, 
22112, 3100 HILLIS, MEMPHIS, TN, 
22113, 3100 LAKERUN CIR, MEMPHIS, TN, 
22114, 3100 LAKERUN CIRCLE, MEMPHIS, TN, 
22115, 3100 LAURENCEKIRK, MEMPHIS, TN, 
22116, 3100 LINDA DR, MEMPHIS, TN, 
22117, 3100 LYNDALE AVE, MEMPHIS, TN, 
22118, 3100 MAGEVNEY ST, MEMPHIS, TN, 
22119, 3100 MORNING SIDE, MEMPHIS, TN, 
22120, 3100 OVERTON CROSSING ST, MEMPHIS, TN, 
22121, 3100 PERKINS RD, MEMPHIS, TN, 
22122, 3100 PINE ALLEE CV, MEMPHIS, TN, 
22123, 3100 QUEENSGATE, MEMPHIS, TN, 
22124, 3100 RADFORD RD, MEMPHIS, TN, 
22125, 3100 SIGNAL ST, MEMPHIS, TN, 
22126, 3100 SOUTHERN AVE, MEMPHIS, TN, 
22127, 3100 ST CLAIR PLACE, MEMPHIS, TN, 
22128, 3100 ST CLAIRE, MEMPHIS, TN, 
22129, 3100 STONEBROOK, MEMPHIS, TN, 
22130, 3100 WATER OAK DR, MEMPHIS, TN, 
22131, 3100 WATERGROVE, MEMPHIS, TN, 
22132, 3100 WOODHILLS DR, MEMPHIS, TN, 
22133, 3200 APPLEWOOD CV, MEMPHIS, TN, 
22134, 3200 ARBOR GROVE, MEMPHIS, TN, 
22135, 3200 AUTUMN WOOD, MEMPHIS, TN, 
22136, 3200 AUTUMNWOOD DR, MEMPHIS, TN, 
22137, 3200 BELLE GROVE, MEMPHIS, TN, 
22138, 3200 BROAD, MEMPHIS, TN, 
22139, 3200 BROOKMEADE, MEMPHIS, TN, 
22140, 3200 CHERRYWOOD CV, MEMPHIS, TN, 
22141, 3200 CROMWELL AVE, MEMPHIS, TN, 
22142, 3200 EARNETT, MEMPHIS, TN, 
22143, 3200 EAST DANVILLE CIRCLE, MEMPHIS, TN, 
22144, 3200 FLOWERING CHERRY, MEMPHIS, TN, 
22145, 3200 FONTAINE RD, MEMPHIS, TN, 
22146, 3200 GILMORE RD, MEMPHIS, TN, 
22147, 3200 JOYCE LN, MEMPHIS, TN, 
22148, 3200 KINGS HORN, MEMPHIS, TN, 
22149, 3200 KINGS PORT, MEMPHIS, TN, 
22150, 3200 LENOX PARK BLVD, MEMPHIS, TN, 
22151, 3200 MADWELL, MEMPHIS, TN, 
22152, 3200 MCINTOSH CV, MEMPHIS, TN, 
22153, 3200 MILL BRANCH RD, MEMPHIS, TN, 
22154, 3200 NAVAJO, MEMPHIS, TN, 
22155, 3200 NORTH THOMAS, MEMPHIS, TN, 
22156, 3200 RALEIGH RIDGE DR, MEMPHIS, TN, 
22157, 3200 ROCHESTER RD, MEMPHIS, TN, 
22158, 3200 S ARBOR PL, MEMPHIS, TN, 
22159, 3200 SCENIC HIGHWAY, MEMPHIS, TN, 
22160, 3200 SCOTLAND, MEMPHIS, TN, 
22161, 3200 TARANSAY, MEMPHIS, TN, 
22162, 3200 THIRD ST, MEMPHIS, TN, 
22163, 3200 THIRD, MEMPHIS, TN, 
22164, 3200 WICKHAM, MEMPHIS, TN, 
22165, 3200 WOODHILLS, MEMPHIS, TN, 
22166, 3300 13 COLONY MALL, MEMPHIS, TN, 
22167, 3300 ARDVALE, MEMPHIS, TN, 
22168, 3300 ASPEN WAY, MEMPHIS, TN, 
22169, 3300 BENJESTOWN RD, MEMPHIS, TN, 
22170, 3300 BROOKMEADE ST, MEMPHIS, TN, 
22171, 3300 CRUMP AVE, MEMPHIS, TN, 
22172, 3300 CYPRESS RD, MEMPHIS, TN, 
22173, 3300 DOUGLASS AVE, MEMPHIS, TN, 
22174, 3300 DUMBEATH CV, MEMPHIS, TN, 
