23001, ST ELMO AND HOBSON, MEMPHIS, TN, 
23002, ST ELMO AND TREZEVANT, MEMPHIS, TN, 
23003, SUMMER AND ATLANTIC, MEMPHIS, TN, 
23004, THIRD AND BEALE ST, MEMPHIS, TN, 
23005, THIRD AND MARKET, MEMPHIS, TN, 
23006, THIRD AND WEAVER, MEMPHIS, TN, 
23007, THOMAS AND CINDY, MEMPHIS, TN, 
23008, TRIGG AND ORLEANS, MEMPHIS, TN, 
23009, UNION AND DUDLEY, MEMPHIS, TN, 
23010, UNION AND WALNUT, MEMPHIS, TN, 
23011, UNIVERSITY AND VOLLINTINE, MEMPHIS, TN, 
23012, VOLLINTINE AND AYERS, MEMPHIS, TN, 
23013, VOLLINTINE AND CLAYBROOK, MEMPHIS, TN, 
23014, VOLLINTINE AND SPRINGDALE, MEMPHIS, TN, 
23015, W HILLVIEW AND ALCY, MEMPHIS, TN, 
23016, WAGNER AND GAYOSO, MEMPHIS, TN, 
23017, WALNUT GROVE AND GERMANTOWN, MEMPHIS, TN, 
23018, WASHINGTON AND FOURTH, MEMPHIS, TN, 
23019, WATKINS AND CLAIRE, MEMPHIS, TN, 
23020, WATKINS AND DUPONT, MEMPHIS, TN, 
23021, WATKINS AND SIGNAL, MEMPHIS, TN, 
23022, WATKINS AND WARNER, MEMPHIS, TN, 
23023, WEAVER AND CANARY, MEMPHIS, TN, 
23024, WEAVER AND LEVI, MEMPHIS, TN, 
23025, WHITAKER AND ELVIS PRESLEY, MEMPHIS, TN, 
23026, WHITNEY AND DELLWOOD, MEMPHIS, TN, 
23027, WINCHESTER AND GERMANTOWN RD, MEMPHIS, TN, 
23028, WINCHESTER AND GRAVES, MEMPHIS, TN, 
23029, WINCHESTER AND PRESCOTT, MEMPHIS, TN, 
23030, WINCHESTER RD AND AIRWAYS BLVD, MEMPHIS, TN, 
23031, WINCHESTER RD AND GOODLETT RD, MEMPHIS, TN, 
23032, YALE AND COLEMAN, MEMPHIS, TN, 
23033, 100 BASS PRO ST, MEMPHIS, TN, 
23034, 100 BELLEAIR, MEMPHIS, TN, 
23035, 100 CAMILLA, MEMPHIS, TN, 
23036, 100 COURT AVE, MEMPHIS, TN, 
23037, 100 DANNER CT, MEMPHIS, TN, 
23038, 100 E BELLHAVEN, MEMPHIS, TN, 
23039, 100 E BELZ, MEMPHIS, TN, 
23040, 100 E BYFIELD, MEMPHIS, TN, 
23041, 100 E FALLS RD, MEMPHIS, TN, 
23042, 100 E H CRUMP, MEMPHIS, TN, 
23043, 100 E HOLMES RD, MEMPHIS, TN, 
23044, 100 E HOLMES, MEMPHIS, TN, 
23045, 100 E MCKELLAR AVE, MEMPHIS, TN, 
23046, 100 E PEEBLES RD, MEMPHIS, TN, 
23047, 100 EAST TRIGG, MEMPHIS, TN, 
23048, 100 FARROW AVE, MEMPHIS, TN, 
23049, 100 ILLA CT, MEMPHIS, TN, 
23050, 100 MALLORY HEIGHTS DR, MEMPHIS, TN, 
23051, 100 MARNE, MEMPHIS, TN, 
23052, 100 MORRISON, MEMPHIS, TN, 
23053, 100 N 2ND, MEMPHIS, TN, 
23054, 100 N BB KING BLVD, MEMPHIS, TN, 
23055, 100 N CENTURY ST, MEMPHIS, TN, 
23056, 100 N PERKINS, MEMPHIS, TN, 
23057, 100 NOTTOWAY BLVD, MEMPHIS, TN, 
23058, 100 NOTTOWAY, MEMPHIS, TN, 
23059, 100 OTSEGO DR, MEMPHIS, TN, 
23060, 100 RACINE, MEMPHIS, TN, 
23061, 100 S 2ND ST, MEMPHIS, TN, 
23062, 100 S 4TH ST, MEMPHIS, TN, 
23063, 100 S DIANA, MEMPHIS, TN, 
23064, 100 S PARKWAY EAST AVE, MEMPHIS, TN, 
23065, 100 SOUTH PKWY E, MEMPHIS, TN, 
23066, 100 VAN HUESEN, MEMPHIS, TN, 
23067, 100 W ARMSTRONG RD, MEMPHIS, TN, 
23068, 100 W BELLE HAVEN, MEMPHIS, TN, 
23069, 100 W CAROLINA, MEMPHIS, TN, 
23070, 100 W MITCHELL RD, MEMPHIS, TN, 
23071, 100 WEST PEEBLES, MEMPHIS, TN, 
23072, 1000 ALCY, MEMPHIS, TN, 
23073, 1000 ALMA ST, MEMPHIS, TN, 
23074, 1000 BEATRICE ST, MEMPHIS, TN, 
23075, 1000 CORDOVA STATION, MEMPHIS, TN, 
23076, 1000 CRAFT, MEMPHIS, TN, 
23077, 1000 DEBB, MEMPHIS, TN, 
23078, 1000 DR HOLLIS PRICE, MEMPHIS, TN, 
23079, 1000 E ALCY, MEMPHIS, TN, 
23080, 1000 E CABANA CIRCLE, MEMPHIS, TN, 
23081, 1000 E MALLORY AVE, MEMPHIS, TN, 
23082, 1000 E SHELBY, MEMPHIS, TN, 
23083, 1000 EAST TRIGG, MEMPHIS, TN, 
23084, 1000 EVERGREEN, MEMPHIS, TN, 
23085, 1000 FIRESTONE, MEMPHIS, TN, 
23086, 1000 FOURTH, MEMPHIS, TN, 
23087, 1000 GAITERS PARK, MEMPHIS, TN, 
23088, 1000 HUDSON ST, MEMPHIS, TN, 
