25001, 1500 E ALCY RD, MEMPHIS, TN, 
25002, 1500 E PERSON AVE, MEMPHIS, TN, 
25003, 1500 EAST MALLORY, MEMPHIS, TN, 
25004, 1500 EAST PERSON, MEMPHIS, TN, 
25005, 1500 ELLISTON RD, MEMPHIS, TN, 
25006, 1500 FIELDSTONE TRAIL, MEMPHIS, TN, 
25007, 1500 GENESIS CR, MEMPHIS, TN, 
25008, 1500 HARDWOOD TRAIL, MEMPHIS, TN, 
25009, 1500 HAYNE RD, MEMPHIS, TN, 
25010, 1500 HEATHCLIFF DR, MEMPHIS, TN, 
25011, 1500 KENTUCKY, MEMPHIS, TN, 
25012, 1500 LEHR DR, MEMPHIS, TN, 
25013, 1500 LOOKOUT, MEMPHIS, TN, 
25014, 1500 LYDIA ST, MEMPHIS, TN, 
25015, 1500 MCLEMORE AVE, MEMPHIS, TN, 
25016, 1500 MILLVIEW CT, MEMPHIS, TN, 
25017, 1500 PEABODY AVE, MEMPHIS, TN, 
25018, 1500 QUAILBROOK DR, MEMPHIS, TN, 
25019, 1500 QUINBY, MEMPHIS, TN, 
25020, 1500 ROBIN HOOD, MEMPHIS, TN, 
25021, 1500 STEELE, MEMPHIS, TN, 
25022, 1500 STONEBROOK, MEMPHIS, TN, 
25023, 1500 TEXAS, MEMPHIS, TN, 
25024, 1500 WALNUT HALL, MEMPHIS, TN, 
25025, 1500 WOODSTON, MEMPHIS, TN, 
25026, 1500 WOODWARD AVE, MEMPHIS, TN, 
25027, 1600 BARTON AVE, MEMPHIS, TN, 
25028, 1600 CENTURY CENTER, MEMPHIS, TN, 
25029, 1600 CHICKERING, MEMPHIS, TN, 
25030, 1600 DENA DR, MEMPHIS, TN, 
25031, 1600 DIMWOOD ST, MEMPHIS, TN, 
25032, 1600 EAST SHELBY DR, MEMPHIS, TN, 
25033, 1600 EBROOKS, MEMPHIS, TN, 
25034, 1600 FLEETWOOD PL, MEMPHIS, TN, 
25035, 1600 GABAY ST, MEMPHIS, TN, 
25036, 1600 GAITHER ST, MEMPHIS, TN, 
25037, 1600 GOODBAR, MEMPHIS, TN, 
25038, 1600 GRIMES ST, MEMPHIS, TN, 
25039, 1600 LEVEE RD, MEMPHIS, TN, 
25040, 1600 LINDEN AVE, MEMPHIS, TN, 
25041, 1600 MALLORY, MEMPHIS, TN, 
25042, 1600 MICHAEL ST, MEMPHIS, TN, 
25043, 1600 N SECOND ST, MEMPHIS, TN, 
25044, 1600 NORTH HOLLYWOOD ST, MEMPHIS, TN, 
25045, 1600 OVERTON PARK AVE, MEMPHIS, TN, 
25046, 1600 PANAMA, MEMPHIS, TN, 
25047, 1600 PINECREST DR, MEMPHIS, TN, 
25048, 1600 POPLAR OAKS, MEMPHIS, TN, 
25049, 1600 S PKWY EAST, MEMPHIS, TN, 
25050, 1600 SALEM, MEMPHIS, TN, 
25051, 1600 TUTWILER AVE, MEMPHIS, TN, 
25052, 1600 VOLLENTINE, MEMPHIS, TN, 
25053, 1600 WHITMAN, MEMPHIS, TN, 
25054, 1600 WILLETT, MEMPHIS, TN, 
25055, 1600 WINFIELD RD, MEMPHIS, TN, 
25056, 1600 YORKSHIRE, MEMPHIS, TN, 
25057, 1700 BUXTON RD, MEMPHIS, TN, 
25058, 1700 CARNEGIE ST, MEMPHIS, TN, 
25059, 1700 CAROL, MEMPHIS, TN, 
25060, 1700 CARRUTHERS, MEMPHIS, TN, 
25061, 1700 CORNING AVE, MEMPHIS, TN, 
25062, 1700 DUNMOOR ST, MEMPHIS, TN, 
25063, 1700 EAST RAINES, MEMPHIS, TN, 
25064, 1700 ECHELS, MEMPHIS, TN, 
25065, 1700 ECHOLS, MEMPHIS, TN, 
25066, 1700 ELDRIDGE AVE, MEMPHIS, TN, 
25067, 1700 ESTATE DR, MEMPHIS, TN, 
25068, 1700 FLORIDA ST, MEMPHIS, TN, 
25069, 1700 GAITHER ST, MEMPHIS, TN, 
25070, 1700 GETWELL AVE, MEMPHIS, TN, 
25071, 1700 GOODBAR, MEMPHIS, TN, 
25072, 1700 GOTTEN, MEMPHIS, TN, 
25073, 1700 HAMILTON, MEMPHIS, TN, 
25074, 1700 HARMEN ST, MEMPHIS, TN, 
25075, 1700 HUTSON, MEMPHIS, TN, 
25076, 1700 KIRBY PKWY, MEMPHIS, TN, 
25077, 1700 KIRKWOOD DR, MEMPHIS, TN, 
25078, 1700 N GERMANTOWN RD, MEMPHIS, TN, 
25079, 1700 NORTH HOLLYWOOD, MEMPHIS, TN, 
25080, 1700 ORIOLE ST, MEMPHIS, TN, 
25081, 1700 PATTON ST, MEMPHIS, TN, 
25082, 1700 PURYEAR RD, MEMPHIS, TN, 
