26001, 4700 TULANE RD, MEMPHIS, TN, 
26002, 4700 VERNE RD, MEMPHIS, TN, 
26003, 4700 WATER MILL CV, MEMPHIS, TN, 
26004, 4700 WINTER PARK, MEMPHIS, TN, 
26005, 4800 BARFIELD, MEMPHIS, TN, 
26006, 4800 DODD, MEMPHIS, TN, 
26007, 4800 FAIRLANE DR, MEMPHIS, TN, 
26008, 4800 FLORIAN, MEMPHIS, TN, 
26009, 4800 KAYE RD, MEMPHIS, TN, 
26010, 4800 MACON RD, MEMPHIS, TN, 
26011, 4800 PERCY RD, MEMPHIS, TN, 
26012, 4800 PLEASANT RUN RD, MEMPHIS, TN, 
26013, 4800 ROCKY KNOB, MEMPHIS, TN, 
26014, 4800 YALE, MEMPHIS, TN, 
26015, 4900 APPLEVILLE ST, MEMPHIS, TN, 
26016, 4900 BARFIELD, MEMPHIS, TN, 
26017, 4900 COLE RD, MEMPHIS, TN, 
26018, 4900 DAYS CREEK BLVD, MEMPHIS, TN, 
26019, 4900 FAITH CV, MEMPHIS, TN, 
26020, 4900 HELENE RD, MEMPHIS, TN, 
26021, 4900 HIDDEN WOOD CV, MEMPHIS, TN, 
26022, 4900 HILLBROOK RD, MEMPHIS, TN, 
26023, 4900 LEVEN RD, MEMPHIS, TN, 
26024, 4900 LOCHINVAR, MEMPHIS, TN, 
26025, 4900 MENDENHALL RD, MEMPHIS, TN, 
26026, 4900 NEWTON DR, MEMPHIS, TN, 
26027, 4900 S MENDENHALL RD, MEMPHIS, TN, 
26028, 4900 S THIRD ST, MEMPHIS, TN, 
26029, 4900 SUMMER LN, MEMPHIS, TN, 
26030, 4900 TUGGLE, MEMPHIS, TN, 
26031, 4TH AND BEALE ST, MEMPHIS, TN, 
26032, 4TH AND UNION, MEMPHIS, TN, 
26033, 500 BRUINS TRACE, MEMPHIS, TN, 
26034, 500 CARBON, MEMPHIS, TN, 
26035, 500 CLOWER RD, MEMPHIS, TN, 
26036, 500 DAVANT, MEMPHIS, TN, 
26037, 500 DREGER, MEMPHIS, TN, 
26038, 500 E MALLORY AVE, MEMPHIS, TN, 
26039, 500 E WALDORF, MEMPHIS, TN, 
26040, 500 EAST CRUMP, MEMPHIS, TN, 
26041, 500 EAST MALLORY, MEMPHIS, TN, 
26042, 500 EAST SHELBY, MEMPHIS, TN, 
26043, 500 FENWICK, MEMPHIS, TN, 
26044, 500 FLEDA, MEMPHIS, TN, 
26045, 500 FOOT PARK, MEMPHIS, TN, 
26046, 500 FRONT, MEMPHIS, TN, 
26047, 500 GEORGIA AVE, MEMPHIS, TN, 
26048, 500 GLANKLER ST, MEMPHIS, TN, 
26049, 500 GREENFIELD, MEMPHIS, TN, 
26050, 500 HAZELWOOD RD, MEMPHIS, TN, 
26051, 500 LEONORA, MEMPHIS, TN, 
26052, 500 LEVI, MEMPHIS, TN, 
26053, 500 LILLIAN, MEMPHIS, TN, 
26054, 500 LORAINE DR, MEMPHIS, TN, 
26055, 500 N AVALON ST, MEMPHIS, TN, 
26056, 500 N EVERGREEN, MEMPHIS, TN, 
26057, 500 N MCNEIL ST, MEMPHIS, TN, 
26058, 500 NORTH CLEVELAND, MEMPHIS, TN, 
26059, 500 PERKINS EXTENDED, MEMPHIS, TN, 
26060, 500 S BUTLERWOODS CV, MEMPHIS, TN, 
26061, 500 S PKWY WEST, MEMPHIS, TN, 
26062, 500 S PRESCOTT ST, MEMPHIS, TN, 
26063, 500 SOUTH REESE, MEMPHIS, TN, 
26064, 500 TENACITY CT, MEMPHIS, TN, 
26065, 500 TIKAMTHI, MEMPHIS, TN, 
26066, 500 WATKINS, MEMPHIS, TN, 
26067, 5000 ALROSE AVE, MEMPHIS, TN, 
26068, 5000 BARFIELD, MEMPHIS, TN, 
26069, 5000 BARKSHIRE DR, MEMPHIS, TN, 
26070, 5000 BLUE WING ST, MEMPHIS, TN, 
26071, 5000 CHUMBLER, MEMPHIS, TN, 
26072, 5000 CLOYCE CV, MEMPHIS, TN, 
26073, 5000 COPPER VALLEY, MEMPHIS, TN, 
26074, 5000 DEE, MEMPHIS, TN, 
26075, 5000 DIANNE DR, MEMPHIS, TN, 
26076, 5000 LYNBAR, MEMPHIS, TN, 
26077, 5000 MANSON RD, MEMPHIS, TN, 
26078, 5000 MARION, MEMPHIS, TN, 
26079, 5000 N PEG LN, MEMPHIS, TN, 
26080, 5000 RALEIGH MILLINGTON, MEMPHIS, TN, 
26081, 5000 RALIEGH LAGRANGE, MEMPHIS, TN, 
26082, 5000 ROSS RD, MEMPHIS, TN, 
26083, 5000 SAGEWOOD, MEMPHIS, TN, 
26084, 5000 SOUTHRIDGE DR, MEMPHIS, TN, 
26085, 5000 TIERGARTEN ST, MEMPHIS, TN, 
26086, 5000 TUGGLE RD, MEMPHIS, TN, 
26087, 5000 VERNE RD, MEMPHIS, TN, 
26088, 5100 CITATION, MEMPHIS, TN, 
26089, 5100 COLE RD, MEMPHIS, TN, 
26090, 5100 CORO, MEMPHIS, TN, 
26091, 5100 E HOLMES RD, MEMPHIS, TN, 
26092, 5100 EIGHTH RD, MEMPHIS, TN, 
26093, 5100 ELMORE RD, MEMPHIS, TN, 
26094, 5100 GILL DR, MEMPHIS, TN, 
26095, 5100 GINGER CIRCLE, MEMPHIS, TN, 
