27001, 1400 S LEXINGTON CIR, MEMPHIS, TN, 
27002, 1400 S ORLEANS ST, MEMPHIS, TN, 
27003, 1400 TEXAS, MEMPHIS, TN, 
27004, 1400 TUNSTALL ST, MEMPHIS, TN, 
27005, 1400 VOLLENTINE, MEMPHIS, TN, 
27006, 1400 WILSON ST, MEMPHIS, TN, 
27007, 1400 WINFIELD RD, MEMPHIS, TN, 
27008, 1400 WORTHINGTON ST, MEMPHIS, TN, 
27009, 1500 AIRWAYS BOULEVARD, MEMPHIS, TN, 
27010, 1500 BLUEBERRY DR, MEMPHIS, TN, 
27011, 1500 BROOKINS ST, MEMPHIS, TN, 
27012, 1500 DANNY THOMAS, MEMPHIS, TN, 
27013, 1500 DELANO AVE, MEMPHIS, TN, 
27014, 1500 DEPASS RD, MEMPHIS, TN, 
27015, 1500 DRR, MEMPHIS, TN, 
27016, 1500 E DEMPSTER, MEMPHIS, TN, 
27017, 1500 E WALDORF AVE, MEMPHIS, TN, 
27018, 1500 ECHLES ST, MEMPHIS, TN, 
27019, 1500 ELVIS PRESLEY BL, MEMPHIS, TN, 
27020, 1500 GERMANTOWN, MEMPHIS, TN, 
27021, 1500 GILLHAM DR, MEMPHIS, TN, 
27022, 1500 HARLEM ST, MEMPHIS, TN, 
27023, 1500 HAVER CV, MEMPHIS, TN, 
27024, 1500 HUMBER ST, MEMPHIS, TN, 
27025, 1500 IVY RD, MEMPHIS, TN, 
27026, 1500 KEATING, MEMPHIS, TN, 
27027, 1500 LEFLORE PLACE, MEMPHIS, TN, 
27028, 1500 MARECHALNEIL, MEMPHIS, TN, 
27029, 1500 MULLINS STATION, MEMPHIS, TN, 
27030, 1500 N LEXINGTON CIRCLE, MEMPHIS, TN, 
27031, 1500 N WATKINS ST, MEMPHIS, TN, 
27032, 1500 N WATKINS, MEMPHIS, TN, 
27033, 1500 NORTH MERTON, MEMPHIS, TN, 
27034, 1500 OAKWOOD DR, MEMPHIS, TN, 
27035, 1500 RAINY, MEMPHIS, TN, 
27036, 1500 RESERVE, MEMPHIS, TN, 
27037, 1500 ROZELLE ST, MEMPHIS, TN, 
27038, 1500 S 3RD, MEMPHIS, TN, 
27039, 1500 S MONTGOMERY, MEMPHIS, TN, 
27040, 1500 S ORLEANS ST, MEMPHIS, TN, 
27041, 1500 S TREZVANT ST, MEMPHIS, TN, 
27042, 1500 SOUTH PRESCOTT, MEMPHIS, TN, 
27043, 1500 SOUTH THIRD ST, MEMPHIS, TN, 
27044, 1500 SOUTH WELLINGTON, MEMPHIS, TN, 
27045, 1500 SOUTH WILLETT, MEMPHIS, TN, 
27046, 1500 STACY, MEMPHIS, TN, 
27047, 1500 SUNSET ST, MEMPHIS, TN, 
27048, 1500 SYDNEY ST, MEMPHIS, TN, 
27049, 1500 TODDS CREEK, MEMPHIS, TN, 
27050, 1500 WALKER AVE, MEMPHIS, TN, 
27051, 1500 WILLET, MEMPHIS, TN, 
27052, 1500 WILLETT, MEMPHIS, TN, 
27053, 1500 WINFIELD AVE, MEMPHIS, TN, 
27054, 1600 CANE, MEMPHIS, TN, 
27055, 1600 ESTILL ST, MEMPHIS, TN, 
27056, 1600 FLEETWOOD AVE, MEMPHIS, TN, 
27057, 1600 HESTER RD, MEMPHIS, TN, 
27058, 1600 HOLMES, MEMPHIS, TN, 
27059, 1600 KENDALE AVE, MEMPHIS, TN, 
27060, 1600 LAKE GROVE ST, MEMPHIS, TN, 
27061, 1600 LAMAR CIR, MEMPHIS, TN, 
27062, 1600 LEIGH, MEMPHIS, TN, 
27063, 1600 MARCIA RD, MEMPHIS, TN, 
27064, 1600 N SECOND, MEMPHIS, TN, 
27065, 1600 PEABODY AVE, MEMPHIS, TN, 
27066, 1600 PENNSYLVANIA ( CARVER PREP SCHOOL), MEMPHIS, TN, 
27067, 1600 ROOSEVELT ST, MEMPHIS, TN, 
27068, 1600 S TREZEVANT, MEMPHIS, TN, 
27069, 1600 STACY, MEMPHIS, TN, 
27070, 1600 WELLS STATION RD, MEMPHIS, TN, 
27071, 1700 BAINE AVE, MEMPHIS, TN, 
27072, 1700 BONNIE DR, MEMPHIS, TN, 
27073, 1700 BRITTON ST, MEMPHIS, TN, 
27074, 1700 CASTALIA ST, MEMPHIS, TN, 
27075, 1700 DEARING RD, MEMPHIS, TN, 
27076, 1700 DELANO AVE, MEMPHIS, TN, 
27077, 1700 DEPASS, MEMPHIS, TN, 
27078, 1700 E ALCY RD, MEMPHIS, TN, 
27079, 1700 GALLOWAY AVE, MEMPHIS, TN, 
27080, 1700 GALVESTON ST, MEMPHIS, TN, 
27081, 1700 GEORGIAN DR, MEMPHIS, TN, 
27082, 1700 GEORGIAN, MEMPHIS, TN, 
27083, 1700 GERMANTOWN RD, MEMPHIS, TN, 
27084, 1700 GREEN DOLPHIN ST, MEMPHIS, TN, 
27085, 1700 GREGORY DR, MEMPHIS, TN, 
27086, 1700 HAYWOOD ST, MEMPHIS, TN, 
27087, 1700 IVY RD, MEMPHIS, TN, 
27088, 1700 MCMILLIAN, MEMPHIS, TN, 
27089, 1700 MERKER, MEMPHIS, TN, 
27090, 1700 MILLER ST, MEMPHIS, TN, 
27091, 1700 N HOLLYWOOD ST, MEMPHIS, TN, 
27092, 1700 N MICHELLE CIR, MEMPHIS, TN, 
27093, 1700 PILLOW ST, MEMPHIS, TN, 
27094, 1700 RAYMORE RD, MEMPHIS, TN, 
27095, 1700 RAYNER ST, MEMPHIS, TN, 
27096, 1700 ROZELLE CV, MEMPHIS, TN, 
27097, 1700 SHADOWLAWN BLVD, MEMPHIS, TN, 
27098, 1700 SOUTH COOPER, MEMPHIS, TN, 
27099, 1700 STERLING, MEMPHIS, TN, 
27100, 1700 SUNSET ST, MEMPHIS, TN, 
27101, 1700 WARNER, MEMPHIS, TN, 
27102, 1700 WILSON RD, MEMPHIS, TN, 
27103, 1700 WINSTON DR, MEMPHIS, TN, 
27104, 1800 ATLAS ST, MEMPHIS, TN, 
27105, 1800 BALDWIN AVE, MEMPHIS, TN, 
27106, 1800 BERKSHIRE, MEMPHIS, TN, 
27107, 1800 CLAIRE AVE, MEMPHIS, TN, 
27108, 1800 DELLWOOD AVE, MEMPHIS, TN, 
27109, 1800 E ALCY RD, MEMPHIS, TN, 
27110, 1800 E PERSON, MEMPHIS, TN, 
27111, 1800 ECHLES ST, MEMPHIS, TN, 
27112, 1800 EDMONDSON AVE, MEMPHIS, TN, 
27113, 1800 GALLOWAY AVE, MEMPHIS, TN, 
27114, 1800 GROVEHAVEN CIRCLE, MEMPHIS, TN, 
27115, 1800 HARTLAND ST, MEMPHIS, TN, 
27116, 1800 HOLMES RD, MEMPHIS, TN, 
27117, 1800 HOMEDALE AVE, MEMPHIS, TN, 
27118, 1800 MILLSTREAM, MEMPHIS, TN, 
27119, 1800 N GERMANTOWN RD, MEMPHIS, TN, 
27120, 1800 OZARK ST, MEMPHIS, TN, 
27121, 1800 PATRICK, MEMPHIS, TN, 
27122, 1800 PENDLETON PL, MEMPHIS, TN, 
27123, 1800 POMONA AVE, MEMPHIS, TN, 
27124, 1800 SABLE PL, MEMPHIS, TN, 
27125, 1800 SEPTEMBER AVE, MEMPHIS, TN, 
27126, 1800 ST MARGARET, MEMPHIS, TN, 
