28001, 4100 OAK CLIFF, MEMPHIS, TN, 
28002, 4100 OLD VILLAGE LN, MEMPHIS, TN, 
28003, 4100 OUTLAND RD, MEMPHIS, TN, 
28004, 4100 PHILWOOD AVE, MEMPHIS, TN, 
28005, 4100 RIVER GROVE CIRCLE, MEMPHIS, TN, 
28006, 4100 RIVER GROVE, MEMPHIS, TN, 
28007, 4100 RIVERGROVE CIR, MEMPHIS, TN, 
28008, 4100 RIVERGROVE CIRCLE, MEMPHIS, TN, 
28009, 4100 ROYALCREST, MEMPHIS, TN, 
28010, 4100 S GERMANTOWN RD, MEMPHIS, TN, 
28011, 4100 S LAKEWOOD DR, MEMPHIS, TN, 
28012, 4100 S LAKEWOOD, MEMPHIS, TN, 
28013, 4100 S WILLOW WYCK, MEMPHIS, TN, 
28014, 4100 SOCORRO DR, MEMPHIS, TN, 
28015, 4100 SPIEGEL DR, MEMPHIS, TN, 
28016, 4100 TARRY DR, MEMPHIS, TN, 
28017, 4100 W MANOR CIRCLE, MEMPHIS, TN, 
28018, 4100 W WILLOW WYCK DR, MEMPHIS, TN, 
28019, 4100 WALNUT GROVE, MEMPHIS, TN, 
28020, 4100 WISTERIA DR, MEMPHIS, TN, 
28021, 4100 ZANE, MEMPHIS, TN, 
28022, 4200 ADRICK CV, MEMPHIS, TN, 
28023, 4200 ANN CT, MEMPHIS, TN, 
28024, 4200 BARNSTABLE CV, MEMPHIS, TN, 
28025, 4200 CHARLES, MEMPHIS, TN, 
28026, 4200 CHELSEA AVE EXT, MEMPHIS, TN, 
28027, 4200 CHELSEA EXT, MEMPHIS, TN, 
28028, 4200 CRAFTON, MEMPHIS, TN, 
28029, 4200 CRUMP RD, MEMPHIS, TN, 
28030, 4200 FALCON DR, MEMPHIS, TN, 
28031, 4200 GOODWICK, MEMPHIS, TN, 
28032, 4200 GRANTHAM, MEMPHIS, TN, 
28033, 4200 KINGS GLADE DR, MEMPHIS, TN, 
28034, 4200 KOZAR AVE, MEMPHIS, TN, 
28035, 4200 LEFARGE, MEMPHIS, TN, 
28036, 4200 LEWEIR ST, MEMPHIS, TN, 
28037, 4200 MAGEE, MEMPHIS, TN, 
28038, 4200 MALLORY, MEMPHIS, TN, 
28039, 4200 MCCAIN, MEMPHIS, TN, 
28040, 4200 MICHAEL, MEMPHIS, TN, 
28041, 4200 MTN TERRACE, MEMPHIS, TN, 
28042, 4200 NEW GETWELL, MEMPHIS, TN, 
28043, 4200 OWEN RD, MEMPHIS, TN, 
28044, 4200 RAINTREE CV, MEMPHIS, TN, 
28045, 4200 RALEIGHWOODS, MEMPHIS, TN, 
28046, 4200 RIDGEMOOR, MEMPHIS, TN, 
28047, 4200 SAINT ELMO AVE, MEMPHIS, TN, 
28048, 4200 STAGE, MEMPHIS, TN, 
28049, 4200 STEELE, MEMPHIS, TN, 
28050, 4200 STILLWOOD, MEMPHIS, TN, 
28051, 4200 TOMAHAWK, MEMPHIS, TN, 
28052, 4200 W MANOR CIR, MEMPHIS, TN, 
28053, 4200 WINDING BROOK DR, MEMPHIS, TN, 
28054, 4200 WORDEN CV, MEMPHIS, TN, 
28055, 4300 BEACON HILLS DR, MEMPHIS, TN, 
28056, 4300 BOYCE RD, MEMPHIS, TN, 
28057, 4300 CANDLELIGHT DR, MEMPHIS, TN, 
28058, 4300 CEDAR TREE DR, MEMPHIS, TN, 
28059, 4300 ELMRIDGE ST, MEMPHIS, TN, 
28060, 4300 FAIRMONT AVE, MEMPHIS, TN, 
28061, 4300 FAYETTE RD, MEMPHIS, TN, 
28062, 4300 FOX RACE CV, MEMPHIS, TN, 
28063, 4300 MEADOW RIDGE, MEMPHIS, TN, 
28064, 4300 MICKEY DR, MEMPHIS, TN, 
28065, 4300 N AMANDA CIR, MEMPHIS, TN, 
28066, 4300 NAVAHO AVE, MEMPHIS, TN, 
28067, 4300 NEW ALLEN, MEMPHIS, TN, 
28068, 4300 OWEN RD, MEMPHIS, TN, 
