2001, 5200 AIRWAYS, MEMPHIS, TN, 
2002, 5300 PLEASANT VIEW, MEMPHIS, TN, 
2003, 5600 POPLAR, MEMPHIS, TN, 
2004, 6200 WATERSTONE OAK WAY, MEMPHIS, TN, 
2005, 6300 LAKE ARBOR PLACE, MEMPHIS, TN, 
2006, 6500 CROSSBROOK LN, MEMPHIS, TN, 
2007, 800 INEZ, MEMPHIS, TN, 
2008, 800 N DUNLAP, MEMPHIS, TN, 
2009, 8400 CHAMPIONSHIP DR, MEMPHIS, TN, 
2010, WINCHESTER AND KNIGHT, MEMPHIS, TN, 
2011, 100 S MCLEAN, MEMPHIS, TN, 
2012, 1000 DEB, MEMPHIS, TN, 
2013, 1100 ALICE, MEMPHIS, TN, 
2014, 1300 HAYNES, MEMPHIS, TN, 
2015, 1500 WINCHESTER, MEMPHIS, TN, 
2016, 1600 DUKE, MEMPHIS, TN, 
2017, 1600 MILLER, MEMPHIS, TN, 
2018, 1800 MORLYE PLACE, MEMPHIS, TN, 
2019, 2000 PINEDALE, MEMPHIS, TN, 
2020, 2200 WESTCHESTER CIRCLE, MEMPHIS, TN, 
2021, 3100 BENJESTOWN, MEMPHIS, TN, 
2022, 3200 BENJESTOWN, MEMPHIS, TN, 
2023, 3500 BENBOW DR, MEMPHIS, TN, 
2024, 3500 BUCHANAN, MEMPHIS, TN, 
2025, 3500 PARK AVE, MEMPHIS, TN, 
2026, 3600 EASTLINE, MEMPHIS, TN, 
2027, 3600 WINGOOD CIR, MEMPHIS, TN, 
2028, 3900 HICKORY HILL RD, MEMPHIS, TN, 
2029, 4300 KNIGHT ARNOLD, MEMPHIS, TN, 
2030, 4600 WATERMILL DR, MEMPHIS, TN, 
2031, 4700 HORN LAKE RD, MEMPHIS, TN, 
2032, 4700 HORN LAKE, MEMPHIS, TN, 
2033, 5300 LAMAR AVE, MEMPHIS, TN, 
2034, 5400 MEADOWLAKE DR N, MEMPHIS, TN, 
2035, 6100 BLACKBIRD, MEMPHIS, TN, 
2036, 6600 GREENWOOD DR, MEMPHIS, TN, 
2037, 700 KEEL, MEMPHIS, TN, 
2038, 700 W MITCHELL RD, MEMPHIS, TN, 
2039, 800 DAVID, MEMPHIS, TN, 
2040, 800 N GERMANTOWN PKWY, MEMPHIS, TN, 
2041, 900 BALTIC, MEMPHIS, TN, 
2042, 100 E DEMPSTER, MEMPHIS, TN, 
2043, 100 S SECOND ST, MEMPHIS, TN, 
2044, 100 S SECOND, MEMPHIS, TN, 
2045, 1000 PAR, MEMPHIS, TN, 
2046, 1200 SEVERSON, MEMPHIS, TN, 
2047, 1400 CHADWICK CIRCLE, MEMPHIS, TN, 
2048, 1400 KNEY, MEMPHIS, TN, 
2049, 1400 TUTWILER, MEMPHIS, TN, 
2050, 1600 MCMILLAN, MEMPHIS, TN, 
2051, 1900 SECOND CV, MEMPHIS, TN, 
2052, 200 N AVALON, MEMPHIS, TN, 
2053, 2100 FARRINGTON, MEMPHIS, TN, 
2054, 2800 SUPREME, MEMPHIS, TN, 
2055, 2900 LAMAR AVE, MEMPHIS, TN, 
2056, 3000 YALE, MEMPHIS, TN, 
2057, 3200 AMBER LEAF LN, MEMPHIS, TN, 
2058, 3300 ADEN, MEMPHIS, TN, 
2059, 3300 AIRWAYS, MEMPHIS, TN, 
2060, 3400 NORTH TREZEVANT, MEMPHIS, TN, 
2061, 3400 PARK, MEMPHIS, TN, 
2062, 3700 VIVIA, MEMPHIS, TN, 
2063, 3800 ELVIS PRESLEY, MEMPHIS, TN, 
2064, 4100 KIRBY PKWAY, MEMPHIS, TN, 
2065, 4300 COTTONWOOD, MEMPHIS, TN, 
2066, 4600 BRINDLEY, MEMPHIS, TN, 
2067, 500 DELTA, MEMPHIS, TN, 
2068, 5100 RALEIGH LAGRANGE RD, MEMPHIS, TN, 
2069, 5400 SANTA MONICA, MEMPHIS, TN, 
2070, 6200 BRAXTON LN, MEMPHIS, TN, 
2071, 1000 LATHAM, MEMPHIS, TN, 
2072, 1100 SPRINGDALE, MEMPHIS, TN, 
2073, 1400 VOLLEYBALL LN, MEMPHIS, TN, 
2074, 1500 KIMBALL, MEMPHIS, TN, 
2075, 1700 E BROOKS, MEMPHIS, TN, 
2076, 1800 BOXBERRY, MEMPHIS, TN, 
2077, 1800 LANIER LN, MEMPHIS, TN, 
2078, 1800 MORLYE, MEMPHIS, TN, 
2079, 2000 TODD, MEMPHIS, TN, 
2080, 2200 MARBLE, MEMPHIS, TN, 
2081, 2300 FOREST HILL CT, MEMPHIS, TN, 
2082, 2400 BOYLE, MEMPHIS, TN, 
2083, 2500 HUNTER, MEMPHIS, TN, 
2084, 3000 MILLBRANCH, MEMPHIS, TN, 
2085, 3300 PRINCETON, MEMPHIS, TN, 
2086, 3400 BENBOW, MEMPHIS, TN, 
2087, 3400 E WINCHESTER PLACE, MEMPHIS, TN, 
2088, 3600 ELVIS PRESLEY, MEMPHIS, TN, 
2089, 3600 KIRBY RD, MEMPHIS, TN, 
2090, 3800 WINDERMERE, MEMPHIS, TN, 
2091, 3900 KERSTON, MEMPHIS, TN, 
2092, 4100 HITCHCOCK, MEMPHIS, TN, 
2093, 4500 STONEGATE DR, MEMPHIS, TN, 
2094, 4600 STAGE RD, MEMPHIS, TN, 
2095, 4800 WINCHESTER RD, MEMPHIS, TN, 
2096, 5200 S THIRD ST, MEMPHIS, TN, 
2097, 600 ALABAMA, MEMPHIS, TN, 
2098, 600 BOSTON, MEMPHIS, TN, 
2099, 6700 MACON RD, MEMPHIS, TN, 
2100, 6800 RALEIGH LAGRANGE, MEMPHIS, TN, 
2101, 700 JEFFERSON, MEMPHIS, TN, 
2102, 700 TATE, MEMPHIS, TN, 
2103, 7700 WINCHESTER, MEMPHIS, TN, 
2104, 800 LUCY, MEMPHIS, TN, 
2105, 8000 CLUB CENTER DR, MEMPHIS, TN, 
2106, 900 BARTLETT, MEMPHIS, TN, 
2107, 900 WOODLAWN, MEMPHIS, TN, 
2108, JEFFERSON AND CLAYBROOK, MEMPHIS, TN, 
2109, RIVERSIDE AND BEALE, MEMPHIS, TN, 
2110, 1000 EARLY MAXWELL, MEMPHIS, TN, 
2111, 1100 SEMMES, MEMPHIS, TN, 
2112, 1400 SNOWDEN, MEMPHIS, TN, 
2113, 1400 WALNUT HALL CT, MEMPHIS, TN, 
2114, 1700 CAMERON, MEMPHIS, TN, 
2115, 1700 GOWAN, MEMPHIS, TN, 
2116, 1800 CRIMSON, MEMPHIS, TN, 
2117, 1900 E BROOKS RD, MEMPHIS, TN, 
2118, 2100 WALL ST, MEMPHIS, TN, 
2119, 2300 PARK AVE, MEMPHIS, TN, 
2120, 2500 DEADRICK, MEMPHIS, TN, 
2121, 300 MADISON, MEMPHIS, TN, 
2122, 300 MODDER, MEMPHIS, TN, 
2123, 3000 SOUTHWALL, MEMPHIS, TN, 
2124, 3100 KNIGHTWAY, MEMPHIS, TN, 
2125, 3200 NATHAN, MEMPHIS, TN, 
2126, 3600 MENDENHALL RD, MEMPHIS, TN, 
2127, 3600 MILLBRANCH, MEMPHIS, TN, 
2128, 3700 SHARPE, MEMPHIS, TN, 
2129, 3800 ROCKWOOD, MEMPHIS, TN, 
2130, 3900 SOUTH ADVANTAGE WAY, MEMPHIS, TN, 
2131, 4200 2ND NORTHSIDE DR, MEMPHIS, TN, 
2132, 4600 ADDINGTON, MEMPHIS, TN, 
2133, 4800 HORN LAKE RD, MEMPHIS, TN, 
2134, 4900 APPLESTONE, MEMPHIS, TN, 
2135, 500 BOSTON, MEMPHIS, TN, 
2136, 5800 WATERSTONE OAKWAY, MEMPHIS, TN, 
2137, 800 EVA, MEMPHIS, TN, 
2138, MENDENHALL AND WINCHESTER, MEMPHIS, TN, 
2139, 1000 NEPTUNE, MEMPHIS, TN, 
2140, 1300 MADISON AVE, MEMPHIS, TN, 
2141, 1400 E PERSON AVE, MEMPHIS, TN, 
2142, 1700 HELSLEY, MEMPHIS, TN, 
2143, 1800 FRAYSER, MEMPHIS, TN, 
2144, 200 S MAIN, MEMPHIS, TN, 
2145, 2000 CLIFTON, MEMPHIS, TN, 
2146, 2100 WINCHESTER RD, MEMPHIS, TN, 
2147, 2200 MADISON AVE, MEMPHIS, TN, 
2148, 2700 CENTRAL AVE, MEMPHIS, TN, 
2149, 3100 CAPRI, MEMPHIS, TN, 
2150, 3100 NATHAN, MEMPHIS, TN, 
2151, 3200 WRITE PL, MEMPHIS, TN, 
2152, 3500 HECKLE, MEMPHIS, TN, 
2153, 3600 CHRISTINE, MEMPHIS, TN, 
2154, 3600 GRACELAND, MEMPHIS, TN, 
2155, 3600 WESTLINE, MEMPHIS, TN, 
2156, 3700 CLAYMORE, MEMPHIS, TN, 
2157, 3700 W WINCHESTER SQ, MEMPHIS, TN, 
2158, 3900 RIDGEWAY RD, MEMPHIS, TN, 
2159, 4200 ARROWHEAD, MEMPHIS, TN, 
2160, 4200 NAVAHO, MEMPHIS, TN, 
2161, 4500 MEDLEY LN, MEMPHIS, TN, 
2162, 600 WALKER, MEMPHIS, TN, 
2163, 6300 LAKE VIEW TRAIL, MEMPHIS, TN, 
2164, 700 N GERMANTOWN, MEMPHIS, TN, 
2165, 700 S LAUDERDALE, MEMPHIS, TN, 
2166, 7900 WINCHESTER RD, MEMPHIS, TN, 
2167, 800 AYERS, MEMPHIS, TN, 
2168, 900 BERCLAIR, MEMPHIS, TN, 
2169, 900 CHELSEA AVE, MEMPHIS, TN, 
2170, 900 EXOCET, MEMPHIS, TN, 
2171, 1100 GARLAND, MEMPHIS, TN, 
2172, 1200 MANASSAS, MEMPHIS, TN, 
2173, 1800 BROOKGREEN DR, MEMPHIS, TN, 
2174, 2000 S LAUDERDALE, MEMPHIS, TN, 
2175, 2300 DEMOCRAT RD, MEMPHIS, TN, 
2176, 2400 ELVIS PRESLEY, MEMPHIS, TN, 
2177, 2700 DUNN, MEMPHIS, TN, 
2178, 2700 LAROSE, MEMPHIS, TN, 
2179, 2700 MIDLAND, MEMPHIS, TN, 
2180, 2800 GRUBER, MEMPHIS, TN, 
2181, 2800 WARFORD, MEMPHIS, TN, 
2182, 3100 SUNRISE, MEMPHIS, TN, 
2183, 3200 PRINCETON, MEMPHIS, TN, 
2184, 3300 MACON, MEMPHIS, TN, 
2185, 3600 GOWAN, MEMPHIS, TN, 
2186, 3700 ROYAL WOOD, MEMPHIS, TN, 
2187, 3900 BURR, MEMPHIS, TN, 
2188, 3900 GOLDEN EAGLE DR, MEMPHIS, TN, 
2189, 400 MADISON AVE, MEMPHIS, TN, 
2190, 4100 EAGLE RIVER, MEMPHIS, TN, 
2191, 4200 ALPS, MEMPHIS, TN, 
2192, 4300 S THIRD, MEMPHIS, TN, 
2193, 4300 WESTOVER, MEMPHIS, TN, 
2194, 4800 AMERICAN WAY, MEMPHIS, TN, 
2195, 4900 SHAYNE LN, MEMPHIS, TN, 
2196, 5300 LAMAR, MEMPHIS, TN, 
2197, 5400 GETWELL RD, MEMPHIS, TN, 
2198, 800 BARTLETT, MEMPHIS, TN, 
2199, 900 ALMA, MEMPHIS, TN, 
2200, CHELSEA AND HOLLYWOOD, MEMPHIS, TN, 
2201, GETWELL AND AMERICAN WAY, MEMPHIS, TN, 
2202, 1500 DEXTER LAKE DR, MEMPHIS, TN, 
2203, 1600 BARTON, MEMPHIS, TN, 
2204, 1600 BROOKS, MEMPHIS, TN, 
2205, 1600 CORNING, MEMPHIS, TN, 
2206, 1600 DALLAS, MEMPHIS, TN, 
2207, 1600 POPE, MEMPHIS, TN, 
2208, 1600 S LAUDERDALE, MEMPHIS, TN, 
2209, 200 E NORWOOD, MEMPHIS, TN, 
2210, 200 N HOLLYWOOD, MEMPHIS, TN, 
2211, 2000 ELVIS PRESLEY, MEMPHIS, TN, 
2212, 2100 PEABODY, MEMPHIS, TN, 
2213, 2200 FLORIDA, MEMPHIS, TN, 
2214, 2200 PARKHURST CT, MEMPHIS, TN, 
2215, 2600 LAMAR AVE, MEMPHIS, TN, 
2216, 2700 FILMORE, MEMPHIS, TN, 
2217, 2700 N GERMANTOWN RD, MEMPHIS, TN, 
2218, 300 GARLAND, MEMPHIS, TN, 
2219, 300 S MAIN ST, MEMPHIS, TN, 
2220, 3300 BOXDALE, MEMPHIS, TN, 
2221, 3500 POWELL, MEMPHIS, TN, 
2222, 3600 BOWEN, MEMPHIS, TN, 
2223, 3600 EASTLINE DR, MEMPHIS, TN, 
2224, 3600 VENABLE, MEMPHIS, TN, 
2225, 3700 TIMBERLINE DR, MEMPHIS, TN, 
2226, 3700 WATKINS, MEMPHIS, TN, 
2227, 3800 STATION WAY, MEMPHIS, TN, 
2228, 400 POPLAR AVE, MEMPHIS, TN, 
2229, 4100 BAYLISS, MEMPHIS, TN, 
2230, 4200 RAINWOOD DR, MEMPHIS, TN, 
2231, 4700 WINCHESTER RD, MEMPHIS, TN, 
2232, 4900 CITATION DR, MEMPHIS, TN, 
2233, 500 MARIANNA, MEMPHIS, TN, 
2234, 5000 POPLAR, MEMPHIS, TN, 
2235, 5000 SUMMER, MEMPHIS, TN, 
2236, 600 LIPFORD, MEMPHIS, TN, 
2237, 6000 BIRDIE CV, MEMPHIS, TN, 
2238, KNIGHT ARNOLD AND PERKINS, MEMPHIS, TN, 
2239, PARK AND AIRWAYS, MEMPHIS, TN, 
2240, PERKINS AND KNIGHT ARNOLD, MEMPHIS, TN, 
2241, STEELE AND DELLWOOD, MEMPHIS, TN, 
