29001, PLEASANT VIEW AND COVINGTON PIKE, MEMPHIS, TN, 
29002, PLEASANT VIEW AND SYCAMORE VIEW, MEMPHIS, TN, 
29003, PLOUGH AND WINCHESTER, MEMPHIS, TN, 
29004, PONTOTOC AND S MAIN, MEMPHIS, TN, 
29005, POPE AND CRUMP, MEMPHIS, TN, 
29006, POPE AND FAXON, MEMPHIS, TN, 
29007, POPE AND GIVEN, MEMPHIS, TN, 
29008, POPLAR AND E PKWY, MEMPHIS, TN, 
29009, POPLAR AND EAST PKWY, MEMPHIS, TN, 
29010, POPLAR AND GROVE PARK, MEMPHIS, TN, 
29011, POPLAR AND LAFAYETTE, MEMPHIS, TN, 
29012, POPLAR AND N MANASSAS, MEMPHIS, TN, 
29013, PORTER AND ALSTON, MEMPHIS, TN, 
29014, POWELL AND HOLMES, MEMPHIS, TN, 
29015, PRESCOTT AND SHARPE, MEMPHIS, TN, 
29016, PRESCOTT AND SPOTTSWOOD, MEMPHIS, TN, 
29017, QUINCE AND ESTATE, MEMPHIS, TN, 
29018, RACE AND REGENT, MEMPHIS, TN, 
29019, RAINES AND HORNLAKE, MEMPHIS, TN, 
29020, RAINES AND RIVERDALE, MEMPHIS, TN, 
29021, RAINES RD AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
29022, RALEIGH MILLINGTON AND CRAIN, MEMPHIS, TN, 
29023, RALEIGH MILLINGTON AND NEW ALLEN, MEMPHIS, TN, 
29024, RANGELINE AND NADINE, MEMPHIS, TN, 
29025, RIDGEWAY AND RIDGELINE, MEMPHIS, TN, 
29026, RIDGEWAY BLVD AND RIDGEWAY RD, MEMPHIS, TN, 
29027, RIVERPORT AND RIVERGATE, MEMPHIS, TN, 
29028, RIVERSIDE DR AND BEALE, MEMPHIS, TN, 
29029, RIVERSIDE DR, MEMPHIS, TN, 
29030, S HIGHLAND AND SOUTHERN, MEMPHIS, TN, 
29031, S PKWY AND CASTALIA, MEMPHIS, TN, 
29032, S PKWY AND ELVIS PRESLEY, MEMPHIS, TN, 
29033, S PKWY AND ENGLEWOOD, MEMPHIS, TN, 
29034, S PKWY AND MCMILLAN, MEMPHIS, TN, 
29035, S THIRD AND BROOKS, MEMPHIS, TN, 
29036, SAM COOPER AND CARPENTER, MEMPHIS, TN, 
29037, SAM COOPER AND COLLINS, MEMPHIS, TN, 
29038, SAM COOPER AND HOLLYWOOD, MEMPHIS, TN, 
29039, SAX AND MITCHELL, MEMPHIS, TN, 
29040, SECOND AND PONTOTOC, MEMPHIS, TN, 
29041, SEVENTH AND BICKFORD, MEMPHIS, TN, 
29042, SHARPE AND S HIGHLAND, MEMPHIS, TN, 
29043, SHELBY AND AIRWAYS, MEMPHIS, TN, 
29044, SHELBY DR AND AIRWAYS BLVD, MEMPHIS, TN, 
