30001, 300 S BARKSDALE, MEMPHIS, TN, 
30002, 300 S COX, MEMPHIS, TN, 
30003, 300 S THIRD ST, MEMPHIS, TN, 
30004, 300 S YATES, MEMPHIS, TN, 
30005, 300 SOUTH FRONT ST, MEMPHIS, TN, 
30006, 300 STAFFORD CL, MEMPHIS, TN, 
30007, 300 STAFFORD, MEMPHIS, TN, 
30008, 300 SULLIVAN DR, MEMPHIS, TN, 
30009, 300 SUMMERWOOD AVE, MEMPHIS, TN, 
30010, 300 T M HENDERSON, MEMPHIS, TN, 
30011, 300 UNITY LN, MEMPHIS, TN, 
30012, 300 VANCE AVE, MEMPHIS, TN, 
30013, 300 W BURDOCK AVE, MEMPHIS, TN, 
30014, 300 W ESSEX ST, MEMPHIS, TN, 
30015, 300 W ILLINOIS AVE, MEMPHIS, TN, 
30016, 300 WAGNER PLACE, MEMPHIS, TN, 
30017, 300 WAGNER, MEMPHIS, TN, 
30018, 300 WALKER AVE, MEMPHIS, TN, 
30019, 300 WESLEY FORREST DR, MEMPHIS, TN, 
30020, 300 WESLEY FORREST, MEMPHIS, TN, 
30021, 300 WEST MITCHELL, MEMPHIS, TN, 
30022, 300 WEST NORWOOD, MEMPHIS, TN, 
30023, 300 WEST PERSON AVE, MEMPHIS, TN, 
30024, 300 WINDOVER GROVE, MEMPHIS, TN, 
30025, 300 WINDOVER RD, MEMPHIS, TN, 
30026, 3000 ALLEN RD, MEMPHIS, TN, 
30027, 3000 BREWER ST, MEMPHIS, TN, 
30028, 3000 CAMDEN ST, MEMPHIS, TN, 
30029, 3000 CARNOUSTIE, MEMPHIS, TN, 
30030, 3000 CARRINGTON RD, MEMPHIS, TN, 
30031, 3000 DUMBEATH, MEMPHIS, TN, 
30032, 3000 E GLENGARRY RD, MEMPHIS, TN, 
30033, 3000 E GLENGARRY, MEMPHIS, TN, 
30034, 3000 GULF AVE, MEMPHIS, TN, 
30035, 3000 HIGHWAY 61, MEMPHIS, TN, 
30036, 3000 HOMEWOOD DR, MEMPHIS, TN, 
30037, 3000 HUNTINGTON TRAIL DR, MEMPHIS, TN, 
30038, 3000 INVERGARRY RD, MEMPHIS, TN, 
30039, 3000 KATE BOND, MEMPHIS, TN, 
30040, 3000 KIRBY MLISS CV, MEMPHIS, TN, 
30041, 3000 LARKWOOD CV, MEMPHIS, TN, 
30042, 3000 LETREC, MEMPHIS, TN, 
30043, 3000 MAPLEHURST, MEMPHIS, TN, 
30044, 3000 N RADFORD RD, MEMPHIS, TN, 
30045, 3000 OVERTON XING, MEMPHIS, TN, 
30046, 3000 PALM ST, MEMPHIS, TN, 
30047, 3000 ROBBIEDON, MEMPHIS, TN, 
30048, 3000 SHULTS DR, MEMPHIS, TN, 
30049, 3000 SKY WAY DR, MEMPHIS, TN, 
30050, 3000 STARLING PLACE, MEMPHIS, TN, 
30051, 3000 TREZEVANT, MEMPHIS, TN, 
30052, 3000 WOODHILLS, MEMPHIS, TN, 
30053, 3000 YOUNG, MEMPHIS, TN, 
30054, 3100 AIRWAYS BOULEVARD, MEMPHIS, TN, 
30055, 3100 BAY CV, MEMPHIS, TN, 
30056, 3100 BEAGLE, MEMPHIS, TN, 
30057, 3100 BEECHRUN DR, MEMPHIS, TN, 
30058, 3100 BOONE, MEMPHIS, TN, 
30059, 3100 BOXDALE ST, MEMPHIS, TN, 
