31001, 5800 DUTTON, MEMPHIS, TN, 
31002, 5800 FENWAY DR, MEMPHIS, TN, 
31003, 5800 FOREST HILL DR, MEMPHIS, TN, 
31004, 5800 HOLMES RD, MEMPHIS, TN, 
31005, 5800 MOUNT MORIAH, MEMPHIS, TN, 
31006, 5800 MT MORIAH EXT, MEMPHIS, TN, 
31007, 5800 MTMORIAH, MEMPHIS, TN, 
31008, 5800 NANJACK CIR, MEMPHIS, TN, 
31009, 5800 NANJACK, MEMPHIS, TN, 
31010, 5800 RAL LAGRANGE, MEMPHIS, TN, 
31011, 5800 S SILVERCREEK DR, MEMPHIS, TN, 
31012, 5800 SHELBY OAK, MEMPHIS, TN, 
31013, 5800 SILVER CREEK DR N, MEMPHIS, TN, 
31014, 5800 SILVERCREEK NORTH, MEMPHIS, TN, 
31015, 5800 SUMMER AVE, MEMPHIS, TN, 
31016, 5900 BENEDINE, MEMPHIS, TN, 
31017, 5900 CEDAR FOREST DR, MEMPHIS, TN, 
31018, 5900 CEDAR FORREST DR, MEMPHIS, TN, 
31019, 5900 E HOLMES RD, MEMPHIS, TN, 
31020, 5900 HICKORY GREEN DR, MEMPHIS, TN, 
31021, 5900 HICKORY GREENE, MEMPHIS, TN, 
31022, 5900 JULIAN DR, MEMPHIS, TN, 
31023, 5900 LOCHMOOR AVE, MEMPHIS, TN, 
31024, 5900 PEBBLE BEACH AVE, MEMPHIS, TN, 
31025, 5900 RALEIGH LAGRANGE, MEMPHIS, TN, 
31026, 5900 S NEWBERRY LN, MEMPHIS, TN, 
31027, 5900 SANDHURST, MEMPHIS, TN, 
31028, 5900 TAM OSHANTER, MEMPHIS, TN, 
31029, 600 BELTLINE ST, MEMPHIS, TN, 
31030, 600 BIRTHSTONE CV, MEMPHIS, TN, 
31031, 600 BLACKHAWK RD, MEMPHIS, TN, 
31032, 600 BOYD ST, MEMPHIS, TN, 
31033, 600 BURLINGTON CR, MEMPHIS, TN, 
31034, 600 CARPENTER ST, MEMPHIS, TN, 
31035, 600 CHELSEA, MEMPHIS, TN, 
31036, 600 CITY HOUSE CT, MEMPHIS, TN, 
31037, 600 CRUMP, MEMPHIS, TN, 
31038, 600 DIANA ST, MEMPHIS, TN, 
31039, 600 DREGER RD, MEMPHIS, TN, 
31040, 600 E H CRUMP, MEMPHIS, TN, 
31041, 600 E OLIVE AVE, MEMPHIS, TN, 
31042, 600 E PKWY SOUTH, MEMPHIS, TN, 
31043, 600 EAST ALSTON, MEMPHIS, TN, 
31044, 600 GAINSVILLE RD, MEMPHIS, TN, 
31045, 600 GEORGE RD, MEMPHIS, TN, 
31046, 600 GOODWYN ST, MEMPHIS, TN, 
31047, 600 GRAHAMWOOD, MEMPHIS, TN, 
31048, 600 HAMPTON PLACE, MEMPHIS, TN, 
31049, 600 HEMSLEY RD, MEMPHIS, TN, 
31050, 600 HIGHPOINT TERRACE, MEMPHIS, TN, 
31051, 600 HOLMES RD, MEMPHIS, TN, 
31052, 600 HONDURAS RD, MEMPHIS, TN, 
31053, 600 JACKLYN ST, MEMPHIS, TN, 
31054, 600 JEANETTE, MEMPHIS, TN, 
31055, 600 LEACREST, MEMPHIS, TN, 
31056, 600 LEAVERT AVE, MEMPHIS, TN, 
31057, 600 MAIN, MEMPHIS, TN, 
31058, 600 MCKELLAR, MEMPHIS, TN, 
31059, 600 MCKINLEY ST, MEMPHIS, TN, 
31060, 600 MELODY LN, MEMPHIS, TN, 
31061, 600 MOCCASIN DR, MEMPHIS, TN, 
31062, 600 MONROE, MEMPHIS, TN, 
31063, 600 N 2ND, MEMPHIS, TN, 
31064, 600 N 5TH ST, MEMPHIS, TN, 
31065, 600 N BELLEVUE BLVD, MEMPHIS, TN, 
31066, 600 N TREZEVANT, MEMPHIS, TN, 
31067, 600 NORTH HOLMES, MEMPHIS, TN, 
31068, 600 ORCHARD AVE, MEMPHIS, TN, 
31069, 600 PATTERSON ST, MEMPHIS, TN, 
31070, 600 S HIGHLAND AVE, MEMPHIS, TN, 
31071, 600 S LAURADALE, MEMPHIS, TN, 
31072, 600 S PKWY EAST, MEMPHIS, TN, 
31073, 600 S REMBERT, MEMPHIS, TN, 
31074, 600 S SECOND ST, MEMPHIS, TN, 
31075, 600 SANDRIDGE ST, MEMPHIS, TN, 
31076, 600 SOUTH DANNY THOMAS, MEMPHIS, TN, 
31077, 600 SOUTH PKWY E, MEMPHIS, TN, 
31078, 600 SOUTH SECOND, MEMPHIS, TN, 
31079, 600 STONEWALL ST, MEMPHIS, TN, 
31080, 600 TRIGG, MEMPHIS, TN, 
31081, 600 W SHELBY, MEMPHIS, TN, 
