32001, 1000 LENNOW PARK, MEMPHIS, TN, 
32002, 1000 LYCOMEDES CV, MEMPHIS, TN, 
32003, 1000 MARBLE AVE, MEMPHIS, TN, 
32004, 1000 MCEVERS RD, MEMPHIS, TN, 
32005, 1000 MITCHELL, MEMPHIS, TN, 
32006, 1000 N 2ND ST, MEMPHIS, TN, 
32007, 1000 N AUBURNDALE ST, MEMPHIS, TN, 
32008, 1000 N AUBURNDALE, MEMPHIS, TN, 
32009, 1000 N BELVEDERE BLVD, MEMPHIS, TN, 
32010, 1000 N EVERGREEN ST, MEMPHIS, TN, 
32011, 1000 NORTH CLAYBROOK, MEMPHIS, TN, 
32012, 1000 NORTH EVERGREEN, MEMPHIS, TN, 
32013, 1000 NOVARESE RD, MEMPHIS, TN, 
32014, 1000 OAKMOUNT PLACE, MEMPHIS, TN, 
32015, 1000 PAWNEE AVE, MEMPHIS, TN, 
32016, 1000 RANDALL, MEMPHIS, TN, 
32017, 1000 REDDOCH, MEMPHIS, TN, 
32018, 1000 RIDGEWAY LOOP RD, MEMPHIS, TN, 
32019, 1000 RIVER LANDING, MEMPHIS, TN, 
32020, 1000 S BELLEVUE BLVD, MEMPHIS, TN, 
32021, 1000 S BELLEVUE, MEMPHIS, TN, 
32022, 1000 S COX ST, MEMPHIS, TN, 
32023, 1000 S PERKINS, MEMPHIS, TN, 
32024, 1000 SHADY GROVE RD, MEMPHIS, TN, 
32025, 1000 SOUTH COX, MEMPHIS, TN, 
32026, 1000 SOUTH MCLEAN, MEMPHIS, TN, 
32027, 1000 SOUTH WILLETT ST, MEMPHIS, TN, 
32028, 1000 STAGE AVE, MEMPHIS, TN, 
32029, 1000 STAGE RD, MEMPHIS, TN, 
32030, 1000 STRATFORD RD, MEMPHIS, TN, 
32031, 1000 TREZEVANT, MEMPHIS, TN, 
32032, 1000 VOLLENTINE, MEMPHIS, TN, 
32033, 1000 WATERLILLY TRAIL, MEMPHIS, TN, 
32034, 1000 WENDY LOU CT, MEMPHIS, TN, 
32035, 1000 WESTERN PARK DR, MEMPHIS, TN, 
32036, 1000 WHITE STATION, MEMPHIS, TN, 
32037, 1000 WHITNEY AVE, MEMPHIS, TN, 
32038, 1000 WILLOUGHBY ST, MEMPHIS, TN, 
32039, 10100 CAMERON RIDGE, MEMPHIS, TN, 
32040, 10100 HOUSTON BIRCH DR, MEMPHIS, TN, 
32041, 10100 TAILWATER, MEMPHIS, TN, 
32042, 10200 HAVANESE LN, MEMPHIS, TN, 
32043, 10200 TALL HICKORY, MEMPHIS, TN, 
32044, 10300 COTTAGE OAKS DR, MEMPHIS, TN, 
32045, 10300 EVENING HILL DR, MEMPHIS, TN, 
32046, 1100 ALDEN RD, MEMPHIS, TN, 
32047, 1100 ARGYLE AVE, MEMPHIS, TN, 
32048, 1100 AUDUBON DR, MEMPHIS, TN, 
32049, 1100 AZALIA ST, MEMPHIS, TN, 
32050, 1100 BELLEVUE, MEMPHIS, TN, 
32051, 1100 BOSTON, MEMPHIS, TN, 
32052, 1100 BOURBON PLACE, MEMPHIS, TN, 
32053, 1100 CABANA EAST, MEMPHIS, TN, 
32054, 1100 CAREY, MEMPHIS, TN, 
32055, 1100 COX, MEMPHIS, TN, 
32056, 1100 CRESTON AVE, MEMPHIS, TN, 
