33001, 2900 REDWING RD, MEMPHIS, TN, 
33002, 2900 ROCKCREEK, MEMPHIS, TN, 
33003, 2900 SEMMES AVE, MEMPHIS, TN, 
33004, 2900 SHADY OAK DR, MEMPHIS, TN, 
33005, 2900 SPRING RIDGE DR, MEMPHIS, TN, 
33006, 2900 TERRICREST DR, MEMPHIS, TN, 
33007, 2900 TERRICREST, MEMPHIS, TN, 
33008, 2900 WALKER AVE, MEMPHIS, TN, 
33009, 2900 WATERBURY, MEMPHIS, TN, 
33010, 2900 WEST LAKESHORE DR, MEMPHIS, TN, 
33011, 2900 WOODLAWN TERRACE CIRCLE, MEMPHIS, TN, 
33012, 2ND AND MONROE, MEMPHIS, TN, 
33013, 2ND AND PEABODY, MEMPHIS, TN, 
33014, 300 ARBOR COMMONS, MEMPHIS, TN, 
33015, 300 AVALON, MEMPHIS, TN, 
33016, 300 BELHAVEN, MEMPHIS, TN, 
33017, 300 BELLE MEADE, MEMPHIS, TN, 
33018, 300 BINGHAM, MEMPHIS, TN, 
33019, 300 CLEVELAND ST, MEMPHIS, TN, 
33020, 300 E EDWIN CIR, MEMPHIS, TN, 
33021, 300 E G E PATTERSON AVE, MEMPHIS, TN, 
33022, 300 E OLIVE AVE, MEMPHIS, TN, 
33023, 300 E PEEBLES, MEMPHIS, TN, 
33024, 300 EAST BUTLER AVE, MEMPHIS, TN, 
33025, 300 EAST BUTLER, MEMPHIS, TN, 
33026, 300 EAST EDWIN CIRCLE, MEMPHIS, TN, 
33027, 300 EAST MCLEMORE AVE, MEMPHIS, TN, 
33028, 300 FOURTH, MEMPHIS, TN, 
33029, 300 GE PATTERSON AVE, MEMPHIS, TN, 
33030, 300 GE PATTERSON, MEMPHIS, TN, 
33031, 300 GERMAN CREEK CV, MEMPHIS, TN, 
33032, 300 GERMANTOWN BEND, MEMPHIS, TN, 
33033, 300 GLENCOE RD, MEMPHIS, TN, 
33034, 300 GRANVILLE AVE, MEMPHIS, TN, 
33035, 300 GREENLAW ST, MEMPHIS, TN, 
33036, 300 HAMLIN ST, MEMPHIS, TN, 
33037, 300 HAWTHRONE, MEMPHIS, TN, 
33038, 300 HILLVIEW RD, MEMPHIS, TN, 
33039, 300 HONDURAS DR, MEMPHIS, TN, 
33040, 300 INDUSTRIAL, MEMPHIS, TN, 
33041, 300 JOHNSON CIR W, MEMPHIS, TN, 
33042, 300 JOHNSON CIRCLE E, MEMPHIS, TN, 
33043, 300 JOHNSON CIRCLE, MEMPHIS, TN, 
33044, 300 LEARNING WAY, MEMPHIS, TN, 
33045, 300 MALVERN ST, MEMPHIS, TN, 
33046, 300 MATILDA, MEMPHIS, TN, 
33047, 300 MCLEAN, MEMPHIS, TN, 
33048, 300 MCLEMORE AVE, MEMPHIS, TN, 
33049, 300 MERTON, MEMPHIS, TN, 
33050, 300 N BELLVUE, MEMPHIS, TN, 
33051, 300 N BINGHAM, MEMPHIS, TN, 
33052, 300 N MENDENHALL, MEMPHIS, TN, 
33053, 300 N YATES RD, MEMPHIS, TN, 
33054, 300 NORTH AVALON, MEMPHIS, TN, 
33055, 300 NORTH BELLEVUE BOULEVARD, MEMPHIS, TN, 
33056, 300 NORTH MCNEIL ST, MEMPHIS, TN, 
33057, 300 NORTH WILLETT ST, MEMPHIS, TN, 
33058, 300 PANDORA ST, MEMPHIS, TN, 
33059, 300 PERSON, MEMPHIS, TN, 
33060, 300 REESE, MEMPHIS, TN, 
33061, 300 RICHARDS WAY, MEMPHIS, TN, 
33062, 300 S CLAYBROOK ST, MEMPHIS, TN, 
33063, 300 S EDGEWOOD, MEMPHIS, TN, 
33064, 300 S MENDENHALL RD, MEMPHIS, TN, 
33065, 300 S THIRD, MEMPHIS, TN, 
33066, 300 SATURN DR, MEMPHIS, TN, 
33067, 300 SECOND, MEMPHIS, TN, 
33068, 300 SOMERVILLE, MEMPHIS, TN, 
33069, 300 SOUTHILL, MEMPHIS, TN, 
33070, 300 SPINDLEWOOD AVE, MEMPHIS, TN, 
33071, 300 SPINDLEWOOD, MEMPHIS, TN, 
33072, 300 STAFFORD CR, MEMPHIS, TN, 
33073, 300 SUMMERWOOD, MEMPHIS, TN, 
33074, 300 SUMMIT, MEMPHIS, TN, 
33075, 300 TILTON, MEMPHIS, TN, 
33076, 300 TRIGG, MEMPHIS, TN, 
33077, 300 W CHICKASAW PKWY, MEMPHIS, TN, 
33078, 300 W EDWIN CIR, MEMPHIS, TN, 
33079, 300 W FAY AVE, MEMPHIS, TN, 
33080, 300 W JOHNSON CR, MEMPHIS, TN, 
33081, 300 W LEVI RD, MEMPHIS, TN, 
33082, 300 W MALLORY, MEMPHIS, TN, 
33083, 300 W MCLEMORE, MEMPHIS, TN, 
33084, 300 W UTAH AVE, MEMPHIS, TN, 
33085, 300 WAKEFIELD, MEMPHIS, TN, 
33086, 300 WEST RED OAK DR, MEMPHIS, TN, 
33087, 300 WEST RED OAK ST, MEMPHIS, TN, 
33088, 300 WEST REDOAK, MEMPHIS, TN, 
33089, 300 WINCHESTER, MEMPHIS, TN, 
33090, 3000 ATMORE ST, MEMPHIS, TN, 
33091, 3000 AUSTIN PEAY HW, MEMPHIS, TN, 
33092, 3000 BENJESTOWN RD, MEMPHIS, TN, 
33093, 3000 BRANDALE ST, MEMPHIS, TN, 
33094, 3000 CANYON, MEMPHIS, TN, 
33095, 3000 CARRIER RD, MEMPHIS, TN, 
33096, 3000 CARVEL, MEMPHIS, TN, 
33097, 3000 CASCADE, MEMPHIS, TN, 
33098, 3000 CASTLEMAN ST, MEMPHIS, TN, 
33099, 3000 EMMET, MEMPHIS, TN, 
33100, 3000 FALKIRK RD, MEMPHIS, TN, 
33101, 3000 FLORA, MEMPHIS, TN, 
33102, 3000 FRAYSER BLVD, MEMPHIS, TN, 
33103, 3000 FRAYSER, MEMPHIS, TN, 
33104, 3000 HOMEWOOD, MEMPHIS, TN, 
33105, 3000 IROQUOIS, MEMPHIS, TN, 
33106, 3000 LAKERUN, MEMPHIS, TN, 
33107, 3000 LAMAR AVENUE, MEMPHIS, TN, 
33108, 3000 LOTUS RD, MEMPHIS, TN, 
33109, 3000 MAPLEHURST DR, MEMPHIS, TN, 
33110, 3000 MENDENHALL RD, MEMPHIS, TN, 
33111, 3000 MTN TERRACE, MEMPHIS, TN, 
33112, 3000 OLD HORN LAKE RD, MEMPHIS, TN, 
33113, 3000 QUINCE, MEMPHIS, TN, 
33114, 3000 RIVERPORT, MEMPHIS, TN, 
33115, 3000 SHULTS, MEMPHIS, TN, 
33116, 3000 SOUTH MENDENHALL, MEMPHIS, TN, 
33117, 3000 SPRINGHILL, MEMPHIS, TN, 
33118, 3000 STAGE, MEMPHIS, TN, 
33119, 3000 UNIVERSITY ST, MEMPHIS, TN, 
33120, 3000 VANGUARD, MEMPHIS, TN, 
33121, 3000 WALKER AVE, MEMPHIS, TN, 
33122, 3000 WATERVIEW, MEMPHIS, TN, 
33123, 3000 WAVERLY AVE, MEMPHIS, TN, 
33124, 3000 WINCHESTER RD, MEMPHIS, TN, 
33125, 3100 ASHWOOD CV, MEMPHIS, TN, 
33126, 3100 AUTUMN WOOD, MEMPHIS, TN, 
33127, 3100 BELLE GROVE RD, MEMPHIS, TN, 
33128, 3100 BENJISTOWN, MEMPHIS, TN, 
33129, 3100 BOONE ST, MEMPHIS, TN, 
33130, 3100 CASTLEMAN RD, MEMPHIS, TN, 
33131, 3100 CROMWELL AVE, MEMPHIS, TN, 
33132, 3100 DARBY ST, MEMPHIS, TN, 
33133, 3100 DEWITT, MEMPHIS, TN, 
33134, 3100 E RAINES RD, MEMPHIS, TN, 
33135, 3100 EAST POINTE, MEMPHIS, TN, 
33136, 3100 EAST SHELBY DR, MEMPHIS, TN, 
33137, 3100 EASTPOINTE CV, MEMPHIS, TN, 
33138, 3100 GUERNSEY ST, MEMPHIS, TN, 
33139, 3100 HARRIS CIR, MEMPHIS, TN, 
33140, 3100 HIGHWAY 61, MEMPHIS, TN, 
33141, 3100 HOLLY HEATH, MEMPHIS, TN, 
33142, 3100 HUNTINGTON TRAIL DR, MEMPHIS, TN, 
33143, 3100 JOHNSON ST, MEMPHIS, TN, 
33144, 3100 JUCA LN, MEMPHIS, TN, 
33145, 3100 KEMPER DR, MEMPHIS, TN, 
33146, 3100 KENNETH ST, MEMPHIS, TN, 
33147, 3100 KIMNER, MEMPHIS, TN, 
33148, 3100 KIRBY MLISS CV, MEMPHIS, TN, 
33149, 3100 LAURENCEKIRK RD, MEMPHIS, TN, 
33150, 3100 LECONTE, MEMPHIS, TN, 
33151, 3100 MANHATTAN AVE, MEMPHIS, TN, 
33152, 3100 MORIAH TRAILS RD, MEMPHIS, TN, 
33153, 3100 MORNINGVIEW DRIVE, MEMPHIS, TN, 
33154, 3100 N TREZEVANT ST, MEMPHIS, TN, 
33155, 3100 NORBROOK DR, MEMPHIS, TN, 
33156, 3100 OVERBROOK RD, MEMPHIS, TN, 
33157, 3100 RADFORD ST, MEMPHIS, TN, 
33158, 3100 RHINE, MEMPHIS, TN, 
33159, 3100 ROBBIEDON ST, MEMPHIS, TN, 
33160, 3100 ROCK BASS DR, MEMPHIS, TN, 
33161, 3100 SAINT CLOUD, MEMPHIS, TN, 
33162, 3100 SINCLAIR ST, MEMPHIS, TN, 
33163, 3100 ST CLAIRE PLACE, MEMPHIS, TN, 
33164, 3100 THE WILLOWS PL, MEMPHIS, TN, 
33165, 3100 THIRD, MEMPHIS, TN, 
33166, 3100 VANGUARD, MEMPHIS, TN, 
33167, 3100 W EDGEWARE RD, MEMPHIS, TN, 
33168, 3100 WALNUT, MEMPHIS, TN, 
33169, 3100 WAYNOKA ST, MEMPHIS, TN, 
33170, 3100 WILLOW OAK DR, MEMPHIS, TN, 
33171, 3200 BARRON ST, MEMPHIS, TN, 
33172, 3200 BASKIN ST, MEMPHIS, TN, 
33173, 3200 BELLBROOK CENTER DR, MEMPHIS, TN, 
33174, 3200 BELLE GROVE RD, MEMPHIS, TN, 
33175, 3200 BENJESTOWN ST, MEMPHIS, TN, 
33176, 3200 BENJISTOWN, MEMPHIS, TN, 
33177, 3200 BRENMARDA LN, MEMPHIS, TN, 
33178, 3200 BUR OAK DR, MEMPHIS, TN, 
33179, 3200 CANYON RD, MEMPHIS, TN, 
33180, 3200 CAP DR, MEMPHIS, TN, 
33181, 3200 CHARWELL LN, MEMPHIS, TN, 
33182, 3200 CLEARBROOK RD, MEMPHIS, TN, 
33183, 3200 CRYSTAL LAKE, MEMPHIS, TN, 
33184, 3200 DARBY ST, MEMPHIS, TN, 
33185, 3200 DUMBARTON RD, MEMPHIS, TN, 
33186, 3200 EGYPT CENTRAL, MEMPHIS, TN, 
33187, 3200 ELVIS PRESLEY BL, MEMPHIS, TN, 
33188, 3200 FOREST GLEN ST, MEMPHIS, TN, 
33189, 3200 FORREST BROOK, MEMPHIS, TN, 
33190, 3200 GARRISON PARK CIRCLE, MEMPHIS, TN, 
33191, 3200 GILL RD, MEMPHIS, TN, 
33192, 3200 GILLMORE, MEMPHIS, TN, 
33193, 3200 HOLLY HEATH DR, MEMPHIS, TN, 
33194, 3200 HORN LAKE RD, MEMPHIS, TN, 
33195, 3200 KENLAND DR, MEMPHIS, TN, 
33196, 3200 KENNETH ST, MEMPHIS, TN, 
33197, 3200 KINGS HORN DR, MEMPHIS, TN, 
33198, 3200 KINGSGATE AVE, MEMPHIS, TN, 
33199, 3200 LINDA DR, MEMPHIS, TN, 
33200, 3200 LYNCHBURG ST, MEMPHIS, TN, 
33201, 3200 MADEWELL APT H, MEMPHIS, TN, 
33202, 3200 MANHATTEN, MEMPHIS, TN, 
33203, 3200 MEADOWBROOK, MEMPHIS, TN, 
33204, 3200 MENDENHALL ST, MEMPHIS, TN, 
33205, 3200 MENSI ST, MEMPHIS, TN, 
33206, 3200 MONTERREY, MEMPHIS, TN, 
33207, 3200 MORNING SIDE, MEMPHIS, TN, 
33208, 3200 N TREZEVANT ST, MEMPHIS, TN, 
33209, 3200 NORTHWOOD, MEMPHIS, TN, 
33210, 3200 OLD GETWELL RD, MEMPHIS, TN, 
33211, 3200 ORANGE LEAF CV, MEMPHIS, TN, 
33212, 3200 ORANGE LEAF, MEMPHIS, TN, 
33213, 3200 OVERBROOK DR, MEMPHIS, TN, 
33214, 3200 PARHAM ST, MEMPHIS, TN, 
33215, 3200 PEBBLE BEACH CV, MEMPHIS, TN, 
33216, 3200 RAL-MILLINGTON, MEMPHIS, TN, 
33217, 3200 RALIEGH MILLINGTON, MEMPHIS, TN, 
33218, 3200 RED WOOD CT, MEMPHIS, TN, 
33219, 3200 S PERKINS AVE, MEMPHIS, TN, 
33220, 3200 SANDBROOK, MEMPHIS, TN, 
33221, 3200 SCHEIBLER, MEMPHIS, TN, 
33222, 3200 ST CHARLES ST, MEMPHIS, TN, 
33223, 3200 STHIRD, MEMPHIS, TN, 
33224, 3200 TRANQUILITY, MEMPHIS, TN, 
33225, 3200 TYROLL CT, MEMPHIS, TN, 
33226, 3200 W DANVILLE CR, MEMPHIS, TN, 
33227, 3200 WALPOLE AVE, MEMPHIS, TN, 
33228, 3200 WAYNOKA, MEMPHIS, TN, 
33229, 3200 WICKHAM DR, MEMPHIS, TN, 
33230, 3200 WILCOX, MEMPHIS, TN, 
33231, 3300 ASPENWAY LN, MEMPHIS, TN, 
33232, 3300 AUSTIN PEA, MEMPHIS, TN, 
33233, 3300 BOXDALE RD, MEMPHIS, TN, 
33234, 3300 BROOKS, MEMPHIS, TN, 
33235, 3300 CARRINGTON RD, MEMPHIS, TN, 
33236, 3300 CICALLA AVE, MEMPHIS, TN, 
33237, 3300 COTTON BALE CV, MEMPHIS, TN, 
33238, 3300 CRAIGMONT CV, MEMPHIS, TN, 
33239, 3300 E RAINES RD, MEMPHIS, TN, 
33240, 3300 E ROSITA, MEMPHIS, TN, 
33241, 3300 EAST DANVILLE CIR, MEMPHIS, TN, 
33242, 3300 ELVIS PRESELY, MEMPHIS, TN, 
33243, 3300 FOX BRIAR, MEMPHIS, TN, 
33244, 3300 FRAYSER BLVD, MEMPHIS, TN, 
33245, 3300 FRAYSER SCHOOL, MEMPHIS, TN, 
33246, 3300 GETWELL RD, MEMPHIS, TN, 
33247, 3300 HARRIS AVE, MEMPHIS, TN, 
33248, 3300 HARVESTER LN W, MEMPHIS, TN, 
33249, 3300 INNSBROCK, MEMPHIS, TN, 
33250, 3300 JOHNSON CIRCLE, MEMPHIS, TN, 
33251, 3300 JOSLYN CV, MEMPHIS, TN, 
33252, 3300 KIRBY PARKWAY, MEMPHIS, TN, 
33253, 3300 KNIGHTS BRIDGE, MEMPHIS, TN, 
33254, 3300 KNIGHTS TRAIL CIRCLE, MEMPHIS, TN, 
33255, 3300 LOCKMEADE DR, MEMPHIS, TN, 
33256, 3300 LONGACRE CV, MEMPHIS, TN, 
33257, 3300 MC KELL DR, MEMPHIS, TN, 
33258, 3300 MELBOURNE, MEMPHIS, TN, 
33259, 3300 MILLWOOD RD, MEMPHIS, TN, 
33260, 3300 MORNINGSIDE AVE, MEMPHIS, TN, 
33261, 3300 OLD BROWNSVILLE, MEMPHIS, TN, 
33262, 3300 RALEIGH RIDGE DR, MEMPHIS, TN, 
33263, 3300 RICKEY ST, MEMPHIS, TN, 
33264, 3300 RINEY ST, MEMPHIS, TN, 
33265, 3300 ROSAMOND AVE, MEMPHIS, TN, 
33266, 3300 ROYAL KNIGHT CV, MEMPHIS, TN, 
33267, 3300 SANDY SPRINGS DR, MEMPHIS, TN, 
33268, 3300 SINCLAIR LN, MEMPHIS, TN, 
33269, 3300 SWEETSPRINGS, MEMPHIS, TN, 
33270, 3300 TEAKROCK LN, MEMPHIS, TN, 
33271, 3300 THOMAS AVE, MEMPHIS, TN, 
33272, 3300 TREZEVANT, MEMPHIS, TN, 
33273, 3300 W SHIRLEY CIR, MEMPHIS, TN, 
33274, 3300 WEST WILLOW WYCK, MEMPHIS, TN, 
33275, 3300 WILLIAM TELL, MEMPHIS, TN, 
33276, 3300 WILLOW WYCK DR, MEMPHIS, TN, 
33277, 3300 WINSLOW RD, MEMPHIS, TN, 
33278, 3400 ADAIR ST, MEMPHIS, TN, 
33279, 3400 ADRICK RD, MEMPHIS, TN, 
33280, 3400 AMERICAN WAY, MEMPHIS, TN, 
33281, 3400 AMSELLE CIRCLE, MEMPHIS, TN, 
33282, 3400 BEN BOW DR, MEMPHIS, TN, 
33283, 3400 BEST WAY, MEMPHIS, TN, 
33284, 3400 BLUEMONT, MEMPHIS, TN, 
33285, 3400 BRIAR PARK EAST, MEMPHIS, TN, 
33286, 3400 BROWNBARK, MEMPHIS, TN, 
33287, 3400 CANISBAY, MEMPHIS, TN, 
33288, 3400 CODY DR, MEMPHIS, TN, 
33289, 3400 COVINGTON, MEMPHIS, TN, 
33290, 3400 DARTMOUTH DR, MEMPHIS, TN, 
33291, 3400 DAWN ST, MEMPHIS, TN, 
33292, 3400 E BRIARPARK, MEMPHIS, TN, 
33293, 3400 E MONTICELLO CIRCLE, MEMPHIS, TN, 
33294, 3400 EARL, MEMPHIS, TN, 
33295, 3400 FORRESTER, MEMPHIS, TN, 
33296, 3400 FOSTORIA RD, MEMPHIS, TN, 
33297, 3400 FOX HOLLOW, MEMPHIS, TN, 
33298, 3400 FRAYSER BLVD, MEMPHIS, TN, 
33299, 3400 GALLERY DR, MEMPHIS, TN, 
33300, 3400 HALLSHIRE, MEMPHIS, TN, 
33301, 3400 HANNAH, MEMPHIS, TN, 
33302, 3400 HARMONY WOOD, MEMPHIS, TN, 
33303, 3400 HARMONY, MEMPHIS, TN, 
