34001, 500 N SIXTH ST, MEMPHIS, TN, 
34002, 500 N WALDRAN, MEMPHIS, TN, 
34003, 500 N WILLET, MEMPHIS, TN, 
34004, 500 NORTH HOLMES, MEMPHIS, TN, 
34005, 500 NORTH MCNEIL, MEMPHIS, TN, 
34006, 500 PLEASANT GROVE, MEMPHIS, TN, 
34007, 500 PLUM AVE, MEMPHIS, TN, 
34008, 500 PRESCOTT, MEMPHIS, TN, 
34009, 500 REESE, MEMPHIS, TN, 
34010, 500 ROSEWOOD AVE, MEMPHIS, TN, 
34011, 500 S GOODLETT, MEMPHIS, TN, 
34012, 500 S PARKWAY W, MEMPHIS, TN, 
34013, 500 S SANGA, MEMPHIS, TN, 
34014, 500 SEVIER, MEMPHIS, TN, 
34015, 500 SHOFNER AVE, MEMPHIS, TN, 
34016, 500 SOUTH HIGHLAND ST, MEMPHIS, TN, 
34017, 500 W MALLORY ST, MEMPHIS, TN, 
34018, 500 WINCHESTER RD, MEMPHIS, TN, 
34019, 500 WOODMERE LN, MEMPHIS, TN, 
34020, 500 ZACK CURLIN, MEMPHIS, TN, 
34021, 5000 APPLEWHITE, MEMPHIS, TN, 
34022, 5000 APPLEWOOD, MEMPHIS, TN, 
34023, 5000 ARROYO DR, MEMPHIS, TN, 
34024, 5000 BATTLE FOREST, MEMPHIS, TN, 
34025, 5000 BLACK, MEMPHIS, TN, 
34026, 5000 CARNES AVE, MEMPHIS, TN, 
34027, 5000 CARNES, MEMPHIS, TN, 
34028, 5000 CHESTERWOOD, MEMPHIS, TN, 
34029, 5000 CORO RD, MEMPHIS, TN, 
34030, 5000 CRAIGMONT DR, MEMPHIS, TN, 
34031, 5000 DEMETER, MEMPHIS, TN, 
34032, 5000 DEPANNE RD, MEMPHIS, TN, 
34033, 5000 DIANE, MEMPHIS, TN, 
34034, 5000 E SHORE DR, MEMPHIS, TN, 
34035, 5000 GETWELL, MEMPHIS, TN, 
34036, 5000 HAMPSHIRE AVE, MEMPHIS, TN, 
34037, 5000 HUMMINGBIRD, MEMPHIS, TN, 
34038, 5000 JEFF, MEMPHIS, TN, 
34039, 5000 KAYE RD, MEMPHIS, TN, 
34040, 5000 KIMBALL AVE, MEMPHIS, TN, 
34041, 5000 MCKELLAR WOODS, MEMPHIS, TN, 
34042, 5000 MINDEN, MEMPHIS, TN, 
34043, 5000 MOSEL, MEMPHIS, TN, 
34044, 5000 SEA ISLE RD, MEMPHIS, TN, 
34045, 5000 VEROSA AVE, MEMPHIS, TN, 
34046, 5000 WELCHSHIRE AVE, MEMPHIS, TN, 
34047, 5100 APPLEVILLE RD, MEMPHIS, TN, 
34048, 5100 APPLEVILLE ST, MEMPHIS, TN, 
34049, 5100 BARFIELD, MEMPHIS, TN, 
34050, 5100 BOEINGSHIRE DR, MEMPHIS, TN, 
34051, 5100 BOWIE RD, MEMPHIS, TN, 
34052, 5100 BRYNDALE AVE, MEMPHIS, TN, 
34053, 5100 BYRON RD, MEMPHIS, TN, 
34054, 5100 CANA, MEMPHIS, TN, 
34055, 5100 COBALT CV, MEMPHIS, TN, 
34056, 5100 DIANE, MEMPHIS, TN, 
34057, 5100 FERNLEAF, MEMPHIS, TN, 
34058, 5100 GOLIGHTLY, MEMPHIS, TN, 
34059, 5100 JEFF DR, MEMPHIS, TN, 
34060, 5100 JONETTA ST, MEMPHIS, TN, 
34061, 5100 MELANIE, MEMPHIS, TN, 
34062, 5100 RAL-LEGRANGE, MEMPHIS, TN, 
34063, 5100 RICH, MEMPHIS, TN, 
34064, 5100 ROBINDALE, MEMPHIS, TN, 
34065, 5100 SANDERLINE, MEMPHIS, TN, 
34066, 5100 SHADY GROVE RD, MEMPHIS, TN, 
34067, 5100 SOUTH THIRD, MEMPHIS, TN, 
34068, 5100 VEROSA, MEMPHIS, TN, 
34069, 5100 VILLAGE PINE CIR, MEMPHIS, TN, 
34070, 5100 VILLAGEWOODS, MEMPHIS, TN, 
34071, 5200 12TH RD, MEMPHIS, TN, 
34072, 5200 APRIL CV, MEMPHIS, TN, 
34073, 5200 BARRY RD, MEMPHIS, TN, 
34074, 5200 BATTLE CREEK, MEMPHIS, TN, 
34075, 5200 BLUERIDGE DR, MEMPHIS, TN, 
34076, 5200 BRYDON, MEMPHIS, TN, 
34077, 5200 BUCKSPORT, MEMPHIS, TN, 
34078, 5200 CANTON DR, MEMPHIS, TN, 
34079, 5200 CHRISTOPHER AVE, MEMPHIS, TN, 
34080, 5200 DEPANNE RD, MEMPHIS, TN, 
34081, 5200 EIGHTH RD, MEMPHIS, TN, 
34082, 5200 FAIRLEY RD, MEMPHIS, TN, 
34083, 5200 FERNLEAF AVE, MEMPHIS, TN, 
34084, 5200 HELENE RD, MEMPHIS, TN, 
34085, 5200 LOCHINVAR, MEMPHIS, TN, 
34086, 5200 MCKELLAR WOOD, MEMPHIS, TN, 
34087, 5200 MCKELLAR WOODS CT, MEMPHIS, TN, 
34088, 5200 NORICH AVE, MEMPHIS, TN, 
34089, 5200 OAK MEADOW AVE, MEMPHIS, TN, 
34090, 5200 OAK MEADOWS, MEMPHIS, TN, 
34091, 5200 ORANGEWOOD, MEMPHIS, TN, 
34092, 5200 PATRICK HENRY DR, MEMPHIS, TN, 
34093, 5200 PLEASANT VIEW RD, MEMPHIS, TN, 
34094, 5200 RAVENSWORTH DR, MEMPHIS, TN, 
34095, 5200 SCHUTT RD, MEMPHIS, TN, 
34096, 5200 SEQUOIA, MEMPHIS, TN, 
34097, 5200 SHELBY, MEMPHIS, TN, 
34098, 5200 TULLY RD, MEMPHIS, TN, 
34099, 5200 TWIN WOODS DR, MEMPHIS, TN, 
34100, 5200 VEROSA, MEMPHIS, TN, 
34101, 5200 VILLAGE PINE CT, MEMPHIS, TN, 
34102, 5200 VILLAGE PINE, MEMPHIS, TN, 
34103, 5200 WALNUT GROVE RD, MEMPHIS, TN, 
34104, 5200 WAYFAIR CIRCLE, MEMPHIS, TN, 
34105, 5300 BANNOCK, MEMPHIS, TN, 
34106, 5300 BEARS PAW CIRCLE, MEMPHIS, TN, 
34107, 5300 BRUTON AVE, MEMPHIS, TN, 
34108, 5300 CANA RD, MEMPHIS, TN, 
34109, 5300 COLLINGWOOD, MEMPHIS, TN, 
34110, 5300 CRAIGMONT, MEMPHIS, TN, 
34111, 5300 DORSET DR, MEMPHIS, TN, 
34112, 5300 EAST SHELBY DR, MEMPHIS, TN, 
34113, 5300 ELVIS PRESELY BLVD, MEMPHIS, TN, 
34114, 5300 ELVIS PRESLEY ST, MEMPHIS, TN, 
34115, 5300 ELVIS PRESSLEY, MEMPHIS, TN, 
34116, 5300 HELENE CV, MEMPHIS, TN, 
34117, 5300 HILLBROOK RD, MEMPHIS, TN, 
34118, 5300 HILLBROOK ST, MEMPHIS, TN, 
