36001, 1700 WESTLAWN, MEMPHIS, TN, 
36002, 1700 WILLEY, MEMPHIS, TN, 
36003, 1700 WINCHESTER BLVD, MEMPHIS, TN, 
36004, 1700 WINFIELD RD, MEMPHIS, TN, 
36005, 1700 YORKSHIRE, MEMPHIS, TN, 
36006, 1800 AIRWAYS BLVD, MEMPHIS, TN, 
36007, 1800 ALCY RD, MEMPHIS, TN, 
36008, 1800 BAINE AVE, MEMPHIS, TN, 
36009, 1800 BECKER, MEMPHIS, TN, 
36010, 1800 BELMONT CIR, MEMPHIS, TN, 
36011, 1800 BLACK BEAR CIR E, MEMPHIS, TN, 
36012, 1800 BROOK GREEN DR, MEMPHIS, TN, 
36013, 1800 BROOK GREEN, MEMPHIS, TN, 
36014, 1800 CARR AVE, MEMPHIS, TN, 
36015, 1800 CINCINATTI, MEMPHIS, TN, 
36016, 1800 CLAIRE DR, MEMPHIS, TN, 
36017, 1800 COMMON WEALTH DR, MEMPHIS, TN, 
36018, 1800 COMMONWEALTH RD, MEMPHIS, TN, 
36019, 1800 CORNELIA RD, MEMPHIS, TN, 
36020, 1800 DEXTER LN, MEMPHIS, TN, 
36021, 1800 DEXTER RD, MEMPHIS, TN, 
36022, 1800 DUNN AVE, MEMPHIS, TN, 
36023, 1800 E ALCY, MEMPHIS, TN, 
36024, 1800 E BOXTOWN RD, MEMPHIS, TN, 
36025, 1800 EAST BOXTOWN, MEMPHIS, TN, 
36026, 1800 EDGEBURG LN, MEMPHIS, TN, 
36027, 1800 ELDRIDGE ST, MEMPHIS, TN, 
36028, 1800 FARRINGTON AVE, MEMPHIS, TN, 
36029, 1800 FIELDS RD, MEMPHIS, TN, 
36030, 1800 FLORIDA ST, MEMPHIS, TN, 
36031, 1800 GLENWOOD, MEMPHIS, TN, 
36032, 1800 GRAGGLAND CIRCLE, MEMPHIS, TN, 
36033, 1800 HARBERT AVE, MEMPHIS, TN, 
36034, 1800 HOLMAN PLACE, MEMPHIS, TN, 
36035, 1800 INTERNATIONAL DR, MEMPHIS, TN, 
36036, 1800 KENT, MEMPHIS, TN, 
36037, 1800 LLOYD CIRCLE WEST, MEMPHIS, TN, 
36038, 1800 LOCHEARN RD, MEMPHIS, TN, 
36039, 1800 MEADOW HILL CV, MEMPHIS, TN, 
36040, 1800 MILL FARM DR, MEMPHIS, TN, 
36041, 1800 MILL GATE, MEMPHIS, TN, 
36042, 1800 MILLBRANCH RD, MEMPHIS, TN, 
36043, 1800 MUNSON, MEMPHIS, TN, 
36044, 1800 NEDRA, MEMPHIS, TN, 
36045, 1800 NONCONNAH RD, MEMPHIS, TN, 
36046, 1800 NORTH HOLLYWOOD, MEMPHIS, TN, 
36047, 1800 OVERTON PARK AVE, MEMPHIS, TN, 
36048, 1800 PARAGON DR, MEMPHIS, TN, 
36049, 1800 PENDELTON ST, MEMPHIS, TN, 
36050, 1800 PENDLETON APT 1, MEMPHIS, TN, 
36051, 1800 PENDLETON RD, MEMPHIS, TN, 
36052, 1800 PKWY TERRANCE, MEMPHIS, TN, 
36053, 1800 PORT OAK PL, MEMPHIS, TN, 
36054, 1800 RAYNER ST, MEMPHIS, TN, 
36055, 1800 S LAUDERDALE ST, MEMPHIS, TN, 
36056, 1800 S MILLBRANC PARK DR, MEMPHIS, TN, 
36057, 1800 S PARKWAY E, MEMPHIS, TN, 
36058, 1800 S PRESCOTT AVE, MEMPHIS, TN, 
36059, 1800 SAILORS, MEMPHIS, TN, 
36060, 1800 SAINT HENRYS PLACE, MEMPHIS, TN, 
36061, 1800 SILVER ST, MEMPHIS, TN, 
36062, 1800 SORGHUM MILL DR, MEMPHIS, TN, 
36063, 1800 ST HENRY PL, MEMPHIS, TN, 
36064, 1800 ST HENRYS, MEMPHIS, TN, 
36065, 1800 ST JOHN, MEMPHIS, TN, 
36066, 1800 ST MARGARETS, MEMPHIS, TN, 
36067, 1800 STEVE WAY DR, MEMPHIS, TN, 
36068, 1800 SUTTON ST, MEMPHIS, TN, 
36069, 1800 SWANSEA CV, MEMPHIS, TN, 
36070, 1800 VERA CRUZ, MEMPHIS, TN, 
36071, 1800 W LLOYD CIRCLE, MEMPHIS, TN, 
36072, 1800 WENDY DR, MEMPHIS, TN, 
36073, 1800 WEST SHELBY, MEMPHIS, TN, 
36074, 1800 WHITE STATION RD, MEMPHIS, TN, 
36075, 1800 WHITMAN RD, MEMPHIS, TN, 
36076, 1800 WILCHESTER DR, MEMPHIS, TN, 
36077, 1800 WILLCHESTER, MEMPHIS, TN, 
36078, 1800 WILLOWOOD, MEMPHIS, TN, 
36079, 1800 WINCHESTER LN, MEMPHIS, TN, 
36080, 1900 AUTUMN AVE, MEMPHIS, TN, 
36081, 1900 BOYLE ST, MEMPHIS, TN, 
36082, 1900 BURHAM, MEMPHIS, TN, 
36083, 1900 CARR AVE, MEMPHIS, TN, 
36084, 1900 CRUMP AVE, MEMPHIS, TN, 
36085, 1900 DEXTER CHASE CIRCLE, MEMPHIS, TN, 
36086, 1900 DEXTER CHASE, MEMPHIS, TN, 
36087, 1900 E BROOKS ROAD, MEMPHIS, TN, 
36088, 1900 EAGLE SHORE DR, MEMPHIS, TN, 
36089, 1900 EAST PERSON, MEMPHIS, TN, 
36090, 1900 EDWARD AVE, MEMPHIS, TN, 
36091, 1900 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
36092, 1900 EZEL, MEMPHIS, TN, 
36093, 1900 FARRINGTON AVE, MEMPHIS, TN, 
36094, 1900 GALLOWAY AVE, MEMPHIS, TN, 
36095, 1900 GET WELL RD, MEMPHIS, TN, 
36096, 1900 HUNTER, MEMPHIS, TN, 
36097, 1900 JOHN PAUL, MEMPHIS, TN, 
36098, 1900 MCMILLAN ST, MEMPHIS, TN, 
36099, 1900 MIGNON AVE, MEMPHIS, TN, 
36100, 1900 MORIAH WOODS, MEMPHIS, TN, 
36101, 1900 N PARKWAY AVE, MEMPHIS, TN, 
36102, 1900 NEW GATE RD, MEMPHIS, TN, 
36103, 1900 NEWGATE RD, MEMPHIS, TN, 
36104, 1900 NORTH GERMANTOWN, MEMPHIS, TN, 
36105, 1900 OAKWOOD, MEMPHIS, TN, 
36106, 1900 PARKVIEW CV, MEMPHIS, TN, 
36107, 1900 PENNEL, MEMPHIS, TN, 
36108, 1900 PKWY TERRACE, MEMPHIS, TN, 
36109, 1900 PRESCOTT, MEMPHIS, TN, 
36110, 1900 S PKWY EAST, MEMPHIS, TN, 
36111, 1900 SHAWNEE CIR, MEMPHIS, TN, 
36112, 1900 SHELBY OAKS, MEMPHIS, TN, 
36113, 1900 SNOWDEN AVE, MEMPHIS, TN, 
36114, 1900 SOUTH PKWY EAST, MEMPHIS, TN, 
36115, 1900 SOUTH PKWY, MEMPHIS, TN, 
36116, 1900 ST HENRY, MEMPHIS, TN, 
36117, 1900 ST PHILLIPS, MEMPHIS, TN, 
36118, 1900 STRAUSS WAY, MEMPHIS, TN, 
36119, 1900 VICTORIA AV, MEMPHIS, TN, 
36120, 1900 W FLETCHER RUN, MEMPHIS, TN, 
36121, 1900 WALTER ST, MEMPHIS, TN, 
36122, 1900 WILDROSE ST, MEMPHIS, TN, 
36123, 1900 WOLFCHASE CIRCLE, MEMPHIS, TN, 
36124, 1900 WOODCHASE GLEN DR, MEMPHIS, TN, 
36125, 200 APPLETON CV, MEMPHIS, TN, 
36126, 200 BISCAYNE RD, MEMPHIS, TN, 
36127, 200 BYFIELD, MEMPHIS, TN, 
36128, 200 CYPRESSWOOD DR, MEMPHIS, TN, 
36129, 200 DOVE AVE, MEMPHIS, TN, 
36130, 200 E BODLEY AVE, MEMPHIS, TN, 
36131, 200 E E H CRUMP, MEMPHIS, TN, 
36132, 200 E GOODWYN, MEMPHIS, TN, 
36133, 200 E PKWY S, MEMPHIS, TN, 
36134, 200 E RAINES RD, MEMPHIS, TN, 
36135, 200 E RED OAKS DR, MEMPHIS, TN, 
36136, 200 E REDOAK DR, MEMPHIS, TN, 
36137, 200 E ROLLINS RD, MEMPHIS, TN, 
36138, 200 E ROLLINS, MEMPHIS, TN, 
