38001, 5100 MCKELLERWOODS DR, MEMPHIS, TN, 
38002, 5100 NEWCASTLE RD, MEMPHIS, TN, 
38003, 5100 NEWCASTLE, MEMPHIS, TN, 
38004, 5100 OAK MEADOW AVE, MEMPHIS, TN, 
38005, 5100 PARK AVE., MEMPHIS, TN, 
38006, 5100 PENWOOD, MEMPHIS, TN, 
38007, 5100 RICH RD, MEMPHIS, TN, 
38008, 5100 RIDGE PARK, MEMPHIS, TN, 
38009, 5100 ROBINDALE LN, MEMPHIS, TN, 
38010, 5100 SCHEIBLER RD, MEMPHIS, TN, 
38011, 5100 SCHEIBLER, MEMPHIS, TN, 
38012, 5100 SCIENIC PINES, MEMPHIS, TN, 
38013, 5100 SCOTTSDALE RD, MEMPHIS, TN, 
38014, 5100 SENIC PINES, MEMPHIS, TN, 
38015, 5100 SEQUOIA, MEMPHIS, TN, 
38016, 5100 SKIPPY ST, MEMPHIS, TN, 
38017, 5100 SKIPPY, MEMPHIS, TN, 
38018, 5100 STACY, MEMPHIS, TN, 
38019, 5100 VILLAGEWOODS DR, MEMPHIS, TN, 
38020, 5100 WYNDANCE, MEMPHIS, TN, 
38021, 5200 COUNTRY VIEW, MEMPHIS, TN, 
38022, 5200 CRESTVIEW RD, MEMPHIS, TN, 
38023, 5200 EIGHTH, MEMPHIS, TN, 
38024, 5200 ELMER CV, MEMPHIS, TN, 
38025, 5200 FLANDERS AVE, MEMPHIS, TN, 
38026, 5200 FORD, MEMPHIS, TN, 
38027, 5200 GLOUCHESTER, MEMPHIS, TN, 
38028, 5200 HILL, MEMPHIS, TN, 
38029, 5200 JONETTA RD, MEMPHIS, TN, 
38030, 5200 KING HENRY CV, MEMPHIS, TN, 
38031, 5200 LONGACRE AVE, MEMPHIS, TN, 
38032, 5200 MARY STARNES, MEMPHIS, TN, 
38033, 5200 PLEASENT HILL, MEMPHIS, TN, 
38034, 5200 QUEEN ELIZABETH FWY, MEMPHIS, TN, 
38035, 5200 QUINCE AVE, MEMPHIS, TN, 
38036, 5200 RAINES RD, MEMPHIS, TN, 
38037, 5200 SANDERLINE, MEMPHIS, TN, 
38038, 5200 SANTA MONICA, MEMPHIS, TN, 
38039, 5200 SOUTH ANGELA, MEMPHIS, TN, 
38040, 5200 THIRD, MEMPHIS, TN, 
38041, 5200 VILLAGE PINE CIR, MEMPHIS, TN, 
38042, 5200 WAYFAIRER CIRCLE, MEMPHIS, TN, 
38043, 5200 WAYFERER CIR, MEMPHIS, TN, 
38044, 5200 WHITEWAY, MEMPHIS, TN, 
38045, 5200 WOODLARK AVE, MEMPHIS, TN, 
38046, 5300 AUREEN, MEMPHIS, TN, 
38047, 5300 BRADCLIFF RD, MEMPHIS, TN, 
38048, 5300 CANA, MEMPHIS, TN, 
38049, 5300 COLE RD, MEMPHIS, TN, 
38050, 5300 CRESSER ST, MEMPHIS, TN, 
38051, 5300 DARE, MEMPHIS, TN, 
38052, 5300 DREXEL AVE, MEMPHIS, TN, 
38053, 5300 E HOLMES, MEMPHIS, TN, 
38054, 5300 ELVIS PRESLEY AVE, MEMPHIS, TN, 
38055, 5300 EPWORTH, MEMPHIS, TN, 
38056, 5300 GEMSTONE, MEMPHIS, TN, 
38057, 5300 GWYNNE, MEMPHIS, TN, 
38058, 5300 HOLMES, MEMPHIS, TN, 
38059, 5300 JOHN RIVER, MEMPHIS, TN, 
38060, 5300 JOHN RIVERS RD, MEMPHIS, TN, 
38061, 5300 KEATSWOOD, MEMPHIS, TN, 
38062, 5300 LOCHLOMOND, MEMPHIS, TN, 
38063, 5300 LOUISE RD, MEMPHIS, TN, 
38064, 5300 MILL BRANCH RD, MEMPHIS, TN, 
38065, 5300 NORMANDY RD, MEMPHIS, TN, 
38066, 5300 OAKMEADOW, MEMPHIS, TN, 
38067, 5300 OLD HWY 78, MEMPHIS, TN, 
38068, 5300 PRINCETON, MEMPHIS, TN, 
38069, 5300 SHADY GROVE, MEMPHIS, TN, 
38070, 5300 SHELBOURN CIR, MEMPHIS, TN, 
38071, 5300 SHELLBORNE CIRCLE, MEMPHIS, TN, 
38072, 5300 SOUTHWOOD DR, MEMPHIS, TN, 
38073, 5300 SOUTHWOOD, MEMPHIS, TN, 
38074, 5300 ST MONICA, MEMPHIS, TN, 
38075, 5300 TWINWOODS, MEMPHIS, TN, 
38076, 5300 WALMART, MEMPHIS, TN, 
38077, 5300 WHITE DIAMOND ST, MEMPHIS, TN, 
38078, 5300 WREN CV, MEMPHIS, TN, 
38079, 5400 AIRWAYS BL, MEMPHIS, TN, 
38080, 5400 BLUERIDGE PKWY, MEMPHIS, TN, 
38081, 5400 BRANTFORD RD, MEMPHIS, TN, 
38082, 5400 BRENTON AVE, MEMPHIS, TN, 
38083, 5400 CANEWOOD, MEMPHIS, TN, 
38084, 5400 CHICKASAW RD, MEMPHIS, TN, 
