3001, 1300 ENGLEWOOD, MEMPHIS, TN, 
3002, 1300 GREENBROOK BEND, MEMPHIS, TN, 
3003, 1400 TUNICA, MEMPHIS, TN, 
3004, 1600 HOPE, MEMPHIS, TN, 
3005, 1600 N WATKINS, MEMPHIS, TN, 
3006, 1700 S ORLEANS, MEMPHIS, TN, 
3007, 200 CLARK PL, MEMPHIS, TN, 
3008, 200 E H CRUMP, MEMPHIS, TN, 
3009, 2200 PENDLETON, MEMPHIS, TN, 
3010, 2200 SHANNON, MEMPHIS, TN, 
3011, 2600 YALE, MEMPHIS, TN, 
3012, 2700 GARDEN GROVE, MEMPHIS, TN, 
3013, 2800 BROWNING, MEMPHIS, TN, 
3014, 2800 GARDEN GROVE CIRCLE, MEMPHIS, TN, 
3015, 2800 PICKERING DR, MEMPHIS, TN, 
3016, 2900 MEADOWLAKE DR EAST, MEMPHIS, TN, 
3017, 3100 CASTLEMAN, MEMPHIS, TN, 
3018, 3100 PERKINS, MEMPHIS, TN, 
3019, 3100 RANDY LN, MEMPHIS, TN, 
3020, 3300 HICKORY VIEW PLACE, MEMPHIS, TN, 
3021, 3300 SARABEE LN, MEMPHIS, TN, 
3022, 3400 WOODHOLLOW, MEMPHIS, TN, 
3023, 3500 DUNN, MEMPHIS, TN, 
3024, 3500 GRACELAND DR, MEMPHIS, TN, 
3025, 3500 W VILLAGE GROVE PL, MEMPHIS, TN, 
3026, 3500 ZOYSIA DR, MEMPHIS, TN, 
3027, 3600 MILLARD, MEMPHIS, TN, 
3028, 3700 KEARNEY, MEMPHIS, TN, 
3029, 3700 TYLA DR, MEMPHIS, TN, 
3030, 400 DELTA, MEMPHIS, TN, 
3031, 4200 GRACELAND DR, MEMPHIS, TN, 
3032, 4800 TULANE RD, MEMPHIS, TN, 
3033, 500 DELTA RD, MEMPHIS, TN, 
3034, 5200 HALEVILLE, MEMPHIS, TN, 
3035, 700 BENHAM, MEMPHIS, TN, 
3036, 700 MCLEMORE, MEMPHIS, TN, 
3037, 700 VANCE, MEMPHIS, TN, 
3038, 800 ADAMS AVE, MEMPHIS, TN, 
3039, 800 E GAGE, MEMPHIS, TN, 
3040, 800 HANLEY, MEMPHIS, TN, 
3041, 8000 CLUB DR, MEMPHIS, TN, 
3042, 8300 VARDON LN, MEMPHIS, TN, 
3043, 900 DICKINSON, MEMPHIS, TN, 
3044, AIRWAYS AND DWIGHT, MEMPHIS, TN, 
3045, COURT AND CLAYBROOK, MEMPHIS, TN, 
3046, HUNTER AND HOLLYWOOD, MEMPHIS, TN, 
3047, NEW ALLEN AND RIDGEMONT, MEMPHIS, TN, 
3048, 100 FIELDS, MEMPHIS, TN, 
3049, 1000 BARBARA, MEMPHIS, TN, 
3050, 1100 CELLA, MEMPHIS, TN, 
3051, 1100 FIRESTONE, MEMPHIS, TN, 
3052, 1300 MARGARET, MEMPHIS, TN, 
3053, 1500 MISSISSIPPI, MEMPHIS, TN, 
3054, 1500 SILVER, MEMPHIS, TN, 
3055, 1500 SYCAMORE BEND, MEMPHIS, TN, 
3056, 1500 WEYMOUTH, MEMPHIS, TN, 
3057, 1600 TUTWILER, MEMPHIS, TN, 
3058, 1700 OBERLE, MEMPHIS, TN, 
3059, 1800 BOXBERRY LN, MEMPHIS, TN, 
3060, 1800 S THIRD, MEMPHIS, TN, 
3061, 2200 E RIVER TRACE DR, MEMPHIS, TN, 
3062, 2200 POPLAR AVE, MEMPHIS, TN, 
3063, 2300 E SHELBY DR, MEMPHIS, TN, 
3064, 2900 GREEN TERRACE DR, MEMPHIS, TN, 
3065, 2900 HALE, MEMPHIS, TN, 
3066, 300 S HIGHLAND, MEMPHIS, TN, 
3067, 300 S PAULINE ST, MEMPHIS, TN, 
3068, 3200 JOHNSON, MEMPHIS, TN, 
3069, 3200 MILLBRANCH, MEMPHIS, TN, 
3070, 3300 POWERS, MEMPHIS, TN, 
3071, 3400 KIRBY PKWY, MEMPHIS, TN, 
3072, 3400 RIDGEMONT, MEMPHIS, TN, 
3073, 3500 BRIAR PARK, MEMPHIS, TN, 
3074, 3500 CARRINGTON, MEMPHIS, TN, 
3075, 3500 NORTH WATKINS, MEMPHIS, TN, 
3076, 3500 RIDGEMONT, MEMPHIS, TN, 
3077, 3800 BARRON, MEMPHIS, TN, 
3078, 3800 FIRETHORNE, MEMPHIS, TN, 
3079, 3800 WOLF TRAIL, MEMPHIS, TN, 
3080, 3900 KENOSHA, MEMPHIS, TN, 
3081, 400 WASHBURN, MEMPHIS, TN, 
3082, 4000 WINCHESTER RD, MEMPHIS, TN, 
3083, 4100 BARRON, MEMPHIS, TN, 
3084, 4100 REENIE, MEMPHIS, TN, 
