39001, E H CRUMP AND MISSISSIPPI, MEMPHIS, TN, 
39002, E MALLORY AND CORRY, MEMPHIS, TN, 
39003, E MCLEMORE AND LATHAM, MEMPHIS, TN, 
39004, E PERSON AVE AND CASTALIA ST, MEMPHIS, TN, 
39005, E PKWY N AND SAM COOPER, MEMPHIS, TN, 
39006, E RAINES RD AND GRACELAND DR, MEMPHIS, TN, 
39007, E SHELBY DR AND MILLBRANCH RD, MEMPHIS, TN, 
39008, E SHELBY DR AND MILLBRANCH, MEMPHIS, TN, 
39009, E SHELBY DR AND SWINNEA RD, MEMPHIS, TN, 
39010, EAST WIND AND SOUTHWIND, MEMPHIS, TN, 
39011, EASTMORELAND AND CLAYBROOK, MEMPHIS, TN, 
39012, EASTMORELAND AND CLEVELAND, MEMPHIS, TN, 
39013, EASTPORT CV AND CHUCK, MEMPHIS, TN, 
39014, EDITH AND MISSISSIPPI, MEMPHIS, TN, 
39015, EGYPT CENTRAL AND RAMILL, MEMPHIS, TN, 
39016, EGYPT CENTRAL AND RIDGEMONT, MEMPHIS, TN, 
39017, ELDRIDGE AND EVERGREEN, MEMPHIS, TN, 
39018, ELDRIDGE AND MERCHANT, MEMPHIS, TN, 
39019, ELDRIDGE AND TREZEVANT, MEMPHIS, TN, 
39020, ELLSWORTH AND MIDLAND, MEMPHIS, TN, 
39021, ELVIS PRESLEY AND BROOKS RD, MEMPHIS, TN, 
39022, ELVIS PRESLEY AND E ALCY, MEMPHIS, TN, 
39023, ELVIS PRESLEY AND ELOISE, MEMPHIS, TN, 
39024, ELVIS PRESLEY AND HOLMES RD, MEMPHIS, TN, 
39025, ELVIS PRESLEY AND OLD HICKORY, MEMPHIS, TN, 
39026, ELVIS PRESLEY AND ROBERTS, MEMPHIS, TN, 
39027, ELVIS PRESLEY AND ROSE HILL, MEMPHIS, TN, 
39028, ELVIS PRESLEY AND STATELINE, MEMPHIS, TN, 
39029, ELVIS PRESLEY AND TIMOTHY, MEMPHIS, TN, 
39030, ELVIS PRESLEY AND VALSE, MEMPHIS, TN, 
39031, ELVIS PRESLEY AND WINCHESTER RD, MEMPHIS, TN, 
39032, EMERALD AND WINCHESTER, MEMPHIS, TN, 
39033, ENGLISH TOWNE AND COVINGTON PIKE, MEMPHIS, TN, 
39034, ENTER # ELVIS PRESLEY BOULEVARD, MEMPHIS, TN, 
39035, EVA AND FAXON, MEMPHIS, TN, 
39036, EXCHANGE AND BB KING, MEMPHIS, TN, 
39037, EXCHANGE AND SECOND ST, MEMPHIS, TN, 
39038, EXCHANGE AND THIRD ST, MEMPHIS, TN, 
39039, EYERS AND WEAVER, MEMPHIS, TN, 
39040, FAIRWAY AND HILLBROOK, MEMPHIS, TN, 
39041, FARMVILLE AND NATIONAL, MEMPHIS, TN, 
39042, FARRINGTON AND INGLE, MEMPHIS, TN, 
39043, FAXON AND HIGHLAND, MEMPHIS, TN, 
39044, FAXON AND MCLEAN, MEMPHIS, TN, 
39045, FELTON AND NEW ALLEN, MEMPHIS, TN, 
39046, FIFTH AND CHELSEA, MEMPHIS, TN, 
39047, FILMORE AND LABELLE, MEMPHIS, TN, 
39048, FINLEY AND RIDGEWOOD, MEMPHIS, TN, 
39049, FINLEY RD AND FARONIA RD, MEMPHIS, TN, 
39050, FIRESTONE AND DANNY THOMAS, MEMPHIS, TN, 
39051, FLORIDA AND BURDOCK, MEMPHIS, TN, 
39052, FLORIDA AND FARROW, MEMPHIS, TN, 
39053, FLORIDA AND FERNWOOD, MEMPHIS, TN, 
39054, FLORIDA AND GAGE, MEMPHIS, TN, 
39055, FLOWERING PEACH AND HYACINTH, MEMPHIS, TN, 
39056, FLOWERING PEACH AND MENDENHALL RD, MEMPHIS, TN, 
39057, FLOWERS AND TOWNES, MEMPHIS, TN, 
39058, FOOTE HOMES, MEMPHIS, TN, 
39059, FORD AND DELTA, MEMPHIS, TN, 
39060, FORD AND MITCHELL, MEMPHIS, TN, 
39061, FORD AND WALKER, MEMPHIS, TN, 
39062, FOREST VIEW AND FOREST GLEN, MEMPHIS, TN, 
39063, FOURTH AND BUTLER, MEMPHIS, TN, 
39064, FOURTH AND LACLEDE, MEMPHIS, TN, 
39065, FOURTH ST AND GAYOSO AVE, MEMPHIS, TN, 
39066, FRANKLIN AND SUMMER, MEMPHIS, TN, 
39067, FRAYSER AND ADAIR, MEMPHIS, TN, 
39068, FRAYSER AND HAWKINS MILL, MEMPHIS, TN, 
39069, FRAYSER AND MTN TERRACE, MEMPHIS, TN, 
39070, FRAYSER AND OLD ALLEN, MEMPHIS, TN, 
39071, FRAYSER AND WARFORD, MEMPHIS, TN, 
39072, FRAYSER BLVD AND MILLINGTON, MEMPHIS, TN, 
39073, FRAYSER BLVD AND SCHOOLFIELD, MEMPHIS, TN, 
39074, FRAYSER BLVD, MEMPHIS, TN, 
39075, FRAYSER CIRCLE AND THOMAS, MEMPHIS, TN, 
39076, FRAYSER RALEIGH AND OLD ALLEN, MEMPHIS, TN, 
39077, FRAYSER-RALEIGH AND REDCOAT, MEMPHIS, TN, 
39078, FRISCO AND CHARJEAN, MEMPHIS, TN, 
39079, FRONT AND BUTLER, MEMPHIS, TN, 
