40001, 1000 S WHITESTATION, MEMPHIS, TN, 
40002, 1000 SCOTT, MEMPHIS, TN, 
40003, 1000 SHIGHLAND, MEMPHIS, TN, 
40004, 1000 SO COOPER, MEMPHIS, TN, 
40005, 1000 SO FOURTH, MEMPHIS, TN, 
40006, 1000 SOUTH COOPER ST, MEMPHIS, TN, 
40007, 1000 SOUTH PARKWAY E, MEMPHIS, TN, 
40008, 1000 SUMMER SHADE, MEMPHIS, TN, 
40009, 1000 TAMPA AVE, MEMPHIS, TN, 
40010, 1000 TRANQUIL LN, MEMPHIS, TN, 
40011, 1000 VILLAGE OAK CV, MEMPHIS, TN, 
40012, 1000 W HOLMES, MEMPHIS, TN, 
40013, 1000 W J WILLIAMS, MEMPHIS, TN, 
40014, 1000 W LEVI RD, MEMPHIS, TN, 
40015, 1000 W WALTHAL CIRCLE, MEMPHIS, TN, 
40016, 1000 WATERLILY, MEMPHIS, TN, 
40017, 1000 WATKINS ST, MEMPHIS, TN, 
40018, 1000 WELLINGTON ST, MEMPHIS, TN, 
40019, 1000 WEST MARIGOLD, MEMPHIS, TN, 
40020, 1000 WEST MITCHELL RD, MEMPHIS, TN, 
40021, 1000 WEST SHELBY DR, MEMPHIS, TN, 
40022, 1000 WINDY LOU, MEMPHIS, TN, 
40023, 1000 WRENS ROOST CR, MEMPHIS, TN, 
40024, 10000 SPILLWAY CR, MEMPHIS, TN, 
40025, 10200 BREEZY RIDGE CV, MEMPHIS, TN, 
40026, 10300 COTTAGE OAKS, MEMPHIS, TN, 
40027, 10300 OLD WELL TERRACE, MEMPHIS, TN, 
40028, 1100 7TH ST, MEMPHIS, TN, 
40029, 1100 ARKANSAS ST, MEMPHIS, TN, 
40030, 1100 BERCLAIR ST, MEMPHIS, TN, 
40031, 1100 BLUEBIRD LN, MEMPHIS, TN, 
40032, 1100 BOURBON ST, MEMPHIS, TN, 
40033, 1100 CABANA CIR, MEMPHIS, TN, 
40034, 1100 CAPITAL ST, MEMPHIS, TN, 
40035, 1100 CAPITOL, MEMPHIS, TN, 
