42001, 3400 SUMMER PL LN, MEMPHIS, TN, 
42002, 3400 SUMMER PL, MEMPHIS, TN, 
42003, 3400 UNIVERSITY ST, MEMPHIS, TN, 
42004, 3400 VALLEY STREAM, MEMPHIS, TN, 
42005, 3400 VINYARD HAVEN, MEMPHIS, TN, 
42006, 3400 WATKINS RD, MEMPHIS, TN, 
42007, 3400 WINCHESTER PL E, MEMPHIS, TN, 
42008, 3400 WINCHESTER PLACE EAST, MEMPHIS, TN, 
42009, 3400 WINDGATE, MEMPHIS, TN, 
42010, 3400 WINDY HOLLOW, MEMPHIS, TN, 
42011, 3400 WYNGATE CV, MEMPHIS, TN, 
42012, 3500 ARDENT CV, MEMPHIS, TN, 
42013, 3500 BARRON AVE, MEMPHIS, TN, 
42014, 3500 BEN BOW, MEMPHIS, TN, 
42015, 3500 BENBO DR, MEMPHIS, TN, 
42016, 3500 BENTLEY CV, MEMPHIS, TN, 
42017, 3500 BLUEBERRY HILL LN, MEMPHIS, TN, 
42018, 3500 BOWER, MEMPHIS, TN, 
42019, 3500 BOWMAN AVE, MEMPHIS, TN, 
42020, 3500 BRIAR PARK DR W, MEMPHIS, TN, 
42021, 3500 BRIAR PARK E, MEMPHIS, TN, 
42022, 3500 BRIARPARK DR WEST, MEMPHIS, TN, 
42023, 3500 BROCKCLIFF CV, MEMPHIS, TN, 
42024, 3500 CANE RIDGE DR, MEMPHIS, TN, 
42025, 3500 CARRINGTON AVE, MEMPHIS, TN, 
42026, 3500 CHOWNING, MEMPHIS, TN, 
42027, 3500 CHRISTINE RD, MEMPHIS, TN, 
42028, 3500 CLARK RD, MEMPHIS, TN, 
42029, 3500 CODY DR, MEMPHIS, TN, 
42030, 3500 CODY, MEMPHIS, TN, 
42031, 3500 CROW RD, MEMPHIS, TN, 
42032, 3500 DEER RUN CT, MEMPHIS, TN, 
42033, 3500 DEER RUN, MEMPHIS, TN, 
42034, 3500 DELL GLADE, MEMPHIS, TN, 
42035, 3500 DEMOCRAT AVE, MEMPHIS, TN, 
42036, 3500 DOBBIN FERRY RD, MEMPHIS, TN, 
42037, 3500 DOVE CREEK CIR W, MEMPHIS, TN, 
42038, 3500 DOVE CREEK CIR, MEMPHIS, TN, 
42039, 3500 DOVE CREEK CIRCLE, MEMPHIS, TN, 
42040, 3500 DUNNGREEN, MEMPHIS, TN, 
42041, 3500 E ROLLING WOODS, MEMPHIS, TN, 
42042, 3500 EAST BIMBO, MEMPHIS, TN, 
