45001, HOLMES AND HENRY, MEMPHIS, TN, 
45002, HOLMES AND HORNSBY, MEMPHIS, TN, 
45003, HOLMES AND LOCHINVAR, MEMPHIS, TN, 
45004, HOLMES AND MT OLIVE, MEMPHIS, TN, 
45005, HOLMES AND S THIRD, MEMPHIS, TN, 
45006, HOLMES RD AND AIRWAYS BLVD, MEMPHIS, TN, 
45007, HOLMES RD AND AIRWAYS, MEMPHIS, TN, 
45008, HOLMES RD AND GETWELL RD, MEMPHIS, TN, 
45009, HOLMES RD AND TCHULAHOMA RD, MEMPHIS, TN, 
45010, HOLMES, MEMPHIS, TN, 
45011, HOMER AND FAIRMONT, MEMPHIS, TN, 
45012, HOMER AND GIVEN, MEMPHIS, TN, 
45013, HOMER AND ROCKWOOD, MEMPHIS, TN, 
45014, HORN LAKE AND BRANTLEY, MEMPHIS, TN, 
45015, HORN LAKE AND BYFIELD, MEMPHIS, TN, 
45016, HORN LAKE AND FAIRWAY, MEMPHIS, TN, 
45017, HORN LAKE RD AND BYFIELD, MEMPHIS, TN, 
45018, HORNLAKE AND MITCHELL RD, MEMPHIS, TN, 
45019, HORNLAKE AND SHELBY DR, MEMPHIS, TN, 
45020, HUDGINS AND PONDEROSA, MEMPHIS, TN, 
45021, HUDGINS AND PRADO, MEMPHIS, TN, 
45022, HUDSON AND COLEMAN, MEMPHIS, TN, 
45023, HUDSON AND LAMPHIER, MEMPHIS, TN, 
45024, HUDSON ST AND GIVEN AVE, MEMPHIS, TN, 
45025, HUMES AND POPLAR, MEMPHIS, TN, 
45026, HUMPHREYS BLVD AND WALNUT GROVE, MEMPHIS, TN, 
45027, HWY 64 AND KATE BOND, MEMPHIS, TN, 
45028, HWY 64, MEMPHIS, TN, 
45029, HYDE PARK AND CHELSEA AVE, MEMPHIS, TN, 
45030, HYDEPARK AND CLAYTON, MEMPHIS, TN, 
45031, I 240 AND CHELSEA, MEMPHIS, TN, 
45032, I 240 AND LAMAR AVE, MEMPHIS, TN, 
45033, I 240 AND NORRIS RD, MEMPHIS, TN, 
45034, I 40 AND I 240, MEMPHIS, TN, 
45035, I 40 AND WATKINS, MEMPHIS, TN, 
45036, I 40 AND WHITTEN, MEMPHIS, TN, 
45037, I 55 AND MALLORY, MEMPHIS, TN, 
45038, I-240 AND MILLBRANCH RD, MEMPHIS, TN, 
45039, I-240 AND UNION AVE, MEMPHIS, TN, 
45040, I-240 AND WARFORD, MEMPHIS, TN, 
45041, I-240 E AND B AND AIRWAYS, MEMPHIS, TN, 
45042, I-240 E AND B AND LAMAR, MEMPHIS, TN, 
45043, I-240 W AND B AND GETWELL, MEMPHIS, TN, 
45044, I-240 W AND B AND PERKINS, MEMPHIS, TN, 
45045, I-240 W AND MILLBRANCH RD, MEMPHIS, TN, 
45046, I-240W AND B AND LAMAR, MEMPHIS, TN, 
45047, I-385 AND I-240, MEMPHIS, TN, 
45048, I-385 AND RIVERDALE, MEMPHIS, TN, 
45049, I-40 AND COVINGTON PIKE RD, MEMPHIS, TN, 
45050, I-40 AND N HOLLYWOOD ST, MEMPHIS, TN, 
45051, I-40 AND SAM COOPER, MEMPHIS, TN, 
45052, I-55 AND ELVIS PRESLEY BLVD, MEMPHIS, TN, 
45053, I-55 AND HOLMES RD, MEMPHIS, TN, 
45054, I-55 AND SOUTH THIRD, MEMPHIS, TN, 
45055, I-55 AND WINCHESTER, MEMPHIS, TN, 
45056, I240 AND HOLLYWOOD, MEMPHIS, TN, 
45057, I240 AND UNION, MEMPHIS, TN, 
45058, I385 AND RIDGEWAY, MEMPHIS, TN, 
45059, I40 AND DANNY THOMAS, MEMPHIS, TN, 
45060, I40 AND MADISON, MEMPHIS, TN, 
45061, I40 AND POPLAR, MEMPHIS, TN, 
45062, I40 AND SUMMER, MEMPHIS, TN, 
45063, I40 AND SYCAMORE VIEW RD, MEMPHIS, TN, 
45064, I55 AND THIRD, MEMPHIS, TN, 
