47001, 1600 CANE MEADOW DR, MEMPHIS, TN, 
47002, 1600 CARLTON RD, MEMPHIS, TN, 
47003, 1600 CARNEGIE ST, MEMPHIS, TN, 
47004, 1600 CARVER, MEMPHIS, TN, 
47005, 1600 CASTALIA ST, MEMPHIS, TN, 
47006, 1600 CATALINA RD, MEMPHIS, TN, 
47007, 1600 COMPTON, MEMPHIS, TN, 
47008, 1600 CORNING ST, MEMPHIS, TN, 
47009, 1600 DEXTER RUN EAST, MEMPHIS, TN, 
47010, 1600 DIANNE CIR, MEMPHIS, TN, 
47011, 1600 E DEARING RD, MEMPHIS, TN, 
47012, 1600 E DEARING, MEMPHIS, TN, 
47013, 1600 E DEMPSTER, MEMPHIS, TN, 
47014, 1600 E MALLORY AVE, MEMPHIS, TN, 
47015, 1600 E MC LEMORE AVE, MEMPHIS, TN, 
47016, 1600 E STRIBLING, MEMPHIS, TN, 
47017, 1600 EAST BROOK, MEMPHIS, TN, 
47018, 1600 EAST DEMPSTER, MEMPHIS, TN, 
47019, 1600 EAST MALLORY, MEMPHIS, TN, 
47020, 1600 EAST RAINES, MEMPHIS, TN, 
47021, 1600 EAST SHELBY, MEMPHIS, TN, 
47022, 1600 EASTMORELAND ST, MEMPHIS, TN, 
47023, 1600 ELLISTON ST, MEMPHIS, TN, 
47024, 1600 ELVIS PRESLEY AVE, MEMPHIS, TN, 
47025, 1600 ELVIS PRESLEY BOULEVARD, MEMPHIS, TN, 
47026, 1600 ELVIS PRESLY, MEMPHIS, TN, 
47027, 1600 ESTIL, MEMPHIS, TN, 
47028, 1600 ETHLYN AVE, MEMPHIS, TN, 
47029, 1600 FIRST NORTHSIDE, MEMPHIS, TN, 
47030, 1600 FLORDIA, MEMPHIS, TN, 
47031, 1600 FOX TRACE DR, MEMPHIS, TN, 
47032, 1600 FRAYSER BL, MEMPHIS, TN, 
47033, 1600 GABAY AVE, MEMPHIS, TN, 
47034, 1600 GENISIS CIR, MEMPHIS, TN, 
47035, 1600 GENISIS CIRCLE, MEMPHIS, TN, 
47036, 1600 GIRVIN DR, MEMPHIS, TN, 
47037, 1600 GOODWILL LN, MEMPHIS, TN, 
47038, 1600 GRAHAM AVE, MEMPHIS, TN, 
47039, 1600 HARLEM, MEMPHIS, TN, 
47040, 1600 HAYNES, MEMPHIS, TN, 
47041, 1600 HELSLEY, MEMPHIS, TN, 
47042, 1600 HOLMES RD, MEMPHIS, TN, 
47043, 1600 HUTSON DR, MEMPHIS, TN, 
47044, 1600 JEANNINE ST, MEMPHIS, TN, 
47045, 1600 KERR, MEMPHIS, TN, 
47046, 1600 KIMBALL, MEMPHIS, TN, 
47047, 1600 LACEWING TRACE, MEMPHIS, TN, 
47048, 1600 LEIGH RD, MEMPHIS, TN, 
47049, 1600 LOOKOUT RD, MEMPHIS, TN, 
47050, 1600 MACON RD, MEMPHIS, TN, 
47051, 1600 MAJORIE, MEMPHIS, TN, 
47052, 1600 MARY JANE RD, MEMPHIS, TN, 
47053, 1600 MARY RD, MEMPHIS, TN, 
47054, 1600 MASSEY MANOR LN, MEMPHIS, TN, 
47055, 1600 MASSEY POINT LN, MEMPHIS, TN, 
47056, 1600 MCLEAN, MEMPHIS, TN, 
47057, 1600 MCMILLEN, MEMPHIS, TN, 
47058, 1600 MICHIGAN AVE, MEMPHIS, TN, 
47059, 1600 MILL VIEW, MEMPHIS, TN, 
47060, 1600 MILLVIEW CT, MEMPHIS, TN, 
47061, 1600 MILLVIEW RD, MEMPHIS, TN, 
47062, 1600 MONROE 3, MEMPHIS, TN, 
47063, 1600 N 2ND ST, MEMPHIS, TN, 
47064, 1600 N BELLEVUE BLVD, MEMPHIS, TN, 
47065, 1600 N HOLLYWOOD BLVD, MEMPHIS, TN, 
47066, 1600 N MERTON #1, MEMPHIS, TN, 
47067, 1600 N MERTON AVE, MEMPHIS, TN, 
47068, 1600 N TREZAVANT, MEMPHIS, TN, 
47069, 1600 N TREZVANT ST, MEMPHIS, TN, 
47070, 1600 NORTH SIDE, MEMPHIS, TN, 
47071, 1600 NORTH TREZVANT, MEMPHIS, TN, 
47072, 1600 NORTHSIDE MANOR, MEMPHIS, TN, 
47073, 1600 ORENDA, MEMPHIS, TN, 
47074, 1600 PAGE CV, MEMPHIS, TN, 
47075, 1600 PARKWAY VIEW CIR, MEMPHIS, TN, 
47076, 1600 PENNSYVANIA, MEMPHIS, TN, 
47077, 1600 PERSON AVE, MEMPHIS, TN, 
47078, 1600 PINE SHADOWS, MEMPHIS, TN, 
47079, 1600 PKWYVIEW, MEMPHIS, TN, 
47080, 1600 POPLAR OAKS CR, MEMPHIS, TN, 
47081, 1600 POPLAR RIDGE DR, MEMPHIS, TN, 
47082, 1600 PORT, MEMPHIS, TN, 
47083, 1600 PRESCOTT ST, MEMPHIS, TN, 
47084, 1600 QUAILBROOK DR, MEMPHIS, TN, 
47085, 1600 RAGEN, MEMPHIS, TN, 
47086, 1600 REGAN ST, MEMPHIS, TN, 
47087, 1600 ROSEVELT, MEMPHIS, TN, 
47088, 1600 RUSKIN, MEMPHIS, TN, 
47089, 1600 S 3RD, MEMPHIS, TN, 
47090, 1600 S BUNTYN ST, MEMPHIS, TN, 
47091, 1600 SEMMES AVE, MEMPHIS, TN, 
47092, 1600 SHADOWLAWN ST, MEMPHIS, TN, 
47093, 1600 SHELBY OAKS, MEMPHIS, TN, 
47094, 1600 SIDNEY, MEMPHIS, TN, 
47095, 1600 SINGING TREES, MEMPHIS, TN, 
47096, 1600 SO PKWY, MEMPHIS, TN, 
47097, 1600 SOUTH LAUDERDALE ST, MEMPHIS, TN, 
47098, 1600 SOUTH MCLEAN, MEMPHIS, TN, 
47099, 1600 SOUTH MONTGOMERY, MEMPHIS, TN, 
47100, 1600 SOUTH PRESCOTT ST, MEMPHIS, TN, 
47101, 1600 SPARKWAY EAST, MEMPHIS, TN, 
47102, 1600 SPRESCOTT, MEMPHIS, TN, 
47103, 1600 STRIBLING AVE, MEMPHIS, TN, 
47104, 1600 STRIBLING C, MEMPHIS, TN, 
47105, 1600 TEAL WING LN, MEMPHIS, TN, 
47106, 1600 TIMOTHY DR, MEMPHIS, TN, 
47107, 1600 TREZEVANT ST, MEMPHIS, TN, 
47108, 1600 VERSA CRUZ ST, MEMPHIS, TN, 
47109, 1600 VOLLINTINE ST, MEMPHIS, TN, 
47110, 1600 W CRESTWOOD DR, MEMPHIS, TN, 
47111, 1600 W DIANE CR, MEMPHIS, TN, 
47112, 1600 W RAINES, MEMPHIS, TN, 
47113, 1600 WALDORF, MEMPHIS, TN, 
47114, 1600 WAYSIDE CV, MEMPHIS, TN, 
47115, 1600 WEINER RD, MEMPHIS, TN, 
47116, 1600 WEST DIANNE CIRCLE, MEMPHIS, TN, 
47117, 1600 WHEATON ST, MEMPHIS, TN, 
47118, 1600 WHISPER EDGE CV, MEMPHIS, TN, 
47119, 1600 WHITE WATER, MEMPHIS, TN, 
47120, 1600 WHITTEN, MEMPHIS, TN, 
47121, 1600 WILLETT ST, MEMPHIS, TN, 
47122, 1600 WIND RIVER CIRCLE, MEMPHIS, TN, 
47123, 1600 WOOD MILLS DR, MEMPHIS, TN, 
47124, 1600 YORK AVE, MEMPHIS, TN, 
47125, 1681WINCHESTER, MEMPHIS, TN, 
47126, 1700 AARON BRENNER, MEMPHIS, TN, 
47127, 1700 ADDISON, MEMPHIS, TN, 
47128, 1700 ALTA VISTA AVE, MEMPHIS, TN, 
47129, 1700 ALTA VISTA ST, MEMPHIS, TN, 
47130, 1700 AMARILLO ST, MEMPHIS, TN, 
47131, 1700 AUTUM, MEMPHIS, TN, 
47132, 1700 BAIN, MEMPHIS, TN, 
47133, 1700 BENDER RD, MEMPHIS, TN, 
47134, 1700 BENDER, MEMPHIS, TN, 
47135, 1700 BRANCH WAY #3, MEMPHIS, TN, 
47136, 1700 BRANCHWAY 2, MEMPHIS, TN, 
47137, 1700 BRANCHWAY 4, MEMPHIS, TN, 
47138, 1700 CARNAGIE, MEMPHIS, TN, 
47139, 1700 CARNEIGE, MEMPHIS, TN, 
47140, 1700 CHANNEL DR, MEMPHIS, TN, 
47141, 1700 CLEMENTINE RD, MEMPHIS, TN, 
47142, 1700 COLEBROOK CV, MEMPHIS, TN, 
47143, 1700 COOPER ST, MEMPHIS, TN, 
47144, 1700 CORNELIA LN, MEMPHIS, TN, 
47145, 1700 CORNELIA, MEMPHIS, TN, 
47146, 1700 CORPORATE, MEMPHIS, TN, 
47147, 1700 DALLAS, MEMPHIS, TN, 
47148, 1700 DAVID DR, MEMPHIS, TN, 
47149, 1700 DEXTER RD, MEMPHIS, TN, 
47150, 1700 DEXTER WOODS DR, MEMPHIS, TN, 
47151, 1700 DEXTER, MEMPHIS, TN, 
47152, 1700 DOLAN DR, MEMPHIS, TN, 
47153, 1700 E HOLMES #2, MEMPHIS, TN, 
47154, 1700 EAST DEARING, MEMPHIS, TN, 
