48001, 2300 REDWOOD AVE, MEMPHIS, TN, 
48002, 2300 RILEY, MEMPHIS, TN, 
48003, 2300 RIVERTRACE DR, MEMPHIS, TN, 
48004, 2300 ROLLINS ST, MEMPHIS, TN, 
48005, 2300 S 3RD, MEMPHIS, TN, 
48006, 2300 SAINT ELMO, MEMPHIS, TN, 
48007, 2300 SITLER ST, MEMPHIS, TN, 
48008, 2300 SOUTH 3RD ST, MEMPHIS, TN, 
48009, 2300 SOUTH 3RD, MEMPHIS, TN, 
48010, 2300 SPARKS AVE, MEMPHIS, TN, 
48011, 2300 SPARKWAY E, MEMPHIS, TN, 
48012, 2300 SPRINGDALE, MEMPHIS, TN, 
48013, 2300 STELMO, MEMPHIS, TN, 
48014, 2300 STONE STREAM DR, MEMPHIS, TN, 
48015, 2300 STOVALL ST, MEMPHIS, TN, 
48016, 2300 SYCAMORE VIEW RD, MEMPHIS, TN, 
48017, 2300 TANT, MEMPHIS, TN, 
48018, 2300 THIRD ST, MEMPHIS, TN, 
48019, 2300 THORNWOOD DR, MEMPHIS, TN, 
48020, 2300 VALLEY EDGE DR, MEMPHIS, TN, 
48021, 2300 W HILLVIEW, MEMPHIS, TN, 
48022, 2300 W RIVER TRCE, MEMPHIS, TN, 
48023, 2300 WEBBING, MEMPHIS, TN, 
48024, 2300 WELLONS ST, MEMPHIS, TN, 
48025, 2300 WICKERWOOD, MEMPHIS, TN, 
48026, 2300 WILLOWWOOD AVE, MEMPHIS, TN, 
48027, 2300 WILLOWWOOD DR, MEMPHIS, TN, 
48028, 2300 WOOD EDGE DR, MEMPHIS, TN, 
48029, 2300 WOODEDGE, MEMPHIS, TN, 
48030, 2300 WOODFIELD PK, MEMPHIS, TN, 
48031, 240 AND AIRWAYS BLVD, MEMPHIS, TN, 
48032, 240 AND HOLLYWOOD, MEMPHIS, TN, 
48033, 240 AND SOUTH PKWY, MEMPHIS, TN, 
48034, 2400 AIRWAYS RD, MEMPHIS, TN, 
48035, 2400 AIRWAYS ST, MEMPHIS, TN, 
48036, 2400 ASCOTT PL, MEMPHIS, TN, 
48037, 2400 BELGIAN CV S, MEMPHIS, TN, 
48038, 2400 BLOCK KETCHUM, MEMPHIS, TN, 
48039, 2400 BLOCK OF HUNTER, MEMPHIS, TN, 
48040, 2400 BOYLE ST, MEMPHIS, TN, 
48041, 2400 BUOY ST, MEMPHIS, TN, 
48042, 2400 CANDLEWICK, MEMPHIS, TN, 
48043, 2400 CHANNEL AVE, MEMPHIS, TN, 
48044, 2400 CHESLEA AVE, MEMPHIS, TN, 
48045, 2400 CITICO, MEMPHIS, TN, 
48046, 2400 CLEAR PARK DR, MEMPHIS, TN, 
48047, 2400 CLIFFDALE, MEMPHIS, TN, 
48048, 2400 CLUMBER, MEMPHIS, TN, 
48049, 2400 CORNING ST, MEMPHIS, TN, 
48050, 2400 COVINGTONPIKE, MEMPHIS, TN, 
48051, 2400 DUNN CV, MEMPHIS, TN, 
48052, 2400 DWIGHT 5, MEMPHIS, TN, 
48053, 2400 DWIGTH, MEMPHIS, TN, 
48054, 2400 E HILLVIEW, MEMPHIS, TN, 
48055, 2400 EASTOVER CV, MEMPHIS, TN, 
48056, 2400 EASTWOOD PLACE, MEMPHIS, TN, 
48057, 2400 ELDRIDGE ST, MEMPHIS, TN, 
48058, 2400 ELDRIGDE, MEMPHIS, TN, 
48059, 2400 ELDRIGE, MEMPHIS, TN, 
48060, 2400 EVENINGVIEW DR, MEMPHIS, TN, 
48061, 2400 EVENINGVIEW, MEMPHIS, TN, 
48062, 2400 FALLINGWATER, MEMPHIS, TN, 
48063, 2400 FLORIDA AVE, MEMPHIS, TN, 
48064, 2400 FOREST AVE, MEMPHIS, TN, 
48065, 2400 FORREST ST, MEMPHIS, TN, 
48066, 2400 GLENCLIFF ST, MEMPHIS, TN, 
48067, 2400 HAWKHURST ST, MEMPHIS, TN, 
48068, 2400 HENNINGTON, MEMPHIS, TN, 
48069, 2400 HICKORY CREST DR, MEMPHIS, TN, 
48070, 2400 HILLSIDE DR, MEMPHIS, TN, 
48071, 2400 HILLSIDE ST, MEMPHIS, TN, 
48072, 2400 IMMOGENE, MEMPHIS, TN, 
48073, 2400 JEFFERSON AVE, MEMPHIS, TN, 
48074, 2400 JEFFERSON, MEMPHIS, TN, 
48075, 2400 LAKE EDGE DR, MEMPHIS, TN, 
48076, 2400 LAKE EDGE, MEMPHIS, TN, 
48077, 2400 LAMAR CIR, MEMPHIS, TN, 
