4001, 3600 KENSETT, MEMPHIS, TN, 
4002, 3600 NORRISWOOD, MEMPHIS, TN, 
4003, 3700 BUFFALO, MEMPHIS, TN, 
4004, 3800 OLD GETWELL RD, MEMPHIS, TN, 
4005, 400 HOLLOWELL, MEMPHIS, TN, 
4006, 4000 CALLAHAN, MEMPHIS, TN, 
4007, 4000 DUNN, MEMPHIS, TN, 
4008, 4300 ARROWHEAD, MEMPHIS, TN, 
4009, 4300 CHUCK, MEMPHIS, TN, 
4010, 4400 SUNNYSLOPE, MEMPHIS, TN, 
4011, 4700 YOSEMITE CT, MEMPHIS, TN, 
4012, 4800 BRIGIDIER, MEMPHIS, TN, 
4013, 4800 ROYAL ELM CV, MEMPHIS, TN, 
4014, 5000 CROMWELL, MEMPHIS, TN, 
4015, 5100 NEWTON, MEMPHIS, TN, 
4016, 5200 COTTONWOOD, MEMPHIS, TN, 
4017, 5800 MT MORIAH RD, MEMPHIS, TN, 
4018, 5900 HICKORY COMMONS, MEMPHIS, TN, 
4019, 600 MCLEMORE, MEMPHIS, TN, 
4020, 600 SIMPSON, MEMPHIS, TN, 
4021, 6000 STEVEN VIEW, MEMPHIS, TN, 
4022, 6100 KNIGHTSBRIDGE DR, MEMPHIS, TN, 
4023, 6100 WIND MEADOW LN, MEMPHIS, TN, 
4024, 6200 TALON, MEMPHIS, TN, 
4025, 6400 KIRBY DOWNS, MEMPHIS, TN, 
4026, 700 BEALE ST, MEMPHIS, TN, 
4027, 700 SOUTH HIGHLAND, MEMPHIS, TN, 
4028, 800 BOSTON, MEMPHIS, TN, 
4029, 800 EAST RAINES RD, MEMPHIS, TN, 
4030, 800 KIPPLEY, MEMPHIS, TN, 
4031, 8100 WINCHESTER, MEMPHIS, TN, 
4032, 8300 NIBLIK CV, MEMPHIS, TN, 
4033, 900 BREEDLOVE ST, MEMPHIS, TN, 
4034, DANNY THOMAS AND MISSISSIPPI, MEMPHIS, TN, 
4035, FRAYSER AND WATKINS, MEMPHIS, TN, 
4036, MISSISSIPPI AND DANNY THOMAS, MEMPHIS, TN, 
4037, 100 EASTVIEW, MEMPHIS, TN, 
4038, 100 S PAULINE, MEMPHIS, TN, 
4039, 1000 BEATRICE, MEMPHIS, TN, 
4040, 1000 LENOW PARK DR, MEMPHIS, TN, 
4041, 1100 BROWER, MEMPHIS, TN, 
4042, 1100 DELMAR, MEMPHIS, TN, 
4043, 1100 GOODMAN, MEMPHIS, TN, 
4044, 1100 LINDEN AVE, MEMPHIS, TN, 
4045, 1100 MAURY, MEMPHIS, TN, 
4046, 1100 PATTON ST, MEMPHIS, TN, 
4047, 1200 CANNON, MEMPHIS, TN, 
4048, 1200 N HIGHLAND, MEMPHIS, TN, 
4049, 1300 BROWN, MEMPHIS, TN, 
4050, 1300 FIRESTONE, MEMPHIS, TN, 
4051, 1300 THOMAS ST, MEMPHIS, TN, 
4052, 1400 GREENBROOK BEND, MEMPHIS, TN, 
4053, 1400 SALEM, MEMPHIS, TN, 
4054, 1500 RAINEY DR, MEMPHIS, TN, 
4055, 1500 SEMMES, MEMPHIS, TN, 
4056, 1500 WILSON ST, MEMPHIS, TN, 
4057, 1600 CARPENTER, MEMPHIS, TN, 
4058, 1600 PENDLETON, MEMPHIS, TN, 
4059, 1700 KANSAS ST, MEMPHIS, TN, 
4060, 1700 RUSSWOOD, MEMPHIS, TN, 
4061, 200 N PAULINE, MEMPHIS, TN, 
4062, 200 WEAVER FIELDS LN, MEMPHIS, TN, 
4063, 2000 DUPONT, MEMPHIS, TN, 
4064, 2200 BALL RD, MEMPHIS, TN, 
4065, 2200 WOODS EDGE, MEMPHIS, TN, 
4066, 2300 LYON, MEMPHIS, TN, 
4067, 2400 LAROSE, MEMPHIS, TN, 
4068, 2600 HALE, MEMPHIS, TN, 
4069, 2600 REDVERS, MEMPHIS, TN, 
4070, 2900 EMERALD, MEMPHIS, TN, 
4071, 300 PEABODY PL, MEMPHIS, TN, 
4072, 3100 CLEARBROOK, MEMPHIS, TN, 
4073, 3100 JOHNSON, MEMPHIS, TN, 
