49001, 3200 DARROW ST, MEMPHIS, TN, 
49002, 3200 DIRECTOR ROW, MEMPHIS, TN, 
49003, 3200 DOTHAN RD, MEMPHIS, TN, 
49004, 3200 DOUGLASS ST, MEMPHIS, TN, 
49005, 3200 DUKE ELLINGTON RD, MEMPHIS, TN, 
49006, 3200 DUNCAN WILLIAMS RD, MEMPHIS, TN, 
49007, 3200 EAST DANVILLE CR, MEMPHIS, TN, 
49008, 3200 EGYPT CENTRAL RD, MEMPHIS, TN, 
49009, 3200 FOREST GLEN DR, MEMPHIS, TN, 
49010, 3200 FORREST GLENN, MEMPHIS, TN, 
49011, 3200 FORREST GLN, MEMPHIS, TN, 
49012, 3200 FRAYSER BLVD, MEMPHIS, TN, 
49013, 3200 GERMANTOWN RD, MEMPHIS, TN, 
49014, 3200 GETWELL, MEMPHIS, TN, 
49015, 3200 GLENFINNEN, MEMPHIS, TN, 
49016, 3200 HARVESTER LN E, MEMPHIS, TN, 
49017, 3200 HENDRICK, MEMPHIS, TN, 
49018, 3200 HIGH MEADOWS, MEMPHIS, TN, 
49019, 3200 HOLLY BERRY, MEMPHIS, TN, 
49020, 3200 HOMEWOOD DR, MEMPHIS, TN, 
49021, 3200 HOMEWOOD, MEMPHIS, TN, 
49022, 3200 HORNLAKE RD, MEMPHIS, TN, 
49023, 3200 HOSKINS RD EXTD, MEMPHIS, TN, 
49024, 3200 IVERNESS PKWY, MEMPHIS, TN, 
49025, 3200 JOHNSON ST, MEMPHIS, TN, 
49026, 3200 JOSIBPET RD, MEMPHIS, TN, 
49027, 3200 KEATS RD, MEMPHIS, TN, 
49028, 3200 KETTLECREEK DR, MEMPHIS, TN, 
49029, 3200 KIMNER DR, MEMPHIS, TN, 
49030, 3200 KIMNER ST, MEMPHIS, TN, 
49031, 3200 KINGSHORN, MEMPHIS, TN, 
49032, 3200 LADBROOK ST, MEMPHIS, TN, 
49033, 3200 LAFAYETTE CIR, MEMPHIS, TN, 
49034, 3200 LAKE ARBOR, MEMPHIS, TN, 
49035, 3200 MADEWELL APT A, MEMPHIS, TN, 
49036, 3200 MADEWELL APT D, MEMPHIS, TN, 
49037, 3200 MADEWELL F, MEMPHIS, TN, 
49038, 3200 MADRID ST, MEMPHIS, TN, 
49039, 3200 MAIDWELL, MEMPHIS, TN, 
