50001, 3900 ISLESWORTH, MEMPHIS, TN, 
50002, 3900 JACKSON #11, MEMPHIS, TN, 
50003, 3900 JACKSON #2, MEMPHIS, TN, 
50004, 3900 JACKSON 3, MEMPHIS, TN, 
50005, 3900 KERSTON RD, MEMPHIS, TN, 
50006, 3900 KIMBALL RD, MEMPHIS, TN, 
50007, 3900 KIRBY, MEMPHIS, TN, 
50008, 3900 LAKEVIEW RD, MEMPHIS, TN, 
50009, 3900 LEWIER ST, MEMPHIS, TN, 
50010, 3900 LONG FELLOW, MEMPHIS, TN, 
50011, 3900 LYTLE CR, MEMPHIS, TN, 
50012, 3900 MAID MARION LN, MEMPHIS, TN, 
50013, 3900 MARTAVIA, MEMPHIS, TN, 
50014, 3900 MARY LEE DR, MEMPHIS, TN, 
50015, 3900 MAULDEN DR, MEMPHIS, TN, 
50016, 3900 MOUNTAIN TERRACE, MEMPHIS, TN, 
50017, 3900 N SWAN RIDGE CIR, MEMPHIS, TN, 
50018, 3900 N SWAN RIDGE CIRCLE, MEMPHIS, TN, 
50019, 3900 N TREZVANT ST, MEMPHIS, TN, 
50020, 3900 NEW WILLOW, MEMPHIS, TN, 
50021, 3900 NEWTON RD, MEMPHIS, TN, 
50022, 3900 NORTH ADVANTAGEWAY DR, MEMPHIS, TN, 
50023, 3900 NORTH LAKEWOOD, MEMPHIS, TN, 
50024, 3900 NORTHCLIFF, MEMPHIS, TN, 
50025, 3900 NORTHCLIFFE, MEMPHIS, TN, 
50026, 3900 OAK SIDE CV, MEMPHIS, TN, 
50027, 3900 OAKSHIRE DR, MEMPHIS, TN, 
50028, 3900 ORCHI AVE, MEMPHIS, TN, 
50029, 3900 ORCHIE, MEMPHIS, TN, 
50030, 3900 PATTI ANN, MEMPHIS, TN, 
50031, 3900 PENQUIN, MEMPHIS, TN, 
50032, 3900 PERKINS CUT OFF, MEMPHIS, TN, 
50033, 3900 PIKES PEEK, MEMPHIS, TN, 
50034, 3900 RALEIGH-MILLINGTON RD, MEMPHIS, TN, 
50035, 3900 RAMILL RD, MEMPHIS, TN, 
50036, 3900 RAMILL, MEMPHIS, TN, 
50037, 3900 RIDGEDALE ST, MEMPHIS, TN, 
50038, 3900 ROCKET, MEMPHIS, TN, 
50039, 3900 S 3RD ST, MEMPHIS, TN, 
50040, 3900 S ROSSILAND CIR, MEMPHIS, TN, 
50041, 3900 S ROSSILAND CIRCLE, MEMPHIS, TN, 
50042, 3900 SELDEN, MEMPHIS, TN, 
50043, 3900 SEWANEE RD, MEMPHIS, TN, 
50044, 3900 SEWANEE, MEMPHIS, TN, 
50045, 3900 SHIRLWOOD AVE, MEMPHIS, TN, 
50046, 3900 SOUTH ADVANTAGEWAY DR, MEMPHIS, TN, 
50047, 3900 SOUTH GALLOWAY, MEMPHIS, TN, 
50048, 3900 SPIEGAL, MEMPHIS, TN, 
50049, 3900 SPUMANTE DR, MEMPHIS, TN, 
50050, 3900 SPUMANTE, MEMPHIS, TN, 
50051, 3900 TESSLAND AVE, MEMPHIS, TN, 
50052, 3900 THOMAS ST, MEMPHIS, TN, 
50053, 3900 TIGERPAW, MEMPHIS, TN, 
50054, 3900 TOWNSEND AVE, MEMPHIS, TN, 
50055, 3900 TOWSEND, MEMPHIS, TN, 
50056, 3900 TREZEVANT, MEMPHIS, TN, 
50057, 3900 TREZVANT, MEMPHIS, TN, 
50058, 3900 TUGGLE RD, MEMPHIS, TN, 
50059, 3900 TUTWILLER, MEMPHIS, TN, 
50060, 3900 UNIVERSITY CV, MEMPHIS, TN, 
50061, 3900 W DONNA DR, MEMPHIS, TN, 
50062, 3900 WALNUT CREEK, MEMPHIS, TN, 
50063, 3900 WATMAN AVE, MEMPHIS, TN, 
50064, 3900 WEST VALLEY CR, MEMPHIS, TN, 
50065, 3900 WILDLEAF RD, MEMPHIS, TN, 
50066, 3900 WILLOW CV, MEMPHIS, TN, 
50067, 3900 WILLOW LAKE BLVD, MEMPHIS, TN, 
50068, 3900 WIND VALLEY DR, MEMPHIS, TN, 
50069, 3900 WOODLAND, MEMPHIS, TN, 
50070, 391WESTERN PARK, MEMPHIS, TN, 
50071, 3950AUSTIN PEAY, MEMPHIS, TN, 
50072, 3RD AND BEALE ALLEY, MEMPHIS, TN, 
50073, 3RD AND CRUMP, MEMPHIS, TN, 
50074, 3RD AND FORD RD, MEMPHIS, TN, 
50075, 3RD AND S PKWY, MEMPHIS, TN, 
50076, 3RD AND SHELBY DR, MEMPHIS, TN, 
50077, 3RD ST AND BEALE ST, MEMPHIS, TN, 
50078, 3RD ST AND HORN LAKE, MEMPHIS, TN, 
50079, 400 ALMSTEAD CV, MEMPHIS, TN, 
50080, 400 AND RIVERDALE, MEMPHIS, TN, 
