52001, 6000 EASTPOINTE, MEMPHIS, TN, 
52002, 6000 ELK GROVE, MEMPHIS, TN, 
52003, 6000 EVEN MIST CV, MEMPHIS, TN, 
52004, 6000 FOSTERWOOD, MEMPHIS, TN, 
52005, 6000 FOX BEND CV, MEMPHIS, TN, 
52006, 6000 FOX LAIR CV, MEMPHIS, TN, 
52007, 6000 FOXDALE, MEMPHIS, TN, 
52008, 6000 GREEN ST, MEMPHIS, TN, 
52009, 6000 HICKORY MDW, MEMPHIS, TN, 
52010, 6000 HICKORY MEADOW LANE, MEMPHIS, TN, 
52011, 6000 KENNY CREST RD, MEMPHIS, TN, 
52012, 6000 KNIGHT ARNOLD RD EXT, MEMPHIS, TN, 
52013, 6000 KNIGHT ARNOLD ROAD, MEMPHIS, TN, 
52014, 6000 KNIGHT-ARNOLD, MEMPHIS, TN, 
52015, 6000 LAKE TIDE CV, MEMPHIS, TN, 
52016, 6000 LITTLE BROOK, MEMPHIS, TN, 
52017, 6000 LITTLEBROOK CIRCLE N, MEMPHIS, TN, 
52018, 6000 LUCYCREST, MEMPHIS, TN, 
52019, 6000 LYNNBRIER AVE, MEMPHIS, TN, 
52020, 6000 MASTER DR, MEMPHIS, TN, 
52021, 6000 MOUNT MORIAH EX RD, MEMPHIS, TN, 
52022, 6000 MT MORIAH EX RD, MEMPHIS, TN, 
52023, 6000 MT MORIAH RD EXT, MEMPHIS, TN, 
52024, 6000 N LITTLEBROOK CL, MEMPHIS, TN, 
52025, 6000 NORTH LITTLEBROOK CIR, MEMPHIS, TN, 
52026, 6000 POPLAR PIKE EX, MEMPHIS, TN, 
52027, 6000 RIGELAND, MEMPHIS, TN, 
52028, 6000 ROXBURY DR, MEMPHIS, TN, 
52029, 6000 S LITTLE BROOK CR, MEMPHIS, TN, 
52030, 6000 S LITTLE BROOK, MEMPHIS, TN, 
52031, 6000 SOUTH LITTLE BROOK, MEMPHIS, TN, 
52032, 6000 SOUTH LITTLEBROOK CIRCLE, MEMPHIS, TN, 
52033, 6000 SOUTHAMPTON, MEMPHIS, TN, 
52034, 6000 SPRING BRANCH, MEMPHIS, TN, 
52035, 6000 STEVEN VIEW LN, MEMPHIS, TN, 
52036, 6000 STEVENS VIEW, MEMPHIS, TN, 
52037, 6000 SUMMERSUN SQUARE, MEMPHIS, TN, 
52038, 6000 SUMMERSUN, MEMPHIS, TN, 
52039, 6000 SUMMERTRACE DR, MEMPHIS, TN, 
52040, 6000 SWING PINE LN, MEMPHIS, TN, 
52041, 6000 TIFFANY, MEMPHIS, TN, 
52042, 6000 VALLEY DALE, MEMPHIS, TN, 
52043, 6000 W ROSEWIND CIRCLE, MEMPHIS, TN, 
52044, 6000 WATER STONE OAKWAY, MEMPHIS, TN, 
52045, 6000 WATERSTONE LANDING, MEMPHIS, TN, 
52046, 6000 WATERSTONE OAK, MEMPHIS, TN, 
52047, 6000 WATERSTONE OAKWAY DR, MEMPHIS, TN, 
52048, 6000 WHISPER VLY, MEMPHIS, TN, 
52049, 6000 WILD OAKS DR, MEMPHIS, TN, 
52050, 6000 WINCHESTER AVE, MEMPHIS, TN, 
52051, 6100 APPLE TREE CENTER, MEMPHIS, TN, 
52052, 6100 APPLETREE DR., MEMPHIS, TN, 
52053, 6100 BELLE GROVE CV N, MEMPHIS, TN, 
52054, 6100 BELLE GROVE CV, MEMPHIS, TN, 
52055, 6100 BLACKRAVEN #31, MEMPHIS, TN, 
52056, 6100 BLACKWING CT, MEMPHIS, TN, 
52057, 6100 CEDAR CREST CV, MEMPHIS, TN, 
52058, 6100 CHERRY CREEK LN, MEMPHIS, TN, 
52059, 6100 E RAINES RD, MEMPHIS, TN, 
52060, 6100 E RAINES, MEMPHIS, TN, 
52061, 6100 EAST HOLMES, MEMPHIS, TN, 
52062, 6100 EAST SHELBY DR, MEMPHIS, TN, 
52063, 6100 EXECUTIVE CENTER DR, MEMPHIS, TN, 
52064, 6100 EXECUTIVE CENTER, MEMPHIS, TN, 
52065, 6100 EXECUTIVE CENTRE, MEMPHIS, TN, 
52066, 6100 FOX RIDGE RD, MEMPHIS, TN, 
52067, 6100 HICKORY RIDGE ML, MEMPHIS, TN, 
52068, 6100 KNIGHT ARNOLD EXTENDED, MEMPHIS, TN, 
52069, 6100 KNIGHTARNOLD, MEMPHIS, TN, 
52070, 6100 KNIGHTSBRIDGE LN, MEMPHIS, TN, 
52071, 6100 LITTLE BROOK CIRCLE N, MEMPHIS, TN, 
52072, 6100 LITTLE BROOK CIRCLE NORTH, MEMPHIS, TN, 
52073, 6100 LITTLE BROOK CIRCLE S, MEMPHIS, TN, 
52074, 6100 LITTLEBROOK CIRCLE SOUTH, MEMPHIS, TN, 
52075, 6100 MCQUEEN, MEMPHIS, TN, 
52076, 6100 MOUNT MORIAH RD EXT, MEMPHIS, TN, 
52077, 6100 MT MORIAH EXTENDED, MEMPHIS, TN, 
52078, 6100 N LITTLE BROOK CR RD, MEMPHIS, TN, 
52079, 6100 N LITTLEBROOK CR, MEMPHIS, TN, 
52080, 6100 NORTH LITTLEBROOK, MEMPHIS, TN, 
52081, 6100 PRIMACY PKW, MEMPHIS, TN, 
52082, 6100 RAVEN OAK, MEMPHIS, TN, 
52083, 6100 RIDGEWAY BOULEVARD, MEMPHIS, TN, 
52084, 6100 ROSEWIND CIRCLE WEST, MEMPHIS, TN, 
52085, 6100 ROSEWIND, MEMPHIS, TN, 
52086, 6100 S LITTLEBROOK, MEMPHIS, TN, 
52087, 6100 SCARLETLEAF, MEMPHIS, TN, 
52088, 6100 SEMINARY, MEMPHIS, TN, 
52089, 6100 SHADY GROVE RD, MEMPHIS, TN, 
52090, 6100 SILVERLAND CV, MEMPHIS, TN, 
52091, 6100 SILVERLAND, MEMPHIS, TN, 
52092, 6100 SUMMER RIDGE DRIVE, MEMPHIS, TN, 
52093, 6100 SUMMER RIDGE LN, MEMPHIS, TN, 
52094, 6100 SUMMER RIDGE TRL, MEMPHIS, TN, 
52095, 6100 SUMMER TRAILS DR, MEMPHIS, TN, 
52096, 6100 SUMMERIDGE DR, MEMPHIS, TN, 
52097, 6100 WATERSTONE OAK LN, MEMPHIS, TN, 
52098, 6100 WATERSTONE OAKWAY DR, MEMPHIS, TN, 
52099, 6100 WHISPERING VALLEY, MEMPHIS, TN, 
52100, 6100 WIND MEADOWS LN, MEMPHIS, TN, 
52101, 6100 WIND MEADOWS, MEMPHIS, TN, 
52102, 6100, MEMPHIS, TN, 
