53001, 8800 CALLAWAY CT, MEMPHIS, TN, 
53002, 8800 CHIMNEY ROCK BLVD, MEMPHIS, TN, 
53003, 8800 CLEARSKY PATH, MEMPHIS, TN, 
53004, 8800 EAGLE VIEW DR, MEMPHIS, TN, 
53005, 8800 FAIRWAY GARDENS DR, MEMPHIS, TN, 
53006, 8800 RIVERWOOD FARMS PKWY, MEMPHIS, TN, 
53007, 8800 ROCKY TOP CV, MEMPHIS, TN, 
53008, 8800 TRINITY, MEMPHIS, TN, 
53009, 8900 BREDBURY CV, MEMPHIS, TN, 
53010, 8900 BRIDLEWOOD LN, MEMPHIS, TN, 
53011, 8900 CEDAR CHASE CV, MEMPHIS, TN, 
53012, 8900 CEDAR CHASE, MEMPHIS, TN, 
53013, 8900 DOVELAND DR, MEMPHIS, TN, 
53014, 8900 FLAME LEAF CV, MEMPHIS, TN, 
53015, 8900 FORREST BREEZE, MEMPHIS, TN, 
53016, 8900 GRANDBURY PLACE, MEMPHIS, TN, 
53017, 8900 JOHNSTON CV, MEMPHIS, TN, 
53018, 8900 LAKE EDGE CV E, MEMPHIS, TN, 
53019, 8900 LINDSTROM, MEMPHIS, TN, 
53020, 8900 N CORTONA CIR, MEMPHIS, TN, 
53021, 8900 PLANTATION TRAIL, MEMPHIS, TN, 
53022, 8900 RASPBERRY, MEMPHIS, TN, 
53023, 8900 RIVER HOLLOW DR, MEMPHIS, TN, 
53024, 8900 RIVER HOLLOW, MEMPHIS, TN, 
53025, 8900 RIVER MEADOW DR, MEMPHIS, TN, 
53026, 8900 RIVER RISE, MEMPHIS, TN, 
53027, 8900 RIVERWOOD FARMS PKWY, MEMPHIS, TN, 
53028, 8900 VERSILIA, MEMPHIS, TN, 
53029, 8900 W TROPHY WAY, MEMPHIS, TN, 
53030, 8900 WEST TROPHY WAY, MEMPHIS, TN, 
53031, 8900 WOOD MILLS CV EAST, MEMPHIS, TN, 
53032, 900 ALICE ST, MEMPHIS, TN, 
53033, 900 ALSTON AVE, MEMPHIS, TN, 
53034, 900 B B KING BLVD, MEMPHIS, TN, 
53035, 900 BALTIC AVE, MEMPHIS, TN, 
53036, 900 BARKSDALE, MEMPHIS, TN, 
53037, 900 BARLETT RD, MEMPHIS, TN, 
53038, 900 BARTLETT ROAD, MEMPHIS, TN, 
53039, 900 BB KING BLVD, MEMPHIS, TN, 
53040, 900 BEAU PRE SOUTH, MEMPHIS, TN, 
53041, 900 BLANCHARD RD, MEMPHIS, TN, 
53042, 900 BLK OF KNEY, MEMPHIS, TN, 
53043, 900 BLUEBIRD LN, MEMPHIS, TN, 
53044, 900 BOWEN CV, MEMPHIS, TN, 
53045, 900 CAMDEN GROVE CV, MEMPHIS, TN, 
53046, 900 CHARLES, MEMPHIS, TN, 
53047, 900 COTTON GIN PL, MEMPHIS, TN, 
53048, 900 COX, MEMPHIS, TN, 
53049, 900 CROCKET ST, MEMPHIS, TN, 
53050, 900 CROKETT, MEMPHIS, TN, 
53051, 900 CRUMP BLVD, MEMPHIS, TN, 
53052, 900 DAWN CV, MEMPHIS, TN, 
53053, 900 DELANEY, MEMPHIS, TN, 
53054, 900 DR MARTIN LUTHER KING JR AVE, MEMPHIS, TN, 
53055, 900 E MC KELLAR AVE, MEMPHIS, TN, 
53056, 900 E SHELBY DR, MEMPHIS, TN, 
53057, 900 E TRIGG ST, MEMPHIS, TN, 
53058, 900 E TROPICANA, MEMPHIS, TN, 
53059, 900 EAST DAVANT, MEMPHIS, TN, 
53060, 900 EAST TRIGG AVE, MEMPHIS, TN, 
53061, 900 ECHLES ST, MEMPHIS, TN, 
53062, 900 ECHLES, MEMPHIS, TN, 
53063, 900 ELLSWORTH ST, MEMPHIS, TN, 
53064, 900 ESTATE PLACE, MEMPHIS, TN, 
53065, 900 ESTRIDGE RD, MEMPHIS, TN, 
53066, 900 FLOYD ST, MEMPHIS, TN, 
53067, 900 GAGE, MEMPHIS, TN, 
53068, 900 GILLILAND, MEMPHIS, TN, 
53069, 900 GRIFFIN, MEMPHIS, TN, 
53070, 900 GRIFFTH PL, MEMPHIS, TN, 
53071, 900 HARAHAN RD, MEMPHIS, TN, 
53072, 900 HARBOR BEND, MEMPHIS, TN, 
53073, 900 HARRAHAN, MEMPHIS, TN, 
53074, 900 HEISKELL PLACE, MEMPHIS, TN, 
53075, 900 IVY RD, MEMPHIS, TN, 
53076, 900 JEFFERSON RD, MEMPHIS, TN, 
53077, 900 KILLDEER, MEMPHIS, TN, 
53078, 900 LEACREST RD, MEMPHIS, TN, 
53079, 900 LEON PLACE, MEMPHIS, TN, 
53080, 900 LITTLE WEAVER LN, MEMPHIS, TN, 
53081, 900 MANASSAS ST, MEMPHIS, TN, 
53082, 900 MARIANNE ST, MEMPHIS, TN, 
53083, 900 MARTIN LUTHER KING DR, MEMPHIS, TN, 
53084, 900 MCNEAL, MEMPHIS, TN, 
53085, 900 MILLER BND, MEMPHIS, TN, 
53086, 900 MILLERS BEND 102, MEMPHIS, TN, 
