57001, 1100 POPLAR NUMBER 4 AVE, MEMPHIS, TN, 
57002, 1100 QUAIL RUN LN, MEMPHIS, TN, 
57003, 1100 RAILTON ST, MEMPHIS, TN, 
57004, 1100 RANDEL, MEMPHIS, TN, 
57005, 1100 RAYMOND ST, MEMPHIS, TN, 
57006, 1100 RAYNER AVE, MEMPHIS, TN, 
57007, 1100 REMBERT ST, MEMPHIS, TN, 
57008, 1100 REST BROOK AVE, MEMPHIS, TN, 
57009, 1100 RIDGEWAY RD, MEMPHIS, TN, 
57010, 1100 RIDGEWAY, MEMPHIS, TN, 
57011, 1100 RIVER CURRENTS, MEMPHIS, TN, 
57012, 1100 S BELLVUE, MEMPHIS, TN, 
57013, 1100 S CAMILLA, MEMPHIS, TN, 
57014, 1100 S MCLEAN BLVD, MEMPHIS, TN, 
57015, 1100 S MURRAY HILL LN, MEMPHIS, TN, 
57016, 1100 S PRESCOTT RD, MEMPHIS, TN, 
57017, 1100 S SHADY GOVE, MEMPHIS, TN, 
57018, 1100 S SOMMERVILLE, MEMPHIS, TN, 
57019, 1100 S WELLINGTON AVE, MEMPHIS, TN, 
57020, 1100 S WELLLINGTON, MEMPHIS, TN, 
57021, 1100 S WHITE STA RD, MEMPHIS, TN, 
57022, 1100 S WHITE STA, MEMPHIS, TN, 
57023, 1100 S WHITEHAVEN PARK, MEMPHIS, TN, 
57024, 1100 S WHITESTATON RD, MEMPHIS, TN, 
57025, 1100 S WILLET ST, MEMPHIS, TN, 
57026, 1100 SALEM RD, MEMPHIS, TN, 
57027, 1100 SAUNDERS AVE, MEMPHIS, TN, 
57028, 1100 SEATTLE AVE, MEMPHIS, TN, 
57029, 1100 SHADY GROVE RD S, MEMPHIS, TN, 
57030, 1100 SHANKMAN CIR EAST, MEMPHIS, TN, 
57031, 1100 SHANKMAN CIRCLE W, MEMPHIS, TN, 
57032, 1100 SHANKMAN CIRCLE, MEMPHIS, TN, 
57033, 1100 SHANKMAN, MEMPHIS, TN, 
57034, 1100 SO FOURTH ST, MEMPHIS, TN, 
57035, 1100 SO FOURTH, MEMPHIS, TN, 
57036, 1100 SOUTH 3RD ST, MEMPHIS, TN, 
57037, 1100 SOUTH PERKINS RD, MEMPHIS, TN, 
57038, 1100 SOUTH PERKINS, MEMPHIS, TN, 
57039, 1100 SOUTH PKWY E, MEMPHIS, TN, 
57040, 1100 SOUTH REMBERT ST, MEMPHIS, TN, 
57041, 1100 SOUTH WELLINGTON ST, MEMPHIS, TN, 
