5001, 1900 DRIFTWOOD, MEMPHIS, TN, 
5002, 200 EASTVIEW DR, MEMPHIS, TN, 
5003, 2100 ALTON, MEMPHIS, TN, 
5004, 2100 KANSAS, MEMPHIS, TN, 
5005, 2200 E RAINES RD, MEMPHIS, TN, 
5006, 2200 E SHELBY DR, MEMPHIS, TN, 
5007, 2200 SPICER CV, MEMPHIS, TN, 
5008, 2400 GERMANTOWN RD, MEMPHIS, TN, 
5009, 2400 KINGSLEY, MEMPHIS, TN, 
5010, 2600 SELECT, MEMPHIS, TN, 
5011, 2600 SUPREME, MEMPHIS, TN, 
5012, 2800 KATE BOND, MEMPHIS, TN, 
5013, 2800 SOUTH MENDENHALL, MEMPHIS, TN, 
5014, 2800 TUGBOAT LN, MEMPHIS, TN, 
5015, 2900 CHURCHILL, MEMPHIS, TN, 
5016, 2900 EXECUTIVE DR, MEMPHIS, TN, 
5017, 2900 LEAFY HOLLOW DR, MEMPHIS, TN, 
5018, 2900 NORTH GERMANTOWN, MEMPHIS, TN, 
5019, 2900 SONORA, MEMPHIS, TN, 
5020, 3100 PERSHING, MEMPHIS, TN, 
5021, 3100 PRINCETON, MEMPHIS, TN, 
5022, 3100 SHANNON, MEMPHIS, TN, 
5023, 3200 DUKE ELLINGTON, MEMPHIS, TN, 
5024, 3200 EMERALD, MEMPHIS, TN, 
5025, 3200 STANDARD, MEMPHIS, TN, 
5026, 3300 SOUTHBRIDGE, MEMPHIS, TN, 
5027, 3400 BRADCREST, MEMPHIS, TN, 
5028, 3400 CARRINGTON, MEMPHIS, TN, 
5029, 3400 HICKORY VIEW PL, MEMPHIS, TN, 
5030, 3500 CHANCELLOR, MEMPHIS, TN, 
5031, 3500 MOUNTAIN TERRACE, MEMPHIS, TN, 
5032, 3500 PINE RIDGE LN, MEMPHIS, TN, 
5033, 3600 STUART, MEMPHIS, TN, 
5034, 3600 TALL OAKS, MEMPHIS, TN, 
5035, 3700 VANUYS, MEMPHIS, TN, 
5036, 3700 WOODFIELD, MEMPHIS, TN, 
5037, 3800 CARNES, MEMPHIS, TN, 
5038, 3800 DOUGLASS, MEMPHIS, TN, 
5039, 3800 E MALLORY, MEMPHIS, TN, 
5040, 3800 EMERSON, MEMPHIS, TN, 
5041, 3800 GREENBUSH, MEMPHIS, TN, 
5042, 3800 HILLBROOK, MEMPHIS, TN, 
5043, 3800 VOLTAIRE, MEMPHIS, TN, 
5044, 3800 WOLF TRAIL DR, MEMPHIS, TN, 
5045, 400 OUTER PKWY, MEMPHIS, TN, 
5046, 400 STONEHAM, MEMPHIS, TN, 
5047, 400 WILLIFORD, MEMPHIS, TN, 
5048, 4000 ASHVIEW CV, MEMPHIS, TN, 
5049, 4000 OAKSHIRE, MEMPHIS, TN, 
5050, 4000 RAVEN OAK, MEMPHIS, TN, 
5051, 4100 GIGEM DR, MEMPHIS, TN, 
5052, 4100 TARRYPARK, MEMPHIS, TN, 
5053, 4200 MILL BRANCH, MEMPHIS, TN, 
5054, 4300 ATWOOD, MEMPHIS, TN, 
5055, 4300 COCHESE, MEMPHIS, TN, 
5056, 4300 KIMBALL, MEMPHIS, TN, 
5057, 4400 CRESCENT PARK DR, MEMPHIS, TN, 
5058, 4600 SPRING GLEN, MEMPHIS, TN, 
5059, 4700 BLANDING, MEMPHIS, TN, 
5060, 4700 HEDGES DR, MEMPHIS, TN, 
5061, 4800 SCOTTSDALE, MEMPHIS, TN, 
5062, 5000 BISCOE, MEMPHIS, TN, 
5063, 5000 CHEVRON, MEMPHIS, TN, 
5064, 5000 FRANKIE LN, MEMPHIS, TN, 
5065, 5100 COTTONWOOD, MEMPHIS, TN, 
5066, 5200 CRESSER, MEMPHIS, TN, 
5067, 5200 OLD SUMMER RD, MEMPHIS, TN, 
5068, 5400 COSMOS CV, MEMPHIS, TN, 
5069, 5400 MEADOWLAKE DR SOUTH, MEMPHIS, TN, 
5070, 5400 ZODIAC, MEMPHIS, TN, 
5071, 5600 COTTONWOOD, MEMPHIS, TN, 
5072, 5700 SUMMER AVE, MEMPHIS, TN, 
5073, 600 VANCE PARK PL, MEMPHIS, TN, 
5074, 6000 KENNY CREST, MEMPHIS, TN, 
5075, 6100 RIDGEWAY BLVD, MEMPHIS, TN, 
5076, 6400 THISTLEBROOK, MEMPHIS, TN, 
5077, 6700 MACON, MEMPHIS, TN, 
5078, 700 BOSTON, MEMPHIS, TN, 
5079, 800 KENT, MEMPHIS, TN, 
5080, 8000 REGATTA DR, MEMPHIS, TN, 
5081, 900 N BINGHAM, MEMPHIS, TN, 
5082, CHELSEA AND WATKINS, MEMPHIS, TN, 
5083, COVINGTON PIKE AND RALEIGH LAGRANGE, MEMPHIS, TN, 
5084, DANNY THOMAS AND VANCE, MEMPHIS, TN, 
5085, ELVIS PRESLEY AND BROOKS, MEMPHIS, TN, 
5086, MACON AND GREENBROOK, MEMPHIS, TN, 
5087, OUTLAND AND WINCHESTER, MEMPHIS, TN, 
5088, RAINES AND GRACELAND, MEMPHIS, TN, 
5089, SHELBY DR AND MILLBRANCH, MEMPHIS, TN, 
