59001, 1800 OAKWOOD RD, MEMPHIS, TN, 
59002, 1800 ONTARIO RD, MEMPHIS, TN, 
59003, 1800 OZAN RD, MEMPHIS, TN, 
59004, 1800 PARNASSUS AVE, MEMPHIS, TN, 
59005, 1800 PARNASSUS ST, MEMPHIS, TN, 
59006, 1800 PAULLUS AVE, MEMPHIS, TN, 
59007, 1800 PENDALTON, MEMPHIS, TN, 
59008, 1800 PENDLETON # 3, MEMPHIS, TN, 
59009, 1800 PENDLETON 2, MEMPHIS, TN, 
59010, 1800 PENDLETON APT 3, MEMPHIS, TN, 
59011, 1800 PENDLETON CT, MEMPHIS, TN, 
59012, 1800 PINEBROOK DR, MEMPHIS, TN, 
59013, 1800 PIPEING ROCK, MEMPHIS, TN, 
59014, 1800 PIPING ROCK #11, MEMPHIS, TN, 
59015, 1800 PIPING ROCK 4, MEMPHIS, TN, 
59016, 1800 PIPING ROCK 7, MEMPHIS, TN, 
59017, 1800 PIPING ROCK LN, MEMPHIS, TN, 
59018, 1800 PIPINGROCK 2, MEMPHIS, TN, 
59019, 1800 POMOMA, MEMPHIS, TN, 
59020, 1800 POMONA ST, MEMPHIS, TN, 
59021, 1800 PRADO RD, MEMPHIS, TN, 
59022, 1800 RANDALPH PL, MEMPHIS, TN, 
59023, 1800 RANDOLF PLACE, MEMPHIS, TN, 
59024, 1800 RANDOLF, MEMPHIS, TN, 
59025, 1800 RANDOLPH PACE, MEMPHIS, TN, 
59026, 1800 REAGAN ST, MEMPHIS, TN, 
59027, 1800 RILE ST, MEMPHIS, TN, 
59028, 1800 ROCK DALE, MEMPHIS, TN, 
59029, 1800 ROZELLE, MEMPHIS, TN, 
59030, 1800 RUDOLPH PLACE, MEMPHIS, TN, 
59031, 1800 S GOODLETT ST, MEMPHIS, TN, 
59032, 1800 S LAUDERDALE AVE, MEMPHIS, TN, 
59033, 1800 S SUTTON, MEMPHIS, TN, 
59034, 1800 S WHITESTATION RD, MEMPHIS, TN, 
59035, 1800 S WHITESTATION, MEMPHIS, TN, 
59036, 1800 SAILORS ST, MEMPHIS, TN, 
