60001, 2100 OLD OAK, MEMPHIS, TN, 
60002, 2100 OLIVE BARK DR, MEMPHIS, TN, 
60003, 2100 OLIVER ST, MEMPHIS, TN, 
60004, 2100 OVERTON PARK, MEMPHIS, TN, 
60005, 2100 PAMONA, MEMPHIS, TN, 
60006, 2100 PARK AVE, MEMPHIS, TN, 
60007, 2100 PARK, MEMPHIS, TN, 
60008, 2100 PEACKCOCK RIDGE, MEMPHIS, TN, 
60009, 2100 PEACOCK RDG, MEMPHIS, TN, 
60010, 2100 PEN GAP CV, MEMPHIS, TN, 
60011, 2100 PENDLETON AVE, MEMPHIS, TN, 
60012, 2100 PENNELL CV, MEMPHIS, TN, 
60013, 2100 PENNINGTON GAP RD, MEMPHIS, TN, 
60014, 2100 PENNINGTON GAP ST, MEMPHIS, TN, 
60015, 2100 PERES AVE, MEMPHIS, TN, 
60016, 2100 PERSON AVE, MEMPHIS, TN, 
60017, 2100 PHILSAR APT 1, MEMPHIS, TN, 
60018, 2100 PILLSBURY PL, MEMPHIS, TN, 
60019, 2100 PKWY, MEMPHIS, TN, 
60020, 2100 POMONA AVE, MEMPHIS, TN, 
60021, 2100 PORTLAND ST, MEMPHIS, TN, 
60022, 2100 PRINCETON, MEMPHIS, TN, 
60023, 2100 PUEBLO ST, MEMPHIS, TN, 
60024, 2100 RALEIGH-LAGRANGE, MEMPHIS, TN, 
60025, 2100 RED BUD, MEMPHIS, TN, 
60026, 2100 RIDGWAY RD, MEMPHIS, TN, 
60027, 2100 RILE AVE, MEMPHIS, TN, 
60028, 2100 ROSE GARDEN, MEMPHIS, TN, 
60029, 2100 RUSHMORE AVE, MEMPHIS, TN, 
60030, 2100 S CABANA CIR NO 7, MEMPHIS, TN, 
60031, 2100 S DIANA CIRCLE, MEMPHIS, TN, 
60032, 2100 S PARKWAY EAST AVE, MEMPHIS, TN, 
60033, 2100 SAM COOPER, MEMPHIS, TN, 
60034, 2100 SAULSBURY PLACE, MEMPHIS, TN, 
60035, 2100 SEVEN OAK, MEMPHIS, TN, 
60036, 2100 SHARRON LN, MEMPHIS, TN, 
60037, 2100 SHELBY DRIVE, MEMPHIS, TN, 
60038, 2100 SHELBY OAKS, MEMPHIS, TN, 
60039, 2100 SITLER ST, MEMPHIS, TN, 
60040, 2100 SOUTH CABANA 5, MEMPHIS, TN, 
60041, 2100 SOUTH CABANA CR, MEMPHIS, TN, 
60042, 2100 SOUTH CABANNA, MEMPHIS, TN, 
60043, 2100 SOUTH THIRD, MEMPHIS, TN, 
60044, 2100 SPICER CV, MEMPHIS, TN, 
60045, 2100 SPIRIT OF 76 DR, MEMPHIS, TN, 
60046, 2100 ST JAMES RD, MEMPHIS, TN, 
60047, 2100 SUMMER AVE, MEMPHIS, TN, 
60048, 2100 SYCAMORE VW, MEMPHIS, TN, 
60049, 2100 SYCMORE VIEW, MEMPHIS, TN, 
60050, 2100 THOMAS RD STE 17, MEMPHIS, TN, 
60051, 2100 TRIMBLE PL, MEMPHIS, TN, 
60052, 2100 TRIMBLE, MEMPHIS, TN, 
60053, 2100 UNION AVENUE, MEMPHIS, TN, 
60054, 2100 UNIVERSITY, MEMPHIS, TN, 
60055, 2100 VAYU CT, MEMPHIS, TN, 
60056, 2100 W HOLMES RD, MEMPHIS, TN, 
60057, 2100 WALLS ST, MEMPHIS, TN, 
60058, 2100 WARREN RD, MEMPHIS, TN, 
60059, 2100 WASHINGTON AVE, MEMPHIS, TN, 
60060, 2100 WASKOM CV, MEMPHIS, TN, 
