62001, 300 TIGER PAW E, MEMPHIS, TN, 
62002, 300 TILLMAN CV, MEMPHIS, TN, 
62003, 300 TILTON ST, MEMPHIS, TN, 
62004, 300 UNION AVENUE, MEMPHIS, TN, 
62005, 300 VERNELLE AVE, MEMPHIS, TN, 
62006, 300 W ALSTON, MEMPHIS, TN, 
62007, 300 W AND B AND LAMAR AVE, MEMPHIS, TN, 
62008, 300 W BROOKS ROAD, MEMPHIS, TN, 
62009, 300 W BURDOCK ST, MEMPHIS, TN, 
62010, 300 W CENTRAL PARK ST, MEMPHIS, TN, 
62011, 300 W FAY ST, MEMPHIS, TN, 
62012, 300 W JOHNSON CR AVE, MEMPHIS, TN, 
62013, 300 W JOHNSON CR ST, MEMPHIS, TN, 
62014, 300 W KIRK, MEMPHIS, TN, 
62015, 300 W MC KELLAR AVE, MEMPHIS, TN, 
62016, 300 W MC LEMORE AVE, MEMPHIS, TN, 
62017, 300 W NORWOOD ST, MEMPHIS, TN, 
62018, 300 W RED OAK #1, MEMPHIS, TN, 
62019, 300 W RED OAK AVE, MEMPHIS, TN, 
62020, 300 W RED OAK RD, MEMPHIS, TN, 
62021, 300 W RED OAKS ST, MEMPHIS, TN, 
62022, 300 W RIVER COMMONS, MEMPHIS, TN, 
62023, 300 W SHELBY, MEMPHIS, TN, 
62024, 300 W TIGER PAW DR, MEMPHIS, TN, 
62025, 300 W VIRGINIA AVE, MEMPHIS, TN, 
62026, 300 WALDORF AVE, MEMPHIS, TN, 
62027, 300 WALFORD, MEMPHIS, TN, 
62028, 300 WALNUT BEND CV, MEMPHIS, TN, 
62029, 300 WALNUT GARDENS DR, MEMPHIS, TN, 
62030, 300 WALNUT LEAF DR, MEMPHIS, TN, 
62031, 300 WESLEY DR, MEMPHIS, TN, 
62032, 300 WESLEY FOREST CIR N, MEMPHIS, TN, 
62033, 300 WESLEY FOREST PLACE N, MEMPHIS, TN, 
62034, 300 WESLEY OAKS CIRCLE, MEMPHIS, TN, 
62035, 300 WEST CENTRAL PARK DR, MEMPHIS, TN, 
62036, 300 WEST DYSON, MEMPHIS, TN, 
62037, 300 WEST FIELDS, MEMPHIS, TN, 
62038, 300 WEST FRANKS, MEMPHIS, TN, 
62039, 300 WEST ILLINOIS, MEMPHIS, TN, 
62040, 300 WEST JOHNSON, MEMPHIS, TN, 
62041, 300 WEST LEVI RD, MEMPHIS, TN, 
62042, 300 WEST OLIVE AVE, MEMPHIS, TN, 
62043, 300 WEST OLIVE, MEMPHIS, TN, 
62044, 300 WEST RED OAKS DR, MEMPHIS, TN, 
62045, 300 WEST RIVER COMMONS CIR, MEMPHIS, TN, 
62046, 300 WEST WALDORF ST, MEMPHIS, TN, 
62047, 300 WILIFORD, MEMPHIS, TN, 
62048, 300 WILKINSON PL, MEMPHIS, TN, 
62049, 300 WILLFORD, MEMPHIS, TN, 
62050, 300 WILLS, MEMPHIS, TN, 
62051, 300 WINDOVER ST, MEMPHIS, TN, 
62052, 300 WISCONSIN AVE, MEMPHIS, TN, 
62053, 300 WMCKELLAR, MEMPHIS, TN, 
62054, 300 WOODHUE AVE, MEMPHIS, TN, 
62055, 3000 ADJANDERS, MEMPHIS, TN, 
62056, 3000 AIRWAY, MEMPHIS, TN, 
62057, 3000 AIRWAYS RD, MEMPHIS, TN, 
62058, 3000 ALLSHORE DR, MEMPHIS, TN, 
62059, 3000 ARMISTETAD, MEMPHIS, TN, 
62060, 3000 BARRON APT 1, MEMPHIS, TN, 
62061, 3000 BARRON CT, MEMPHIS, TN, 
62062, 3000 BASKIN AVE, MEMPHIS, TN, 
62063, 3000 BEECHMONT ST, MEMPHIS, TN, 
62064, 3000 BENJISTOWN, MEMPHIS, TN, 
62065, 3000 BEVEL, MEMPHIS, TN, 
62066, 3000 BIRDIE CV, MEMPHIS, TN, 
62067, 3000 BLOCK LAMAR AVE, MEMPHIS, TN, 
62068, 3000 BLOCK OF N WATKINS ST, MEMPHIS, TN, 
62069, 3000 BOULDER CREEK CV, MEMPHIS, TN, 
62070, 3000 BRADLEY ST, MEMPHIS, TN, 
62071, 3000 BRANDALE RD, MEMPHIS, TN, 
62072, 3000 BROOKS TREE CIRCLE, MEMPHIS, TN, 
62073, 3000 BRUNSWICK RD, MEMPHIS, TN, 
62074, 3000 CALVERT ST, MEMPHIS, TN, 
62075, 3000 CANYON RD, MEMPHIS, TN, 
62076, 3000 CARNES ST, MEMPHIS, TN, 
62077, 3000 CARRINGTON ST, MEMPHIS, TN, 
62078, 3000 CASTLEMAN RD, MEMPHIS, TN, 
62079, 3000 CELA RD, MEMPHIS, TN, 
62080, 3000 CHAMPION DR, MEMPHIS, TN, 
62081, 3000 CHAMPIONS DR, MEMPHIS, TN, 
62082, 3000 CHARJEAN RD, MEMPHIS, TN, 
62083, 3000 CHARJEAN, MEMPHIS, TN, 
62084, 3000 CLARKE RD, MEMPHIS, TN, 
62085, 3000 CLARKE, MEMPHIS, TN, 
62086, 3000 COLEMEN RD, MEMPHIS, TN, 
62087, 3000 COLMAN, MEMPHIS, TN, 
62088, 3000 COMANCHE CT, MEMPHIS, TN, 
62089, 3000 COTSWOLD CV, MEMPHIS, TN, 
62090, 3000 COTTON WAY, MEMPHIS, TN, 
62091, 3000 COTTONWOOD, MEMPHIS, TN, 
62092, 3000 COVINGTON PIKE AVE, MEMPHIS, TN, 
62093, 3000 COVINGTON PIKE BLVD, MEMPHIS, TN, 
62094, 3000 COVINGTON PIKE HWY, MEMPHIS, TN, 
62095, 3000 COVINGTON PIKE ST, MEMPHIS, TN, 
62096, 3000 CROLEY RD, MEMPHIS, TN, 
62097, 3000 CRYSTAL, MEMPHIS, TN, 
62098, 3000 DALEBROOK AVE, MEMPHIS, TN, 
62099, 3000 DALEWOOD, MEMPHIS, TN, 
62100, 3000 DEBBY, MEMPHIS, TN, 
62101, 3000 DEMOCRAT RD, MEMPHIS, TN, 
62102, 3000 DOUGLAS, MEMPHIS, TN, 
62103, 3000 DOUGLASS AVE, MEMPHIS, TN, 
62104, 3000 DUMBEATH RD, MEMPHIS, TN, 
62105, 3000 DUNBEATH, MEMPHIS, TN, 
62106, 3000 E BROOKS, MEMPHIS, TN, 
62107, 3000 EGYPT-CENTRAL, MEMPHIS, TN, 
62108, 3000 ELGIN RD, MEMPHIS, TN, 
62109, 3000 ELVIS PRESLEY BL, MEMPHIS, TN, 
62110, 3000 ESTES ST, MEMPHIS, TN, 
62111, 3000 EVEREST DR, MEMPHIS, TN, 
62112, 3000 FALLING STREAM, MEMPHIS, TN, 
62113, 3000 FARGO ST, MEMPHIS, TN, 
62114, 3000 FARRISVIEW BOULEVARD, MEMPHIS, TN, 
62115, 3000 FERRELL PARK, MEMPHIS, TN, 
62116, 3000 FILMORE, MEMPHIS, TN, 
62117, 3000 FRANCIS PLACE, MEMPHIS, TN, 
62118, 3000 GET WELL, MEMPHIS, TN, 
62119, 3000 GETWEL RD, MEMPHIS, TN, 
62120, 3000 GETWELL 1 AND 2, MEMPHIS, TN, 
62121, 3000 GETWELL AVE, MEMPHIS, TN, 
62122, 3000 GETWELL RD APT 13, MEMPHIS, TN, 
62123, 3000 GOERGETOWN, MEMPHIS, TN, 
62124, 3000 HALE ST, MEMPHIS, TN, 
62125, 3000 HAMMOND, MEMPHIS, TN, 
62126, 3000 HICKORY HILL EX, MEMPHIS, TN, 
62127, 3000 HICKORY HILL EXT, MEMPHIS, TN, 
62128, 3000 HICKORYHILL, MEMPHIS, TN, 
62129, 3000 HUNTER, MEMPHIS, TN, 
62130, 3000 HUNTINGTON TRAILS DR, MEMPHIS, TN, 
62131, 3000 HUNTINGTON TRAILS, MEMPHIS, TN, 
62132, 3000 I 240 EASTBOUND AND LAMAR AVE, MEMPHIS, TN, 
62133, 3000 INVERGARRY DR, MEMPHIS, TN, 
62134, 3000 INVERGARRY ST, MEMPHIS, TN, 
62135, 3000 INVERNESS PKWY DR, MEMPHIS, TN, 
62136, 3000 JEFFERSON, MEMPHIS, TN, 
62137, 3000 JOHNSON, MEMPHIS, TN, 
62138, 3000 JOYCE LN, MEMPHIS, TN, 
62139, 3000 JUCA, MEMPHIS, TN, 
62140, 3000 KIMBELL, MEMPHIS, TN, 
62141, 3000 KINGSTON DR, MEMPHIS, TN, 
62142, 3000 KIRBY PARKWAY, MEMPHIS, TN, 
62143, 3000 KIRBY PWY ST, MEMPHIS, TN, 
62144, 3000 KIRBYPARKWAY, MEMPHIS, TN, 
62145, 3000 KNIGHT WAY RD, MEMPHIS, TN, 
62146, 3000 KRIBY RD, MEMPHIS, TN, 
62147, 3000 LAKE PARKS RD, MEMPHIS, TN, 
62148, 3000 LAKEPARK RD, MEMPHIS, TN, 
62149, 3000 LAKERUN CR, MEMPHIS, TN, 
62150, 3000 LAKERUN RD, MEMPHIS, TN, 
62151, 3000 LAMAE, MEMPHIS, TN, 
62152, 3000 LAMAR 103, MEMPHIS, TN, 
62153, 3000 LAMAR 106, MEMPHIS, TN, 
62154, 3000 LAMAR SUITE 110, MEMPHIS, TN, 
62155, 3000 LAMER, MEMPHIS, TN, 
62156, 3000 LARK AVE, MEMPHIS, TN, 
62157, 3000 LARK PL, MEMPHIS, TN, 
62158, 3000 LARKWOOD, MEMPHIS, TN, 
62159, 3000 LAURENCEKIRK RD, MEMPHIS, TN, 
62160, 3000 LECONTE CIRCLE, MEMPHIS, TN, 
62161, 3000 LECONTE, MEMPHIS, TN, 
62162, 3000 LISA, MEMPHIS, TN, 
62163, 3000 LYNDALE, MEMPHIS, TN, 
62164, 3000 MANNDALE AVE, MEMPHIS, TN, 
62165, 3000 MANNDALE DR, MEMPHIS, TN, 
62166, 3000 MEADOWFAIR DR, MEMPHIS, TN, 
62167, 3000 MEW, MEMPHIS, TN, 
62168, 3000 MILBRANCH RD, MEMPHIS, TN, 
62169, 3000 MILLBRANCE, MEMPHIS, TN, 
62170, 3000 MIMOSA APT 10, MEMPHIS, TN, 
62171, 3000 MIMOSA APT 11, MEMPHIS, TN, 
62172, 3000 MIMOSA APT 16, MEMPHIS, TN, 
62173, 3000 MONTAQUE CV, MEMPHIS, TN, 
62174, 3000 MORNING VIEW, MEMPHIS, TN, 
62175, 3000 MOUNT TERRACE, MEMPHIS, TN, 
62176, 3000 MT MORIAH TER, MEMPHIS, TN, 
62177, 3000 MT OLIVE ST, MEMPHIS, TN, 
62178, 3000 MT TER, MEMPHIS, TN, 
62179, 3000 N COPPER RIDGE CV, MEMPHIS, TN, 
62180, 3000 N RADFORD AVE, MEMPHIS, TN, 
62181, 3000 N WATKINS RD, MEMPHIS, TN, 
62182, 3000 NATCHEZ, MEMPHIS, TN, 
62183, 3000 NORBROOK, MEMPHIS, TN, 
62184, 3000 NORTH COPPER RIDGE CV, MEMPHIS, TN, 
62185, 3000 NORTH HILLS, MEMPHIS, TN, 
62186, 3000 NORTH TREZVANT, MEMPHIS, TN, 
62187, 3000 OAK ALEE, MEMPHIS, TN, 
62188, 3000 OAK ALLEE DR, MEMPHIS, TN, 
62189, 3000 OLD AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
62190, 3000 OLD HORNLAKE RD, MEMPHIS, TN, 
62191, 3000 OVERBROOK RD, MEMPHIS, TN, 
62192, 3000 OVERTON CROSS, MEMPHIS, TN, 
62193, 3000 PARK AVEUNE, MEMPHIS, TN, 
62194, 3000 POOL ST, MEMPHIS, TN, 
62195, 3000 POOL, MEMPHIS, TN, 
62196, 3000 POPLAR AVENUE, MEMPHIS, TN, 
62197, 3000 POPLAR ST, MEMPHIS, TN, 
62198, 3000 PRINCETON ST, MEMPHIS, TN, 
62199, 3000 RADFORD RD, MEMPHIS, TN, 
62200, 3000 RAINIER ST, MEMPHIS, TN, 
62201, 3000 RALEIGH MILLINGTON, MEMPHIS, TN, 
62202, 3000 RIVERDALE RD, MEMPHIS, TN, 
62203, 3000 RIVERPORT RD, MEMPHIS, TN, 
62204, 3000 ROLLING WOODS DR, MEMPHIS, TN, 
62205, 3000 S PONDSIDE DR, MEMPHIS, TN, 
62206, 3000 S PONDSIDE DRIVE, MEMPHIS, TN, 
62207, 3000 S PONDSIDE, MEMPHIS, TN, 
62208, 3000 SAM COOPER BLVD, MEMPHIS, TN, 
62209, 3000 SANDBROOK DR, MEMPHIS, TN, 
62210, 3000 SCHAEFFER DR, MEMPHIS, TN, 
62211, 3000 SCHAEFFER RD, MEMPHIS, TN, 
62212, 3000 SCHEIBLER RD, MEMPHIS, TN, 
62213, 3000 SHADDY VISTA, MEMPHIS, TN, 
62214, 3000 SHADYVISTA, MEMPHIS, TN, 
62215, 3000 SHELBY DR AND TCHLUHOMA RD, MEMPHIS, TN, 
62216, 3000 SHULT, MEMPHIS, TN, 
62217, 3000 SHULTZ DR, MEMPHIS, TN, 
62218, 3000 SO THIRD, MEMPHIS, TN, 
62219, 3000 SOUTH THIRD RD, MEMPHIS, TN, 
62220, 3000 SOUTH WALL ST, MEMPHIS, TN, 
62221, 3000 SPANKLE, MEMPHIS, TN, 
62222, 3000 SPERKINS, MEMPHIS, TN, 
62223, 3000 SPOTSWOOD AVE, MEMPHIS, TN, 
62224, 3000 SPOTTSWOODS, MEMPHIS, TN, 
62225, 3000 SPRANKEL AVE, MEMPHIS, TN, 
62226, 3000 SPRANKLE DR, MEMPHIS, TN, 
62227, 3000 STARLING PL, MEMPHIS, TN, 
62228, 3000 STHIRD ST, MEMPHIS, TN, 
62229, 3000 TAMERLANE LN, MEMPHIS, TN, 
62230, 3000 TISHOMINGO LN, MEMPHIS, TN, 
62231, 3000 TREASURE ISLAND EAST, MEMPHIS, TN, 
62232, 3000 TREEMONT #4, MEMPHIS, TN, 
62233, 3000 TREEMONT ST, MEMPHIS, TN, 
62234, 3000 TREZEVANT ST, MEMPHIS, TN, 
62235, 3000 UIVERSITY, MEMPHIS, TN, 
62236, 3000 VISTA VIEW ST, MEMPHIS, TN, 
62237, 3000 WARFORD, MEMPHIS, TN, 
62238, 3000 WARREN ST, MEMPHIS, TN, 
62239, 3000 WATER VIEW, MEMPHIS, TN, 
62240, 3000 WATER, MEMPHIS, TN, 
62241, 3000 WEST HARRIS CIR, MEMPHIS, TN, 
62242, 3000 WEST HARRIS CIRCLE, MEMPHIS, TN, 
62243, 3000 WEST MIMOSA ST, MEMPHIS, TN, 
62244, 3000 WINDEMERE, MEMPHIS, TN, 
62245, 3000 WOODHILL DR, MEMPHIS, TN, 
62246, 3000 WOODLAWN TR, MEMPHIS, TN, 
62247, 3000 WREN RD, MEMPHIS, TN, 
62248, 3000 WREN, MEMPHIS, TN, 
62249, 3000 YALE ST, MEMPHIS, TN, 
62250, 3000 YOUNG AVE, MEMPHIS, TN, 
62251, 300BLK RICHBRIAR ST, MEMPHIS, TN, 
62252, 301WASHINGTON, MEMPHIS, TN, 
62253, 3020BARRON, MEMPHIS, TN, 
62254, 3048,3103 MORIAH TRAIL, MEMPHIS, TN, 
62255, 3055CHAEFFER DR, MEMPHIS, TN, 
62256, 306D SCOTT ST, MEMPHIS, TN, 
62257, 3100 AIRWAYS BL RD, MEMPHIS, TN, 
62258, 3100 AIRWAYS BLVS, MEMPHIS, TN, 
62259, 3100 AIRWYAS BLVD, MEMPHIS, TN, 
62260, 3100 ALLSHORE RD, MEMPHIS, TN, 
62261, 3100 ALMO, MEMPHIS, TN, 
62262, 3100 ALTA ST, MEMPHIS, TN, 
62263, 3100 AMBERLEAF CV, MEMPHIS, TN, 
62264, 3100 ARBOR PLACE NORTH 43-101, MEMPHIS, TN, 
62265, 3100 ARBOR PLACE NORTH DR, MEMPHIS, TN, 
62266, 3100 ARBORS PL N, MEMPHIS, TN, 
62267, 3100 ARGOT AVE, MEMPHIS, TN, 
62268, 3100 ASH WORTH CV, MEMPHIS, TN, 
62269, 3100 ASHWOOD DR, MEMPHIS, TN, 
62270, 3100 AUDREY, MEMPHIS, TN, 
62271, 3100 AUTUM CIR, MEMPHIS, TN, 
62272, 3100 BARRON ST, MEMPHIS, TN, 
62273, 3100 BARRONBROOK, MEMPHIS, TN, 
62274, 3100 BASKIN ST, MEMPHIS, TN, 
62275, 3100 BAY LEAF LN, MEMPHIS, TN, 
62276, 3100 BEAR RD, MEMPHIS, TN, 
62277, 3100 BEAUCHAMP RD, MEMPHIS, TN, 
62278, 3100 BEECHRUN, MEMPHIS, TN, 
62279, 3100 BELL BROOK, MEMPHIS, TN, 
62280, 3100 BELLE FORREST, MEMPHIS, TN, 
62281, 3100 BELLE TOWER RD, MEMPHIS, TN, 
62282, 3100 BENJESTOWN ST, MEMPHIS, TN, 
62283, 3100 BENJETOWN, MEMPHIS, TN, 
62284, 3100 BIRCH FIELD DR, MEMPHIS, TN, 
62285, 3100 BLK OF SPOTTSWOOD AND SAFARI, MEMPHIS, TN, 
62286, 3100 BLOCK AUSTIN PEAY HIGHWAY, MEMPHIS, TN, 
62287, 3100 BLOCK OF FONTAINE, MEMPHIS, TN, 
62288, 3100 BLOCK OF MADEWELL, MEMPHIS, TN, 
62289, 3100 BLOCK OF STEELE, MEMPHIS, TN, 
62290, 3100 BLUE GUM RD, MEMPHIS, TN, 
62291, 3100 BOXDALE RD, MEMPHIS, TN, 
62292, 3100 BRISBANE, MEMPHIS, TN, 
62293, 3100 BRISDAINE, MEMPHIS, TN, 
62294, 3100 BROAD ST, MEMPHIS, TN, 
62295, 3100 BROOKS RD, MEMPHIS, TN, 
62296, 3100 BROOKS, MEMPHIS, TN, 
62297, 3100 BUOY ST, MEMPHIS, TN, 
62298, 3100 BURKSON, MEMPHIS, TN, 
62299, 3100 CALVERT ST, MEMPHIS, TN, 
62300, 3100 CAMELOT LN, MEMPHIS, TN, 
62301, 3100 CAMELOT, MEMPHIS, TN, 
62302, 3100 CANYON DR, MEMPHIS, TN, 
62303, 3100 CARNOUSTIE, MEMPHIS, TN, 
