64001, 3700 ELVIS PRESLEY BL, MEMPHIS, TN, 
64002, 3700 ELVIS PRESLEY RD, MEMPHIS, TN, 
64003, 3700 FAIR OAKS, MEMPHIS, TN, 
64004, 3700 FAIRMONT ST, MEMPHIS, TN, 
64005, 3700 FAIROAKS RD, MEMPHIS, TN, 
64006, 3700 FAIRWAY MEADOW CIRCLE E, MEMPHIS, TN, 
64007, 3700 FAIRWAY MEADOW CIRCLE W, MEMPHIS, TN, 
64008, 3700 FANN, MEMPHIS, TN, 
64009, 3700 FAULKNER RD, MEMPHIS, TN, 
64010, 3700 FIELDLARK RD, MEMPHIS, TN, 
64011, 3700 FIR, MEMPHIS, TN, 
64012, 3700 FIRETHONE, MEMPHIS, TN, 
64013, 3700 FIRETHORNE RD, MEMPHIS, TN, 
64014, 3700 FIRETHRONE DR, MEMPHIS, TN, 
64015, 3700 FLOWERING PEACH, MEMPHIS, TN, 
64016, 3700 FORREST #1, MEMPHIS, TN, 
64017, 3700 FORREST RD, MEMPHIS, TN, 
64018, 3700 FRAYSER RALEIGH RD, MEMPHIS, TN, 
64019, 3700 FREDONIA, MEMPHIS, TN, 
64020, 3700 FRIAR TUCK, MEMPHIS, TN, 
64021, 3700 GILLIE RD, MEMPHIS, TN, 
64022, 3700 HANNAH, MEMPHIS, TN, 
64023, 3700 HATCHER CIRCLE, MEMPHIS, TN, 
64024, 3700 HAUGHTON DR, MEMPHIS, TN, 
64025, 3700 HAWKIN MILLS, MEMPHIS, TN, 
64026, 3700 HAZELHEDGE RD, MEMPHIS, TN, 
64027, 3700 HAZELWOOD RD, MEMPHIS, TN, 
64028, 3700 HEDGES, MEMPHIS, TN, 
64029, 3700 HESTER, MEMPHIS, TN, 
64030, 3700 HICKORY FARMS, MEMPHIS, TN, 
64031, 3700 HICKORY HI L, MEMPHIS, TN, 
64032, 3700 HICKY RD, MEMPHIS, TN, 
64033, 3700 HILBROOK, MEMPHIS, TN, 
64034, 3700 HILLBROOK AVE, MEMPHIS, TN, 
64035, 3700 HILLRIDGE DR, MEMPHIS, TN, 
64036, 3700 HILLRIDGE RD, MEMPHIS, TN, 
64037, 3700 HOLLAND ST, MEMPHIS, TN, 
64038, 3700 HOMEWOOD RD, MEMPHIS, TN, 
64039, 3700 HOMEWOOD, MEMPHIS, TN, 
64040, 3700 HOSKINS, MEMPHIS, TN, 
64041, 3700 HOUGHTON LN, MEMPHIS, TN, 
64042, 3700 HOUGHTON, MEMPHIS, TN, 
64043, 3700 HUCKLEBERRY DR, MEMPHIS, TN, 
64044, 3700 HUNTINGTON, MEMPHIS, TN, 
64045, 3700 JACKSON ST, MEMPHIS, TN, 
64046, 3700 KEARNEY ST, MEMPHIS, TN, 
64047, 3700 KERWIN RD, MEMPHIS, TN, 
64048, 3700 KIMBAL, MEMPHIS, TN, 
64049, 3700 KING JOHN, MEMPHIS, TN, 
64050, 3700 KINGGATES#1 ST, MEMPHIS, TN, 
64051, 3700 KINGS BENCH DR, MEMPHIS, TN, 
64052, 3700 KINGSGATE #1, MEMPHIS, TN, 
64053, 3700 KINGSGATE 1, MEMPHIS, TN, 
64054, 3700 KINGSGATE DR APT 1, MEMPHIS, TN, 
64055, 3700 KINGSGATE DR., MEMPHIS, TN, 
64056, 3700 KINGSGATE ST, MEMPHIS, TN, 
64057, 3700 KINGSGATES DR, MEMPHIS, TN, 
64058, 3700 KIRBY TERRANCE, MEMPHIS, TN, 
64059, 3700 LAMAR AVENUE, MEMPHIS, TN, 
64060, 3700 LAMAR RD, MEMPHIS, TN, 
64061, 3700 LIGHTFOOT, MEMPHIS, TN, 
64062, 3700 LLOYD CIR, MEMPHIS, TN, 
64063, 3700 LLOYD CIRCLE, MEMPHIS, TN, 
64064, 3700 LOW BRANCH, MEMPHIS, TN, 
64065, 3700 LYNCBURG, MEMPHIS, TN, 
64066, 3700 LYNCHBURG ST, MEMPHIS, TN, 
64067, 3700 MACY ST, MEMPHIS, TN, 
64068, 3700 MASTERSON, MEMPHIS, TN, 
64069, 3700 MAYFLOWER RD, MEMPHIS, TN, 
64070, 3700 MAYFLOWER ST, MEMPHIS, TN, 
64071, 3700 MC DUFF AVE, MEMPHIS, TN, 
64072, 3700 MEDITERRANEAN DR, MEMPHIS, TN, 
64073, 3700 MERRITT DR, MEMPHIS, TN, 
64074, 3700 METROPOLITAN CRL, MEMPHIS, TN, 
64075, 3700 METROPOLITIAN LN, MEMPHIS, TN, 
64076, 3700 METROPOLITIAN, MEMPHIS, TN, 
64077, 3700 MIAC, MEMPHIS, TN, 
64078, 3700 MILBRANCH PARK, MEMPHIS, TN, 
64079, 3700 MILBRANCH, MEMPHIS, TN, 
64080, 3700 MILL BRANCH PARK DR, MEMPHIS, TN, 
64081, 3700 MILL LN, MEMPHIS, TN, 
64082, 3700 MILLBRANCH PKWY, MEMPHIS, TN, 
64083, 3700 MILLSTREAM DR, MEMPHIS, TN, 
64084, 3700 MOCASSIN CV, MEMPHIS, TN, 
64085, 3700 MOSELLE ST, MEMPHIS, TN, 
64086, 3700 MOUNT TERRACE, MEMPHIS, TN, 
64087, 3700 MOUTAIN TERRACE, MEMPHIS, TN, 
64088, 3700 MT MORIAH RD, MEMPHIS, TN, 
64089, 3700 MT TERRANCE, MEMPHIS, TN, 
64090, 3700 MTN TERRACE ST, MEMPHIS, TN, 
64091, 3700 MTTERRACE, MEMPHIS, TN, 
64092, 3700 N DUCHESS RD, MEMPHIS, TN, 
64093, 3700 N DUCHESS, MEMPHIS, TN, 
64094, 3700 N LLOYD CIRC, MEMPHIS, TN, 
64095, 3700 N TREZVANT ST, MEMPHIS, TN, 
64096, 3700 N VICTORY HEIGHTS LN, MEMPHIS, TN, 
64097, 3700 NATALIE DR, MEMPHIS, TN, 
64098, 3700 NAYLOR ST, MEMPHIS, TN, 
64099, 3700 NEW ALLEN RD, MEMPHIS, TN, 
64100, 3700 NEW GATE, MEMPHIS, TN, 
64101, 3700 NEW TCHULAHOMA RD, MEMPHIS, TN, 
64102, 3700 NORTH LLOYD CIR, MEMPHIS, TN, 
64103, 3700 NORTH LLYOD CIRCLE, MEMPHIS, TN, 
64104, 3700 NOTTINGHAM RD, MEMPHIS, TN, 
64105, 3700 OAK HALLOW CIRCLE, MEMPHIS, TN, 
64106, 3700 OAK HOLLOW CIRC, MEMPHIS, TN, 
64107, 3700 OAK HOLW, MEMPHIS, TN, 
64108, 3700 OAK LAKE, MEMPHIS, TN, 
64109, 3700 OAKHALLOW CIR, MEMPHIS, TN, 
64110, 3700 OLD ALLEN STATION, MEMPHIS, TN, 
64111, 3700 OLD BROWNSVILLE, MEMPHIS, TN, 
64112, 3700 OLD GERMANTOWN RD S, MEMPHIS, TN, 
64113, 3700 OLD MILLINGTON RD, MEMPHIS, TN, 
64114, 3700 ORANGE BLOSSOMS, MEMPHIS, TN, 
64115, 3700 ORCHI ST, MEMPHIS, TN, 
64116, 3700 ORCHIE, MEMPHIS, TN, 
64117, 3700 ORLAND, MEMPHIS, TN, 
64118, 3700 OUTLAND ST, MEMPHIS, TN, 
64119, 3700 OVERTON CROSSING ST, MEMPHIS, TN, 
64120, 3700 OVERTON XING, MEMPHIS, TN, 
64121, 3700 PARADISE LAKE, MEMPHIS, TN, 
64122, 3700 PARAKEET LN, MEMPHIS, TN, 
64123, 3700 PARAKEETS, MEMPHIS, TN, 
64124, 3700 PARKLAKE DR, MEMPHIS, TN, 
64125, 3700 PARKLAKE, MEMPHIS, TN, 
64126, 3700 PATTERSON, MEMPHIS, TN, 
64127, 3700 PAUL LOWRY, MEMPHIS, TN, 
64128, 3700 PERSHIAN PARK, MEMPHIS, TN, 
64129, 3700 PERSHING, MEMPHIS, TN, 
64130, 3700 PHILSDALE RD, MEMPHIS, TN, 
64131, 3700 PHISDALE, MEMPHIS, TN, 
64132, 3700 PLEASURE AVE, MEMPHIS, TN, 
64133, 3700 PLESANT HOLLOW DR, MEMPHIS, TN, 
64134, 3700 PLESANT HOLLOW, MEMPHIS, TN, 
64135, 3700 POPING JAY, MEMPHIS, TN, 
64136, 3700 PRINCE CHARLES, MEMPHIS, TN, 
64137, 3700 PRINCE JOHN, MEMPHIS, TN, 
64138, 3700 PRINCE PHILLIPS CV, MEMPHIS, TN, 
64139, 3700 QUEENS LAND, MEMPHIS, TN, 
64140, 3700 RALIEGH MILLINGTON, MEMPHIS, TN, 
64141, 3700 RAVENOAK, MEMPHIS, TN, 
64142, 3700 REGAL DR, MEMPHIS, TN, 
64143, 3700 RIDGE MEADOW, MEMPHIS, TN, 
64144, 3700 RIVERDALE DR, MEMPHIS, TN, 
64145, 3700 RIVERDALE ROAD, MEMPHIS, TN, 
64146, 3700 ROBINHOOD LN, MEMPHIS, TN, 
64147, 3700 ROBINHOOD PARK CIR, MEMPHIS, TN, 
64148, 3700 ROYAL RIDGE, MEMPHIS, TN, 
64149, 3700 RUSSEL WOOD DR, MEMPHIS, TN, 
64150, 3700 RUSSELL WOOD DR, MEMPHIS, TN, 
64151, 3700 RUSSELL WOOD, MEMPHIS, TN, 
64152, 3700 S DEERWOOD AVE, MEMPHIS, TN, 
64153, 3700 S GERMANTOWN ROAD, MEMPHIS, TN, 
64154, 3700 S LLOYD CR, MEMPHIS, TN, 
64155, 3700 S LOYD CIRCLE, MEMPHIS, TN, 
64156, 3700 S MENDENHALL ROAD, MEMPHIS, TN, 
64157, 3700 S NEW GATE DR, MEMPHIS, TN, 
64158, 3700 S RIDGE, MEMPHIS, TN, 
64159, 3700 SAINT ELMO, MEMPHIS, TN, 
64160, 3700 SAWMILL, MEMPHIS, TN, 
64161, 3700 SHADYHOLLOW, MEMPHIS, TN, 
64162, 3700 SHELBY, MEMPHIS, TN, 
64163, 3700 SHOREHAM CV, MEMPHIS, TN, 
64164, 3700 SINGING TREES DR, MEMPHIS, TN, 
64165, 3700 SOUTH DEERWOOD ST, MEMPHIS, TN, 
64166, 3700 SOUTH GALLOWAY, MEMPHIS, TN, 
64167, 3700 SOUTH GOODLETT, MEMPHIS, TN, 
64168, 3700 SOUTH LLOYD C2, MEMPHIS, TN, 
64169, 3700 SOUTHWOOD, MEMPHIS, TN, 
64170, 3700 SPOTTSWOOD AVENUE, MEMPHIS, TN, 
64171, 3700 SPOTTSWOOD RD, MEMPHIS, TN, 
64172, 3700 SPOTTSWOOD ST, MEMPHIS, TN, 
64173, 3700 ST ELMO AVE, MEMPHIS, TN, 
64174, 3700 STAGE JAMES RD, MEMPHIS, TN, 
64175, 3700 STEEL, MEMPHIS, TN, 
64176, 3700 STEELE RD, MEMPHIS, TN, 
64177, 3700 STEVE RD, MEMPHIS, TN, 
64178, 3700 STEVE, MEMPHIS, TN, 
64179, 3700 STHIRD, MEMPHIS, TN, 
64180, 3700 STURGON, MEMPHIS, TN, 
64181, 3700 SUMMER AVE., MEMPHIS, TN, 
64182, 3700 SUMMER AVR, MEMPHIS, TN, 
64183, 3700 SUMMER RD, MEMPHIS, TN, 
64184, 3700 SUSANNE, MEMPHIS, TN, 
64185, 3700 SUZANNE ST, MEMPHIS, TN, 
64186, 3700 SUZANNE STREET, MEMPHIS, TN, 
64187, 3700 SWANEE, MEMPHIS, TN, 
64188, 3700 TALL OAKS CIR, MEMPHIS, TN, 
64189, 3700 THIRD, MEMPHIS, TN, 
64190, 3700 TIMBERLINE LN, MEMPHIS, TN, 
64191, 3700 TIMBERLINE RD, MEMPHIS, TN, 
64192, 3700 TOWNES RD, MEMPHIS, TN, 
64193, 3700 TOWNS AVE, MEMPHIS, TN, 
64194, 3700 TREZEVANT ST, MEMPHIS, TN, 
64195, 3700 TUTWEILER, MEMPHIS, TN, 
64196, 3700 TWINMONT RD, MEMPHIS, TN, 
64197, 3700 TYLA DR #4, MEMPHIS, TN, 
