65001, 400 SOUTH WALNUT BEND RD, MEMPHIS, TN, 
65002, 400 SOUTH YATES, MEMPHIS, TN, 
65003, 400 SOUTHPARKWAY WEST, MEMPHIS, TN, 
65004, 400 SPAULINE, MEMPHIS, TN, 
65005, 400 ST NICK DR, MEMPHIS, TN, 
65006, 400 STAR BLOSSOM DR, MEMPHIS, TN, 
65007, 400 STARBLOSSOM, MEMPHIS, TN, 
65008, 400 SULLIVAN RD, MEMPHIS, TN, 
65009, 400 SUMMERWOOD RD, MEMPHIS, TN, 
65010, 400 SUNSET HAZE CV, MEMPHIS, TN, 
65011, 400 SUSSEX LN N, MEMPHIS, TN, 
65012, 400 SWEET BRIER, MEMPHIS, TN, 
65013, 400 TILLLMAN, MEMPHIS, TN, 
65014, 400 VAAL, MEMPHIS, TN, 
65015, 400 VANCE 109, MEMPHIS, TN, 
65016, 400 VANDAILA, MEMPHIS, TN, 
65017, 400 W AND B AND WINCHESTER, MEMPHIS, TN, 
65018, 400 W DISON AVE, MEMPHIS, TN, 
65019, 400 W JOHNSON CL, MEMPHIS, TN, 
65020, 400 W JOHNSON CR RD, MEMPHIS, TN, 
65021, 400 W JOHNSON CR ST, MEMPHIS, TN, 
65022, 400 W LEVI RD, MEMPHIS, TN, 
65023, 400 W OLIVE AVE, MEMPHIS, TN, 
65024, 400 W PERSON ST, MEMPHIS, TN, 
65025, 400 W RIVEREDGE, MEMPHIS, TN, 
65026, 400 WALLACE, MEMPHIS, TN, 
65027, 400 WALNUT GARDEN, MEMPHIS, TN, 
65028, 400 WARING, MEMPHIS, TN, 
65029, 400 WASHBURN RD, MEMPHIS, TN, 
65030, 400 WASHGTON AVE, MEMPHIS, TN, 
65031, 400 WEST DAY, MEMPHIS, TN, 
65032, 400 WEST ILLIONIS, MEMPHIS, TN, 
65033, 400 WEST JOHNSON CIR, MEMPHIS, TN, 
65034, 400 WEST LEVI, MEMPHIS, TN, 
65035, 400 WEST PEBBLES RD, MEMPHIS, TN, 
65036, 400 WEST PEEBLES RD, MEMPHIS, TN, 
65037, 400 WEST RAINES, MEMPHIS, TN, 
65038, 400 WHITE STATION, MEMPHIS, TN, 
65039, 400 WHITEVILLE RD, MEMPHIS, TN, 
65040, 400 WILLET, MEMPHIS, TN, 
65041, 400 WILLOWFORD, MEMPHIS, TN, 
65042, 400 WINDING RIVER CIRCLE 204, MEMPHIS, TN, 
