67001, 4900 SHANE LN, MEMPHIS, TN, 
67002, 4900 SHUMAN CV, MEMPHIS, TN, 
67003, 4900 SHYNE LN, MEMPHIS, TN, 
67004, 4900 SMENDENHALL RD, MEMPHIS, TN, 
67005, 4900 SOUTH HAVEN RD, MEMPHIS, TN, 
67006, 4900 SOUTH WORTH CT, MEMPHIS, TN, 
67007, 4900 SOUTHERN RD, MEMPHIS, TN, 
67008, 4900 SOUTHHAVEN, MEMPHIS, TN, 
67009, 4900 SOUTHLAND, MEMPHIS, TN, 
67010, 4900 SOUTHRIDGE BL, MEMPHIS, TN, 
67011, 4900 SOUTWORTH CT, MEMPHIS, TN, 
67012, 4900 SPOTSWOOD, MEMPHIS, TN, 
67013, 4900 SUMMER SUITE 1, MEMPHIS, TN, 
67014, 4900 SUMMERLANE LN, MEMPHIS, TN, 
67015, 4900 SUMMERVIEW LN, MEMPHIS, TN, 
67016, 4900 SUMMERVIEW ST, MEMPHIS, TN, 
67017, 4900 TARKINGTON, MEMPHIS, TN, 
67018, 4900 TEAL ST, MEMPHIS, TN, 
67019, 4900 THREAD NEEDLE CIR, MEMPHIS, TN, 
67020, 4900 THREAD NEEDLE CV, MEMPHIS, TN, 
67021, 4900 TULANE APT 2, MEMPHIS, TN, 
67022, 4900 TULANE APT 4, MEMPHIS, TN, 
67023, 4900 VONTURA, MEMPHIS, TN, 
67024, 4900 WARRINGTON RD, MEMPHIS, TN, 
67025, 4900 WATERTREE, MEMPHIS, TN, 
67026, 4900 WEB UTILITY RD, MEMPHIS, TN, 
67027, 4900 WEBB UTILITY, MEMPHIS, TN, 
67028, 4900 WEMBERLY, MEMPHIS, TN, 
67029, 4900 WHITE OAK RD, MEMPHIS, TN, 
67030, 4900 WHITEHAVEN LN, MEMPHIS, TN, 
67031, 4900 WHITEHAVEN, MEMPHIS, TN, 
67032, 4900 WHITWORTH RD, MEMPHIS, TN, 
67033, 4900 WINCHESTER AVE, MEMPHIS, TN, 
67034, 4900 WINCHESTER SQUARE S#1, MEMPHIS, TN, 
67035, 4TH AND AW WILLIS, MEMPHIS, TN, 
67036, 4TH AND BEALE ALLEY, MEMPHIS, TN, 
67037, 4TH AND COURT, MEMPHIS, TN, 
67038, 4TH AND GAYSO, MEMPHIS, TN, 
67039, 4TH AND JEFFERSON, MEMPHIS, TN, 
67040, 4TH AND LINDEN, MEMPHIS, TN, 
67041, 4TH AND MADISON, MEMPHIS, TN, 
67042, 4TH AND MCLEMORE AVE, MEMPHIS, TN, 
67043, 4TH AND PEABODY PL, MEMPHIS, TN, 
67044, 4TH AND PEABODY PLACE, MEMPHIS, TN, 
67045, 4TH AND PONATOC, MEMPHIS, TN, 
67046, 4TH AND PONOTOC, MEMPHIS, TN, 
67047, 4TH AND SAFFARAN, MEMPHIS, TN, 
67048, 4TH AND WALKER, MEMPHIS, TN, 
67049, 4TH AND WASHINGTON ST, MEMPHIS, TN, 
67050, 4TH AND WASHINGTON, MEMPHIS, TN, 
67051, 4TH ST AND GEORGIA AVE, MEMPHIS, TN, 
67052, 4TH ST AND PEABODY PL, MEMPHIS, TN, 
67053, 50 AND 51 HARBOR TOWN SQUARE, MEMPHIS, TN, 
67054, 500 ADRIAN, MEMPHIS, TN, 
67055, 500 ALLISON, MEMPHIS, TN, 
67056, 500 AVON, MEMPHIS, TN, 
67057, 500 BEALE APT 311, MEMPHIS, TN, 
67058, 500 BEALE ST #1112, MEMPHIS, TN, 
67059, 500 BEALE ST APT 508, MEMPHIS, TN, 
67060, 500 BELT LINE RD, MEMPHIS, TN, 
67061, 500 BELT LINE ST, MEMPHIS, TN, 
67062, 500 BLK PATTERSON, MEMPHIS, TN, 
67063, 500 BLOCK OF S PARKWAY E, MEMPHIS, TN, 
67064, 500 BONELL, MEMPHIS, TN, 
67065, 500 BONNELL CV, MEMPHIS, TN, 
67066, 500 BONNELL ST, MEMPHIS, TN, 
67067, 500 BRAYCLIFF DR, MEMPHIS, TN, 
67068, 500 BRISTER, MEMPHIS, TN, 
67069, 500 BROCKWOOD AVE, MEMPHIS, TN, 
67070, 500 BROOKS, MEMPHIS, TN, 
67071, 500 BUNTYN STREET, MEMPHIS, TN, 
67072, 500 BURLINGTON CR, MEMPHIS, TN, 
67073, 500 BUTLER CV, MEMPHIS, TN, 
67074, 500 BUTLER ST APT 104, MEMPHIS, TN, 
67075, 500 BUTLERWOOD, MEMPHIS, TN, 
67076, 500 BUTLERWOODS, MEMPHIS, TN, 
67077, 500 CAMBRIDGE ST, MEMPHIS, TN, 
67078, 500 CARPENTER AVE, MEMPHIS, TN, 
67079, 500 CHERRY HALL, MEMPHIS, TN, 
67080, 500 CLAIRICE DR, MEMPHIS, TN, 
67081, 500 COMPRESS DR, MEMPHIS, TN, 
67082, 500 CYTHINA PL, MEMPHIS, TN, 
67083, 500 DANNY THOMAS, MEMPHIS, TN, 
67084, 500 DECATUR AVE, MEMPHIS, TN, 
67085, 500 DICKENSON, MEMPHIS, TN, 
67086, 500 DIRKS CAIRN, MEMPHIS, TN, 
67087, 500 E ALSTON AVE, MEMPHIS, TN, 
67088, 500 E BODLEY AVE, MEMPHIS, TN, 
67089, 500 E ESSEX AVE, MEMPHIS, TN, 
67090, 500 E FERNWOOD AVE, MEMPHIS, TN, 
67091, 500 E GEORGIA #6, MEMPHIS, TN, 
67092, 500 E WINDSOR RD, MEMPHIS, TN, 
67093, 500 E WINDSOR, MEMPHIS, TN, 
67094, 500 EARLY MAXWELL, MEMPHIS, TN, 
67095, 500 EAST ALSTON AVE, MEMPHIS, TN, 
67096, 500 EAST ALSTON, MEMPHIS, TN, 
67097, 500 EAST BUTLER AVE, MEMPHIS, TN, 
67098, 500 EAST E H CRUMP BLVD, MEMPHIS, TN, 
67099, 500 EAST GEORGIA AVE, MEMPHIS, TN, 
67100, 500 EAST GEORGIA ST, MEMPHIS, TN, 
67101, 500 EDITH 1, MEMPHIS, TN, 
67102, 500 EH CRUMP AVE, MEMPHIS, TN, 
67103, 500 ENQUIREE CT, MEMPHIS, TN, 
67104, 500 ENQUIRIE CT, MEMPHIS, TN, 
67105, 500 ERICSON, MEMPHIS, TN, 
67106, 500 ESSEX PLACE, MEMPHIS, TN, 
67107, 500 FAIR HOPE, MEMPHIS, TN, 
67108, 500 FAIRFIELD, MEMPHIS, TN, 
67109, 500 FERNWAY, MEMPHIS, TN, 
67110, 500 FIFTH, MEMPHIS, TN, 
67111, 500 FOOTPARK CIRCLE, MEMPHIS, TN, 
67112, 500 FOOTPARK LN, MEMPHIS, TN, 
67113, 500 FOOTPARK PLACE, MEMPHIS, TN, 
67114, 500 FOREST HILL IRENE RD, MEMPHIS, TN, 
67115, 500 FOX VALLEY DR, MEMPHIS, TN, 
67116, 500 GAINESVILLE AVE, MEMPHIS, TN, 
67117, 500 GARDEN ROW, MEMPHIS, TN, 
67118, 500 GERMANTOWN PKY, MEMPHIS, TN, 
67119, 500 GLANKER ST, MEMPHIS, TN, 
67120, 500 GLENN ARBOR CIR, MEMPHIS, TN, 
67121, 500 GRAGSON DR, MEMPHIS, TN, 
67122, 500 GRAHAM, MEMPHIS, TN, 
67123, 500 GRAHAMWOOD DR, MEMPHIS, TN, 
67124, 500 HEATHER LEIGH LN, MEMPHIS, TN, 
67125, 500 HERRON ALLY, MEMPHIS, TN, 
67126, 500 HERZOG ST, MEMPHIS, TN, 
67127, 500 HODGES RD, MEMPHIS, TN, 
67128, 500 HONDURUS, MEMPHIS, TN, 
67129, 500 HOWARD DR, MEMPHIS, TN, 
67130, 500 JACK CAULEY CAUSEWAY, MEMPHIS, TN, 
67131, 500 JEANE DR, MEMPHIS, TN, 
67132, 500 JEFFERSON, MEMPHIS, TN, 
67133, 500 JENSEN, MEMPHIS, TN, 
67134, 500 LACLEDE 4, MEMPHIS, TN, 
67135, 500 LACLEDE ST, MEMPHIS, TN, 
67136, 500 LEMAC DR, MEMPHIS, TN, 
67137, 500 LEVI RD, MEMPHIS, TN, 
67138, 500 LOREE CV, MEMPHIS, TN, 
67139, 500 LYTLE CIR, MEMPHIS, TN, 
67140, 500 M L KING, MEMPHIS, TN, 
67141, 500 MACON RD, MEMPHIS, TN, 
67142, 500 MALBARO, MEMPHIS, TN, 
67143, 500 MALLORY ST, MEMPHIS, TN, 
67144, 500 MARLBORO, MEMPHIS, TN, 
67145, 500 MC DERMITT RD, MEMPHIS, TN, 
67146, 500 MCDERMITT RD, MEMPHIS, TN, 
67147, 500 MCELROY RD, MEMPHIS, TN, 
67148, 500 MENDENHALL RD, MEMPHIS, TN, 
67149, 500 MIRACLE POINT, MEMPHIS, TN, 
67150, 500 MITCHELL LN, MEMPHIS, TN, 
67151, 500 MONTEIGNE BL, MEMPHIS, TN, 
67152, 500 MOSLEY ALLEY, MEMPHIS, TN, 
67153, 500 MOSLEY, MEMPHIS, TN, 
67154, 500 MULBERRY AVE, MEMPHIS, TN, 
67155, 500 N ANGELUS, MEMPHIS, TN, 
67156, 500 N BULTER WOODS CV, MEMPHIS, TN, 
67157, 500 N BULTERWOODS CV, MEMPHIS, TN, 
67158, 500 N BUTLER WOOD CV, MEMPHIS, TN, 
67159, 500 N BUTLER, MEMPHIS, TN, 
67160, 500 N BUTLERWOOD, MEMPHIS, TN, 
67161, 500 N CLAYBROOK 3, MEMPHIS, TN, 
67162, 500 N CLAYBROOK AVE, MEMPHIS, TN, 
67163, 500 N FERNWAY DR, MEMPHIS, TN, 
67164, 500 N FOURTH, MEMPHIS, TN, 
67165, 500 N GARLAND, MEMPHIS, TN, 
67166, 500 N GERMANTOWN PARKWAY, MEMPHIS, TN, 
67167, 500 N HIGHLAND APT 6L, MEMPHIS, TN, 
67168, 500 N MALVERN, MEMPHIS, TN, 
67169, 500 N MANASSASS ST, MEMPHIS, TN, 
67170, 500 N MCLEAN, MEMPHIS, TN, 
67171, 500 N MONTGOMERY AVE, MEMPHIS, TN, 
67172, 500 N RIVERGATE, MEMPHIS, TN, 
67173, 500 N SANGA, MEMPHIS, TN, 
67174, 500 N STONEWALL, MEMPHIS, TN, 
67175, 500 N WALDREN, MEMPHIS, TN, 
67176, 500 N WHITE STATION RD, MEMPHIS, TN, 
67177, 500 N WILLET ST, MEMPHIS, TN, 
67178, 500 NMAIN ST, MEMPHIS, TN, 
67179, 500 NORTH AVALON ST, MEMPHIS, TN, 
67180, 500 NORTH BELLEVUE BOULEVARD, MEMPHIS, TN, 
67181, 500 NORTH FERNWAY, MEMPHIS, TN, 
67182, 500 NORTH FRONT ST, MEMPHIS, TN, 
67183, 500 NORTH GARLAND, MEMPHIS, TN, 
67184, 500 NORTH GRAHAM, MEMPHIS, TN, 
67185, 500 NORTH MONGOMERY, MEMPHIS, TN, 
67186, 500 NORTH PERKINS, MEMPHIS, TN, 
67187, 500 NORTH PINE LAKE DR, MEMPHIS, TN, 
67188, 500 NORTH SIXTH, MEMPHIS, TN, 
67189, 500 NORTH WATKINS ST, MEMPHIS, TN, 
67190, 500 NORTH WILLETT ST, MEMPHIS, TN, 
67191, 500 NORWOOD AVE, MEMPHIS, TN, 
67192, 500 ORCHARD ST, MEMPHIS, TN, 
67193, 500 PATTERSON AVE, MEMPHIS, TN, 
67194, 500 PEBBLES RD, MEMPHIS, TN, 
67195, 500 PERKINS EX RD, MEMPHIS, TN, 
67196, 500 PERKINS EX, MEMPHIS, TN, 
67197, 500 PLEASANT GROVE FAIRWAY RD, MEMPHIS, TN, 
67198, 500 PLEASANT GROVE FWY, MEMPHIS, TN, 
67199, 500 PONOTOC, MEMPHIS, TN, 
67200, 500 PONTOTOC AVE, MEMPHIS, TN, 
67201, 500 POPE AVE, MEMPHIS, TN, 
67202, 500 PORTER, MEMPHIS, TN, 
67203, 500 PRINCETON WOODS CV, MEMPHIS, TN, 
67204, 500 REESE ST, MEMPHIS, TN, 
67205, 500 REGIS PLACE, MEMPHIS, TN, 
67206, 500 RICHARDS WAY, MEMPHIS, TN, 
67207, 500 RIPPLEBROOK RD, MEMPHIS, TN, 
67208, 500 RIPPLEBROOK, MEMPHIS, TN, 
67209, 500 RIVER EDGE DR W, MEMPHIS, TN, 
67210, 500 RIVERGATE, MEMPHIS, TN, 
67211, 500 RIVERPORT, MEMPHIS, TN, 
67212, 500 RIVERSIDE DR, MEMPHIS, TN, 
67213, 500 S BULTER WOODS CV, MEMPHIS, TN, 
67214, 500 S BUTLER WOOD CV, MEMPHIS, TN, 
67215, 500 S GERMANTOWN PKY, MEMPHIS, TN, 
67216, 500 S HIGHLAND AVE, MEMPHIS, TN, 
67217, 500 S HOLMES CIR, MEMPHIS, TN, 
67218, 500 S LAUDERDALE AVE, MEMPHIS, TN, 
67219, 500 S MENDENHALL, MEMPHIS, TN, 
67220, 500 S ORLEANS AVE, MEMPHIS, TN, 
67221, 500 S PARKWAY EAST, MEMPHIS, TN, 
67222, 500 S PERKINS EXTD, MEMPHIS, TN, 
67223, 500 S PERKINS EXTENDED, MEMPHIS, TN, 
67224, 500 S THIRD, MEMPHIS, TN, 
67225, 500 S WHITESTATION RD, MEMPHIS, TN, 
67226, 500 S YATES, MEMPHIS, TN, 
67227, 500 SANFORD AVE, MEMPHIS, TN, 
67228, 500 SANGA CIR W, MEMPHIS, TN, 
67229, 500 SANGA CIRCLE E, MEMPHIS, TN, 
67230, 500 SANGA CIRCLE, MEMPHIS, TN, 
67231, 500 SHAWNEE ST, MEMPHIS, TN, 
67232, 500 SHELLEY RENEE, MEMPHIS, TN, 
67233, 500 SHELLY RENEE LN, MEMPHIS, TN, 
67234, 500 SHELLY RENEE, MEMPHIS, TN, 
67235, 500 SLAUDERDALE, MEMPHIS, TN, 
67236, 500 SO PKWY W, MEMPHIS, TN, 
67237, 500 SOUTH BUTLER CV, MEMPHIS, TN, 
67238, 500 SOUTH BUTLER WOOD CV, MEMPHIS, TN, 
67239, 500 SOUTH BUTLER WOODS, MEMPHIS, TN, 
67240, 500 SOUTH BUTLERWOODS CV, MEMPHIS, TN, 
67241, 500 SOUTH GOODLETT, MEMPHIS, TN, 
67242, 500 SOUTH GREER, MEMPHIS, TN, 
67243, 500 SOUTH HOLMES ST, MEMPHIS, TN, 
67244, 500 SOUTH HOLMES, MEMPHIS, TN, 
67245, 500 SOUTH SECOND, MEMPHIS, TN, 
67246, 500 SOUTH WHITE STATION, MEMPHIS, TN, 
67247, 500 SPARKWAY W, MEMPHIS, TN, 
67248, 500 SPRINGER CIR, MEMPHIS, TN, 
67249, 500 SPRINGER CV, MEMPHIS, TN, 
67250, 500 SPRUCE GLEN DR, MEMPHIS, TN, 
67251, 500 ST MARTIN ST, MEMPHIS, TN, 
67252, 500 SUTTON PL, MEMPHIS, TN, 
67253, 500 SUTTON PLACE, MEMPHIS, TN, 
67254, 500 SWAN RIDGE, MEMPHIS, TN, 
67255, 500 SWEETBRIAR, MEMPHIS, TN, 
67256, 500 TILLMAN APT 2, MEMPHIS, TN, 
67257, 500 TILLMAN PLACE, MEMPHIS, TN, 
67258, 500 TONOWANDA CV, MEMPHIS, TN, 
67259, 500 TWELVE OAKS, MEMPHIS, TN, 
67260, 500 VANCE APT 103, MEMPHIS, TN, 
67261, 500 W MALLORY, MEMPHIS, TN, 
67262, 500 W PEBBLES RD, MEMPHIS, TN, 
67263, 500 W RACKET CLUB, MEMPHIS, TN, 
67264, 500 W RAINES RD, MEMPHIS, TN, 
67265, 500 W SANGA CIR, MEMPHIS, TN, 
67266, 500 W SANGA CIRCLE, MEMPHIS, TN, 
67267, 500 W SOUTH PKWY, MEMPHIS, TN, 
67268, 500 WALDRAN BLVD, MEMPHIS, TN, 
67269, 500 WALDRAN ST, MEMPHIS, TN, 
67270, 500 WALDRAN, MEMPHIS, TN, 
67271, 500 WALNUT TRACE DR, MEMPHIS, TN, 
67272, 500 WATER TREE, MEMPHIS, TN, 
67273, 500 WEAKLY, MEMPHIS, TN, 
67274, 500 WEST HOLMES, MEMPHIS, TN, 
67275, 500 WEST PEEBLES DR, MEMPHIS, TN, 
67276, 500 WEST PEEPLES RD, MEMPHIS, TN, 
67277, 500 WESTERN PARK RD, MEMPHIS, TN, 
67278, 500 WHITE STATION, MEMPHIS, TN, 
67279, 500 WHITEVILLE ST, MEMPHIS, TN, 
67280, 500 WIDSOR RD, MEMPHIS, TN, 
67281, 500 WILLIAMSBURG, MEMPHIS, TN, 
67282, 500 WILLIFORD ST, MEMPHIS, TN, 
67283, 500 WILLIFORD, MEMPHIS, TN, 
67284, 500 WOLF VIEW CV, MEMPHIS, TN, 
67285, 5000 12TH RD, MEMPHIS, TN, 
67286, 5000 AIRWAYS DR, MEMPHIS, TN, 
67287, 5000 ALCORN, MEMPHIS, TN, 
67288, 5000 AMERICAN WAY SUITE 1, MEMPHIS, TN, 
67289, 5000 APPLEVILLE DR, MEMPHIS, TN, 
67290, 5000 APPLEWHITE CV, MEMPHIS, TN, 
67291, 5000 APPLEWHITE LN, MEMPHIS, TN, 
67292, 5000 AUSTIN PEAY HWY, MEMPHIS, TN, 
67293, 5000 AUSTIN PEAY, MEMPHIS, TN, 
67294, 5000 AUTUM LEAF, MEMPHIS, TN, 
67295, 5000 AUTUMN WOOD, MEMPHIS, TN, 
67296, 5000 BATTLEFOREST CV, MEMPHIS, TN, 
67297, 5000 BERTA ST, MEMPHIS, TN, 
67298, 5000 BLANDING, MEMPHIS, TN, 
67299, 5000 BLK MILLBRANCH RD AND WILSON RD, MEMPHIS, TN, 
67300, 5000 BLOCK OF I-40 W AND B AND COVINGTON PIKE RD, MEMPHIS, TN, 
67301, 5000 BLUE WING DR, MEMPHIS, TN, 
67302, 5000 BOEINGSHIRE ST, MEMPHIS, TN, 
67303, 5000 BOEINSHIRE, MEMPHIS, TN, 
67304, 5000 BOINGSHIRE, MEMPHIS, TN, 
67305, 5000 BRADFORD DR, MEMPHIS, TN, 
67306, 5000 BRADY RD, MEMPHIS, TN, 
67307, 5000 BRENTDALE ST, MEMPHIS, TN, 
67308, 5000 BRIARCLIFF RD, MEMPHIS, TN, 
67309, 5000 BRYANDALE, MEMPHIS, TN, 
67310, 5000 BRYNDALE ST, MEMPHIS, TN, 
67311, 5000 BRYON, MEMPHIS, TN, 
67312, 5000 BYRON AVE, MEMPHIS, TN, 
67313, 5000 CHESTER WOOD CT, MEMPHIS, TN, 
67314, 5000 CHEVRON CV, MEMPHIS, TN, 
67315, 5000 CLAYBROOK, MEMPHIS, TN, 
67316, 5000 CLOISTER RD, MEMPHIS, TN, 
67317, 5000 CLOYCE, MEMPHIS, TN, 
67318, 5000 COPPER VALLEY DR WEST, MEMPHIS, TN, 
67319, 5000 COPPER VALLEY DRIVE W, MEMPHIS, TN, 
67320, 5000 COPPER VALLEY E, MEMPHIS, TN, 
67321, 5000 COPPER VALLEY W, MEMPHIS, TN, 
67322, 5000 COTTON DR, MEMPHIS, TN, 
67323, 5000 COVINGTON WY, MEMPHIS, TN, 
67324, 5000 COVINGTONWAY, MEMPHIS, TN, 
67325, 5000 DARLINGTON RD, MEMPHIS, TN, 
67326, 5000 DAVIS, MEMPHIS, TN, 
67327, 5000 DENEEN, MEMPHIS, TN, 
67328, 5000 DEPANNE DR, MEMPHIS, TN, 
67329, 5000 DOWLING, MEMPHIS, TN, 
67330, 5000 DURBIN ST, MEMPHIS, TN, 
67331, 5000 EAST COPPER VALLEY, MEMPHIS, TN, 
67332, 5000 EAST POINTE, MEMPHIS, TN, 
67333, 5000 EAST RAINS, MEMPHIS, TN, 
67334, 5000 ESSEXSHIRE AVE, MEMPHIS, TN, 
67335, 5000 FAIRFIELD, MEMPHIS, TN, 
67336, 5000 FAIRLEY ROAD, MEMPHIS, TN, 
67337, 5000 FAIRLRY, MEMPHIS, TN, 
67338, 5000 GADWALL DR, MEMPHIS, TN, 
67339, 5000 GERTRUDE DR, MEMPHIS, TN, 
67340, 5000 GETWELL RD, MEMPHIS, TN, 
67341, 5000 GLENARM, MEMPHIS, TN, 
67342, 5000 GOLIGHTLY DR, MEMPHIS, TN, 
67343, 5000 GREY BARK, MEMPHIS, TN, 
67344, 5000 GWYNNE RD, MEMPHIS, TN, 
