68001, 5500 PLEASEANT VIEW, MEMPHIS, TN, 
68002, 5500 RALEIGH-LAGRANGE, MEMPHIS, TN, 
68003, 5500 RAVENDALE AVE, MEMPHIS, TN, 
68004, 5500 RICHLAND, MEMPHIS, TN, 
68005, 5500 ROLLING OAKS, MEMPHIS, TN, 
68006, 5500 S ANGELA RD, MEMPHIS, TN, 
68007, 5500 S IRVING, MEMPHIS, TN, 
68008, 5500 SANTA MONICA RD, MEMPHIS, TN, 
68009, 5500 SANTA MONICA ST, MEMPHIS, TN, 
68010, 5500 SOUTH MEADOW LAKE DR, MEMPHIS, TN, 
68011, 5500 SOUTHERN PEAKS, MEMPHIS, TN, 
68012, 5500 SOUTHWOOD DR, MEMPHIS, TN, 
68013, 5500 STONEWAY LN, MEMPHIS, TN, 
68014, 5500 TIMMONS AVE, MEMPHIS, TN, 
68015, 5500 VANDEROAKS, MEMPHIS, TN, 
68016, 5500 WALNUT GROVE RD, MEMPHIS, TN, 
68017, 5500 WHITE DIAMOND ST, MEMPHIS, TN, 
68018, 5500 WHITE DIAMOND, MEMPHIS, TN, 
68019, 5500 WHITE PEARL LN, MEMPHIS, TN, 
68020, 5500 WHITWORTH ST, MEMPHIS, TN, 
68021, 5600 ALLADIN, MEMPHIS, TN, 
68022, 5600 APPLEBLOSSOM DR, MEMPHIS, TN, 
68023, 5600 ASHLEY SQUARE NORTH, MEMPHIS, TN, 
68024, 5600 ASHLEY SQUARE, MEMPHIS, TN, 
68025, 5600 ASHRIDGE CV, MEMPHIS, TN, 
68026, 5600 ASQUITH, MEMPHIS, TN, 
68027, 5600 BLOSSOM RD, MEMPHIS, TN, 
68028, 5600 BLOSSUM, MEMPHIS, TN, 
68029, 5600 BRANTFORD, MEMPHIS, TN, 
68030, 5600 CLARA CV, MEMPHIS, TN, 
68031, 5600 CLARKE ADDRESS DR, MEMPHIS, TN, 
68032, 5600 CREPE MERTLE DR, MEMPHIS, TN, 
68033, 5600 CREPE MYTLE, MEMPHIS, TN, 
68034, 5600 CRESTVIEW RD, MEMPHIS, TN, 
68035, 5600 E SHELBY DRIVE, MEMPHIS, TN, 
68036, 5600 EAST HOLMES, MEMPHIS, TN, 
68037, 5600 ELMHURST DR, MEMPHIS, TN, 
68038, 5600 ELMHURST ST, MEMPHIS, TN, 
68039, 5600 ESHELBY DR, MEMPHIS, TN, 
68040, 5600 FAIRLANE, MEMPHIS, TN, 
68041, 5600 FALLING BARK RD, MEMPHIS, TN, 
68042, 5600 FLOWERING PEACH RD, MEMPHIS, TN, 
