6001, 500 WILLIAMS, MEMPHIS, TN, 
6002, 5000 DURBIN, MEMPHIS, TN, 
6003, 5000 WHITWORTH, MEMPHIS, TN, 
6004, 5100 AIRWAYS, MEMPHIS, TN, 
6005, 5100 BERTA, MEMPHIS, TN, 
6006, 5300 HICKORY HILL, MEMPHIS, TN, 
6007, 5500 COTTONWOOD, MEMPHIS, TN, 
6008, 5700 WINTER TREE, MEMPHIS, TN, 
6009, 5800 JARDIN PLACE, MEMPHIS, TN, 
6010, 5800 WINCHESTER, MEMPHIS, TN, 
6011, 5900 GRASSY VALLEY, MEMPHIS, TN, 
6012, 600 S MAIN ST, MEMPHIS, TN, 
6013, 6100 RIDGEWYCK DR, MEMPHIS, TN, 
6014, 6200 CHINABERRY, MEMPHIS, TN, 
6015, 6200 TROUT VALLEY CV, MEMPHIS, TN, 
6016, 6300 E SHELBY DR, MEMPHIS, TN, 
6017, 6400 TRILLIUM TRAIL, MEMPHIS, TN, 
6018, 6900 WOODLAKE DR, MEMPHIS, TN, 
6019, 700 ECHLES, MEMPHIS, TN, 
6020, 700 HANLEY ST, MEMPHIS, TN, 
6021, 700 N AVANT, MEMPHIS, TN, 
6022, 700 POPLAR AVE, MEMPHIS, TN, 
6023, 700 RICHMOND, MEMPHIS, TN, 
6024, 700 S AVANT, MEMPHIS, TN, 
6025, 700 SHELBY DR, MEMPHIS, TN, 
6026, 700 UPTOWN, MEMPHIS, TN, 
6027, 7500 HWY 64, MEMPHIS, TN, 
6028, 800 CARSON, MEMPHIS, TN, 
6029, 800 HARAHAN, MEMPHIS, TN, 
6030, 800 MADISON, MEMPHIS, TN, 
6031, 800 W LEVI, MEMPHIS, TN, 
6032, 8000 STAGE RD, MEMPHIS, TN, 
6033, 900 N DUNLAP, MEMPHIS, TN, 
6034, 900 N SEVENTH, MEMPHIS, TN, 
6035, 900 NOVARESE, MEMPHIS, TN, 
6036, AIRWAYS AND RAINES, MEMPHIS, TN, 
6037, AUBURN AND CRAFT, MEMPHIS, TN, 
6038, CLAYBROOK AND COURT, MEMPHIS, TN, 
6039, GRACELAND AND FINLEY, MEMPHIS, TN, 
6040, HIGHLAND AND SOUTHERN, MEMPHIS, TN, 
6041, HOLMES AND AIRWAYS, MEMPHIS, TN, 
6042, KIRBY AND RAINES, MEMPHIS, TN, 
6043, LAMAR AND GETWELL, MEMPHIS, TN, 
6044, POPLAR AND MENDENHALL, MEMPHIS, TN, 
6045, PRESCOTT AND STEVE, MEMPHIS, TN, 
