70001, 7800 AUTUMN CREEK, MEMPHIS, TN, 
70002, 7800 CANDY APPLE CV, MEMPHIS, TN, 
70003, 7800 CHAPEL CREEK CV, MEMPHIS, TN, 
70004, 7800 CHAPEL CREEK PKWY, MEMPHIS, TN, 
70005, 7800 CLOVER RUN, MEMPHIS, TN, 
70006, 7800 DEERTRAIL, MEMPHIS, TN, 
70007, 7800 DESERT ROSE CV, MEMPHIS, TN, 
70008, 7800 E JUNIPER CV, MEMPHIS, TN, 
70009, 7800 FISHER STEEL RD, MEMPHIS, TN, 
70010, 7800 GREY SQUIRREL, MEMPHIS, TN, 
70011, 7800 IVY MIST CV E, MEMPHIS, TN, 
70012, 7800 KATE BOND RD, MEMPHIS, TN, 
70013, 7800 NASH DR, MEMPHIS, TN, 
70014, 7800 NESTING DOVE, MEMPHIS, TN, 
70015, 7800 OCTOBER ROSE CV, MEMPHIS, TN, 
70016, 7800 POLO GROUND DR, MEMPHIS, TN, 
70017, 7800 REDFERN CIRCLE NORTH, MEMPHIS, TN, 
70018, 7800 US HIGHWAY 64, MEMPHIS, TN, 
70019, 7800 WOLF DEN, MEMPHIS, TN, 
70020, 7800 WOLFHOLLOW, MEMPHIS, TN, 
70021, 7900 AUTUM HOLLOW DR, MEMPHIS, TN, 
70022, 7900 AUTUMN GLADE DR, MEMPHIS, TN, 
70023, 7900 AUTUMN HALLOW, MEMPHIS, TN, 
70024, 7900 AUTUMN HOLLOW LN, MEMPHIS, TN, 
70025, 7900 AUTUMN HOLLOW RD, MEMPHIS, TN, 
70026, 7900 BLAND RD, MEMPHIS, TN, 
70027, 7900 BUCK RIDGE CV, MEMPHIS, TN, 
70028, 7900 CHAPEL RIDGE DR, MEMPHIS, TN, 
70029, 7900 CHAPEL RIDGE, MEMPHIS, TN, 
70030, 7900 CLUB PKY, MEMPHIS, TN, 
70031, 7900 CRESANT RIDGE, MEMPHIS, TN, 
70032, 7900 CRESCENT RIDGE, MEMPHIS, TN, 
70033, 7900 CRESCENT STONE WAY, MEMPHIS, TN, 
70034, 7900 CRESENT HILL, MEMPHIS, TN, 
70035, 7900 CRESENT RIDGE, MEMPHIS, TN, 
70036, 7900 DEERFIELD, MEMPHIS, TN, 
70037, 7900 DEERTRAIL, MEMPHIS, TN, 
70038, 7900 DERBY, MEMPHIS, TN, 
70039, 7900 DEXTER RD, MEMPHIS, TN, 
70040, 7900 EDUCATOR LN, MEMPHIS, TN, 
70041, 7900 GIACOSA, MEMPHIS, TN, 
70042, 7900 HUNTERS CROSSING DR, MEMPHIS, TN, 
70043, 7900 IKEA, MEMPHIS, TN, 
70044, 7900 MEADOW VALE, MEMPHIS, TN, 
70045, 7900 RACKETBALL LN, MEMPHIS, TN, 
70046, 7900 RACQUETBALL CT, MEMPHIS, TN, 
70047, 7900 RED FEARN CIR N, MEMPHIS, TN, 
70048, 7900 RED FERN, MEMPHIS, TN, 
70049, 7900 REDFERN LN, MEMPHIS, TN, 
