72001, CLARKE AND JAMESTOWN, MEMPHIS, TN, 
72002, CLARKE AND NEWBERRY, MEMPHIS, TN, 
72003, CLARKE AND RAINES, MEMPHIS, TN, 
72004, CLARKE RD AND MT MORIAH, MEMPHIS, TN, 
72005, CLARKE RD AND NEWBERRY AVE, MEMPHIS, TN, 
72006, CLARKE RD AND PATHWAY CIR, MEMPHIS, TN, 
72007, CLARKE RD AND TULIP TREE DR, MEMPHIS, TN, 
72008, CLARKE RED AND MT MORIAH RD, MEMPHIS, TN, 
72009, CLAUDETTE AND AMERICANWAY, MEMPHIS, TN, 
72010, CLAUDETTE AND BERRYWOOD, MEMPHIS, TN, 
72011, CLAYBROOK AND 0VERTON PARK, MEMPHIS, TN, 
72012, CLAYBROOK AND CAPITOL, MEMPHIS, TN, 
72013, CLAYBROOK AND CT AVE, MEMPHIS, TN, 
72014, CLAYBROOK AND JEFFERSON AVE, MEMPHIS, TN, 
72015, CLAYBROOK AND KEEL, MEMPHIS, TN, 
72016, CLAYBROOK AND SNOWDEN, MEMPHIS, TN, 
72017, CLAYBROOK AND UNION AVE, MEMPHIS, TN, 
72018, CLAYBROOK AND VOLLINETINE, MEMPHIS, TN, 
72019, CLAYBROOK AND WILLIAMS FIELD, MEMPHIS, TN, 
72020, CLAYBROOK BEAUREGARD, MEMPHIS, TN, 
72021, CLAYBROOK ST AND EXCHANGE AVE, MEMPHIS, TN, 
72022, CLAYBROOK ST AND MADISON AVE, MEMPHIS, TN, 
72023, CLAYBROOK, MEMPHIS, TN, 
72024, CLAYMORE AND SINGING TREES DR, MEMPHIS, TN, 
72025, CLAYMORE COMMONWEALTH, MEMPHIS, TN, 
72026, CLAYPHIL AVE AND S HIGHLAND ST, MEMPHIS, TN, 
72027, CLAYTON AN DAVIS, MEMPHIS, TN, 
72028, CLAYTON AND HYDEPARK, MEMPHIS, TN, 
72029, CLEAR PARK AND WINGATE, MEMPHIS, TN, 
72030, CLEAR PARK DR AND WINGATE RD, MEMPHIS, TN, 
72031, CLEARBROOK AND DEMETER, MEMPHIS, TN, 
72032, CLEARBROOK AND WARRINGTON, MEMPHIS, TN, 
72033, CLEARBROOK AND WINCHESTER RD, MEMPHIS, TN, 
72034, CLEARBROOK APARTMENTS, MEMPHIS, TN, 
72035, CLEARBROOK RD AND COTTONWOOD ST, MEMPHIS, TN, 
72036, CLEARBROOK ST AND CLEARBROOK CV, MEMPHIS, TN, 
72037, CLEARBROOK, MEMPHIS, TN, 
72038, CLEARPARK AND WINGATE, MEMPHIS, TN, 
72039, CLEARPOOL CIR AND LAMAR, MEMPHIS, TN, 
72040, CLEMENT AND LONGCREST, MEMPHIS, TN, 
72041, CLEMENTINE AND DONALD, MEMPHIS, TN, 
72042, CLEMENTINE AND LAGENA, MEMPHIS, TN, 
72043, CLEMENTINE AND WARREN, MEMPHIS, TN, 
72044, CLEMENTINE APARTMENTS, MEMPHIS, TN, 
72045, CLEMENTINE APTS, MEMPHIS, TN, 
72046, CLEVELAND AND COURTLAND AVE, MEMPHIS, TN, 
72047, CLEVELAND AND POPLAR AVE, MEMPHIS, TN, 
