73001, FOURTH AND MAIN, MEMPHIS, TN, 
73002, FOURTH AND MLK, MEMPHIS, TN, 
73003, FOURTH AND PARK LN, MEMPHIS, TN, 
73004, FOURTH AND ST PAUL, MEMPHIS, TN, 
73005, FOURTH AND WEBSTER, MEMPHIS, TN, 
73006, FOURTH GAYOSO, MEMPHIS, TN, 
73007, FOURTH ST AND BUTLER AVE, MEMPHIS, TN, 
73008, FOURTH ST AND CT AVE, MEMPHIS, TN, 
73009, FOURTH ST AND MONROE, MEMPHIS, TN, 
73010, FOURTH ST AND PEABODY AVE, MEMPHIS, TN, 
73011, FOURTH ST NORTH OF CT, MEMPHIS, TN, 
73012, FOUTH AND VANCE, MEMPHIS, TN, 
73013, FOX MEADOW APARTMENTS, MEMPHIS, TN, 
73014, FOX PLAZA AND MT MORIAH, MEMPHIS, TN, 
73015, FOXDALE AND FOXHOLLOW, MEMPHIS, TN, 
73016, FOXHALL AND OUTLAND, MEMPHIS, TN, 
73017, FOXRIDGE AND HICKORY HILL, MEMPHIS, TN, 
73018, FRANK AND YAZOO, MEMPHIS, TN, 
73019, FRANKLIN AND FAXON, MEMPHIS, TN, 
73020, FRANKLIN ST AND SUMMER AVE, MEMPHIS, TN, 
73021, FRASER AND ARDMORE, MEMPHIS, TN, 
73022, FRASYER AND MADEWELL, MEMPHIS, TN, 
73023, FRAYSER AND BENJESTOWN, MEMPHIS, TN, 
73024, FRAYSER AND BROOKEMEADE, MEMPHIS, TN, 
73025, FRAYSER AND DANNY THOMAS, MEMPHIS, TN, 
73026, FRAYSER AND FRAYSER SCHOOL DRIVE, MEMPHIS, TN, 
73027, FRAYSER AND N TREZEVANT, MEMPHIS, TN, 
73028, FRAYSER AND OVERTON CROSSING ST, MEMPHIS, TN, 
73029, FRAYSER AND PUEBLO, MEMPHIS, TN, 
73030, FRAYSER AND RANGEHILL, MEMPHIS, TN, 
73031, FRAYSER AND WINDEMERE, MEMPHIS, TN, 
73032, FRAYSER BLVD AND ADAIR DR, MEMPHIS, TN, 
73033, FRAYSER BLVD AND ADAIR, MEMPHIS, TN, 
73034, FRAYSER BLVD AND BROOKMEADE, MEMPHIS, TN, 
73035, FRAYSER BLVD AND DAWN, MEMPHIS, TN, 
