76001, RALEIGH MILLINGTON, MEMPHIS, TN, 
76002, RALEIGH RIDGE AND GOLIGHTLY, MEMPHIS, TN, 
76003, RALEIGH WOODS AND WILLOW OAK, MEMPHIS, TN, 
76004, RALEIGH-FRAYSER AND EASTLINE, MEMPHIS, TN, 
76005, RALEIGH-LAGRANGE AND BEVERLY HILLS, MEMPHIS, TN, 
76006, RALEIGH-LAGRANGE AND CHISWOOD, MEMPHIS, TN, 
76007, RALEIGH-LAGRANGE AND COLEMAN, MEMPHIS, TN, 
76008, RALEIGH-LAGRANGE AND HOOVER, MEMPHIS, TN, 
76009, RALEIGH-LAGRANGE AND OLD AUSTIN PEAY, MEMPHIS, TN, 
76010, RALEIGH-LAGRANGE AND STAGE, MEMPHIS, TN, 
76011, RALEIGH-LAGRANGE AND SYCAMORE VIEW, MEMPHIS, TN, 
76012, RALEIGH-MILLINGTON AND HALLVIEW, MEMPHIS, TN, 
76013, RALEIGH-MILLINGTON AND KIWANIS, MEMPHIS, TN, 
76014, RALEIGH-MILLINGTON AND NEW ALLEN, MEMPHIS, TN, 
76015, RALEIGH-MILLINGTON AND THE PLACE, MEMPHIS, TN, 
76016, RALEIGH-MILLINGTON AND YALE, MEMPHIS, TN, 
76017, RALEIGH-MILLINGTON, MEMPHIS, TN, 
76018, RALIEGH LAGRANGE AND BARTLETT, MEMPHIS, TN, 
76019, RALIEGH LAGRANGE AND ELMORE, MEMPHIS, TN, 
76020, RALIEGH LAGRANGE AND PARKVIEW, MEMPHIS, TN, 
76021, RALIEGH LAGRANGE AND STAGE, MEMPHIS, TN, 
76022, RALIEGH LAGRANGE AND WHITTEN RD, MEMPHIS, TN, 
76023, RALIEGH LAGRANGE AND WILFONG, MEMPHIS, TN, 
76024, RALIEGH MILLINGTON AND EYGPT CENTRAL, MEMPHIS, TN, 
76025, RALIEGH MILLINGTON AND KINGS BAY, MEMPHIS, TN, 
76026, RALIEGH MILLINGTON AND STILLWOOD, MEMPHIS, TN, 
76027, RALIEGH MILLINGTON AND YALE, MEMPHIS, TN, 
76028, RAMIL AND MONESSEN, MEMPHIS, TN, 
76029, RAMILL AND JONES, MEMPHIS, TN, 
76030, RAMILL AND RALEIGH-MILLINGTON, MEMPHIS, TN, 
76031, RAMPOLE AND HARVESTER, MEMPHIS, TN, 
76032, RANDLE AND HENRY, MEMPHIS, TN, 
76033, RANDLE AND KEEL, MEMPHIS, TN, 
76034, RANDOLPH AND FLOYD, MEMPHIS, TN, 
76035, RANDY AND ALMO, MEMPHIS, TN, 
76036, RANDY AND ALOHA, MEMPHIS, TN, 
76037, RANGE HILLS AND FRAYSER, MEMPHIS, TN, 
76038, RANGE LINE AND BETHLEHEM, MEMPHIS, TN, 
76039, RANGE LINE AND DAVEY, MEMPHIS, TN, 
76040, RANGE LINE AND JAMES, MEMPHIS, TN, 
76041, RANGE LINE AND LAKECREST, MEMPHIS, TN, 
76042, RANGE LINE AND NORTHMEADE, MEMPHIS, TN, 
76043, RANGE LINE RD AND JAMES RD, MEMPHIS, TN, 
76044, RANGE LINE RD AND WHITNEY AVE, MEMPHIS, TN, 
76045, RANGELINE AND LAKECREST CIRCLE, MEMPHIS, TN, 
76046, RANGELINE AND MAVERICK, MEMPHIS, TN, 
76047, RANGELINE AND MIRROR, MEMPHIS, TN, 
76048, RANGELINE AND NORTHMEADE, MEMPHIS, TN, 
76049, RANGELINE AND STAGE, MEMPHIS, TN, 
76050, RANGELINE N AND O ST ELMO, MEMPHIS, TN, 
76051, RANGELINE RD AND JAMES RD, MEMPHIS, TN, 
76052, RANGELINE RD AND NORTHMEADE, MEMPHIS, TN, 
76053, RANGELINE RD AND SMITHRIDGE, MEMPHIS, TN, 
76054, RANGELINE RD AND WHITNEY AVE, MEMPHIS, TN, 
76055, RANGELINE, MEMPHIS, TN, 
76056, RASPBERRY AND DARTFORD, MEMPHIS, TN, 
76057, RATLIFF AND LAUDERDALE, MEMPHIS, TN, 
76058, RAVEN OAK AND RIDGEWAY, MEMPHIS, TN, 
76059, RAVENOAK AND RIDGEWAY RD, MEMPHIS, TN, 
76060, RAVENOAK AND RIDGEWAY, MEMPHIS, TN, 
76061, RAVENOAK DR AND RAVENOAK CT, MEMPHIS, TN, 
76062, RAVENOAK DR AND RIDGEWAY BLVD, MEMPHIS, TN, 
76063, RAVENSWORTH AND BRUSHWOOD, MEMPHIS, TN, 
76064, RAVENSWORTH AND HONDURUS, MEMPHIS, TN, 
76065, RAVINES AND CRUMP, MEMPHIS, TN, 
76066, RAWDON AND TANT, MEMPHIS, TN, 
76067, RAYBURN AND ESSEX, MEMPHIS, TN, 
76068, RAYMOND AND DEADRICK, MEMPHIS, TN, 
76069, RAYMOND SKINNER AND EARLY MAXWELL, MEMPHIS, TN, 
76070, RAYNER AND FELIX, MEMPHIS, TN, 
76071, RAYNER AND NEITHERWOOD, MEMPHIS, TN, 
76072, RAYNER AND PERSON, MEMPHIS, TN, 
76073, RAYNER AND WAVERLY, MEMPHIS, TN, 
76074, RAYNER ST AND WALKER AVE, MEMPHIS, TN, 
76075, RED OAK ST AND MIMOSA AVE, MEMPHIS, TN, 
76076, RED OAKS CIR AND CLUB RIDGE CIR, MEMPHIS, TN, 
76077, REDBIRD AND POPLAR, MEMPHIS, TN, 
76078, REDBIRD LN AND POPLAR AVE, MEMPHIS, TN, 
76079, REDBUD AND BISCAYNE, MEMPHIS, TN, 
76080, REDBUD AND MONTAGUE, MEMPHIS, TN, 
76081, REDWOOD CT AND GREENWOOD DR, MEMPHIS, TN, 
76082, REED AND N GRAHAM, MEMPHIS, TN, 
76083, REED AND OZAN, MEMPHIS, TN, 
76084, REED AND RONDA ST, MEMPHIS, TN, 
76085, REED AND RUSSWOOD, MEMPHIS, TN, 
76086, REED AVE AND HARTLAND ST, MEMPHIS, TN, 
76087, REENIE AVE AND JACKSON AVE, MEMPHIS, TN, 
76088, REESE AND COUNTRY TRAIL, MEMPHIS, TN, 
76089, REESE LAKE CV, MEMPHIS, TN, 
76090, REESE RD AND APPLING RD, MEMPHIS, TN, 
76091, REESE RD EAST OF DROMEDARY, MEMPHIS, TN, 
76092, REGAL PLAZA AND GRAVES, MEMPHIS, TN, 
76093, REGAL PLAZA AND WINCHESTER, MEMPHIS, TN, 
76094, REGAN AND GOLD, MEMPHIS, TN, 
76095, REMBERT AND JEFFERSON, MEMPHIS, TN, 
76096, RHEA AND LANGTON, MEMPHIS, TN, 
76097, RHODES AND BARRON, MEMPHIS, TN, 
76098, RHODES AND DOGWOOD, MEMPHIS, TN, 
76099, RHODES AND ROBINHOOD LN, MEMPHIS, TN, 
76100, RHODES JUST EAST OF PRESCOTT, MEMPHIS, TN, 
76101, RICH AND WHITE STATION, MEMPHIS, TN, 
76102, RICHE AND POWERS, MEMPHIS, TN, 
76103, RICHE RD AND COLEMAN RD, MEMPHIS, TN, 
76104, RICHLAND AND ELVIS PRESELY, MEMPHIS, TN, 
76105, RICHMOND AND RAYBURN, MEMPHIS, TN, 
76106, RICHMOND AND S ORLEANS, MEMPHIS, TN, 
76107, RICHMOND AND SARDIS, MEMPHIS, TN, 
76108, RICHMOND AND WELLINGTON, MEMPHIS, TN, 
76109, RICKY BELL AND NEW BRONSWICK, MEMPHIS, TN, 
76110, RIDGE MEADOW PKWY AND WINCHESTER, MEMPHIS, TN, 
76111, RIDGECREST AND DELLWOOD, MEMPHIS, TN, 
76112, RIDGECREST AND HAYWOOD, MEMPHIS, TN, 
76113, RIDGECREST APTS, MEMPHIS, TN, 
76114, RIDGEDALE AND MCGOWAN, MEMPHIS, TN, 
76115, RIDGELAND DR AND HICKORY HILL, MEMPHIS, TN, 
76116, RIDGELINE AND RIDGEWAY, MEMPHIS, TN, 
76117, RIDGEMEADOW PKWY AND WINCHESTER, MEMPHIS, TN, 
76118, RIDGEMONT AND HOBSON, MEMPHIS, TN, 
76119, RIDGEMONT AND NEWALLEN, MEMPHIS, TN, 
76120, RIDGEMONT AND WINDEMERE, MEMPHIS, TN, 
76121, RIDGEWAY AND BILL MORRIS PKY, MEMPHIS, TN, 
76122, RIDGEWAY AND CHINABERRY, MEMPHIS, TN, 
76123, RIDGEWAY AND FLODDEN, MEMPHIS, TN, 
76124, RIDGEWAY AND HWY 385, MEMPHIS, TN, 
76125, RIDGEWAY AND KNIGHTARNOLD, MEMPHIS, TN, 
76126, RIDGEWAY AND QUINCE RD, MEMPHIS, TN, 
76127, RIDGEWAY AND RAVENS NEST, MEMPHIS, TN, 
76128, RIDGEWAY AND RAVENSNEST, MEMPHIS, TN, 
76129, RIDGEWAY AND RIDGE MEADOW PKWY, MEMPHIS, TN, 
76130, RIDGEWAY AND RIDGE MEDOW, MEMPHIS, TN, 
76131, RIDGEWAY AND RIDGELINE RD, MEMPHIS, TN, 
76132, RIDGEWAY AND RIDGEMANOR, MEMPHIS, TN, 
76133, RIDGEWAY AND SAGEBRUSH, MEMPHIS, TN, 
76134, RIDGEWAY AND SCARLET CREST, MEMPHIS, TN, 
76135, RIDGEWAY AND VILLAGE GREEN, MEMPHIS, TN, 
76136, RIDGEWAY AND VILLAGEGROVE, MEMPHIS, TN, 
76137, RIDGEWAY AND WATERSTONE OAK WAY, MEMPHIS, TN, 
76138, RIDGEWAY BLVD AND BALD EAGLE RD, MEMPHIS, TN, 
76139, RIDGEWAY BLVD AND RAVENOAK, MEMPHIS, TN, 
76140, RIDGEWAY BLVD WEST OF RIDGEWAY RD, MEMPHIS, TN, 
76141, RIDGEWAY RD AND BELLE FOREST, MEMPHIS, TN, 
76142, RIDGEWAY RD AND HADDINGTON, MEMPHIS, TN, 
76143, RIDGEWAY RD AND HICKORY HILL, MEMPHIS, TN, 
76144, RIDGEWAY RD AND KIRBY DOWNS, MEMPHIS, TN, 
76145, RIDGEWAY RD AND OLD RIDGEWAY RD, MEMPHIS, TN, 
76146, RIDGEWAY RD AND QUINCE RD, MEMPHIS, TN, 
76147, RIDGEWAY RD AND QUINCE, MEMPHIS, TN, 
76148, RIDGEWAY RD AND RIDGE MANOR, MEMPHIS, TN, 
76149, RIDGEWAY RUN COVE AND RIDGEWAY ROAD, MEMPHIS, TN, 
76150, RIDHEWAY AND CHINABERRY, MEMPHIS, TN, 
76151, RIENEL AND KIMBALL, MEMPHIS, TN, 
76152, RILE AND NORWOOD, MEMPHIS, TN, 
76153, RINEY AND CHILDERS CV, MEMPHIS, TN, 
76154, RINEY AND GREGORY, MEMPHIS, TN, 
76155, RINEY AND HAYWOOD, MEMPHIS, TN, 
76156, RINEY ST AND FRAYSER BLVD, MEMPHIS, TN, 
76157, RIVER PORT AND MALLORY, MEMPHIS, TN, 
76158, RIVER TRACE DR AND RALEIGH LAGRANGE, MEMPHIS, TN, 
76159, RIVERBROOK AND MILLBRANCH, MEMPHIS, TN, 
76160, RIVERDALE AND CHESAPEAKE, MEMPHIS, TN, 
76161, RIVERDALE AND CRESTRIDGE, MEMPHIS, TN, 
76162, RIVERDALE AND FOX HEDGE, MEMPHIS, TN, 
76163, RIVERDALE AND GREEN WILLOW, MEMPHIS, TN, 
76164, RIVERDALE AND LYGON CV, MEMPHIS, TN, 
76165, RIVERDALE AND MALCO WAY, MEMPHIS, TN, 
76166, RIVERDALE AND NONCONNAH, MEMPHIS, TN, 
76167, RIVERDALE AND SNYDEN, MEMPHIS, TN, 
76168, RIVERDALE BEND AND WINCHESTER, MEMPHIS, TN, 
76169, RIVERDALE NORTH OF SHELBY DR, MEMPHIS, TN, 
76170, RIVERDALE RD AND RIVERDALE BEND, MEMPHIS, TN, 
76171, RIVERDALE RD AND SNYDER RD, MEMPHIS, TN, 
76172, RIVERGATE AND ALCY, MEMPHIS, TN, 
76173, RIVERGATE AND RIVERPORT, MEMPHIS, TN, 
76174, RIVERPORT AND PLANT, MEMPHIS, TN, 
76175, RIVERSIDE AND BEAL ST, MEMPHIS, TN, 
76176, RIVERSIDE AND BEALE38107, MEMPHIS, TN, 
76177, RIVERSIDE AND FIELDS, MEMPHIS, TN, 
76178, RIVERSIDE AND HOLLOWELL, MEMPHIS, TN, 
76179, RIVERSIDE AND I55 ENTRANCE RAMP, MEMPHIS, TN, 
76180, RIVERSIDE AND INGLE, MEMPHIS, TN, 
76181, RIVERSIDE AND KANSAS, MEMPHIS, TN, 
76182, RIVERSIDE AND MODDER, MEMPHIS, TN, 
76183, RIVERSIDE AND OUTER, MEMPHIS, TN, 
76184, RIVERSIDE AND PERSON, MEMPHIS, TN, 
76185, RIVERSIDE AND VANCE, MEMPHIS, TN, 
76186, RIVERSIDE AND W PERSON, MEMPHIS, TN, 
76187, RIVERSIDE AND WEST CAROLINA, MEMPHIS, TN, 
76188, RIVERSIDE AND WEST GEORGIA, MEMPHIS, TN, 
76189, RIVERSIDE BLVD AND BEALE ST, MEMPHIS, TN, 
76190, RIVERSIDE DR AND JEFFERSON, MEMPHIS, TN, 
76191, RIVERSIDE S AND OF BEALE ST, MEMPHIS, TN, 
76192, RIVERWOOD FARMS PKWY AND DEXTER LN, MEMPHIS, TN, 
76193, ROANOKE AND LEFLORE, MEMPHIS, TN, 
76194, ROANOKE AND TAYLOR, MEMPHIS, TN, 
76195, ROBERTS AND CINCINATTI, MEMPHIS, TN, 
76196, ROBESON AND JONES, MEMPHIS, TN, 
76197, ROBESON AVE AND MANASSAS ST, MEMPHIS, TN, 
76198, ROBIN HOOD AND BARRON, MEMPHIS, TN, 
76199, ROBIN HOOD AND HEATHER, MEMPHIS, TN, 
76200, ROBIN HOOD AND MCDUFF, MEMPHIS, TN, 
76201, ROBIN HOOD AND PARK, MEMPHIS, TN, 
76202, ROBIN HOOD AND VANUYS, MEMPHIS, TN, 
76203, ROBIN HOOD LN AND DUNN AVE, MEMPHIS, TN, 
76204, ROBIN PARK CIRCLE, MEMPHIS, TN, 
76205, ROBINHOOD AND FREEMILE, MEMPHIS, TN, 
76206, ROBINHOOD AND MCDUFF, MEMPHIS, TN, 
76207, ROBINHOOD AND SHARPE, MEMPHIS, TN, 
76208, ROBINHOOD LN AND MIAMI AVE, MEMPHIS, TN, 
76209, ROCK CREEK AND GERMANTOWN, MEMPHIS, TN, 
76210, ROCKCREEK AND GERMANTOWN, MEMPHIS, TN, 
76211, ROCKCREEK AND HWY 64, MEMPHIS, TN, 
76212, ROCKCREEK PKWAY AND GERMANTOWN PKWAY, MEMPHIS, TN, 
76213, ROCKCREEK PKWY AND GERMANTOWN, MEMPHIS, TN, 
76214, ROCKCREEK PKWY AND VINTAGE, MEMPHIS, TN, 
76215, ROCKDALE AND HOMEDALE, MEMPHIS, TN, 
76216, ROCKWOOD AVE AND HOMER ST, MEMPHIS, TN, 
76217, ROCKY PARK AND KIRBY RD, MEMPHIS, TN, 
76218, ROCKY PARK AND WINTER PARK, MEMPHIS, TN, 
76219, ROCKY PARK DR AND WINTER PARK, MEMPHIS, TN, 
76220, RODNEY BABER PARK, MEMPHIS, TN, 
76221, ROLAND AND EVALYN, MEMPHIS, TN, 
76222, ROLAND AND EVELYN, MEMPHIS, TN, 
76223, ROLAND AND FELIX, MEMPHIS, TN, 
76224, ROLAND AND LAMAR, MEMPHIS, TN, 
76225, ROLAND STREET AND LAMAR AVE, MEMPHIS, TN, 
76226, ROLLING HILLS APARTMENTS, MEMPHIS, TN, 
76227, ROLLING HILLS, MEMPHIS, TN, 
76228, ROLLINS AND MEADOWBROOK, MEMPHIS, TN, 
76229, ROOSEVELT AND N WATKINS, MEMPHIS, TN, 
76230, ROOSEVELT AND WATKINS, MEMPHIS, TN, 
76231, ROOSEVELT AVE AND GLASGOW ST, MEMPHIS, TN, 
76232, ROPER AND CYPRESS, MEMPHIS, TN, 
76233, ROSAMOND AND HOLMES, MEMPHIS, TN, 
76234, ROSAMOND AND NATIONAL, MEMPHIS, TN, 
76235, ROSE HILL AND EAST OF ELVIS PRESLEY, MEMPHIS, TN, 
76236, ROSE HILL AND WARREN, MEMPHIS, TN, 
76237, ROSE TRAIL AND TULIP TRAIL, MEMPHIS, TN, 
76238, ROSECREST AND HILL, MEMPHIS, TN, 
76239, ROSEWIND AND RAINES, MEMPHIS, TN, 
76240, ROSEWOOD AND WYNTON, MEMPHIS, TN, 
76241, ROSITA AND WINCHESTER, MEMPHIS, TN, 
76242, ROSS AND BEAVERLODGE, MEMPHIS, TN, 
76243, ROSS AND WINDING BIRCH, MEMPHIS, TN, 
76244, ROSS RD AND BIRCH RUN, MEMPHIS, TN, 
76245, ROSS RD AND DEVINSHIRE, MEMPHIS, TN, 
76246, ROSS RD AND RAINES, MEMPHIS, TN, 
76247, ROSS RD AND ROCKINGHAM RD, MEMPHIS, TN, 
76248, ROSWELL AND BURLINGAME, MEMPHIS, TN, 
76249, ROXBURY AND CHAMBERLAIN, MEMPHIS, TN, 
76250, ROYAL OAK AND RIDGEMONT, MEMPHIS, TN, 
76251, ROYAL WOOD AND ROYAL RIDGE, MEMPHIS, TN, 
76252, ROZELL AND ROZELL CV, MEMPHIS, TN, 
76253, ROZELLE AND EUCLID, MEMPHIS, TN, 
76254, ROZELLE AND EVELYN, MEMPHIS, TN, 
76255, ROZELLE AND LAMAR, MEMPHIS, TN, 
76256, ROZELLE AND NETHERWOOD, MEMPHIS, TN, 
76257, ROZELLE AND SOUTHERN, MEMPHIS, TN, 
76258, RUBY CREEK AND WEAVER, MEMPHIS, TN, 
76259, RUFUS THOMAS AND 315 BEALE, MEMPHIS, TN, 
76260, RUFUS THOMAS AND BEALE ST, MEMPHIS, TN, 
76261, RUGBY AND MEDFORD, MEMPHIS, TN, 
76262, RUSSWOOD AND BAYLISS, MEMPHIS, TN, 
76263, RUSSWOOD AND GREY, MEMPHIS, TN, 
76264, RUSSWOOD AND JAMERSON, MEMPHIS, TN, 
76265, RYAN ST AND SMITH RIDGE RD, MEMPHIS, TN, 
76266, RYAN ST, MEMPHIS, TN, 
76267, RYDER AND JAMES, MEMPHIS, TN, 
76268, S 2ND ST AND BEALE ST, MEMPHIS, TN, 
76269, S 2ND ST AND UNION AVE, MEMPHIS, TN, 
76270, S 3RD AND MITCHELL, MEMPHIS, TN, 
76271, S 3RD AND RAINES, MEMPHIS, TN, 
76272, S 3RD AND W BELLE HAVEN RD, MEMPHIS, TN, 
76273, S 3RD ST AND E PONTOTOC AVE, MEMPHIS, TN, 
76274, S 3RD ST AND FORD RD, MEMPHIS, TN, 
76275, S 3RD ST AND HORN LAKE RD, MEMPHIS, TN, 
76276, S 3RD ST AND MITCHELL RD, MEMPHIS, TN, 
76277, S 3RD ST AND MITCHELL, MEMPHIS, TN, 
76278, S 4TH / VANCE AVENUE, MEMPHIS, TN, 
76279, S 4TH ST AND BEALE ST, MEMPHIS, TN, 
76280, S AND B 55 AND MCLEMORE, MEMPHIS, TN, 
76281, S AND B I-240 AND MADISON, MEMPHIS, TN, 
76282, S AND B I-240 AND S PKWY, MEMPHIS, TN, 
76283, S AND B I-55 AND MCLEMORE AVE, MEMPHIS, TN, 
76284, S AND B I-55 N OF RAINES, MEMPHIS, TN, 
76285, S AND B PATTON ST AND S AND O MCLEMORE AVE, MEMPHIS, TN, 
