78001, YALE AND BELLWOOD, MEMPHIS, TN, 
78002, YALE AND BROWNVILLE RD, MEMPHIS, TN, 
78003, YALE AND LEHI, MEMPHIS, TN, 
78004, YALE AND MARIS, MEMPHIS, TN, 
78005, YALE AND MERRITT, MEMPHIS, TN, 
78006, YALE AND MERTON, MEMPHIS, TN, 
78007, YALE AND YALE CV, MEMPHIS, TN, 
78008, YALE RD AND GREENTREE DR, MEMPHIS, TN, 
78009, YALE RD AND RAMILL RD, MEMPHIS, TN, 
78010, YALE RD AND SCHEIBLER RD, MEMPHIS, TN, 
78011, YALE ROAD AND LYNCHBURG AVE, MEMPHIS, TN, 
78012, YALE ROAD AND RALEIGH MILLINGTON ROAD, MEMPHIS, TN, 
78013, YAZOO AND KANSAS, MEMPHIS, TN, 
78014, YAZOO AND TRIGG, MEMPHIS, TN, 
78015, YAZOO AND UTAH, MEMPHIS, TN, 
78016, YELLOWWOOD AND BAYWOOD, MEMPHIS, TN, 
78017, YOUNG AVE AND COOPER, MEMPHIS, TN, 
78018, YOUNG AVE AND NEW YORK ST, MEMPHIS, TN, 
78019, ZODIAC AND HOLMES RD, MEMPHIS, TN, 
78020, ZOLOFT5461 DAVIDSON RD, MEMPHIS, TN, 
78021, ----CHARLESTON, MEMPHIS, TN, 
78022, -S8255 STURBRIDGE WAY, MEMPHIS, TN, 
78023, ,1023 WICHITA, MEMPHIS, TN, 
78024, ,2809 RAJA, MEMPHIS, TN, 
78025, ,3204 JEAN DR, MEMPHIS, TN, 
78026, ,3689 CARRINGTON, MEMPHIS, TN, 
78027, ,3705 MALCO WAY, MEMPHIS, TN, 
78028, ,5343 BRUTON, MEMPHIS, TN, 
78029, ,847 EXOCET DR, MEMPHIS, TN, 
78030, ,N TREZEVANT AND PERES, MEMPHIS, TN, 
78031, :4471 SUMMER AVE, MEMPHIS, TN, 
78032, :454 SANFORD ST, MEMPHIS, TN, 
78033, (APT 2)641 E DISON AVE, MEMPHIS, TN, 
78034, (AREA OF) DANNY THOMAS BLVD AND CHELSEA AVE, MEMPHIS, TN, 
78035, (AREA) 1395 PENNSYLVANIA ST, MEMPHIS, TN, 
78036, (AREA) 3489 KIMBALL AVE, MEMPHIS, TN, 
78037, (AREA) 511 EH CRUMP BLVD, MEMPHIS, TN, 
78038, (AREA) 862 N EVERGREEN ST, MEMPHIS, TN, 
78039, (MCCLAIN MOTORS)1505 ELVIS PRESLEY, MEMPHIS, TN, 
78040, (SOUTHBOUND) I-240 (NORTH OF) NORRIS, MEMPHIS, TN, 
78041, (UNKOWN) POSSILBLY AND 1250 N GERMANTOWN, MEMPHIS, TN, 
78042, )3429 RALEIGH MILLINGTON, MEMPHIS, TN, 
78043, #170 WEST RED OAK DR, MEMPHIS, TN, 
78044, #3694 SHOREHAM DR, MEMPHIS, TN, 
78045, `, MEMPHIS, TN, 
78046, `3875 NORRISWOOD, MEMPHIS, TN, 
78047, 0 ACKELEN RD, MEMPHIS, TN, 
78048, 0 AND I-40 AND APPLING RD, MEMPHIS, TN, 
78049, 0 APPLING RD AND APPLING FARMS PKWY, MEMPHIS, TN, 
78050, 0 AUSTIN PEAY HWY AND I40, MEMPHIS, TN, 
78051, 0 BARKSDALE STREET AND 0 SOUTH PARKWAY ST, MEMPHIS, TN, 
78052, 0 BERRYHILL AND FLETCHER TRACE DR, MEMPHIS, TN, 
78053, 0 BOWDRE PL AND CYNTHIA PL, MEMPHIS, TN, 
78054, 0 CASTALIA AVE, MEMPHIS, TN, 
78055, 0 CHELSEA AVE AND MCLEAN BLVD, MEMPHIS, TN, 
78056, 0 CHELSEA WATKINS AVE, MEMPHIS, TN, 
78057, 0 CHIMNEY ROCK ROAD BERRYHILL ROAD, MEMPHIS, TN, 
78058, 0 CHISWOOD ST AND KIMBARK WOODS DR, MEMPHIS, TN, 
78059, 0 CLEARBROOK AND KNIGHT ARNOLD RD, MEMPHIS, TN, 
78060, 0 COOPER ST AND EVELYN RD, MEMPHIS, TN, 
78061, 0 COTTONWOOD AND S PERKINS RD, MEMPHIS, TN, 
78062, 0 COVINGTON PIKE RD AND I-40 RD, MEMPHIS, TN, 
78063, 0 COVINGTON PIKE ST AND I 40 RD, MEMPHIS, TN, 
78064, 0 CROW ST AND HIGHLAND AVE, MEMPHIS, TN, 
78065, 0 CRUMP AVE, MEMPHIS, TN, 
78066, 0 DECATUR AND OVERTON PARK, MEMPHIS, TN, 
78067, 0 DECATUR STREET AND MERRIWEATHER AVE, MEMPHIS, TN, 
78068, 0 DEXTER LN AND 00 DEXTER RD, MEMPHIS, TN, 
78069, 0 DEXTER ROAD AND CHIMNEYROCK ROAD, MEMPHIS, TN, 
78070, 0 DR MARTIN L KING AVENUE AND FRONT STREET, MEMPHIS, TN, 
78071, 0 DUNMOOR RD AND BARRON AVE, MEMPHIS, TN, 
78072, 0 DUNN AVE AND FRISCO AVE, MEMPHIS, TN, 
78073, 0 DWIGHT AVE, MEMPHIS, TN, 
78074, 0 E ROLLING WOODS RD, MEMPHIS, TN, 
78075, 0 EAST SHORE DR, MEMPHIS, TN, 
78076, 0 EXCHANGE, MEMPHIS, TN, 
78077, 0 EYRIE DRIVE AND EAGLEWOOD DR, MEMPHIS, TN, 
78078, 0 FOURTH STREET AND COURT AVENUE, MEMPHIS, TN, 
