7001, 4100 TARRYWOOD DR, MEMPHIS, TN, 
7002, 4200 EAST WIND, MEMPHIS, TN, 
7003, 4200 LAFARGE DR, MEMPHIS, TN, 
7004, 4200 SOUTHWYCK, MEMPHIS, TN, 
7005, 4200 WILMETTE, MEMPHIS, TN, 
7006, 4300 MIKEWOOD, MEMPHIS, TN, 
7007, 4400 JAMERSON, MEMPHIS, TN, 
7008, 4400 TRUMAN, MEMPHIS, TN, 
7009, 4400 WILLOW RD, MEMPHIS, TN, 
7010, 4500 RYAN ST, MEMPHIS, TN, 
7011, 4500 SUNNYVIEW, MEMPHIS, TN, 
7012, 4600 BLUEBELL, MEMPHIS, TN, 
7013, 4600 FLAMINGO, MEMPHIS, TN, 
7014, 4600 S BERRYPICK LN, MEMPHIS, TN, 
7015, 4600 SCOTT CROSSING, MEMPHIS, TN, 
7016, 4600 SUMNERS WELLS, MEMPHIS, TN, 
7017, 4600 TROUT VALLEY, MEMPHIS, TN, 
7018, 4700 WATERMILL, MEMPHIS, TN, 
7019, 4900 GIVEN, MEMPHIS, TN, 
7020, 4900 THREAD NEEDLE CT, MEMPHIS, TN, 
7021, 500 CLEABORN ST, MEMPHIS, TN, 
7022, 500 FOOTE PARK PL, MEMPHIS, TN, 
7023, 500 HONDURAS, MEMPHIS, TN, 
7024, 500 KING RD, MEMPHIS, TN, 
7025, 500 N CLAYBROOK, MEMPHIS, TN, 
7026, 500 S ORLEANS, MEMPHIS, TN, 
7027, 5100 CHESTON, MEMPHIS, TN, 
7028, 5100 FRANKIE LN, MEMPHIS, TN, 
7029, 5100 TEAL AVE, MEMPHIS, TN, 
7030, 5200 WINCHESTER RD, MEMPHIS, TN, 
7031, 5300 ELVIS PRESLEY RD, MEMPHIS, TN, 
7032, 5300 HALEVILLE, MEMPHIS, TN, 
7033, 5500 KNIGHT ARNOLD, MEMPHIS, TN, 
7034, 5600 NEWBERRY, MEMPHIS, TN, 
7035, 5800 JARDIN PL, MEMPHIS, TN, 
7036, 5800 JULANN, MEMPHIS, TN, 
7037, 600 BROCKWOOD, MEMPHIS, TN, 
7038, 600 E FRANK, MEMPHIS, TN, 
7039, 600 ESTRIDGE, MEMPHIS, TN, 
7040, 600 HEWLETT RD, MEMPHIS, TN, 
7041, 600 S COOPER, MEMPHIS, TN, 
7042, 600 S FRONT ST, MEMPHIS, TN, 
7043, 600 STONEWALL, MEMPHIS, TN, 
7044, 600 TENNESSEE ST, MEMPHIS, TN, 
7045, 6000 KENNY CREST DR, MEMPHIS, TN, 
7046, 6000 SHELBY OAKS, MEMPHIS, TN, 
7047, 6400 SUMMER AVE, MEMPHIS, TN, 
7048, 6500 GALLAN DR, MEMPHIS, TN, 
7049, 6900 STAGE RD, MEMPHIS, TN, 
7050, 700 BROWN MALL, MEMPHIS, TN, 
7051, 700 KEEL AVE, MEMPHIS, TN, 
7052, 700 POPE, MEMPHIS, TN, 
7053, 700 SEMMES, MEMPHIS, TN, 
7054, 800 BETHEL, MEMPHIS, TN, 
7055, 800 BROWNLEE, MEMPHIS, TN, 
7056, 800 GOODMAN, MEMPHIS, TN, 
7057, 800 ISABELLE, MEMPHIS, TN, 
7058, 8300 CLEEK CV, MEMPHIS, TN, 
7059, 900 E DEMPSTER, MEMPHIS, TN, 
7060, AIRWAYS AND HOLMES, MEMPHIS, TN, 
7061, FRONT AND COURT, MEMPHIS, TN, 
7062, GETWELL AND MALLORY, MEMPHIS, TN, 
7063, I-240 AND NORRIS, MEMPHIS, TN, 
7064, MACON AND HOMER, MEMPHIS, TN, 
7065, OLD AUSTIN PEAY AND STAGE, MEMPHIS, TN, 
7066, OVERTON CROSSING AND WHITNEY, MEMPHIS, TN, 
7067, RIDGEWAY AND QUINCE, MEMPHIS, TN, 
7068, RIVERDALE AND SHELBY DR, MEMPHIS, TN, 
7069, SHELBY DR AND HODGE, MEMPHIS, TN, 
7070, ST ELMO AND SCHOOLFIELD, MEMPHIS, TN, 
7071, STAGE AND OLD AUSTIN PEAY, MEMPHIS, TN, 
7072, TULANE AND SHELBY DR, MEMPHIS, TN, 
7073, UNION AND THIRD, MEMPHIS, TN, 
7074, 100 N BELLEVUE, MEMPHIS, TN, 
7075, 100 N HUMPHREYS, MEMPHIS, TN, 
7076, 100 SOUTH PKWY, MEMPHIS, TN, 
7077, 100 W DAVANT, MEMPHIS, TN, 
7078, 1000 BERCLAIR RD, MEMPHIS, TN, 
7079, 1000 BINGHAM, MEMPHIS, TN, 
7080, 1000 DAWN, MEMPHIS, TN, 
7081, 1000 E PARKWAY S, MEMPHIS, TN, 
7082, 1000 KERR AVE, MEMPHIS, TN, 
7083, 1000 MANASSAS, MEMPHIS, TN, 
7084, 1000 N MCNEIL, MEMPHIS, TN, 
7085, 1000 S HIGHLAND ST, MEMPHIS, TN, 
7086, 1000 TATUM, MEMPHIS, TN, 
7087, 1000 W MITCHELL, MEMPHIS, TN, 
7088, 1100 CLAYBROOK, MEMPHIS, TN, 
7089, 1100 E RAINES RD, MEMPHIS, TN, 
7090, 1100 ETHEL, MEMPHIS, TN, 
7091, 1100 FLORIDA ST, MEMPHIS, TN, 
7092, 1100 LAUDERDALE, MEMPHIS, TN, 
7093, 1100 NEPTUNE, MEMPHIS, TN, 
7094, 1100 S PRESCOTT, MEMPHIS, TN, 
7095, 1100 SPRINGDALE ST, MEMPHIS, TN, 
7096, 1100 WELLINGTON, MEMPHIS, TN, 
7097, 1100 WILBEC, MEMPHIS, TN, 
7098, 1200 BRADLEY ST, MEMPHIS, TN, 
7099, 1200 FIELDS RD, MEMPHIS, TN, 
7100, 1200 LOUISVILLE, MEMPHIS, TN, 
7101, 1200 S COOPER ST, MEMPHIS, TN, 
7102, 1200 S THIRD, MEMPHIS, TN, 
7103, 1300 BERCLAIR, MEMPHIS, TN, 
7104, 1300 BROADMOOR, MEMPHIS, TN, 
7105, 1300 GAUSCO, MEMPHIS, TN, 
7106, 1300 JACKSON AVE, MEMPHIS, TN, 
7107, 1300 N EVERGREEN, MEMPHIS, TN, 
7108, 1300 N HOLLYWOOD ST, MEMPHIS, TN, 
7109, 1300 N PKWY, MEMPHIS, TN, 
7110, 1300 NORRIS, MEMPHIS, TN, 
7111, 1300 NORTH GERMANTOWN PKWY, MEMPHIS, TN, 
7112, 1400 ASTE, MEMPHIS, TN, 
7113, 1400 BOXWOOD, MEMPHIS, TN, 
7114, 1400 EAST SHELBY DR, MEMPHIS, TN, 
7115, 1400 HALCOMB LN, MEMPHIS, TN, 
7116, 1400 MCREE ST, MEMPHIS, TN, 
7117, 1400 PEACH, MEMPHIS, TN, 
7118, 1500 BEAVER TRAIL, MEMPHIS, TN, 
7119, 1500 DALLAS, MEMPHIS, TN, 
7120, 1500 DEWEES, MEMPHIS, TN, 
7121, 1500 E PERSON, MEMPHIS, TN, 
7122, 1500 LAPALOMA CIR, MEMPHIS, TN, 
7123, 1500 LAPALOMA CIRCLE, MEMPHIS, TN, 
7124, 1500 MERRYCREST DR, MEMPHIS, TN, 
7125, 1500 N GRAHAM, MEMPHIS, TN, 
7126, 1500 TUNICA, MEMPHIS, TN, 
7127, 1500 WEINER, MEMPHIS, TN, 
7128, 1500 WRENWOOD ST, MEMPHIS, TN, 
7129, 1600 E PERSON, MEMPHIS, TN, 
7130, 1600 ETHLYN, MEMPHIS, TN, 
7131, 1600 RAGAN ST, MEMPHIS, TN, 
7132, 1600 REBECCA, MEMPHIS, TN, 
7133, 1600 SHADY BIRCH, MEMPHIS, TN, 
7134, 1600 WELLS STATION, MEMPHIS, TN, 
7135, 1600 WINFIELD, MEMPHIS, TN, 
7136, 1700 ALCY, MEMPHIS, TN, 
7137, 1700 DABBS, MEMPHIS, TN, 
7138, 1700 DUKE RD, MEMPHIS, TN, 
7139, 1700 ELLSWORTH ST, MEMPHIS, TN, 
7140, 1700 FOSTER AVE, MEMPHIS, TN, 
7141, 1700 KEATING, MEMPHIS, TN, 
7142, 1700 SOUTHERN, MEMPHIS, TN, 
7143, 1800 CASTALIA ST, MEMPHIS, TN, 
7144, 1800 CLEOFORD, MEMPHIS, TN, 
7145, 1800 ORLEANS, MEMPHIS, TN, 
7146, 1900 JACKSON, MEMPHIS, TN, 
7147, 1900 NORTH PKWY, MEMPHIS, TN, 
7148, 200 HAYDEN, MEMPHIS, TN, 
7149, 2000 FRAYSER, MEMPHIS, TN, 
7150, 2000 SHELBY DR, MEMPHIS, TN, 
7151, 2000 SNOWDEN, MEMPHIS, TN, 
7152, 2000 WYNTON, MEMPHIS, TN, 
7153, 2100 GOLDBRIER LN, MEMPHIS, TN, 
7154, 2100 HALLWOOD, MEMPHIS, TN, 
7155, 2100 PENNEL, MEMPHIS, TN, 
7156, 2100 WALKER, MEMPHIS, TN, 
7157, 2100 WARREN, MEMPHIS, TN, 
7158, 2100 YOUNG AVE, MEMPHIS, TN, 
7159, 2300 LAURA, MEMPHIS, TN, 
7160, 2400 COVINGTON PIKE, MEMPHIS, TN, 
7161, 2400 GERMANTOWN, MEMPHIS, TN, 
7162, 2500 HEARD, MEMPHIS, TN, 
7163, 2500 LABONTE, MEMPHIS, TN, 
7164, 2500 PECAN CIR, MEMPHIS, TN, 
7165, 2500 RIDGEWAY RD, MEMPHIS, TN, 
7166, 2600 BRIDGEPORT, MEMPHIS, TN, 
7167, 2600 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
7168, 2600 SAM COOPER, MEMPHIS, TN, 
7169, 2600 SCHOOL, MEMPHIS, TN, 
7170, 2700 NADINE, MEMPHIS, TN, 
7171, 2700 PARK AVE, MEMPHIS, TN, 
7172, 2800 GRUBER DR, MEMPHIS, TN, 
7173, 2800 NONCONNAH BLVD, MEMPHIS, TN, 
7174, 2900 BARRON, MEMPHIS, TN, 
7175, 2900 GEORGETOWN DR, MEMPHIS, TN, 
7176, 2900 HARVARD, MEMPHIS, TN, 
7177, 300 GLENCOE, MEMPHIS, TN, 
7178, 300 PEABODY, MEMPHIS, TN, 
7179, 300 STAFFORD CIR, MEMPHIS, TN, 
7180, 300 TILLMAN ST, MEMPHIS, TN, 
7181, 3000 DANVILLE, MEMPHIS, TN, 
7182, 3100 CENTRAL AVE, MEMPHIS, TN, 
7183, 3100 JEAN DR, MEMPHIS, TN, 
7184, 3100 MORNINGVIEW, MEMPHIS, TN, 
7185, 3200 BLUEFIELD, MEMPHIS, TN, 
7186, 3200 FORD RD, MEMPHIS, TN, 
7187, 3200 GILMORE, MEMPHIS, TN, 
7188, 3200 JOHNSON AVE, MEMPHIS, TN, 
7189, 3200 MORNINGVIEW DR, MEMPHIS, TN, 
7190, 3200 NEW HORN LAKE RD, MEMPHIS, TN, 
7191, 3200 PERSHING, MEMPHIS, TN, 
7192, 3300 HARRIS, MEMPHIS, TN, 
7193, 3300 KNIGHT TRAIL CIRCLE, MEMPHIS, TN, 
7194, 3300 RANGELINE, MEMPHIS, TN, 
7195, 3400 ADEN, MEMPHIS, TN, 
7196, 3400 BENJESTOWN, MEMPHIS, TN, 
7197, 3400 DUNCAN WILLIAMS, MEMPHIS, TN, 
7198, 3400 FORD, MEMPHIS, TN, 
7199, 3400 GILL RD, MEMPHIS, TN, 
7200, 3400 MADRAS, MEMPHIS, TN, 
7201, 3400 WALLOON, MEMPHIS, TN, 
7202, 3500 COOK RD, MEMPHIS, TN, 
7203, 3500 RAMIL, MEMPHIS, TN, 
7204, 3500 ROCHESTER, MEMPHIS, TN, 
7205, 3600 CHEVRON CV, MEMPHIS, TN, 
7206, 3600 CRAZYHORSE, MEMPHIS, TN, 
7207, 3600 DALEBRANCH DR, MEMPHIS, TN, 
7208, 3600 KIMBALL, MEMPHIS, TN, 
7209, 3600 QUEENSLAND DR, MEMPHIS, TN, 
7210, 3700 FIRETHORNE, MEMPHIS, TN, 
7211, 3700 HICKORY HILL DR, MEMPHIS, TN, 
7212, 3700 KNIGHT RD, MEMPHIS, TN, 
7213, 3700 ROBIN PARK CIR, MEMPHIS, TN, 
7214, 3700 SHARPE AVE, MEMPHIS, TN, 
7215, 3700 SKYLARK DR, MEMPHIS, TN, 
7216, 3700 SOUTHLAND, MEMPHIS, TN, 
7217, 3800 GREY, MEMPHIS, TN, 
7218, 3800 NORRIS AVE, MEMPHIS, TN, 
7219, 3900 NEW COVINGTON PIKE, MEMPHIS, TN, 
7220, 3900 OVERTON CROSSING, MEMPHIS, TN, 
7221, 3900 PIKES PEAK AVE, MEMPHIS, TN, 
7222, 3900 S PERKINS, MEMPHIS, TN, 
7223, 3900 SHELBY DR, MEMPHIS, TN, 
7224, 400 E SHELBY DR, MEMPHIS, TN, 
7225, 400 EAST MCLEMORE, MEMPHIS, TN, 
7226, 400 ELDER RD, MEMPHIS, TN, 
7227, 4000 ALLENBROOKE CV, MEMPHIS, TN, 
7228, 4000 E SHELBY DR, MEMPHIS, TN, 
7229, 4000 PLYMOUTH, MEMPHIS, TN, 
7230, 4000 RAVEN OAK DR, MEMPHIS, TN, 
7231, 4100 BROMPTON, MEMPHIS, TN, 
7232, 4100 MALLORY, MEMPHIS, TN, 
7233, 4100 PIKES PEAK, MEMPHIS, TN, 
7234, 4100 WILDWOOD, MEMPHIS, TN, 
7235, 4200 CEDARWOOD CV, MEMPHIS, TN, 
7236, 4200 JAMES RD, MEMPHIS, TN, 
7237, 4200 KOSTKA DR, MEMPHIS, TN, 
7238, 4200 SOUTHERN, MEMPHIS, TN, 
7239, 4200 TARRY WOOD, MEMPHIS, TN, 
7240, 4200 WEYMOUTH CV, MEMPHIS, TN, 
7241, 4300 BACON, MEMPHIS, TN, 
7242, 4300 EMERSON CV, MEMPHIS, TN, 
7243, 4300 GIVEN, MEMPHIS, TN, 
7244, 4300 HOBSON CV, MEMPHIS, TN, 
7245, 4300 WAGON WHEEL, MEMPHIS, TN, 
7246, 4400 GLADSTONE, MEMPHIS, TN, 
7247, 4400 HAWKEYE, MEMPHIS, TN, 
7248, 4400 KERWIN, MEMPHIS, TN, 
7249, 4400 RALEIGH LAGRANGE, MEMPHIS, TN, 
7250, 4500 CRESCENT PARK, MEMPHIS, TN, 
7251, 4600 COTTONWOOD RD, MEMPHIS, TN, 
7252, 4600 KNOTTY OAKS DR, MEMPHIS, TN, 
7253, 4800 TOWNHOUSE WAY, MEMPHIS, TN, 
7254, 4900 TULANE RD, MEMPHIS, TN, 
7255, 500 FAIRHOPE, MEMPHIS, TN, 
7256, 500 KING, MEMPHIS, TN, 
7257, 500 N GRAHAM, MEMPHIS, TN, 
7258, 500 PERKINS EXT, MEMPHIS, TN, 
7259, 5000 GILL, MEMPHIS, TN, 
7260, 5000 JONETTA, MEMPHIS, TN, 
7261, 5000 WARRINGTON, MEMPHIS, TN, 
7262, 5100 BLEDSOE RD, MEMPHIS, TN, 
7263, 5200 AIRWAYS BLVD, MEMPHIS, TN, 
7264, 5200 WINDCREST, MEMPHIS, TN, 
7265, 5300 CAMBRIDGE STATION CT, MEMPHIS, TN, 
7266, 5400 SPARROW WOOD, MEMPHIS, TN, 
7267, 5600 CREPE MYRTLE DR, MEMPHIS, TN, 
7268, 5900 ARDWICK, MEMPHIS, TN, 
7269, 5900 GRASSY VALLEY DR, MEMPHIS, TN, 
7270, 5900 MOUNT HICKORY DR, MEMPHIS, TN, 
7271, 600 JENSON, MEMPHIS, TN, 
7272, 6000 RIDGELAND DR, MEMPHIS, TN, 
7273, 6000 S LITTLEBROOK CIR, MEMPHIS, TN, 
7274, 6000 SUMMER, MEMPHIS, TN, 
7275, 6100 MINGLE, MEMPHIS, TN, 
7276, 6100 SCARLET LEAF, MEMPHIS, TN, 
7277, 6100 VALLEYDALE, MEMPHIS, TN, 
7278, 6500 ARROWBROOK LN, MEMPHIS, TN, 
7279, 6500 RAINES, MEMPHIS, TN, 
7280, 6500 RIDGEBROOK, MEMPHIS, TN, 
7281, 6600 BALLANTRACE CT, MEMPHIS, TN, 
7282, 6600 GALLAN CT, MEMPHIS, TN, 
7283, 6700 RED BIRCH, MEMPHIS, TN, 
7284, 6800 ROSS RIDGE, MEMPHIS, TN, 
7285, 700 EDITH AVE, MEMPHIS, TN, 
7286, 700 N WILLETT, MEMPHIS, TN, 
7287, 700 PARKROSE, MEMPHIS, TN, 
7288, 7100 SHELBY DR, MEMPHIS, TN, 
7289, 7300 NEWLING LN, MEMPHIS, TN, 
7290, 7600 WINCHESTER AVE, MEMPHIS, TN, 
7291, 800 ECHLES, MEMPHIS, TN, 
7292, 800 MOON ST, MEMPHIS, TN, 
7293, 800 N GERMANTOWN, MEMPHIS, TN, 
7294, 800 PORTER ST, MEMPHIS, TN, 
7295, 800 SHOTWELL, MEMPHIS, TN, 
7296, 800 SPEED, MEMPHIS, TN, 
7297, 8200 WALNUT GROVE, MEMPHIS, TN, 
7298, 900 HANLEY, MEMPHIS, TN, 
7299, 900 MANASSAS, MEMPHIS, TN, 
7300, 900 POPE ST, MEMPHIS, TN, 
7301, 900 SOUTH HIGHLAND, MEMPHIS, TN, 
7302, 900 SOUTH THIRD, MEMPHIS, TN, 
7303, 900 WRENWOOD, MEMPHIS, TN, 
7304, 9200 HWY 64, MEMPHIS, TN, 
7305, CHELSEA AND MAY, MEMPHIS, TN, 
7306, EVERGREEN AND HUNTER, MEMPHIS, TN, 
7307, GETWELL AND COCHESE, MEMPHIS, TN, 
7308, I-55 AND SHELBY DR, MEMPHIS, TN, 
7309, I240 AND GETWELL, MEMPHIS, TN, 
7310, JACKSON AND GRAGG, MEMPHIS, TN, 
7311, MILLBRANCH AND VICTORIA, MEMPHIS, TN, 
